,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,210.7678,-82.09665,-39.78432,12.276676,-40.16153,30.463112,39.53807,4.888429,5.7708426,8.77538,-15.741959,-1.74407,-11.297719,-10.737122,0.6317109,4.0940113,-8.977489,-2.8647614
1,-82.09665,88.30787,-12.381669,-45.96898,-19.534678,-17.202572,-8.545125,4.973042,8.162306,20.603615,-0.99829423,-6.929639,10.1064625,9.097788,-8.25738,-0.49134636,2.9752064,1.7390177
2,-39.78432,-12.381669,58.51886,36.352592,48.158813,39.524567,-13.760964,9.015968,-2.5050585,-14.2042465,9.723797,-8.284888,5.4112015,9.779082,1.4960523,-6.4216137,3.4991198,3.4757314
3,12.276676,-45.96898,36.352592,153.98083,-30.991978,-8.803688,-17.150162,6.1932898,3.7396626,-6.7161655,9.115257,8.125259,4.196779,2.9289875,3.592818,-7.223915,4.506953,1.7173195
4,-40.16153,-19.534678,48.158813,-30.991978,53.416492,18.631763,2.920185,-4.9995565,-6.6325455,-5.647629,0.78126657,9.666428,-7.2969494,1.848346,14.001612,-0.8307166,-3.2552912,-4.7007465
5,30.463112,-17.202572,39.524567,-8.803688,18.631763,94.40302,-2.7383237,-4.524014,4.737134,11.324369,-6.7741866,-2.106461,0.7879593,5.467306,-13.157726,-0.93153244,4.998632,2.7172303
6,39.53807,-8.545125,-13.760964,-17.150162,2.920185,-2.7383237,58.909264,2.168311,-5.199335,-10.080954,5.062701,1.7384831,12.2029,18.074825,4.9180803,0.08299321,0.08430219,2.804171
7,4.888429,4.973042,9.015968,6.1932898,-4.9995565,-4.524014,2.168311,51.964207,-16.015959,11.499329,-1.2689748,-12.12522,-15.793156,10.186808,2.8710313,-2.153136,2.1788616,-5.096346
8,5.7708426,8.162306,-2.5050585,3.7396626,-6.6325455,4.737134,-5.199335,-16.015959,57.659523,2.8627336,3.5710769,-6.1726203,-0.032870673,6.205683,4.416211,4.6090713,2.4065094,-7.464226
9,8.77538,20.603615,-14.2042465,-6.7161655,-5.647629,11.324369,-10.080954,11.499329,2.8627336,41.29858,-7.5079565,7.468169,4.308525,-1.5558364,7.497136,-3.5353498,6.69436,1.9747386
10,-15.741959,-0.99829423,9.723797,9.115257,0.78126657,-6.7741866,5.062701,-1.2689748,3.5710769,-7.5079565,8.746085,-2.39074,-3.0720391,3.976594,3.5870423,6.626549,3.6580083,3.3175328
11,-1.74407,-6.929639,-8.284888,8.125259,9.666428,-2.106461,1.7384831,-12.12522,-6.1726203,7.468169,-2.39074,46.075027,-3.6884422,3.3660169,-0.14853963,1.5873101,-0.16870281,-2.1030922
12,-11.297719,10.1064625,5.4112015,4.196779,-7.2969494,0.7879593,12.2029,-15.793156,-0.032870673,4.308525,-3.0720391,-3.6884422,21.977339,0.8097429,2.1013322,-9.621537,-2.0837393,2.5778527
13,-10.737122,9.097788,9.779082,2.9289875,1.848346,5.467306,18.074825,10.186808,6.205683,-1.5558364,3.976594,3.3660169,0.8097429,16.869087,-0.7074634,-0.15144493,2.7001772,-2.5959153
14,0.6317109,-8.25738,1.4960523,3.592818,14.001612,-13.157726,4.9180803,2.8710313,4.416211,7.497136,3.5870423,-0.14853963,2.1013322,-0.7074634,17.068098,-0.45487708,2.1407096,0.85608685
15,4.0940113,-0.49134636,-6.4216137,-7.223915,-0.8307166,-0.93153244,0.08299321,-2.153136,4.6090713,-3.5353498,6.626549,1.5873101,-9.621537,-0.15144493,-0.45487708,11.695206,4.256568,4.1671505
16,-8.977489,2.9752064,3.4991198,4.506953,-3.2552912,4.998632,0.08430219,2.1788616,2.4065094,6.69436,3.6580083,-0.16870281,-2.0837393,2.7001772,2.1407096,4.256568,6.370592,2.8392837
17,-2.8647614,1.7390177,3.4757314,1.7173195,-4.7007465,2.7172303,2.804171,-5.096346,-7.464226,1.9747386,3.3175328,-2.1030922,2.5778527,-2.5959153,0.85608685,4.1671505,2.8392837,7.454552
