,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,239.9873,126.14023,26.984375,3.149065,74.539,-37.65009,-45.87741,17.550117,14.333342,-23.537905,23.537369,19.06149,26.640556,14.694749,-13.804374,-11.379379,-7.0487676,14.0395355
1,126.14023,212.712,24.893969,50.459026,16.400377,16.90559,11.418377,-6.2942843,-7.8478265,-22.513119,0.6351639,12.507105,-4.6994257,-7.7241225,5.9675198,2.89163,-11.474409,-4.953836
2,26.984375,24.893969,160.46884,-38.34541,-37.906273,-43.61747,6.9900894,-4.367798,5.100125,13.152006,-9.195812,7.4548645,-7.1681123,-8.731641,-0.13179612,5.94884,-0.06690848,1.5370297
3,3.149065,50.459026,-38.34541,46.243145,34.37091,10.489691,21.782677,-2.9482362,0.9621598,2.1381845,-12.25613,-5.0242577,-5.282675,-6.103569,-4.884014,4.272709,-6.7188177,-1.139666
4,74.539,16.400377,-37.906273,34.37091,86.52018,-20.386368,2.2077591,3.6981611,9.107182,7.1859446,-2.7781198,-7.623062,11.294203,-3.7941604,-17.390762,1.1134777,-2.2374923,3.2462564
5,-37.65009,16.90559,-43.61747,10.489691,-20.386368,38.719788,1.0697651,2.9281583,-8.387114,-9.924051,8.845726,0.8800431,-0.17203166,-3.543699,13.766464,3.5807514,-5.3632975,-4.762677
6,-45.87741,11.418377,6.9900894,21.782677,2.2077591,1.0697651,31.19728,-3.1254072,1.3318294,13.323558,-2.7764254,-4.39409,-9.989569,-14.109283,-6.243189,3.9942107,-1.1429551,-3.3736906
7,17.550117,-6.2942843,-4.367798,-2.9482362,3.6981611,2.9281583,-3.1254072,33.93023,15.998979,-10.0014305,3.085539,15.060861,23.451645,-7.078523,-6.6688194,5.9478245,-8.211137,3.4850855
8,14.333342,-7.8478265,5.100125,0.9621598,9.107182,-8.387114,1.3318294,15.998979,13.826673,1.3048663,-0.48825598,7.1891475,7.534354,-0.16016507,-8.567686,0.57891035,-8.82503,6.2706156
9,-23.537905,-22.513119,13.152006,2.1381845,7.1859446,-9.924051,13.323558,-10.0014305,1.3048663,17.966387,4.342905,-7.938882,-11.14514,-3.9713728,-4.5637064,-1.2972116,-2.426642,0.596274
10,23.537369,0.6351639,-9.195812,-12.25613,-2.7781198,8.845726,-2.7764254,3.085539,-0.48825598,4.342905,52.06963,4.8035746,1.7120433,-7.65298,-3.096926,-10.427963,-3.6181664,-2.6107905
11,19.06149,12.507105,7.4548645,-5.0242577,-7.623062,0.8800431,-4.39409,15.060861,7.1891475,-7.938882,4.8035746,10.544927,8.977343,-0.29916698,-2.3897104,-0.13401857,-4.145518,2.70724
12,26.640556,-4.6994257,-7.1681123,-5.282675,11.294203,-0.17203166,-9.989569,23.451645,7.534354,-11.14514,1.7120433,8.977343,22.196226,-5.146575,-3.3923383,5.1085033,0.69165915,0.38290054
13,14.694749,-7.7241225,-8.731641,-6.103569,-3.7941604,-3.543699,-14.109283,-7.078523,-0.16016507,-3.9713728,-7.65298,-0.29916698,-5.146575,16.248484,2.183315,-6.111765,-1.4787261,5.3351727
14,-13.804374,5.9675198,-0.13179612,-4.884014,-17.390762,13.766464,-6.243189,-6.6688194,-8.567686,-4.5637064,-3.096926,-2.3897104,-3.3923383,2.183315,12.411822,2.909543,-0.47749427,-2.6506262
15,-11.379379,2.89163,5.94884,4.272709,1.1134777,3.5807514,3.9942107,5.9478245,0.57891035,-1.2972116,-10.427963,-0.13401857,5.1085033,-6.111765,2.909543,8.073632,-1.2479913,-1.6278715
16,-7.0487676,-11.474409,-0.06690848,-6.7188177,-2.2374923,-5.3632975,-1.1429551,-8.211137,-8.82503,-2.426642,-3.6181664,-4.145518,0.69165915,-1.4787261,-0.47749427,-1.2479913,16.3867,-6.430881
17,14.0395355,-4.953836,1.5370297,-1.139666,3.2462564,-4.762677,-3.3736906,3.4850855,6.2706156,0.596274,-2.6107905,2.70724,0.38290054,5.3351727,-2.6506262,-1.6278715,-6.430881,4.653039
