,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,390.04938,4.6522098,-8.439236,-2.5851135,-5.208711,-3.395627,5.0650387,-4.7193522,-1.0979552,2.8819785,-2.8385634,-1.5369022,1.83724,0.004845536,0.32910168,0.80306613,-1.0840633,-0.11323157,2.065345,-2.6305864,0.34136188,-1.180119,-2.3365686,0.5535296,-1.9789468,-0.7972139,-1.3818302,-1.4782414,3.0848823,0.24036302,0.5168203,0.6976652,0.09902021,-0.0826692,1.2886604,0.11955169,-0.6582685,-0.8133466,0.49619898,0.32248378,-0.776116,-0.54098177,-0.5410164,-0.6945865,1.0593851,-0.26707816,0.24294612,0.6024493,-1.3720925,-0.04892101,0.33403185,-0.27989465,-0.31224597,0.33176112,-0.77294445,-0.3396823
1,4.6522098,60.501812,26.414036,7.9050217,11.577875,-1.5583385,-12.9880295,-4.2998075,-5.306008,6.5273104,-15.969199,0.69451964,-15.268637,-2.3975527,1.9507482,4.9436417,-3.8027792,0.76033354,6.0997324,0.72962964,2.0664973,-4.2794256,-5.96773,3.021172,1.838278,1.077382,-4.308015,2.4087243,-1.3620539,-4.1857185,0.75865173,0.27224004,1.0676107,-0.37652943,0.113735914,-0.86915886,0.033471033,-0.011103962,-0.8529509,0.40323138,0.6886547,-0.9771266,-1.2540005,0.027734574,-1.1571167,-0.31165957,-0.76438856,-0.7008953,-0.46418947,0.13182238,-0.8048556,-0.85722375,-0.27141428,-0.16186482,0.5824704,-0.21255228
2,-8.439236,26.414036,55.310417,16.501373,-13.432304,6.349243,1.4891431,-10.9827385,-1.9430673,8.574154,-4.30952,-4.8275633,-0.9503002,-3.9432979,0.46994984,-0.90303785,-2.2152314,1.6164477,2.7226095,-0.05715264,-4.1911306,-0.9873555,-3.4511623,1.3323333,0.37127987,3.7048872,1.2632458,-1.0034499,3.101586,-1.4736903,-2.9234033,0.6667019,-1.2742305,1.685772,-2.8686604,0.41912574,-1.5821075,1.1542444,-1.0303726,0.3561892,-0.26454124,0.41969776,0.73797023,-0.5170342,-0.88768184,-0.9276836,-0.70230174,-0.60920167,-1.2529515,0.1686664,0.9294114,-0.756974,-0.5454236,-0.4786229,0.6764163,0.050876588
3,-2.5851135,7.9050217,16.501373,58.39858,-1.1179092,-20.32521,5.871808,-5.0783396,-3.7831616,-1.2077719,-2.4650652,-0.5407587,3.2716498,1.357616,7.144329,-0.8686834,4.0865602,-0.57966244,-0.7746603,1.4677768,0.046518996,-3.0548954,1.1289704,2.638011,-0.6864817,-2.617934,2.0994806,1.3384609,0.5473548,0.2428734,-0.31539866,1.467345,0.28696406,-0.6347364,-0.85251737,-0.41235465,-0.6137526,-2.4539418,-1.79212,-1.1566248,-1.5887761,0.29658592,-0.27994645,-0.21061626,1.746459,-0.73376584,-0.0015678804,-1.365622,-0.12791505,-0.9298589,0.0104874065,0.84206474,1.0374095,0.43155545,-0.059935346,-0.21414632
4,-5.208711,11.577875,-13.432304,-1.1179092,74.16569,-8.517343,6.3306046,-3.3101459,-6.0698657,-0.44714582,0.051368434,-2.6975632,-4.588657,-1.3230002,-3.5586815,0.25460118,0.39687115,-2.6958847,1.7564288,1.5407865,-1.7863761,0.63535786,-1.0792291,-0.73250294,-1.7004466,0.5275346,0.4685477,-2.0957432,1.2142881,-0.6623093,-0.29739308,-0.22115687,1.6883519,1.7519089,0.6147449,0.14274836,0.43972522,0.86417156,-0.043827705,0.09226401,0.29581577,-0.19862457,0.060057297,-0.36339548,0.25035602,-0.7926704,-0.24727741,-0.56168807,-0.33606613,0.14398873,0.04759949,-0.4529866,-0.018264156,0.5953431,0.15296069,-0.030282581
5,-3.395627,-1.5583385,6.349243,-20.32521,-8.517343,22.707722,3.888056,-8.32942,-0.78304803,-0.3113993,1.5785289,2.0020943,-0.6059327,-3.0313368,2.6668506,2.6540642,-1.9297523,-3.5551906,-0.86168545,2.076127,1.1850152,0.14163518,-2.560659,-3.2640655,1.0810983,1.0273926,0.4966818,-0.3761782,-0.5414871,-0.6412486,-1.609714,-1.5513742,0.66018784,0.7141075,0.10767369,1.4057136,0.25995713,0.32793552,1.0096114,0.34285206,0.50803304,0.49274457,0.15364268,0.24673548,-0.40505224,-0.9449371,0.8590322,0.9604355,0.033035398,-0.10920541,0.4614998,-0.46404734,-0.06423463,-0.07980463,0.10564706,0.26874995
6,5.0650387,-12.9880295,1.4891431,5.871808,6.3306046,3.888056,39.410645,5.567661,-1.7286756,3.849122,-0.66532505,2.7054086,3.6472278,-2.9056597,0.84961677,-2.179636,-0.14048435,-1.3200271,-0.5675564,-0.18244895,0.090300165,-1.3460473,-0.58543146,-3.488862,2.106792,0.868857,0.65008545,0.94935143,-0.7282733,0.4963685,-1.6471667,-1.2782953,-0.9122126,-1.4067035,-1.0120898,-0.4483195,-0.4364456,0.27972403,0.0058313906,-0.634122,0.51043594,0.387106,0.028738368,0.2223976,-1.2451651,-0.025109256,0.34362173,-0.38849515,0.39154345,-0.4972466,-0.007547821,0.22721925,-0.12434819,-0.26527703,-0.18042758,-0.033833116
7,-4.7193522,-4.2998075,-10.9827385,-5.0783396,-3.3101459,-8.32942,5.567661,31.694384,3.5141835,2.9460816,-1.2500682,-2.9688144,-2.0175147,4.473411,2.1415548,3.5126672,-2.2013083,4.3138876,0.37165135,1.54281,-0.30278805,0.47446418,0.2179541,0.9079716,-0.45070913,0.7672108,-2.5434377,1.6656744,0.6694981,0.3668442,-1.0086191,0.62095267,0.011158295,0.09507209,-1.1161363,0.4763506,-1.8808452,0.018797345,-0.3370277,-0.0152222365,-0.04502568,-0.29501885,0.031501826,0.58089244,-0.09363372,-0.2613867,0.5904262,-0.36526555,-0.40792918,0.3741433,-0.011075141,-0.13148153,-0.19140318,-0.6352055,0.052848276,-0.38221765
8,-1.0979552,-5.306008,-1.9430673,-3.7831616,-6.0698657,-0.78304803,-1.7286756,3.5141835,13.879148,2.1506705,-5.123172,-0.37549233,-1.8638082,1.4999833,-2.6794548,-1.9293141,5.1192136,-0.63054514,-2.661487,2.651913,-2.5951023,-0.84619695,-0.0985937,-3.5542216,-2.4878788,0.50780094,-0.17115454,0.5169365,0.77922,0.7991048,0.019051168,0.41375107,-1.0238571,0.18307519,-0.680488,-0.6966095,1.8005562,-0.1332637,-0.22935109,-0.49512306,-0.7061279,0.3450384,0.14964563,-0.65937674,-0.20360494,0.3309067,-0.32071477,0.61370397,-0.16814218,-0.1465168,0.1380851,-0.22887263,0.08502311,0.009425357,-0.2971385,-0.13561854
9,2.8819785,6.5273104,8.574154,-1.2077719,-0.44714582,-0.3113993,3.849122,2.9460816,2.1506705,26.512241,3.7067246,2.5064583,-4.8217244,-1.589658,-0.6370914,1.9379742,-0.043284565,1.1633095,-1.5349897,0.13577464,-2.2519383,0.49274448,1.6764908,1.1472714,1.1476712,-2.8850255,1.224647,1.0215752,1.5396652,-1.4338143,0.43367946,-0.26507634,-0.23653655,1.4700644,-0.19571373,-0.8563208,1.3423898,0.6614963,0.49954978,0.07677345,0.7831491,-0.13450465,0.1379135,-0.44477051,0.3500089,0.3604551,-0.6725735,0.3214673,0.75239336,0.6498011,-0.36354366,0.19559658,0.2936052,0.07783146,0.32201055,-0.3998056
