,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,417.7792,-7.4799356,1.5406226,-11.351442,-8.975096,-3.5943148,7.800921,-0.04054431,8.513622,-2.8650975,-2.39005,-3.4740732,-0.9227837,-1.8865474,0.67859644,-0.854964,1.3294187,0.7465457,-0.56061673,0.17404856,0.64753366,0.30217737,-0.85723335,0.024602294,-0.1021305,0.38696966,-0.3016408,-0.0048600878,0.4763949,0.51181924,0.3241772,-0.23911218,0.049055927,0.54520726,0.044294454,0.28705078,-0.26167533,0.10181903,0.20435503,0.31489265,0.26952717,-0.05880166,-0.108389825,0.097722106,0.0026801722,-0.0006048437,-0.121667296,0.22327137,-0.011472027,-0.09339226,0.05083479,-0.08934152,0.11155725,-0.032228798,-0.2619946,-0.114331536,-0.07382559,0.07543959,-0.0040957024,-0.06808659,-0.20565844,-0.14331675,0.023474611,-0.049233604,0.17026475,-0.16752864,0.12126233,-0.08777337,0.05494818,0.035568766,-0.074080266,0.03616158,-0.02604232,-0.020966412,-0.06814659,-0.0013266352,-0.0332297,0.081695765,-0.03699431,0.0002826769,0.007902391,0.06594908
1,-7.4799356,103.44998,-6.513953,-2.954281,0.39058122,-6.95905,9.383699,1.5393093,4.7565994,0.83506334,-1.3770456,-4.2263374,1.4246564,-2.2421489,2.5182414,0.4454684,1.0878946,0.16484958,1.1586318,-0.916072,1.7134626,0.28338188,-0.6622963,-1.3396066,-0.8212397,0.6891318,-0.5897784,1.5697464,0.78241956,-0.16475251,-0.121551394,0.80829227,0.36860538,0.3778208,-0.06908628,0.5810197,-0.06956129,-0.73438764,0.7323475,0.12510942,0.25569773,-0.89408314,0.3249914,0.114536166,0.17807204,-0.04530551,0.10554994,0.28617185,0.26107076,-0.21762607,0.90200317,-0.27618456,0.036057923,0.17715701,0.15875258,0.012313515,-0.3303188,0.35375404,0.11345714,-0.2619763,-0.22334155,-0.06893177,0.0041450956,-0.12348461,0.6064781,-0.10564867,-0.017998312,-0.5915947,-0.09788009,0.7529769,0.07540538,-0.013826735,0.35771215,-0.29934037,-0.10293593,-0.26969543,-0.04213974,0.017773423,0.123165175,0.057991136,0.0150641,-0.21982723
2,1.5406226,-6.513953,85.446144,3.119402,5.9292603,-0.77448463,1.3749893,-0.28177834,-0.9683292,1.8261635,1.0556221,-0.5076369,2.2809696,-0.5025705,1.065229,-0.6734217,0.5590489,-0.5033913,1.4164279,-0.38008496,0.75839865,-0.7109939,-0.20702268,-1.1438304,-0.96300495,0.23205805,-1.190527,1.5676633,0.8513312,-0.68059963,-0.3143385,0.22685798,0.17217433,0.3672335,-0.5225437,0.1626822,-0.47382325,-0.32128847,0.13356268,-0.28861192,-0.006230576,0.15757692,0.2785956,-0.3608112,0.20203662,-0.11021008,0.28588706,-0.02033738,0.14724363,0.020746874,0.2702419,-0.32917625,0.01284017,-0.07052837,0.045131028,-0.08159848,-0.21369395,0.35362807,0.25236383,-0.14057723,-0.1376855,0.05229576,0.1821203,-0.063859895,0.24752721,0.047412023,-0.16854906,-0.28208604,-0.030236434,0.4990059,0.14558493,-0.17466763,0.22536622,-0.108814955,-0.020330273,-0.28365764,-0.07797715,-0.14761989,-0.014708055,-0.046128035,-0.07867336,-0.21635836
3,-11.351442,-2.954281,3.119402,35.04189,-11.637874,-4.9342546,9.107554,1.1629697,2.545835,-1.2247565,0.07236193,-4.4063153,-0.5494059,-0.7623644,-1.366169,-2.6463044,-0.97751194,0.20220076,-0.20437098,0.11949279,0.654078,-0.28871965,0.25648963,0.9719553,0.6542506,-1.2383447,0.06284958,0.48198158,0.3027052,0.8697841,0.6300396,-1.4183617,0.011649702,1.3761714,-1.0070356,-0.6252017,0.36642885,0.46530813,-0.9849264,0.19286269,0.043635927,1.0858773,-0.32676306,-0.46073708,0.010917336,0.66474736,0.6938951,-0.9285141,-0.13935545,0.23220369,-0.9286051,-0.14120638,0.4933744,-0.09142747,-0.054308947,-0.17657965,0.0060254317,-0.06513954,0.5982568,0.0670362,-0.19792676,0.05255574,-0.048587926,0.056128956,-0.49659753,0.13124418,-0.12394194,0.15306497,0.046416894,0.022891179,0.09166787,0.17058992,-0.07286349,0.011617672,0.11915863,-0.18112066,-0.08888252,-0.14902906,-0.19619398,-0.041845515,-0.30968738,0.025943456
4,-8.975096,0.39058122,5.9292603,-11.637874,35.724625,-2.7682772,5.2100677,3.1245916,5.693864,-2.1231794,-0.73386514,-1.1241956,-0.93262994,-1.1251962,0.4843974,-0.03361309,-0.34190276,0.38353986,-1.8073297,-0.50709295,-1.092282,0.5345364,-0.48627007,0.9022408,1.0687673,0.01551532,-0.33668193,-1.4531376,-1.395169,0.993458,0.5543351,-0.27900112,-0.6381779,-0.1375213,0.5234716,0.042802412,0.16497862,0.9050762,-0.15541346,0.42295235,0.21768883,-0.10211674,-0.18825155,0.1497863,-0.26555395,0.033346154,-0.15795264,-0.12361735,0.07652986,0.06771389,-0.09506191,0.0829293,-0.10182233,-0.07273112,0.25640866,-0.5035236,0.03527818,-0.39686534,0.09909373,-0.03556319,0.06603175,-0.13743699,-0.041543823,0.26578236,-0.22383647,0.072824426,0.09285402,0.3372544,-0.13153024,-0.36869556,-0.25442287,-0.04182592,-0.21440801,0.21035348,0.07832188,0.24901828,0.20073986,0.19404921,-0.08423704,-0.026454011,0.08194811,0.06441702
5,-3.5943148,-6.95905,-0.77448463,-4.9342546,-2.7682772,32.5272,1.8545713,4.548418,-0.34610158,1.6107055,0.30147526,-1.6302061,-0.17765155,-0.28790587,1.2027717,-2.0385728,0.25210637,-0.14259696,1.4344647,-0.52894795,0.62728214,-0.10254797,-0.0011732671,1.5823972,0.23549685,1.4392525,1.7784824,0.42023307,0.22678144,0.77000046,-0.067145824,-0.07147999,-0.4132887,0.4168095,0.95296,0.59530485,-0.065450124,-0.31517136,0.47036803,0.7373335,0.28426367,-0.9376692,-0.24962099,0.30338937,-0.43079752,-0.38100797,0.58606213,0.16811699,-0.26593903,0.2655899,0.33099824,-0.19628629,0.20368886,0.45248362,0.15317598,0.011105427,0.24791273,0.14060418,0.063062094,-0.45067626,-0.15240768,0.19374509,-0.11293361,-0.177294,-0.049198322,-0.06270968,0.1284372,-0.026465937,-0.18029916,0.17619392,-0.044459,0.17703995,0.032005325,-0.12098846,0.103316076,0.12999445,0.23320766,0.32656756,0.20560974,0.27020723,-0.1304073,-0.0004050878
6,7.800921,9.383699,1.3749893,9.107554,5.2100677,1.8545713,25.216093,0.5043014,-3.9854302,0.9657904,2.3295212,1.8007569,-0.23541337,1.5768487,-0.13307488,-2.3552132,-0.47426358,-0.61068505,0.32196862,-0.64205563,0.1411662,-1.0190419,0.6655036,1.6391344,-0.35503057,1.3191662,0.078492925,-0.3138293,0.42282766,0.048165716,-0.23864107,-0.11225301,0.12713878,0.19380578,0.50646955,-0.32890117,-0.30225077,-0.067088835,0.16898361,-0.15938076,-0.3169483,0.36337072,0.01978552,0.15715188,0.06430864,-0.39318427,0.16374362,0.05166238,-0.54354024,-0.2871913,-0.03370636,-0.14914319,0.20295072,-0.14583877,0.21030715,0.07157786,0.022595964,0.11931391,-0.36953494,0.016434206,-0.059941195,-0.035811156,-0.051270135,-0.16405222,0.12320578,-0.044842474,0.09969801,0.3532137,0.03071409,-0.055716146,-0.35018972,-0.13593529,-0.17786695,0.10883245,-0.12477964,0.14023939,-0.008535383,-0.06827202,0.078519374,-0.14498079,-0.15999497,0.26687437
7,-0.04054431,1.5393093,-0.28177834,1.1629697,3.1245916,4.548418,0.5043014,25.41662,1.4443846,-2.8813486,-2.3981674,0.9015283,-0.32162952,-1.021162,-1.3679788,1.1627121,1.7902966,0.95890033,-0.33125365,1.1436229,0.5533142,0.27522752,-0.11776019,-0.7264772,-0.37424368,-0.4135539,-0.6012453,0.44519836,0.7458048,-0.5725,-0.11600948,-0.42666262,0.615005,-0.26665884,-0.5592041,-0.027950825,-0.5244982,-0.42387998,0.2312203,-0.2802236,-0.17992342,0.8461235,-0.03264636,-0.123912945,0.28674585,0.16166972,-0.16374013,0.06926505,-0.1216716,0.21520841,-0.19823045,0.08243639,-0.20308775,-0.25360864,-0.4756273,0.30572683,0.14761028,0.15721002,0.08687989,0.0100837,0.07371422,0.048589677,0.28033775,0.008306557,-0.034761645,0.0940039,0.049954202,0.057278752,0.20178157,-0.03995827,0.16853291,-0.15759295,0.030378073,0.05448387,-0.07658509,-0.0023619307,-0.1351147,-0.13321716,-0.0037485436,-0.10086715,-0.07930027,0.13099384
8,8.513622,4.7565994,-0.9683292,2.545835,5.693864,-0.34610158,-3.9854302,1.4443846,17.083057,0.96321166,2.974255,0.6013516,0.316959,1.9875779,-0.76995087,0.3295102,-1.4573413,-1.1057887,0.5778454,-0.21393219,-0.29054016,0.19652049,1.1039321,-0.17676035,0.3337538,-1.0518036,0.3784142,0.057072055,-0.66788816,-0.044638693,-0.19891784,0.20141518,-0.39611736,0.21035235,-0.116679385,-0.30176306,0.8602959,0.033369377,-0.5435951,0.22441958,0.24591404,0.056390014,-0.08898568,-0.29179078,-0.008967644,0.34683517,0.104451805,-0.6374749,0.056022353,0.4071607,-0.41201222,0.11305204,0.15676203,0.3855844,0.33264306,0.14920592,0.06280798,-0.033985153,0.05769311,-0.18842886,0.16673331,0.026796728,-0.21492334,0.14857882,-0.55689406,0.105556585,-0.07404561,0.17337418,-0.14279628,0.014034252,0.01996256,0.20995653,-0.031773143,-0.14123222,0.21733245,-0.089376815,0.08944819,0.0043455334,0.06520231,0.2205747,-0.045112982,0.05454869
9,-2.8650975,0.83506334,1.8261635,-1.2247565,-2.1231794,1.6107055,0.9657904,-2.8813486,0.96321166,18.955225,-1.0496595,-0.8107015,-0.5945015,-1.0018291,-1.1411816,0.7899379,2.0547824,0.11211145,-0.6942191,0.75988865,0.55961114,0.614859,-0.2173797,-0.16278371,-0.14974637,-0.27361417,-1.359175,-0.07332399,-0.022344057,-0.13397065,-0.68421155,0.7620828,0.2402898,0.38685858,0.12991922,0.44306076,-0.07041371,-0.0020445124,0.013403653,0.6481647,0.28267002,0.5064618,0.05399295,0.15598905,0.21958326,0.3356952,-0.2981658,0.14869568,-0.3264915,0.29276577,-0.19858068,0.23708618,-0.3078214,-0.25634173,-0.050539076,0.25000694,-0.002740379,-0.07375411,-0.54618,-0.3428716,0.08392507,-0.41469187,0.082276255,0.10270843,-0.09053153,-0.10077365,0.38857687,0.17990275,0.035886813,0.034005105,-0.35481384,0.024495725,-0.14130008,-0.056274388,0.061444215,0.05477994,0.0266909,0.15646587,0.018492639,0.079488754,0.039417468,0.31459567
