,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,421.61237,-7.430387,38.996376,-47.248703,-20.63433,37.511223,10.777903,-3.2040505,25.130302,-2.9620428,-1.8930352,0.80111957,-4.563661,-3.0238485,4.526367,2.7752237,-3.0588048,7.710148,-12.519793,2.4304087,-2.9233503,-3.8035355,-6.527603,6.0899696,-1.5842218,-1.4917328,0.35505193,-5.3117366,0.8230419,3.6733623,-2.742288,-1.6665632,3.104674,-3.9072394,-5.3659773,-2.3464174,-2.1826007,-3.642592,2.0253677,2.1867752,0.70792305,-1.8035536,-3.8459039,0.25053462,-0.6977479,1.9559808,-0.8997998,1.8064325,-1.5427716,-3.1184843,0.01724286,-1.733326,0.011499857,0.7461871,-1.0651937,-1.5961614,1.0555842,-2.5061007,-1.3259759,0.8306805,-0.48864725,-0.6388545,0.51604116,0.9874736,-0.0038689417,-1.6033564,2.073387,1.6668992,-1.1761208,0.13268325,-1.7585514,-0.28511763,0.9521301,-1.653834,0.00015730876,-0.051224202,0.36314106,-0.86711985,0.82778645,-0.39802116
1,-7.430387,32.229992,-30.102932,5.8093834,-24.641079,-18.904581,2.4710193,-2.1755965,-2.8518605,-2.9762626,-1.6537272,2.8421547,-5.3140745,1.1405497,-0.49647206,3.993474,-2.527192,0.20570618,-2.3276844,-0.91917634,2.0316133,2.112378,-3.398129,1.3493557,1.903193,-1.3508122,1.4559021,0.6372013,1.2248541,2.695754,-0.1453863,-1.8744681,0.64505744,0.19458699,-0.28185576,-1.0741477,0.44449604,-1.164303,-1.6931586,-0.33811337,-0.67391324,-1.3662323,-0.8138949,-0.55523777,-0.097091556,-0.077226974,-0.5995766,-0.64431095,-0.17461014,-0.80682814,-0.92066205,-1.0556836,0.51136684,0.48239797,0.51882577,0.047139663,0.3314106,-1.1484144,0.8294023,1.1429584,-0.2592605,0.576583,-0.11446437,-0.31244057,0.26237804,-0.16191196,0.5917146,-0.36008275,0.18500528,-0.66878486,-0.13972062,-0.14241797,0.00493372,-0.2769192,0.017497955,0.19829968,-0.27741322,-0.13283704,0.40588605,-0.39624625
2,38.996376,-30.102932,89.16954,-43.65226,18.548912,5.5944557,-17.84531,20.137856,-13.379192,1.9830959,0.23436567,-7.230159,6.2607174,-2.129818,-1.5297782,-0.3361869,-0.417125,1.9604793,0.53481174,0.07763777,-2.0559278,0.5218785,2.1786168,-4.571252,-0.03373278,0.7792076,-0.59497553,-0.18905783,0.11417803,0.0030666962,0.7511679,0.71435344,-0.5042687,0.29856074,0.63947606,0.5830115,-0.13090196,-0.8901223,-0.8134166,0.25029665,0.54565215,-0.89249957,1.0897144,0.06551117,0.28569606,-0.57981336,-0.042699546,-0.29572272,0.6691927,0.5652168,-0.6907573,-0.05377329,0.9777366,-0.24220514,0.7876196,-0.36337152,-0.667755,-0.36746722,-0.65452445,-0.5767823,0.29480997,-0.68396187,-0.5274199,0.20916215,0.14337265,0.4517389,-0.22777456,-0.012705592,0.83473015,-0.48713595,1.2816691,0.08001993,-0.4768259,0.012692294,-0.050230876,-0.5545949,0.24663922,-0.22750176,0.03070264,-0.15991211
3,-47.248703,5.8093834,-43.65226,63.8496,-6.8023176,29.419285,4.6608677,2.8653855,-4.4123497,3.5598516,3.4714055,8.061056,0.50157607,2.0762792,-1.8531357,-0.4123127,1.0402768,1.3121934,-1.1017932,0.13031276,0.37489513,0.768788,0.24633831,0.6903037,0.3938421,2.7170691,1.6289155,-0.3231945,0.84414756,-1.1616044,-0.7174396,1.1041882,0.09441612,-1.7458988,-0.80427486,-1.26464,-0.7847177,-0.15242487,1.0244526,-1.0575852,0.33412847,0.2721597,-0.95103025,-0.90579325,0.6180103,0.9973001,-1.224822,0.27598304,-0.28735492,1.2782891,-0.013017878,-0.47284797,-0.5531428,0.44850236,0.09962189,0.6118956,0.27346152,-0.4075358,0.033813942,0.73538554,0.08952676,0.79305,0.6414736,-0.07827467,-0.16745389,0.037420653,-0.061457686,-0.41749245,0.16676581,0.16794026,-0.3064031,0.0018047532,0.44429055,0.30457228,0.5144528,-0.161306,0.0061708232,-0.029453833,-0.21336249,0.25168335
4,-20.63433,-24.641079,18.548912,-6.8023176,49.374626,-0.83790106,5.077963,2.7039464,3.6155992,-5.86821,-2.1060162,-0.67816114,-1.8650246,0.83094275,0.15537994,-6.623747,6.0897408,2.5076365,1.0238495,-1.0532584,0.9519689,3.6507668,2.1444173,1.5741425,-1.8290527,3.4186525,-1.6153148,-1.1778274,2.6605198,-4.2129555,-0.11196965,2.098012,-1.6747379,-1.684183,-1.057301,-0.31988144,-1.1989882,0.7223383,1.6718148,-0.17572778,0.5098368,0.11625901,0.67232955,-0.42072797,-0.43087593,0.9417118,-0.6616261,1.5258495,0.38340756,0.30334747,0.74970365,0.16122812,-1.6366222,0.9226651,0.057422806,0.35565913,0.13473174,1.2340479,0.74545586,-0.31000215,-0.33132827,-0.53812104,0.5132835,-0.67811316,-0.0710689,-0.27138618,-0.48277622,-0.09031525,-0.3681513,0.33682242,-0.35235888,0.06152117,0.09290768,0.06267352,0.13415995,0.064609334,0.29607704,0.1281476,-0.65036535,0.5849856
5,37.511223,-18.904581,5.5944557,29.419285,-0.83790106,51.64409,-1.4705468,3.1752193,2.763181,0.5859063,-0.058523197,-1.4918551,2.691938,-0.5646057,-1.2162112,-2.934744,0.74285376,0.8989972,1.9777269,-1.6015499,-2.264925,-0.43753245,0.85657835,-2.9972615,1.3185534,-0.50767374,-1.940252,-1.3505864,-0.71094346,-0.9081123,0.89597964,-0.14814259,-0.5425257,0.17070371,-0.2867439,0.16516438,-1.5581454,0.06447458,0.21677285,-1.6807959,-0.7785734,0.64867365,-0.5724982,-0.0944667,-0.25812563,-0.5352135,-0.2617924,-0.6713542,-0.36104938,1.263933,-0.03209785,0.07596504,-0.0034154458,-0.75679445,-0.4812774,0.30834988,0.24768287,-0.23190251,-0.7432453,-0.20469347,0.36047602,0.84402394,-0.07077655,0.554838,-0.1997593,0.21228674,-0.10017043,-0.20340657,-0.150243,0.1619037,0.41537136,-0.060585454,0.2325886,0.40894145,0.28933173,-0.08612202,-0.08968779,0.0039654695,-0.07709456,-0.051013518
6,10.777903,2.4710193,-17.84531,4.6608677,5.077963,-1.4705468,40.41463,-0.289608,-2.4452262,-4.75449,-4.2171392,-0.09242728,-0.56922096,0.8771941,4.519598,1.9772598,-5.9183483,6.352545,-1.036555,2.9575753,-3.267507,2.3214068,2.8309448,0.97194743,1.383086,0.68280697,-0.47586972,0.95926124,-1.3490198,-2.3542366,-0.34696865,0.01170117,-0.88253963,1.5216479,-0.3973122,0.8502052,-1.03604,-1.5488563,-0.43200952,-0.48399,-0.13020563,-0.97034395,0.5441472,0.28500724,-0.25767034,-0.20282996,0.075158454,0.4088426,-0.18341137,0.08860857,0.6226729,0.15730646,-0.94393593,-0.039182972,-0.9285827,-0.84546196,0.4500134,0.3527919,-0.103894174,-1.0989687,0.0043902285,-0.49831313,-0.42619833,0.084086314,-0.77125204,-0.13529748,0.22911996,0.907174,-0.64727056,0.087225996,0.1049695,-0.05772601,-0.12124877,-0.14842275,-0.79580474,0.13196641,0.6262696,0.031605385,-0.29324085,0.06773102
7,-3.2040505,-2.1755965,20.137856,2.8653855,2.7039464,3.1752193,-0.289608,26.592052,-12.2570915,-3.1730762,1.1113238,4.8127766,2.018179,-5.4584293,-4.491103,6.2504535,-1.4004084,-0.9343204,1.7700979,-1.9163215,-2.0043154,3.2140317,-0.04941596,0.6653955,1.6599331,1.1410456,1.1032087,1.8502762,-1.1468549,0.15352234,-1.1395717,-0.3130914,0.5562005,0.6216278,-0.99434865,-0.930133,-1.157695,-0.6571387,-0.3566726,0.28596,0.43497354,-0.22349094,-0.4965359,-0.40531427,0.3272399,0.53931916,-1.1522506,0.4340989,0.10678601,-0.21720445,-0.06544509,-0.4059417,-0.1557818,1.3633857,0.18509565,0.10745478,0.13163209,-0.20365015,-0.3413812,0.17793505,0.097307906,-0.3995672,0.23319358,-0.09240766,-0.24892563,-0.048963476,0.31973678,-0.27721113,-0.3111972,0.23858657,-0.47731373,0.2031778,0.1134196,-0.11431269,0.10764651,0.32240468,0.17880958,-0.063213475,-0.04169336,0.28452298
8,25.130302,-2.8518605,-13.379192,-4.4123497,3.6155992,2.763181,-2.4452262,-12.2570915,20.151278,-0.9749501,-1.9233987,-0.26987514,0.50349396,-3.9798408,3.6330323,-2.0189767,5.675441,-1.3288945,2.796533,0.17079008,2.964908,0.9375507,-1.0626676,0.24864915,0.97886634,-2.627582,-0.4255458,-0.31335664,-1.7750559,0.3767353,0.28667933,1.0699314,0.22544771,-0.26044583,-0.12509984,-0.36618203,1.0135732,0.6093483,0.5187874,-0.4792999,-0.18104857,1.1999028,-0.008274888,-0.13043752,-0.4663404,-0.027675167,-0.04057552,-0.09214621,-0.05670297,-0.634434,0.4565585,0.14347188,-0.3469085,0.3191967,-0.7896242,0.5125129,0.46126205,0.45570982,0.37890977,-0.13194361,-0.23279467,0.05102388,0.31068438,-0.10371277,0.15954697,-0.18588984,-0.053369705,0.15412645,-0.46834356,0.16775069,-0.5183229,0.059576146,-0.010325702,-0.20032564,0.19469348,0.19925487,-0.05286289,0.07641646,-0.075524315,0.14422967
9,-2.9620428,-2.9762626,1.9830959,3.5598516,-5.86821,0.5859063,-4.75449,-3.1730762,-0.9749501,24.83721,5.0586023,-5.7083807,1.4892099,-2.0971158,0.72565645,4.805413,0.43797955,3.2915225,-0.4927719,4.3399825,-1.068454,-0.17821899,-0.9499774,0.26926732,-2.8480005,1.1868689,-0.8602486,-0.37912878,-0.8501867,-1.3607574,-0.53073967,1.525349,1.0611159,-0.453871,-1.160393,0.15365638,0.09073477,-0.49919093,0.97319514,0.6681138,0.11197198,-0.6021054,0.65342605,0.31095052,0.04738912,0.33727068,0.53678715,-0.11977074,0.36895847,0.7099418,0.25334632,-0.4799019,-0.5092487,-0.2603947,0.27222478,0.0966678,0.19536035,0.62410635,0.87257725,0.24470069,-0.6330078,0.32471633,-0.042223398,-0.053382576,0.28681928,0.39674598,-0.33990327,-0.13314283,-0.104741335,-0.0058258115,0.21612653,-0.061075687,-0.20298202,-0.27227336,0.076190665,0.1814945,-0.41888934,0.42562553,-0.03776962,0.22514915
