,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.2267892,-0.0036586747,-0.033066977,0.33082962,0.029376552,0.25032037,0.057773042,0.052264273,-0.038608514,-0.17531559,-0.29692104,0.05693326,0.06614804,-0.021499477,0.06386137,-0.003030675,-0.0009703886,0.0048059425,-0.09063758,-0.066315085,0.23225965,0.05334807,-0.024661161,0.10722205,-0.07240426,0.1337782,-0.0675081
1,-0.0036586747,0.07814524,-0.08603817,-0.12505361,0.07174496,-0.15623176,0.02077234,0.07015295,-0.038687594,0.011163618,0.043859206,0.005454952,0.05038798,0.042371023,0.028348578,-0.089630134,-0.0797965,-0.0072338055,0.046827577,-0.023370555,-0.054336764,-0.026567878,-0.005211097,0.022995034,0.010600757,0.05818409,-0.021323152
2,-0.033066977,-0.08603817,0.43935633,0.2331166,-0.43079042,0.28398514,-0.13716081,-0.095862165,0.15699467,-0.063580975,0.13762756,-0.03563173,0.059430752,-0.08912524,-0.07270238,0.13474646,0.059200227,0.15442307,-0.12878248,0.04952053,-0.0031210152,0.13706438,0.08060256,-0.012368085,0.008333701,-0.054784536,0.022939991
3,0.33082962,-0.12505361,0.2331166,1.5128164,0.21656829,1.1517843,0.7170751,0.31373197,-0.13148129,-0.21154991,-0.32170224,-0.17833874,-0.05184844,-0.36533403,0.13971801,0.048724577,0.072307065,0.062342845,-0.26086348,-0.21286431,0.47664934,0.25420544,0.014481746,0.012565458,-0.05673137,0.3635462,-0.31034154
4,0.029376552,0.07174496,-0.43079042,0.21656829,1.5132968,0.17807613,0.48911172,0.39798635,-0.5918207,0.06780336,-0.25695437,-0.010548031,-0.36450344,-0.28546804,-0.11917327,-0.20220256,0.012327418,-0.10630849,0.35921893,-0.3388545,0.012677057,-0.079501614,0.08238194,0.09688209,0.22690219,0.20363402,-0.06829493
5,0.25032037,-0.15623176,0.28398514,1.1517843,0.17807613,1.3741724,0.46976966,-0.09055373,-0.13068461,-0.28851277,-0.42463106,0.05051201,0.07857211,-0.37108985,-0.17936637,0.12911862,0.278996,0.17826846,-0.23485711,-0.104699805,0.43575722,0.32344738,0.10633834,0.0004249945,-0.05197552,0.24434541,-0.35145077
6,0.057773042,0.02077234,-0.13716081,0.7170751,0.48911172,0.46976966,1.5838377,0.1880332,-0.12183125,-0.1774458,-0.15862966,-0.3366294,-0.20684716,-0.39747047,0.06700146,-0.27257144,-0.10850374,0.031568177,0.12222305,-0.32506466,0.27697784,-0.12270001,-0.11283043,0.027196925,0.018011551,0.3767924,-0.41498622
7,0.052264273,0.07015295,-0.095862165,0.31373197,0.39798635,-0.09055373,0.1880332,1.0684241,-0.20445037,0.14361978,0.16330318,-0.20663133,-0.24218956,-0.07846476,0.20447096,-0.04524803,-0.043253172,0.00025066384,0.09539832,-0.097220644,0.09850067,-0.09003031,-0.0058474215,-0.037047286,0.08362088,0.14429238,-0.0071106507
8,-0.038608514,-0.038687594,0.15699467,-0.13148129,-0.5918207,-0.13068461,-0.12183125,-0.20445037,0.57941777,-0.238868,0.10682556,-0.070042975,-0.076492965,0.16655415,0.16803145,0.10923619,-0.012269516,-0.04558293,-0.14390224,0.05723218,0.004981531,0.007948785,-0.06705602,0.1350834,0.05749599,-0.13749519,0.00014922838
9,-0.17531559,0.011163618,-0.063580975,-0.21154991,0.06780336,-0.28851277,-0.1774458,0.14361978,-0.238868,0.98172796,0.5382229,0.17031753,0.2313649,-0.2378707,0.13786629,-0.05009079,-0.090783365,-0.1563581,0.019573864,0.23213059,-0.21973461,0.12603277,0.12803203,-0.2645778,-0.0598958,-0.19262195,0.094077915
