,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,297.58624,40.010002,-56.469498,14.194088,-16.144005,1.4235497,-1.1032419,5.8924127,-2.287376,-7.1892023,-10.676096,-4.6055527,-5.686178,-2.3896265,5.081585,2.7117121,-3.7555864,10.660593,-4.4787436,9.207733,-11.238379,-4.851893,-1.1775076,-0.31111968,5.256406,0.40336096,-4.7060328,-3.6308556,0.6806912,-4.221075,-2.5994596,0.64431924,0.9305225,0.07340427,-2.2890935,2.6730676,1.3260689,-0.74109674,-0.75600314,3.4176338e-07
1,40.010002,76.84636,-33.66767,-24.082802,1.4032376,20.129845,-7.163974,8.323891,6.218096,7.4763126,6.5990586,10.138853,-1.0663662,5.635253,13.48885,-3.1032436,2.5709748,1.0435846,4.429041,-1.2542722,4.18799,-1.22206,-1.6504403,-2.9044962,-0.4915977,2.4329832,-1.8951185,7.024537,5.262274,1.2170546,-1.5770956,-1.7408923,-2.0063896,0.29471067,-0.7870818,1.6219795,-0.07287139,-0.24182075,-0.86194324,-2.689228e-07
2,-56.469498,-33.66767,59.80021,10.681967,-9.708075,-12.594899,11.21205,-4.158311,-0.65347266,-2.33885,-0.6706862,-3.8247337,0.5304491,3.9587064,-4.631673,0.5831518,3.0334406,-7.3283877,-12.277166,0.77962005,2.1423218,1.7471507,1.4763027,-2.5390415,-0.3057928,2.2834744,-1.859415,0.01964359,-1.4124963,-4.117282,0.04563254,-1.2944525,-0.30566227,-1.5466725,-0.15385348,1.4645754,-0.30691624,-0.78326076,-1.3009704,-6.052884e-09
3,14.194088,-24.082802,10.681967,72.831955,-25.25367,-9.393755,-3.8729906,-7.781436,-9.715076,-16.901524,-0.44252136,-9.319136,-7.7023783,3.1080797,-3.133948,-12.12051,-1.1334497,2.7960382,3.1633122,-0.10123409,5.040964,1.9742622,-3.0016766,2.3760428,1.284235,0.130407,1.4833323,-1.9344945,2.3322492,-0.13515009,-1.8891687,-0.6131053,0.96434426,-0.8168851,1.1229596,-0.097929426,-0.13436472,0.38535088,-0.39026153,1.8577923e-07
4,-16.144005,1.4032376,-9.708075,-25.25367,43.16192,-7.0266104,-3.1834233,-1.6795299,6.5778933,7.108961,-1.4739221,4.222559,-5.499586,-2.2681696,-2.0315511,2.9705782,-7.344248,0.24506351,3.4909306,-0.12258978,-3.6562746,4.7413597,2.1836572,1.9288293,0.97900856,1.2500546,2.8728833,3.0942063,-0.5965439,-2.6048622,-2.250278,2.4046245,1.7914207,-0.24048048,-0.27682635,-1.3042306,0.33269298,-0.28785884,-0.14104223,1.4655502e-08
5,1.4235497,20.129845,-12.594899,-9.393755,-7.0266104,38.97288,-4.607597,-2.075399,7.454316,1.1191458,2.1388006,-9.0236845,-1.9160409,-2.0399358,9.009836,7.1536922,0.3268041,-4.209916,3.444377,0.9473175,4.3685246,0.031340167,-0.586578,-2.2882214,-1.2610818,2.3801246,1.735932,-2.6133366,-0.9590987,1.6710941,0.4454196,-2.168247,1.0940318,0.5403443,1.0773185,0.84565157,-0.0037792763,0.6216072,-0.12702125,1.6388483e-09
6,-1.1032419,-7.163974,11.21205,-3.8729906,-3.1834233,-4.607597,31.16409,12.910567,5.16527,-0.036928907,1.4988563,2.2971036,-5.7787433,-0.8584293,-1.2763726,2.8502102,0.24804482,2.7198138,-6.5660915,-0.30682993,0.35870096,-2.229,0.8512695,-2.9301205,1.342969,0.8724076,2.6298072,-2.4292922,1.1869094,1.7996033,-1.6589698,0.49419212,-1.1031177,-1.7003366,0.6716243,-0.71301365,0.100296974,0.13059744,0.13536903,5.82678e-08
7,5.8924127,8.323891,-4.158311,-7.781436,-1.6795299,-2.075399,12.910567,25.29084,-8.638947,-1.9046333,8.047667,0.95570934,2.6181955,1.9473629,-0.6342968,5.431277,1.1351979,1.9922776,1.1499455,-3.099608,1.6131036,-1.3538458,0.81417596,0.5447325,3.1750765,-1.1597804,2.3003862,1.2570279,0.1735808,0.67864734,0.04935313,-0.4692902,0.24718225,-1.5570784,-0.7894479,0.6146608,0.9135127,-0.5817712,0.13042697,6.265164e-08
8,-2.287376,6.218096,-0.65347266,-9.715076,6.5778933,7.454316,5.16527,-8.638947,30.228031,7.0861735,-4.119359,-6.183979,-3.0941796,1.1862617,2.0141509,-0.8830757,1.5015318,4.0093355,-1.4239565,2.0178223,3.1172233,-0.9221481,-0.51389277,0.43870813,0.18873385,0.05830928,-1.3780998,-0.22180888,0.93730307,-0.63832617,0.8393228,1.9360918,-0.6175533,-1.8651559,1.3726158,-1.0201807,-0.023269067,-0.84740674,-0.15513387,1.6399759e-09
9,-7.1892023,7.4763126,-2.33885,-16.901524,7.108961,1.1191458,-0.036928907,-1.9046333,7.0861735,15.528952,3.4494271,0.048195913,0.59122175,-0.62112755,-3.3599877,-2.4106762,-1.6721348,-1.0109906,-1.2517396,1.832422,0.6612127,-5.2844815,-0.3127964,0.49549204,-0.44496608,-1.5903633,0.13712135,1.0651281,-0.7738894,-0.32932824,-1.2231603,0.19980422,0.24521694,1.1823065,0.19341674,0.99313277,-0.72683775,-0.20894653,0.014954077,-2.481748e-07
