,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,109.08345,-39.841293,56.43157,-14.249981,16.055492,-1.3532557,1.0712421,-5.678746,2.1920938,7.0586777,10.730205,4.4529057,5.701082,2.3824127,-5.038264,-2.7130337,3.6857233,-10.634235,4.486512,-9.25332,11.254287,4.7885766,1.3442699,0.3225295,-5.2089586,-0.37202513,4.652609,3.6199548,-0.67311853,4.213277,2.646349,-0.5226713,-0.90985984,-0.051424935,2.270515,-2.7287202,-1.4861529,0.77917445,0.6789017,4.3412122e-08
1,-39.841293,221.14587,33.83989,24.339767,-0.995867,-20.453184,7.3117094,-9.30611,-5.77894,-6.875641,-6.848262,-9.434971,0.9978003,-5.6017685,-13.688627,3.1105483,-2.250567,-1.1653823,-4.4651685,1.4642282,-4.261483,1.5135398,0.88327944,2.8516402,0.27356002,-2.5770135,2.14117,-6.9742727,-5.2973404,-1.1813675,1.3613021,1.1812844,1.9114313,-0.39556998,0.87260085,-1.3659518,0.8090229,0.066712305,1.2165844,1.508829e-07
2,56.43157,33.83989,159.13545,-10.73814,9.617102,12.666557,-11.244907,4.376708,0.5563215,2.2052178,0.72632504,3.668429,-0.5150858,-3.9661145,4.676075,-0.584424,-3.1048474,7.355258,12.285076,-0.826249,-2.1260066,-1.8119453,-1.3057022,2.550742,0.35427272,-2.2513952,1.8046613,-0.030710071,1.4203051,4.109316,0.0023532258,1.4188533,0.3267789,1.5691229,0.13486812,-1.5214748,0.14324147,0.8221671,1.2221315,1.236858e-06
3,-14.249981,24.339767,-10.73814,85.7426,25.118948,9.500642,3.8240218,8.1062565,9.569629,16.702888,0.52476597,9.086254,7.724742,-3.1191578,3.200117,12.117926,1.0275425,-2.7556787,-3.1513476,0.031692095,-5.01657,-2.0706692,3.2554235,-2.3585672,-1.2121662,-0.08280108,-1.5646257,1.9178592,-2.3206892,0.12339217,1.9605176,0.79818267,-0.93292725,0.85022366,-1.1512439,0.013254562,-0.10909663,-0.327443,0.27296937,-1.3805031e-06
4,16.055492,-0.995867,9.617102,25.118948,69.31157,7.195977,3.105829,2.194519,-6.808013,-7.4240236,1.6045082,-4.591484,5.5353928,2.2508073,2.1363118,-2.974356,7.176223,-0.18123123,-3.4720259,0.012529837,3.6948223,-4.8941984,-1.7814357,-1.90113,-0.8646758,-1.1745522,-3.0018759,-3.1205344,0.6149099,2.5861206,2.3633957,-2.1112432,-1.7416298,0.2933579,0.23200043,1.1700108,-0.71863616,0.3796471,-0.044900764,-1.8429317e-07
5,-1.3532557,-20.453184,12.666557,9.500642,7.195977,52.495464,4.669032,1.667056,-7.2717485,-0.869395,-2.2423913,9.316219,1.8875663,2.0538347,-9.092884,-7.1506853,-0.19358397,4.1592665,-3.4593997,-0.8600285,-4.3990765,0.089829236,0.26764834,2.2662435,1.1704156,-2.4400077,-1.6336545,2.6342354,0.9445368,-1.656268,-0.5351234,1.9356103,-1.1335161,-0.58227795,-1.04177,-0.7392132,0.30981225,-0.6944071,0.27445608,9.705463e-08
6,1.0712421,7.3117094,-11.244907,3.8240218,3.105829,4.669032,35.130074,-12.723949,-5.2487726,-0.07730185,-1.4515214,-2.430823,5.791721,0.8520986,1.3143789,-2.851638,-0.308947,-2.696641,6.572982,0.26692498,-0.34472007,2.1736264,-0.7054603,2.9401784,-1.3015475,-0.84505355,-2.676569,2.4197388,-1.1802399,-1.8063874,1.6999863,-0.38785458,1.1211784,1.7195021,-0.6878784,0.66435635,-0.2401933,-0.097321406,-0.20277119,-7.3337475e-07
7,-5.678746,-9.30611,4.376708,8.1062565,2.194519,1.667056,-12.723949,30.650517,9.193641,2.6635833,-8.362511,-0.066552706,-2.7047114,-1.9050715,0.38196307,-5.422137,-0.7304324,-2.1460686,-1.1955063,3.3648548,-1.7060302,1.7220907,-1.7834373,-0.6114955,-3.4505458,0.97780573,-1.9896064,-1.1935964,-0.21788235,-0.6335267,-0.32195002,-0.23767951,-0.36713442,1.4296703,0.89747715,-0.29122788,0.016492903,0.36056197,0.31760946,1.5216719e-07
8,2.1920938,-5.77894,0.5563215,9.569629,-6.808013,-7.2717485,-5.2487726,9.193641,24.481382,-7.4255342,4.2601137,5.786437,3.1328304,-1.2051834,-1.901296,0.8788817,-1.682431,-3.9405687,1.4443811,-2.1364403,-3.075635,0.7575172,0.9472369,-0.4088704,-0.065599084,0.023047905,1.2391812,0.19342357,-0.9174912,0.61816645,-0.7174378,-1.6200151,0.6711924,1.9221158,-1.4209152,0.87557924,-0.39252502,0.94631815,-0.045181297,-3.8779984e-07
9,7.0586777,-6.875641,2.2052178,16.702888,-7.4240236,-0.869395,-0.07730185,2.6635833,-7.4255342,30.350424,-3.2568483,-0.5920718,-0.5383215,0.59527385,3.5144143,2.4050665,1.4245675,1.1050537,1.2796173,-1.994663,-0.6043732,5.059252,0.9056839,-0.45462775,0.6134604,1.7016747,-0.3272332,-1.1039449,0.80100167,0.30172426,1.3899164,0.23263952,-0.17183925,-1.1043775,-0.25948447,-1.1909821,0.15796396,0.34425598,-0.28901297,-6.000728e-08
