,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,1216.3264,-185.22002,-80.27186,110.15544,-35.746677,-24.285156,11.900019,53.473984,-8.056915,18.258516,5.559659,20.353596,26.170551,16.88863,5.554123,3.2218885,-28.24863,6.0027947,8.717661,20.146055,-12.770523,-3.5860238,-7.8276243,-9.947952,-15.56633,6.646162,-7.2974367,9.3590145,-5.835991,-3.5560186,1.407175,4.5896006,1.3345816,-2.1492004,-18.330679,4.6243134,-9.194294,-3.4732132,-0.77110404,-0.20687443,-3.1147485,0.19191243,4.068927,-4.867853,2.8758762,2.190527,4.995653,-0.9104141,3.0243475,-0.25750113,0.37002712,-2.082955,1.7762864,0.075938076,2.696344,5.517388,-6.6664157,1.8622806,0.7738,-0.73540384,3.368042,-2.8993835,5.7375574,-1.5835581,-2.8210297,0.85392493,0.25504947,1.099082,-1.4210818,-1.8006158,-0.16008234,-1.1333985,1.0526881,0.6469548
1,-185.22002,100.80565,-25.057032,-20.279457,1.2020211,-4.7022095,-2.8885844,-10.31575,-11.986576,-16.39156,5.3222885,-8.357845,-9.587772,-3.5738907,5.6022058,2.956018,1.6776812,-2.3972678,0.9130465,-1.7448525,4.6655016,2.5591724,-3.2291028,-0.8492945,-4.5530148,-0.055308655,-0.3969257,3.0968919,-1.8258377,0.08294393,-1.0043502,0.9628104,4.1670322,4.167692,2.070716,0.27220875,2.8196764,2.2055209,-0.3124139,-0.23117244,0.46269533,-0.5581864,1.0337306,2.278749,-1.9073126,0.6935475,-0.38085264,-0.31839022,-0.63191986,-1.494693,-1.4761095,-0.32641807,-0.37376848,-0.19539243,-0.37710422,0.019222537,0.103176266,1.156682,0.1372146,0.29046428,0.036862113,-0.16155285,0.9619682,-0.13665593,-0.24014127,0.68635434,-0.33200172,1.2773986,-0.27845228,-0.34368914,0.8843037,1.0914898,-1.3774296,-0.2719776
2,-80.27186,-25.057032,82.78568,11.346308,-4.75656,7.053012,0.8402994,8.125152,9.737143,4.588209,2.6298416,-4.047352,-1.784825,-1.475971,-3.0114682,-2.834261,6.2113137,0.8154987,-1.1852844,-3.8864002,1.2167991,-0.84575164,0.6998622,6.4894066,2.360493,-1.1871693,-2.3392882,-2.2169619,2.612935,-1.9761367,-2.0505896,-4.7838097,-1.9655886,-3.027615,1.0206544,1.169584,-2.059094,-0.32407016,-1.364891,-1.7854016,0.6605432,0.8439679,-2.7600596,-0.6859124,-1.0477095,-0.5434723,-0.024950735,1.4387237,-0.4283197,0.54222417,1.0603025,0.76113385,-0.64872086,-0.94128644,1.1140348,-0.9755726,1.3485365,-0.9485891,0.44746774,0.84252524,-1.7278595,-0.58538383,-1.1709716,1.6007183,0.68854845,-0.3443332,0.20015311,-0.87456775,0.50587225,0.08212149,0.41292092,1.2856162,0.4405238,-0.24220072
3,110.15544,-20.279457,11.346308,52.853004,-9.805481,5.3122,3.059309,5.9178777,4.3266335,-2.548223,-6.1554356,1.3888476,-1.3826876,5.110759,2.0832312,-1.3646824,-3.504405,3.9385843,-1.1173694,4.7982264,-3.2546027,-2.2972286,-1.5766513,2.6492062,2.458044,-2.5101335,-0.6190816,0.5009054,0.19175932,-2.1379175,-0.5614414,0.037161194,0.0015693877,-2.4150457,-2.0895658,0.8112503,-0.95016956,0.7654476,0.36113966,0.18658605,0.27677912,-0.21912396,-2.2615461,-0.23192717,0.041566305,-0.3576495,-0.072401874,1.2559655,-0.7918581,0.06190764,-0.21143079,-0.23554963,0.06684725,1.1821127,-0.09743919,0.94450533,-0.8312172,-0.6874461,0.66333926,1.102099,-1.1653166,-0.65900683,0.61102456,0.14211488,-0.17479041,1.4569225,-0.12060463,0.14153612,0.49807814,-0.60081375,0.76840794,1.1959314,-0.38203114,0.010315495
4,-35.746677,1.2020211,-4.75656,-9.805481,16.534979,-1.9036523,0.77960765,-1.4648137,1.0375726,0.30402339,-1.1063997,2.7608657,-0.055192422,-2.657237,0.5715949,-1.9768083,1.0062265,-0.14614837,-3.2239947,1.7241597,2.2728128,0.48468167,-0.16461071,-0.82804596,2.1434739,-1.4462199,-0.39084023,-0.40428433,0.38092804,1.6765244,0.63889074,-1.0246465,-0.42277944,1.8765125,0.5875156,0.3918082,-0.018059649,-1.4136858,0.78005296,-0.053981107,-0.33733988,0.66377354,0.6180298,0.26972786,0.42491877,0.38549942,-0.30580884,-0.22090343,0.62343144,0.23023853,0.3335172,0.44894648,0.11479034,-0.30067927,-0.020395353,-0.11695383,0.4013241,-0.37533548,-0.59779793,0.018035386,0.35077333,-0.3232617,-0.59160984,-0.19299576,0.19727206,-0.6106306,-0.15540563,-0.34995884,0.12550673,0.5781123,0.063607186,-0.61200607,-0.5719062,0.23685205
5,-24.285156,-4.7022095,7.053012,5.3122,-1.9036523,11.916899,4.415863,-0.24315396,1.4663186,-0.6694762,0.5415921,-0.8299061,0.5620718,2.6646814,0.62232625,-0.041163832,2.0352223,1.3208824,-0.16259152,-1.0062109,-1.1314406,0.55440557,2.5267234,1.464675,0.54515624,0.7335903,0.56411237,0.097827524,-0.08800134,-0.16294663,0.38529533,-0.9944775,-0.2009775,0.10092914,0.22781444,1.171318,-0.8074529,0.55144215,-0.54123634,0.57466495,-0.24542207,-0.10863742,-1.2143942,-0.13562046,-0.18855676,-1.693002,-0.46645015,-0.24538186,-0.16866426,0.6083677,0.09382486,-0.10770858,0.025726248,0.7549764,-0.7786707,-0.2447044,0.402094,-0.41147175,0.05365877,0.16947666,-0.4280563,0.3409177,-0.383231,-0.048559573,0.17285353,-0.20341523,0.06369299,-0.31755644,0.18752974,0.62057114,0.011523948,0.30220717,0.2739743,-0.48911768
6,11.900019,-2.8885844,0.8402994,3.059309,0.77960765,4.415863,12.760046,-1.2294655,0.4182098,-2.9530966,-0.028884742,-3.8370886,0.69529563,3.112554,-0.93737674,-0.7380153,0.7977919,0.63743937,-0.12586293,0.012161435,0.6699865,0.7107233,0.033270203,-0.8442588,-0.43461376,-1.1286687,-0.7185552,-0.4446361,-0.16308671,-0.261576,0.9152013,-0.785721,-0.5981277,-0.06720437,-0.00013372328,0.8562127,-0.3827324,-0.6622957,-0.5780045,0.09931615,-0.47801182,-0.21013644,0.7890394,-0.6491881,0.23723656,-0.57296777,-0.21700743,-0.12204002,-0.08035653,-0.51872087,0.6234418,-0.7623004,-0.2698738,0.27366966,-0.6369356,-0.413743,-0.056974836,-0.4522527,-0.23909369,0.554916,-0.13545553,-0.092662856,-0.052216165,-0.077874064,-0.07191682,-0.11504711,0.61452854,0.1441238,-0.27202135,0.3354667,0.5955073,0.39698523,0.20816064,-0.15873021
7,53.473984,-10.31575,8.125152,5.9178777,-1.4648137,-0.24315396,-1.2294655,11.591372,-0.30967662,-0.6229992,1.6125691,-1.1563908,-0.106974944,-0.63349426,0.8038173,-0.64507705,0.71522176,-0.9986111,0.41307402,0.060656007,0.73954797,-0.9229084,-1.1184773,0.11440563,-1.848256,-0.122815415,-0.1796669,0.5428177,0.0041576237,0.15936919,-0.79782057,-1.5548698,0.48443878,0.4370666,-0.71948504,1.3047101,-1.6390104,0.065932065,0.82076025,-0.020813849,0.13475157,-0.39967164,0.18810695,-1.2947273,0.32563338,0.15595886,0.75538325,-0.16309638,0.3838017,0.508363,0.17391396,0.6265334,0.40521598,-0.18163738,0.772515,0.047036715,-0.22705966,-0.2310743,-0.00406837,0.33752498,0.015510358,-0.26911217,-0.11486365,0.44376662,-0.12387197,0.24936052,0.06489773,-0.5488553,-0.12052427,-0.22955391,0.17717253,-0.25295758,-0.16208984,-0.0007999121
8,-8.056915,-11.986576,9.737143,4.3266335,1.0375726,1.4663186,0.4182098,-0.30967662,13.693221,4.5776463,-3.1893172,2.8596978,1.0741084,-2.722112,-2.6164212,-0.5139456,-0.9984412,1.6361983,-0.1395362,0.38391316,-0.5783329,0.84405345,-0.64499044,2.7337844,2.5479703,-0.7677543,-1.555192,-2.0124335,0.8148388,-1.2032988,-0.98025024,0.19464587,0.8367489,1.3189255,-1.081299,-0.38761306,0.33719414,-0.8132872,0.3059801,0.20282844,0.118880205,0.65645087,-0.7434357,0.42931336,0.2465254,-0.6954218,-0.46426898,0.5959065,0.39144704,-0.23886743,-0.54455113,-0.08462313,0.22109622,0.29838163,-0.111858904,-0.2583717,0.29897755,-0.68345,-0.26881325,0.28214484,0.11097582,-0.3680207,-0.11619894,0.27661896,-0.19751287,-0.31282339,0.27351147,-0.26222968,0.21680206,-0.08445855,-0.18832825,0.008121581,0.07053471,0.63444394
9,18.258516,-16.39156,4.588209,-2.548223,0.30402339,-0.6694762,-2.9530966,-0.6229992,4.5776463,14.566034,-0.36512834,0.94623315,3.3454115,-0.097785816,-1.0890071,-0.8235224,-0.8947971,-0.62949586,-0.38639933,-1.7936965,-0.8833815,0.36071664,0.79174304,1.9098234,1.3139696,1.8345683,-0.01634966,0.6966888,-0.97855496,0.018650051,-0.6871207,0.22608079,-0.35763946,-0.56079483,0.009253567,-0.70646775,-0.3205198,0.4450982,0.21672028,-0.41242656,-0.98620075,-0.22155598,-0.3592795,-0.3026563,-0.20459804,-0.113772325,-0.7949672,0.28137738,0.5088302,-0.18983102,-0.2625854,0.89549243,-0.16046226,0.29540396,0.24413899,-0.26974708,-0.44215092,0.7892089,0.18060553,-0.3274606,0.6382236,-0.39033145,-0.084708974,0.029629324,0.27757066,-0.018272724,-0.19149828,-0.23865113,0.42968392,0.0203428,-0.5537394,0.1595712,0.13976537,0.4406599
