,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,561.19946,-42.686424,27.577604,-7.013383,31.882786,11.269268,29.238482,-0.5741024,5.3280673,11.550029,-22.75204,20.289938,-35.024944,7.261387,-0.91932833,-5.7029824,-6.0518885,0.13104397,-9.422093,4.437928,-5.1818843,2.689879,-2.1823769,-3.4751592,-3.6740222,-0.79010075,2.218765,5.1714144,-2.5212982,6.806979,1.2942321,-2.9148278,-0.769386,2.4444063,-1.2821265,0.8362163,-2.8136759,-1.8432708,-1.4692985,2.4425237,0.85556746,3.4887195,-0.8752698,1.7767057,0.3421325,0.5316441,-0.6762374,-1.1072252e-06
1,-42.686424,252.34167,31.236631,-5.9443417,-9.690437,-8.636267,10.582415,-13.168029,-12.046032,0.53081214,1.5686145,7.0607624,-5.00323,-3.6765683,-4.4570055,10.481808,1.9747425,-7.9915037,12.491519,0.84923506,-2.109226,4.354888,-1.0661297,-2.1469488,1.4941659,5.5227466,3.4565892,3.887154,0.21079592,2.249754,2.1057901,-4.928222,0.16395637,-2.171864,-1.2860401,-0.11351025,0.6839394,-0.7367977,-2.4955602,0.9986818,-1.0674872,0.20897487,-1.9346118,0.071276695,0.27601266,-0.75535977,-0.027884115,2.1365565e-07
2,27.577604,31.236631,53.98314,27.43748,17.635265,5.301771,2.324995,6.5575447,0.8065765,-10.174058,7.0539446,-4.6177506,-5.023893,-2.9672503,4.5200787,-0.6589803,-1.4142067,-6.2901673,-0.9638524,0.5446296,-1.2563062,0.9534663,-0.30820692,2.6163983,-1.0535773,-0.25150236,1.3413098,1.8806238,-0.11651579,-3.166543,0.6433944,0.05874163,1.1980036,-1.1178842,-1.1422464,-0.6792631,0.44197443,-1.3008018,0.2936401,0.19191554,0.1202885,0.08123599,-0.0010866951,0.25045776,0.19146217,0.24447986,0.57941324,-7.232227e-07
3,-7.013383,-5.9443417,27.43748,49.239655,-6.6934533,22.359646,-9.97402,-7.699955,1.4220909,3.445078,7.9117494,-4.346979,-5.103133,-3.591963,4.514348,-3.8178678,0.5836254,-1.8118863,-0.32893622,-3.0218482,1.0855668,1.7999233,0.64909625,0.9525169,0.8932396,-0.19234818,-0.23315474,-0.098300286,-1.6207209,-0.20646718,-1.3655938,1.4900736,0.0034106504,-0.07006474,-0.5812683,-0.0685792,-1.1982566,-1.130335,-0.30563396,-0.48399025,0.896727,0.19182491,0.055289075,0.54845095,-0.30852622,0.31063545,0.17719774,-7.861024e-07
4,31.882786,-9.690437,17.635265,-6.6934533,55.08998,-8.591095,-4.849265,4.1531496,-12.104561,1.6190456,4.179368,-4.798253,-1.533411,5.5388465,-1.3643061,3.4763174,-2.851593,-2.1837544,-1.8044047,-1.1056879,3.232893,1.3825293,-1.3103161,2.7430706,-1.244479,0.5231144,-1.8328267,-2.3548107,1.5931283,-0.6190329,1.1342791,-0.15007156,0.8088823,-0.90071255,1.1980882,0.6005589,1.3482788,1.3358097,0.14053771,-0.4676731,-0.3713597,0.45522842,0.09069012,-0.40246934,0.18517071,-0.7630377,0.6421658,-4.7118573e-07
5,11.269268,-8.636267,5.301771,22.359646,-8.591095,49.904232,7.4543314,-4.2564564,-6.489921,1.2209482,1.2842093,6.3141527,4.9519987,-0.33011663,1.1875994,3.6144013,-2.6840096,3.9717388,-2.3717952,0.35041583,0.09607983,-1.0451453,-2.106652,0.14837798,2.176042,-0.59686184,-0.09985739,-1.5423126,0.7785242,-0.40051478,0.13312271,-0.32781684,-0.31489664,-0.75706315,-0.12737283,-0.19686413,0.18962209,1.1158755,-0.841123,0.05519164,-0.38326812,-0.1528751,0.16689359,0.01769311,0.26645583,-0.49420992,0.8790018,-5.9631134e-07
6,29.238482,10.582415,2.324995,-9.97402,-4.849265,7.4543314,26.327051,13.060091,3.5917563,-1.7702203,1.611995,2.0533764,-1.0492704,-4.1095915,-5.5852485,1.0966369,-2.3159356,1.6002634,2.2943945,-0.047463316,1.6397288,-0.6060758,-0.46066457,0.006654678,1.7746782,-0.91150415,0.24043116,-0.37807024,0.6323768,-0.7662121,-1.1333935,0.61704606,-0.89388335,-0.56371075,0.026658101,-0.42106402,0.71144474,-0.1612491,0.10179302,0.45361984,-0.38172424,-0.54245925,0.120438315,0.051837727,0.6179007,-0.39399645,-0.03497242,1.0108454e-07
7,-0.5741024,-13.168029,6.5575447,-7.699955,4.1531496,-4.2564564,13.060091,23.784412,-0.11208844,-4.4341183,1.1100559,-1.7444266,1.7003702,-5.067416,5.76236,-1.8195956,1.5145936,-0.121094085,0.92393637,-0.17294371,0.5192324,1.15599,-0.17197904,0.5799656,1.6932957,-1.3648155,1.2978919,-1.5986266,1.8428864,0.06116397,0.09243063,0.29300368,-0.18010525,-0.018209482,0.039801717,-0.09602046,0.4788279,0.27391425,-0.257742,0.0873192,0.033576936,-0.046350885,0.3978564,-0.22627816,-0.44704735,-0.4543082,-0.8234067,7.684637e-08
8,5.3280673,-12.046032,0.8065765,1.4220909,-12.104561,-6.489921,3.5917563,-0.11208844,28.06494,2.229999,5.1155057,-3.0639691,-2.7120042,0.5095115,-0.5427277,1.7795478,-1.3937203,-0.8659229,-0.597662,0.19806305,-0.46788472,-0.22976372,-1.5500208,1.0273113,0.18489179,0.52099276,1.1735613,0.6345644,0.24534574,-0.8700414,0.4557659,-1.4836121,0.97806203,-0.063737676,0.5250411,-0.13563606,0.21358453,1.0942076,-0.036150485,0.7367847,-0.021996658,0.06652574,-0.2204756,0.095235094,-0.6471665,0.8444093,0.59010994,8.77654e-07
9,11.550029,0.53081214,-10.174058,3.445078,1.6190456,1.2209482,-1.7702203,-4.4341183,2.229999,17.777477,-2.3333144,0.93336487,-1.8384725,-0.869887,-2.0083325,1.1807919,0.13190511,-1.5942141,0.9489841,-0.018251065,2.6338243,4.0855813,-0.29825437,1.1858735,2.0719347,1.5655134,0.78129524,-3.0059304,-0.51102537,0.14753942,-0.9436214,0.7266388,-0.32577917,-0.39450574,1.249912,0.37578887,-0.54730713,0.7231096,-0.11665355,-0.30786857,0.39133805,0.37852037,-0.40063292,0.118616864,-0.89195216,-0.23356217,-0.4290584,-2.7984363e-08
10,-22.75204,1.5686145,7.0539446,7.9117494,4.179368,1.2842093,1.611995,1.1100559,5.1155057,-2.3333144,17.35988,-0.24249639,-2.550201,3.9913635,-0.16240934,2.842154,0.8266718,1.1569501,2.1075814,-1.0061433,1.2532439,-0.49106878,0.7854482,-1.3965359,0.10982482,-1.785071,-1.4205215,-1.2893007,-0.081873946,0.10942416,-1.2869034,-0.08161539,0.24275434,1.4567137,1.1426191,0.7293742,1.5081723,-0.21708456,-0.29062754,0.49810404,0.14713985,0.5539774,-0.023088291,0.055158447,0.2884792,-0.009685123,-0.4997923,4.5469494e-07
11,20.289938,7.0607624,-4.6177506,-4.346979,-4.798253,6.3141527,2.0533764,-1.7444266,-3.0639691,0.93336487,-0.24249639,13.121417,1.1103389,2.2205696,0.45224002,-0.6648346,1.4069448,-1.3283896,1.1854825,-0.6771718,-2.4155607,0.62577504,0.87666655,1.0074227,-0.46171558,-2.0632563,-0.6546153,0.16505629,-0.69604015,-1.4890838,0.09112695,-1.1451619,-0.08543126,0.8944274,0.74124867,0.23226878,1.150865,0.6038578,0.69286764,0.2069414,-0.17184237,0.41946757,-0.094942436,-0.65418327,-0.6099374,0.33647916,-0.48076403,1.10108855e-08
12,-35.024944,-5.00323,-5.023893,-5.103133,-1.533411,4.9519987,-1.0492704,1.7003702,-2.7120042,-1.8384725,-2.550201,1.1103389,11.207005,-0.33808106,0.12706289,0.22550869,-3.543806,-2.0666869,-2.6306925,0.4686771,1.2846597,1.1817222,-0.56875724,0.27490324,0.81887674,-0.6463988,0.572016,0.52720904,0.9930829,-0.6418306,0.42409146,-0.6838024,1.0589991,0.4589465,-0.22534573,0.23941365,0.82119536,0.04722298,-0.2775362,0.6965547,0.14266637,0.3169096,-0.33080387,0.07784793,0.071614124,0.267394,-0.15234238,9.0668394e-08
13,7.261387,-3.6765683,-2.9672503,-3.591963,5.5388465,-0.33011663,-4.1095915,-5.067416,0.5095115,-0.869887,3.9913635,2.2205696,-0.33808106,9.690594,1.3290664,-0.3450747,-1.8004432,-0.18503511,0.95576966,1.1821668,-0.044963665,-1.0953918,-0.45973316,-2.6437836,-0.16003636,0.20980343,0.4551493,0.52592057,0.07555697,-1.0581743,-0.42941982,0.25349444,-0.5418315,0.61953336,0.42081165,-0.78882325,0.64724076,1.2242761,-0.30283293,0.75393987,-0.48657566,-0.0584772,-0.12336513,-0.020355098,-0.04098524,-0.3796002,0.07039356,2.0896945e-07
14,-0.91932833,-4.4570055,4.5200787,4.514348,-1.3643061,1.1875994,-5.5852485,5.76236,-0.5427277,-2.0083325,-0.16240934,0.45224002,0.12706289,1.3290664,10.904764,-0.79097575,1.2236295,0.5977153,0.8640919,0.8007122,-2.1895719,1.3895969,0.3393157,-0.7144334,0.22110565,0.6000634,1.8812361,-0.45536488,1.6163356,0.4840066,0.982112,-0.6700305,-0.8014205,0.491642,-0.20593685,-0.16844645,-0.5937834,1.1133041,0.085372776,0.020974755,0.1214675,0.39326108,-0.24835113,-0.03789454,-0.3491012,0.13680959,-0.42885247,1.8852733e-09
15,-5.7029824,10.481808,-0.6589803,-3.8178678,3.4763174,3.6144013,1.0966369,-1.8195956,1.7795478,1.1807919,2.842154,-0.6648346,0.22550869,-0.3450747,-0.79097575,11.745144,1.4544616,2.550409,-2.715657,1.7038267,1.3105525,-0.5646701,0.81118804,0.7034513,-1.4196936,-0.44317615,1.5113612,-0.20562774,0.6914345,-0.396452,0.94288355,-0.9070105,-0.35741755,-0.042580545,0.41026247,0.3544517,-0.7435296,0.16173273,0.55572057,-0.2710024,-0.04659892,0.5810753,-0.29258355,0.11689848,0.06879029,-0.31627232,-0.26834545,4.3652213e-07
