,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,156.78186,-15.5329895,20.29597,19.62791,-9.019934,11.059312,5.1308594,0.85199606,9.475627,-0.3987587,7.688552,-6.3198023,11.186573,-3.791198,2.208219,-3.0474346,-7.567822,-2.3315063,3.8806229,6.018689,-5.129551,-1.0983367,-1.1875198,7.8778343,-2.8955803,-1.845774,-1.5422583,-0.4103856,-1.8405132,0.105128706,4.2606115,-0.75809646,-1.2993921,1.7230299,1.1408079,-1.2606981,0.46772724,-0.4630381,2.5307722,-0.49701637,-0.947168,-1.2825453,-2.1001725,-0.20430818,-1.3074982,-1.0969187,-0.7921718,-0.6990241,1.6090298,0.10849856,-0.3421492
1,-15.5329895,133.37486,1.5161923,-3.9617915,-3.5829036,-2.1371527,3.0017154,-0.5162322,-2.5681288,-3.7241154,0.3731229,-2.9857225,4.4038258,0.5070156,1.8746021,-0.9237484,-0.4973947,1.8155189,-0.5522145,0.22785893,0.91277814,0.10612543,-0.2512202,0.6680573,-1.414634,-0.08564334,-1.0788007,-0.23758325,0.5888153,-0.5594498,1.3041234,-0.034028407,-0.5849617,0.5665792,0.9138508,0.3820001,0.019443115,-0.31819123,-0.43223333,-0.4501387,-0.55471563,-0.5251585,-0.3252331,0.42611596,0.17327556,0.036074664,0.26758045,-0.02426415,0.4684242,-0.31569827,-0.33624768
2,20.29597,1.5161923,76.27031,5.439419,7.620701,0.87517303,-6.761162,2.379386,4.3142643,2.4075425,-2.4993324,2.8638024,-1.6211644,3.2701664,-4.4403462,-3.643044,-1.9059358,-0.6595327,-1.8258221,0.34974477,2.2483053,0.7222605,-0.37064654,0.641356,-1.0623782,-2.145477,0.9447925,1.306446,0.94601154,0.5623081,0.6358018,-0.81634545,0.74117327,1.581579,-1.2236238,-0.9745469,-0.5071767,0.09321034,-1.0609913,-0.33370388,-0.43292278,-1.0613248,-0.29207784,1.045457,1.4438043,0.32237434,-0.34712908,-0.08704914,-0.51523936,-0.071936294,-0.17189431
3,19.62791,-3.9617915,5.439419,81.22709,-4.443796,-0.5914936,4.971594,-3.4498966,-2.832313,-0.8253161,-0.791677,-2.1910715,1.347851,0.25019893,0.10421187,-0.68391144,-1.1753273,0.8790132,-0.08410883,-1.8033271,2.1792908,0.0794768,-0.62115693,-0.6594659,-0.09606446,1.3201454,-1.1099393,-0.09437858,0.7447212,-0.5360106,-0.789014,0.13962516,0.04108111,-0.5130689,1.1569254,1.184011,0.29647386,-0.14240554,-1.740727,0.5167718,0.5092168,0.892877,-0.17888896,0.43418562,-0.4717338,-0.39404374,0.14811827,-0.7405982,0.7550703,0.11506888,-0.12014819
4,-9.019934,-3.5829036,7.620701,-4.443796,65.50466,1.8664672,4.9184713,3.0818276,-0.10580546,-1.1864495,-0.80386376,-1.3568892,3.2566152,-1.7169957,-0.51975715,1.0845525,0.7472931,-1.9246483,0.8463121,-0.739479,0.26945543,-0.13228077,-0.26382554,0.12955293,-1.417141,1.5731204,-1.2174364,-0.9645873,1.5085733,0.24730386,0.12404934,1.2223896,0.5055853,-0.31061077,-0.1410529,1.0703534,-0.26246154,-0.45570013,0.0077471794,-0.58463275,0.4260764,0.6102118,-0.16513811,-0.2171722,-0.6570636,-0.2934488,-0.79521984,0.26884773,0.44002825,0.18616918,-0.1436438
5,11.059312,-2.1371527,0.87517303,-0.5914936,1.8664672,40.728382,4.3724065,-0.740716,-4.3621283,0.1645706,-1.1422524,-1.0161793,-2.060295,1.0392312,1.1952019,-0.44646013,0.69933677,2.1109626,-0.60243773,0.8965401,0.6874529,0.81293935,0.30382454,-0.7734815,0.37202626,-0.38504234,0.39859888,-0.7893603,0.17313498,-0.4810984,0.6772804,-0.007219814,0.020277629,-0.19384384,0.20441917,-0.47022748,0.14485833,-0.19257739,0.15443052,-0.3396924,0.0014357,0.10228892,0.34810627,-0.24476197,0.24035574,0.15000185,0.5097847,-0.10797767,-0.027439104,-0.1489762,-0.060489126
6,5.1308594,3.0017154,-6.761162,4.971594,4.9184713,4.3724065,30.54165,-0.7187269,3.6005201,-2.8842618,2.34685,1.6043947,-0.020639047,0.2920041,0.7285352,1.3298243,0.37757236,1.5248027,-0.6069243,-1.0803057,-0.94299084,0.57398045,-0.10899846,0.7843532,0.31383198,-0.13304356,0.4552763,0.6659763,-1.9313598,-0.33807105,-1.09267,-0.8766929,-0.3601712,-0.26232767,-0.7673329,0.09567223,-0.3632447,0.15319684,0.2978165,0.22961825,-0.076508746,-0.52174103,-0.44130024,0.12606478,0.5384434,0.4326227,-0.48240837,0.7688272,-0.38428825,-0.3257609,-0.30962336
7,0.85199606,-0.5162322,2.379386,-3.4498966,3.0818276,-0.740716,-0.7187269,28.343515,0.44825992,0.32383728,2.361093,-2.8842692,-0.90595746,0.107048444,-1.7064879,-0.0627242,0.088715225,2.555563,-0.21383855,-0.20765348,-1.099998,0.9601738,-2.1165519,0.67657006,1.8138876,-0.3704735,0.21276438,-0.8239428,0.07235621,-0.47836912,0.63808656,-0.62489957,-1.0174398,-0.8723514,0.017142903,0.30765027,-0.12870228,0.6894354,-0.24065006,0.09987906,-0.4200106,0.007932515,-0.645345,-0.4037494,-0.04692994,0.04181958,0.60237485,-0.521564,-0.25905755,0.6412098,0.60489756
8,9.475627,-2.5681288,4.3142643,-2.832313,-0.10580546,-4.3621283,3.6005201,0.44825992,22.872574,0.40494186,-0.6830491,-1.0228068,-0.008256835,0.0028537351,2.0088325,-0.5674179,0.41905248,1.6644081,0.3177128,0.15957752,0.8477229,0.020004068,1.2030442,-0.582899,0.6484835,0.94588196,-0.9228548,0.27650505,-0.10212377,-0.36687574,0.48750445,0.075090766,-0.6261503,-0.26828593,0.85128987,-0.42888057,-0.29083025,-0.37640747,-0.08275346,-0.1503062,0.12340938,0.19176799,0.6986164,-0.34740275,0.4518517,0.15370631,-0.11948037,0.15335931,0.24614844,-0.38125825,0.25966334
9,-0.3987587,-3.7241154,2.4075425,-0.8253161,-1.1864495,0.1645706,-2.8842618,0.32383728,0.40494186,22.541664,0.5319936,-0.45045215,2.029306,-0.7313,1.9555464,2.2887535,1.4080906,1.4271742,-1.0100814,-0.58434975,-0.5073445,-0.51728266,-0.14492272,-0.61815953,-1.0472052,-0.053326786,0.14411655,-0.23963133,-0.6649966,-0.2460726,-0.37523353,0.10762286,-0.1975297,0.47080922,0.5286089,0.4376614,0.08591272,0.22276704,0.010360663,0.07914449,-0.5091723,-0.41146812,-0.19285035,0.20397612,-0.14050825,0.13976866,0.36297816,0.13547392,-0.1593032,-0.33883795,-0.52010953
