,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,338.08032,-21.570093,-6.7492504,-12.362605,-0.6908655,-7.8968678,-8.159713,5.0403976,3.5603373,9.524073,-2.3859591,-7.194125,1.2653124,-2.815289,-3.0468266,-6.2068954,6.459408,3.5175052,-1.6530042,2.6975393,-11.103188,3.3890324,5.0998507,-6.9529767,-3.2278605,-0.73264897,-2.34101,-4.100509,-0.09416372,-0.5859101,3.1630416,1.4528158,-2.4980457,1.6031861,1.7914324,-2.1436403,-2.5175157,-0.8794824,1.9006424,-1.043673,1.6540151,0.46885985,0.90299535,-0.38178623,-0.02402217,-1.3807101,-0.435464,-0.6300138,-0.14482892,-1.0730546,0.18241428,0.9571978,-0.18703207,0.08778473,-0.5008838,-0.98086494,-0.9700872,0.07945444,-0.48066548,0.66440994,-0.26608986,-0.5063882,-0.506549,-0.32529175,-0.0024418659,-0.33700383,-0.26250583,0.062369823,-0.13796133,-0.28747857,-0.21469805,0.19273025,0.03728655,-0.07329007,-0.17408748,0.14740501,0.09265359,0.24643926,0.013661558,0.11802533,-0.44457677,0.12730473,0.07369359,-0.2662586,-0.020842638,0.049628817,-0.006681251,-0.15210834,0.0477404,0.13102205,0.058515687,0.123612985,0.099113315,-0.073902175,-0.025662232,0.04508157,0.03742367,-0.15931927,0.20735931,-0.08998945,0.07248713,0.054900143,-0.07434377,0.059728682,-0.004486111,0.080152705,0.034208212,-0.0798932,0.020098828,0.07295811,-0.21579103,-0.01344062,-0.08763681,0.0458913,-0.024792654,0.01383595,-0.05511143,-0.08224788,-0.09312929,-0.13412535,-0.041142136,0.10609938,-0.08452013,-0.0071587358,-0.09329425,0.02659978,0.047370553,-0.012905089,0.00068313367,0.030494388,0.03874004
1,-21.570093,46.40404,-4.6412673,1.371793,13.2476015,-11.928902,0.6314939,1.744522,0.15676665,2.2987142,2.2016296,-3.539108,2.0330274,0.44784686,3.9377294,-2.5028987,-0.63455,-1.4125409,-1.5416515,-0.23602809,-0.76396406,1.7332051,1.4920079,1.9485474,-1.2478507,-0.3773958,0.9015759,0.6119855,0.42280298,-0.8744574,0.8552696,0.92936844,-1.135033,-0.09504305,-0.48321927,0.040766954,0.53276074,0.88048935,1.4326279,-0.24414706,0.18490124,0.3072884,-0.11503448,-0.8103499,0.337878,0.061061397,-0.25682497,-0.27329952,-0.23354378,-0.1172988,-0.061448522,-0.690324,0.19682682,0.43721223,0.23849624,-0.6915772,-0.7663356,0.0057081534,-0.14099665,-0.29792178,0.1176624,0.22561944,0.13722801,-0.1199611,0.02953614,0.5855872,-0.44014394,-0.1744304,0.04030004,-0.34888887,-0.13808529,0.1506486,0.60877144,0.2961505,0.24152064,0.076801226,-0.007555099,0.15363045,0.32400423,-0.0730582,-0.18048617,0.15529588,0.05888581,-0.016105017,0.265073,-0.03426791,-0.055806406,0.42255253,0.19741254,-0.14886197,0.11981595,-0.1777418,-0.10557574,0.15794282,0.040030286,0.084817156,-0.08837092,-0.28251964,-0.1558694,-0.0632049,0.054804794,0.11794752,-0.21515563,0.11028789,-0.1317335,0.11673106,0.03841872,-0.20315838,-0.17695698,0.037040964,-0.34270155,-0.24983269,0.13555843,0.07192451,0.055025868,-0.3508562,0.024936557,0.081247166,-0.096412495,-0.007825291,0.0879052,-0.054709397,-0.019201886,0.0077839997,0.059617832,0.013966994,-0.06910839,-0.04430791,3.6838596e-06,0.019863017,0.051630232
2,-6.7492504,-4.6412673,61.000206,-0.27023178,-9.776632,4.614316,2.708293,-1.4685477,1.5627946,1.6297349,0.27487725,-0.055613644,-1.4660965,-0.15618932,-0.6409905,-1.3828282,-0.21435398,1.0866741,0.2663095,0.47278556,-1.2128017,1.9579699,-0.2541815,1.8312579,-0.4810441,-0.31438148,0.8064,-0.95464706,-0.17600341,-1.1842299,-0.2772767,1.0306369,-0.6261437,-0.3583054,-0.26158413,0.95332795,0.07671778,0.25691736,1.2137656,-0.72471964,0.31643632,-0.24198571,0.0035900855,-0.08031139,0.9589208,-0.5683028,0.19078802,-0.39633015,-0.5837858,-0.4490102,0.21248505,-0.108516425,0.2968199,-0.00069591706,0.021165323,-0.42695832,0.22632149,-0.14696579,0.06690434,-0.3139521,0.23127899,-0.02988004,0.33336914,-0.33956355,0.18789028,0.41736567,-0.11979918,-0.19669536,-0.045179278,-0.18010136,-0.10204629,0.5033331,0.13563985,0.2823081,-0.012413554,0.23490743,0.15007025,0.32222855,0.21026729,-0.030977922,-0.019064728,0.23993744,0.27208072,-0.027213573,0.116012946,-0.40023643,-0.18066221,0.09993489,0.045495756,-0.1576589,-0.10524476,-0.121822774,0.058482334,0.14132446,0.09881003,0.09389225,0.0588386,-0.16763215,-0.08672177,0.032071427,0.014758384,0.10116918,-0.09821605,0.12576184,-0.1183078,0.044753157,0.145309,-0.19459973,-0.3196022,0.043485228,-0.12665324,-0.18566568,0.11432521,-0.077911705,0.0108341975,0.025246054,0.027386794,-0.11426416,0.069639295,0.083247945,0.039248332,0.12821825,-0.06425597,0.08018647,-0.045438617,-0.06686041,0.009637615,0.06683616,-0.08327788,-0.08314562,0.017695837
3,-12.362605,1.371793,-0.27023178,43.40081,-0.5911443,1.4680461,-0.80976,-2.8227744,1.2090117,2.3748534,0.984643,1.4184389,-0.21519437,0.20300183,-0.4234221,0.3409772,1.2104485,1.9167376,0.10129723,-0.7446914,-2.550385,0.5756333,-0.39586055,-1.4830728,-0.163434,-0.4678476,-1.203126,-0.93846345,-0.5918369,0.3422013,1.168586,-0.5807872,0.51031077,1.4035637,0.3776981,0.50748664,0.54501474,-0.43492997,0.70094645,0.66464126,-0.014021647,0.38345253,0.31866652,-0.60611653,0.2127738,-0.26540017,0.13511722,0.35572132,0.15202028,-0.17275484,0.19989687,0.042244688,-0.19247952,-0.20764461,0.29017502,0.07979234,-0.20866628,1.0116663,-0.050802715,-0.2607115,-0.79964566,-0.37386853,-0.2768006,0.19570711,-0.008082995,-0.026974931,-0.2904248,0.28599897,0.25533798,-0.021565925,0.35605946,-0.12514323,0.30722862,-0.2909573,-0.12849474,-0.11933333,0.17239408,0.029110018,-0.2072463,-0.10132803,-0.052871168,0.039805915,0.34905916,-0.039839882,-0.049164154,0.113750815,0.05743075,-0.22971284,0.28802854,-0.06075546,-0.11539622,-0.074678406,-0.112031326,0.16731739,0.10298158,0.0049668965,-0.13555312,0.026157022,-0.062513076,0.018696304,0.03745465,0.05267339,-0.14668107,-0.14313364,0.030791242,-0.0014248479,-0.0053407596,0.32906124,0.04850698,0.072355576,-0.29370284,-0.16896208,-0.03315247,0.07989249,0.18181258,-0.0028610008,-0.037578918,-0.022307098,-0.2507571,-0.043346517,-0.051113524,0.10434586,0.23205377,-0.040399157,0.14082107,0.020360354,-0.12371181,-0.06557614,0.09744814,0.09364143,-0.02917224
4,-0.6908655,13.2476015,-9.776632,-0.5911443,23.934076,6.781825,-0.54568475,-3.9612894,1.0307211,1.1314646,0.47848073,-0.8804871,-2.3045087,0.40315413,-1.4934072,-1.6234988,0.33084032,0.24407902,0.41925865,1.822232,-0.81189674,0.8645569,-1.5722449,0.17930177,0.45831797,0.58078086,-1.2024412,-1.7974912,0.7422322,-0.42589986,-0.10020824,0.3007295,-0.75529003,-0.6385869,0.07593028,0.26761925,0.08163302,0.84032464,-0.18289071,-0.7748449,0.9979938,-0.31397694,-0.10236092,-0.30497262,0.24375264,-0.2650862,-0.08404439,-0.040006995,-0.10755007,0.042870954,0.029169895,0.19188508,-0.042147607,-0.054410446,0.27794042,-0.3483324,0.28409654,-0.25712377,-0.25546676,-0.26824963,0.082395986,0.02081266,-0.34346724,-0.0866092,0.11110903,0.51564217,-0.27116573,-0.10301755,-0.1508925,0.071174204,-0.4325152,0.20372587,-0.094657384,0.109649196,0.0047494583,0.16334748,-0.10896619,-0.016712375,0.18512082,0.054538876,-0.08593429,0.09985157,-0.2599549,0.15689147,0.084659174,0.06346573,-0.0028281063,-0.122749686,0.09532507,-0.030419603,-0.017670777,-0.04985749,0.082401,-0.06995183,0.09262718,-0.025100075,0.043075312,0.13982266,0.06285958,-0.052863292,-0.1380844,-0.12840414,-0.033337794,-0.04348766,-0.25183952,0.03993316,0.09266633,0.054175742,-0.015093958,0.059095077,-0.027912509,0.02816651,-0.010516226,-0.057869457,0.010661123,-0.1160648,-0.007590535,0.028695375,0.07432303,0.00590482,0.025420785,-0.063539356,-0.10576747,-0.0010168022,0.05772485,-0.12106384,-0.027938932,-0.058442652,-0.2262902,-0.039385237,0.02850107
5,-7.8968678,-11.928902,4.614316,1.4680461,6.781825,33.12512,-1.3274665,1.6673129,-0.014442455,-1.0315092,0.6985245,-3.7811835,2.8034477,0.95513916,1.0193577,-0.5667348,0.05027762,-0.5376767,0.0382279,1.017278,-0.47993493,-0.7699788,0.7806896,-0.4329527,-0.65243554,0.41787595,-0.3206669,-0.081729576,0.27878857,-0.249562,0.20394135,-0.5013977,0.68066907,0.124357365,0.37695926,0.26250616,0.17556536,0.4667424,-0.29270083,0.11739814,-0.09545496,-0.024006523,0.022195261,-0.45859435,-0.015607873,-0.008723572,-0.20178309,0.4924052,0.19088039,0.20785952,-0.16497758,-0.121531375,-0.27926397,0.06035434,0.110131666,-0.07567987,0.032545306,0.29446238,-0.0118618775,0.3451504,0.0043875715,-0.14083739,-0.20419809,0.2504596,-0.033620354,0.13350686,-0.22163562,-0.03953618,-0.32757896,0.18214944,-0.063980654,0.09559488,-0.10902059,0.20491391,0.18307567,-0.09679818,0.06995815,-0.019683827,0.10775353,-0.1108816,-0.10617892,-0.016022407,-0.3169631,0.024867818,-0.0125386175,0.10109213,0.02159553,-0.020172967,-0.06585345,0.023994599,0.00090152025,0.047415987,-0.15935579,-0.1524683,0.09477791,-0.12181189,0.06662929,-0.04708842,0.10606084,-0.14580996,-0.14226963,-0.041254632,0.16803643,-0.1338008,-0.0037168455,-0.026985042,-0.047382087,0.2064044,-0.0225407,0.036119618,-0.040848903,0.02002094,-0.08952825,0.14890245,0.038137563,-0.11976048,0.009716213,0.17829117,0.08202158,-0.06471051,0.024389286,0.08312042,-0.19633475,0.0710531,0.04799015,0.053409193,0.09164462,-0.01697427,-0.021845616,0.018350706,0.08456425
6,-8.159713,0.6314939,2.708293,-0.80976,-0.54568475,-1.3274665,30.758348,2.7725813,1.4302522,-0.7027939,0.5637826,-0.05226244,-0.51079637,-0.9407933,-0.8242184,0.45560634,2.351976,-0.39109325,1.2567514,0.4098832,-1.4725965,0.017234739,0.20477372,-0.53710455,1.0551817,-0.40715468,-0.37617323,-0.234489,0.12881702,-0.15305406,-0.08376185,0.5403185,-0.24949956,0.37549546,0.4868561,-0.27270585,-0.2341865,0.5835741,0.35831827,-0.36087576,0.7373779,0.1862894,-0.34800142,0.2181741,-0.4477345,-0.016778003,-0.17830616,0.2728392,0.58080775,-0.020021554,-0.15717065,0.030409731,-0.052963644,-0.3174842,-0.41115803,0.5688282,-0.29891264,0.010859716,-0.24586195,0.17355514,0.27522933,0.1018753,-0.029109798,-0.03688828,0.2882698,-0.0033197869,-0.38139427,0.054652467,-0.3433623,0.023245955,-0.111545324,-0.10329497,-0.037089285,-0.12177619,-0.0025895382,-0.294492,-0.029518535,-0.013631005,0.25175914,0.1040221,-0.24068123,-0.1409719,0.006704308,0.059649024,0.057056867,0.052192315,0.035343528,-0.053303268,0.057449006,-0.10095156,0.046078958,0.107736215,0.13244046,0.062567204,-0.14407124,-0.16370916,-0.090849414,0.07606886,-0.10359438,-0.16352245,-0.12844741,-0.22745873,0.06331015,-0.15695035,0.22699058,0.10349709,0.04780615,-0.011682307,0.27715516,0.13610217,-0.011250591,0.15542242,0.029449873,0.018611623,0.06975578,0.038791478,-0.0830186,-0.06273037,-0.011275757,0.011825973,-0.08447981,-0.054839954,-0.047298208,0.081885755,-0.043552004,-0.11512463,0.02063895,-0.25206405,0.13088799,-0.10014547,0.063110664
7,5.0403976,1.744522,-1.4685477,-2.8227744,-3.9612894,1.6673129,2.7725813,26.68211,-0.5204359,-0.7727586,-1.6603189,-0.22622144,-0.36479592,1.1703558,-0.20692968,-0.27216643,-0.3704369,-0.4711006,-0.15499848,-0.3420586,0.4970227,-0.07472851,-0.8242413,0.0023013856,-0.24221483,0.1115583,0.40051776,0.5495361,0.6905463,0.049009703,1.1335957,-0.1796306,0.35515302,-0.24026324,0.44669425,0.38616565,0.27397162,0.26146156,0.01631781,0.4240325,0.33828264,0.3073156,0.24143752,-0.32048202,0.046946604,-0.0821731,0.07077675,0.5381548,0.00503648,0.48038343,0.5086782,-0.6750344,-0.5583961,0.38323548,0.11922884,-0.12541531,0.22066036,0.04546592,0.4106645,-0.39155024,-0.267353,-0.20182343,-0.21905449,0.45736912,-0.065743014,0.12373021,0.07027349,-0.060066365,0.3059782,0.041081093,0.19189277,-0.19728354,0.12373207,0.10139822,-0.10695697,0.24690774,0.3044213,-0.07599189,0.09934859,0.19806677,-0.13352758,0.11572853,0.017370675,-0.03577564,0.10020886,-0.015710142,-0.20891586,-0.0880226,0.22351667,0.054864235,-0.07270343,0.0067118285,0.017976314,-0.10916761,0.20320226,0.24505728,-0.07864559,-0.21160379,0.041975208,0.07033005,-0.108799644,-0.05212033,-0.0582937,0.14249258,-0.016396537,0.055975184,-0.022599945,-0.057714,-0.11785515,-0.015249014,-0.08274131,0.07273167,0.07358977,0.045157634,0.08050766,-0.018002816,0.09424755,0.13912,-0.041503415,0.020656046,0.08726676,0.09994681,0.04931166,-0.18482666,-0.023902435,-0.031832907,-0.028039109,0.036507282,0.04105816,0.08763033,0.0073311385
8,3.5603373,0.15676665,1.5627946,1.2090117,1.0307211,-0.014442455,1.4302522,-0.5204359,22.70752,0.41570956,0.77996576,0.4159044,0.61294234,-0.216739,0.042897403,-0.0039881486,0.57829666,0.35143197,-1.0243647,0.0965433,-0.6101911,-0.3647694,-0.4813586,0.5543722,0.21427289,0.2571978,0.48332828,0.14586571,0.45283884,0.55921507,-0.22205189,0.038049523,-0.57742685,0.006529716,0.15644106,0.3679315,-0.04327318,-0.04022125,-0.07518866,-0.34523284,-0.12637714,-0.2325441,-0.23546599,-0.3094364,-0.12693685,0.50976604,0.6266242,0.2957614,-0.48952854,0.7514306,0.24536121,0.0655092,-0.14649886,0.018215634,0.09747727,0.029076917,0.19418183,0.017533977,0.08328369,-0.15229887,0.09921514,0.02125583,0.17754714,-0.017001003,-0.18667784,-0.10199468,0.20435876,0.028143648,0.4994615,0.16283888,-0.14788482,-0.18681583,-0.21131441,-0.3076046,-0.12573,-0.2284903,0.1276333,0.13217312,-0.18679655,-0.35899985,0.082316875,0.06733811,-0.19667459,-0.28955454,0.01628663,-0.19376056,-0.02814928,0.010046022,-0.28365517,0.05384682,-0.1386598,-0.07178496,-0.031728458,-0.18601295,-0.16345507,-0.082849845,-0.1074144,-0.03256132,0.093698524,0.09568248,-0.025181461,0.22288504,-0.019768089,-0.039756887,0.012985591,-0.08404319,-0.14691688,0.14745721,0.081030995,-0.16876012,0.08110736,0.03449732,-0.047618948,0.030973502,0.08812864,-0.038608685,-0.12095277,-0.01108429,-0.043835755,-0.07597852,0.0349238,-0.15582624,0.020918135,-0.05704594,0.057556152,-0.18004347,-0.027794331,0.10204139,-0.08954467,0.14449507,0.06433202
9,9.524073,2.2987142,1.6297349,2.3748534,1.1314646,-1.0315092,-0.7027939,-0.7727586,0.41570956,22.058035,-0.5274574,-0.35594535,0.88346225,0.796084,-0.00023700253,-0.163916,-0.47076243,-0.3896019,0.8442466,0.7396966,0.6276612,-0.022675619,-0.80432045,1.5303833,0.2847395,-0.56282234,0.085764036,0.52353853,0.302702,-0.1950332,-0.5192921,0.2714492,0.6867182,0.0009661921,-0.2873821,0.28936014,0.3740483,0.36232734,-0.22004831,0.04787167,-0.03721791,0.56886053,-0.14008011,0.259996,-0.53245467,0.061991535,-0.11812778,0.14454812,-0.3203154,0.2954903,-0.013755539,-0.20804973,-0.20132631,-0.43279797,0.08983126,0.48221183,0.13430719,0.24448031,-0.068950534,0.15929012,0.050846152,0.18021971,0.044000097,0.2948336,-0.07160791,-0.013377532,-0.24720977,0.124184445,-0.11874819,0.12013633,0.016740866,0.2506628,-0.22653507,0.050160535,0.0028564245,-0.12919101,0.008783326,0.040642027,-0.003565468,0.09162355,0.030454163,-0.08530767,-0.029722307,-0.04174695,0.08665037,-0.052242532,-0.05424156,0.11046524,0.05178666,-0.029513517,-0.08648205,0.062472664,0.12471002,-0.018266883,0.09919855,-0.084337994,-0.043491334,0.0914239,-0.0607974,-0.08728528,0.021750469,-0.10255465,0.16701469,-0.072093785,-0.017146334,-0.011219434,-0.009768617,-0.116795495,-0.19278978,0.08098243,0.056259826,0.06999061,-0.030695584,0.03238786,-0.016541097,0.0497883,0.028767735,-0.05252314,0.0588411,0.14227924,-0.023722604,0.007844577,-0.10957278,-0.089193344,-0.05082883,0.07875921,0.08090247,-0.0042335084,0.10475282,0.018833607,-0.022325449
