,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,196.41776,-66.066376,-55.334427,-19.795403,-39.934837,5.2115364,-11.182343,-30.575483,-11.756264,14.606756,5.1038833,2.210411,9.823801,8.593554,10.262565,5.7427516,-7.2032967,-5.824671,-4.972684,-2.7293556,1.0857122,-2.3245263,-0.50580084,12.580029,-5.589608,3.0545354,1.0950968,4.110881,-0.6729209,3.8456905,3.5289395,0.4334898,0.7709499,-4.3648014,-6.5464125,-0.86036885,0.67050433,1.950362,2.3429136,-4.725976,-0.21243158,-0.2705298,-0.2987813,-1.6437602,-0.8877182,2.2838702,-1.0281581,1.7679118,-0.67248565,1.5618964,1.2509104,1.3377202,-0.11414899,-0.1843406,-1.0396618,2.7558813,1.8931804,-0.7492385,-0.81373775,0.89528275,1.1391196,-0.9734143,-0.56441724,1.011231,0.21389243,0.28023192,1.0369105,-0.013647036,1.4009695,-0.5664192,-0.2235426,-0.6458573,-0.28048006,-0.017746054,-0.021116717,-0.023791496,0.6531503,0.91389894,-0.5926908,-0.1651786,-0.24027961,1.2786908,0.06597066,0.7272024,-0.06682471,0.13912907,0.08930102
1,-66.066376,282.95728,-23.821995,23.23471,-28.619173,-0.7092575,-0.8212513,2.6416354,19.764679,5.4776573,4.582801,2.329525,5.25359,10.2476845,8.297178,0.7851319,-5.0134954,-4.2584696,0.5026822,0.16124254,-2.1330817,-6.805127,0.2519824,8.387333,-5.0214877,-0.33331198,0.024941545,-0.6655811,4.3601427,-2.0598423,3.6890368,1.3758119,0.6679188,-1.8488017,0.16790919,-0.99739885,0.7167311,-1.5564249,-1.0202396,-2.2467995,0.19679543,0.57685304,0.1435977,-1.1109307,-0.28430676,-0.33493775,1.6909919,-0.9817169,-2.583813,0.7451196,-0.19681115,0.99543166,-0.23990224,-0.5259042,0.10670979,0.24506369,0.20042123,-0.3398924,0.9757496,0.35543752,0.34542054,-0.9857514,0.5105173,0.54038763,0.095948525,-0.46236116,0.69602895,-0.6890882,2.2308803,0.1595659,1.4816453,-0.5499841,-0.008188775,0.48473203,-0.22283775,-0.06616409,0.9053192,0.825927,0.116040714,-0.4082299,0.109262034,0.943937,0.59068763,0.38124722,0.53753316,-0.36072212,0.09621151
2,-55.334427,-23.821995,48.180183,5.6081066,12.171728,3.7425864,5.279309,14.609074,1.158087,-10.342331,7.848586,6.522477,-6.4724646,-1.7694185,-12.503384,1.7229981,4.5261555,-0.0848445,-1.5450547,1.2158828,6.3490915,1.1069674,4.212623,-8.151186,-2.6686535,-3.6969938,-0.13038006,1.0530524,-0.7899779,3.2741184,0.7689557,0.521487,-1.668431,-1.3080916,0.6159314,-0.61376214,0.94975007,-1.8132502,0.29689145,2.7789872,-2.6140494,0.92902416,2.4493408,0.07808587,2.0537353,2.0167153,1.8329196,-0.47837198,2.525536,1.1979681,-2.3320742,-0.84517384,1.2661178,0.5710226,0.26031858,1.0340953,0.109411836,0.7713107,-1.2026274,0.08298005,-0.2423186,1.9114932,-0.18616012,0.3142928,-0.3527273,2.0410392,-0.74896646,-0.1007072,0.57993853,1.4100463,-0.82950616,0.01567895,0.32793424,-0.5481043,1.0938673,0.07355802,-0.59769785,0.27802423,-0.33008495,0.49626756,0.49958065,0.22064719,-0.012440676,-0.1599606,-0.36452097,0.3974222,0.08958375
3,-19.795403,23.23471,5.6081066,48.772976,-7.5351768,-11.025041,7.528036,13.782632,-0.30027616,-2.12224,3.8993306,1.1430858,0.07889287,-1.8734777,2.2262487,-1.7065165,6.1021194,-2.425319,3.1750445,5.448141,-0.0031138514,6.825307,3.1931992,5.500495,5.9445815,-3.5750263,3.7562597,6.9730163,-7.313711,-0.31396657,0.33278775,0.34298992,4.0046577,-0.008121956,-4.5530825,2.2976665,-2.8428721,0.89057446,0.6150795,0.2501474,3.0202546,1.0554459,-2.0544157,0.08753506,-0.4981004,-0.44940242,-1.4098723,3.4168515,2.4077067,-0.03706344,0.86407876,0.20762487,0.98213136,-3.082525,-1.6652575,2.1113682,2.6624498,1.5277593,-1.0801723,0.5644758,1.5252128,0.497768,-0.8601853,1.2715633,-0.7756747,0.2877859,-1.6172849,0.98286676,-0.9579364,0.12724215,-0.967885,0.7883606,-0.15738212,-0.4716118,1.1958871,0.33481607,-0.28299335,0.33452427,0.40944326,-0.42970246,-0.41408575,-0.53580046,0.11900437,0.5827183,-0.37689897,0.69016594,0.45068288
4,-39.934837,-28.619173,12.171728,-7.5351768,82.53672,-2.478435,1.4342313,-3.4101963,1.4742837,-10.684257,3.3805165,9.456797,0.16245414,0.7137593,-2.0321121,-6.3124204,-1.0210032,-4.269083,-2.8309312,-0.6788169,-1.2325208,-4.182132,-8.312615,3.477881,3.2632422,5.7646317,5.1701937,-1.7952474,-4.185747,-1.7153368,1.222636,1.7672148,2.4099584,-0.23684314,3.4092464,2.24977,2.1777735,2.5145042,-0.8100817,-3.165153,1.5911568,0.37372273,-0.59870374,-1.3257408,-2.3196,-0.92301357,2.3024645,-1.5075045,-1.7145811,-1.2839873,-0.48486,-1.4061434,2.22127,0.07496392,1.0726525,-2.0112588,-0.60171354,-0.26174617,-0.34372056,-0.81529826,0.80033755,-1.5254455,2.7684069,1.2473205,0.19792734,-0.39711314,-0.31172115,0.762004,0.021595094,-0.16597924,1.8182312,-0.73795354,0.7605042,1.0907756,0.6742452,-0.12805614,0.20128506,-0.20516017,1.0608871,-0.5011833,-0.43621355,0.65954447,-0.24844715,0.105939075,1.2620494,0.24941185,-0.021627085
5,5.2115364,-0.7092575,3.7425864,-11.025041,-2.478435,35.343826,6.181513,11.996851,3.0197737,2.7483363,6.356173,9.807119,-2.61167,-8.06531,1.5744021,6.930582,1.1407264,-3.0734115,0.40178144,-3.540907,-0.13450521,-1.0971279,0.010983459,0.87870497,-4.5054007,-0.1601415,-2.3694043,0.5019344,-0.29965574,3.2419727,-0.40600252,3.7765636,-3.966159,0.90390027,-0.30314854,3.2608404,2.0812416,0.9586152,0.5408927,-2.5413036,-2.7272394,-0.47048485,0.14481848,-0.17897981,1.41431,2.032347,-1.169716,-0.83504176,0.3441224,-1.0013325,2.075688,-1.1284527,-0.25802636,1.1986356,1.192313,-0.47469637,-1.1113361,-1.795471,-0.98563755,0.3326389,-2.7197845,-1.1610577,0.5622437,-0.3778817,-0.17819244,-0.4037218,0.7027472,-1.5216367,-0.0024651515,-1.1245835,0.43772888,-1.6009305,-0.7014444,-0.2902186,-1.4288676,0.36563504,1.373982,-0.07966874,-1.3323947,0.90491074,-0.60595036,0.30755597,-0.551084,-0.08413139,-0.6079898,-0.58777213,-0.10706643
6,-11.182343,-0.8212513,5.279309,7.528036,1.4342313,6.181513,27.363285,5.2004347,3.6410897,3.4628825,-5.9201837,2.8360677,3.2488556,-1.0289372,-1.9716403,1.4330037,-2.7485638,-6.04532,-0.63245535,0.12964314,-6.536133,0.11742216,-3.6671329,2.2939458,1.2069991,-2.180295,2.1077118,1.5042846,-2.6499162,0.4778993,-1.3930553,-1.2630701,-3.4655108,0.8992452,0.9388933,-1.097117,1.889399,-0.6781058,0.37501752,-1.07111,-0.93525445,-0.008212039,-1.3127675,2.0982947,2.7579331,1.5212629,-2.9826632,-0.35001725,2.4889505,-1.4702585,1.1835747,-1.799219,2.224084,0.6975627,-0.17321137,1.1409127,1.3043134,-0.6731795,-0.6315488,-0.68633175,-0.61015403,2.4896574,0.6313424,-0.66549957,-2.2803469,0.6017548,1.2948178,0.60677123,-0.9800051,0.22180946,-0.5175063,-0.08685534,1.0269787,-0.16374068,0.02303015,0.21893537,-0.051482603,0.09293313,0.14071618,-0.2953509,0.015272757,-0.3156016,0.5304471,0.832845,-0.5309959,0.8976599,-0.72313386
7,-30.575483,2.6416354,14.609074,13.782632,-3.4101963,11.996851,5.2004347,36.04658,-11.746433,-0.426152,3.961199,8.736325,-2.5182095,-6.0326767,-6.8733044,2.2559037,-4.4036107,-0.36087507,1.4656583,-3.473123,4.102879,2.9632537,-0.5673665,-0.3659845,0.83515596,-1.0595407,-2.4476123,3.6148338,-2.8542213,-1.2340103,1.3211186,0.9374572,-2.0536513,1.1943681,-2.4254675,-0.40846834,-0.054028228,-0.34252012,-1.2909217,0.2814051,0.98337567,0.073069975,-0.20663899,0.76169467,-0.22954646,-0.8853091,-1.590891,1.5958197,0.19587974,-0.53310394,2.7748723,1.5466447,-0.4918198,-0.34480613,0.05444648,0.2345264,0.7272147,-0.5241481,0.07578824,-0.18375643,-0.23878042,0.24277338,-2.450974,-0.09154179,0.14931878,-1.132743,-0.2374235,-0.5331311,-0.25130796,-0.5355572,0.5901487,0.7227975,-1.0647014,-0.603294,-0.85706174,0.4433781,-0.25718933,-0.5073563,-0.7129551,-0.28315258,-0.3505032,-0.184686,0.2740925,0.2493445,0.04683525,-0.5379374,0.22186194
8,-11.756264,19.764679,1.158087,-0.30027616,1.4742837,3.0197737,3.6410897,-11.746433,21.146082,-3.1624367,-1.1502459,-4.968604,-3.4117346,3.9430857,3.3407907,1.4780574,6.228178,-3.740735,-3.0433283,1.2208638,-2.0015423,0.06190049,-0.014120107,-1.6954827,0.11559236,1.395746,1.8732942,-0.41135126,-0.2472538,4.141147,-1.5268924,-0.1763434,-0.13695905,0.92736727,1.871577,-0.12924612,0.6324545,4.069523,0.7948275,0.80857295,-0.27680916,-0.49042764,0.081126034,-1.1158218,0.5928401,0.7232964,-0.68331575,-0.49172592,0.87047946,0.913872,-0.46968693,-2.1071005,-0.3916712,-0.33307245,-0.40367806,-1.046149,0.68639696,-1.9299834,-1.0869917,0.84850913,-1.0033329,0.596443,0.21978271,-0.22459824,-0.27714527,0.34698847,0.18844953,-0.13885573,0.05823602,-0.75816315,-0.63509446,-0.68488646,-0.21636772,0.8137619,-0.07433091,0.3493472,0.030924805,-0.006338398,-0.19551821,1.249899,-0.19574828,-0.7385919,-0.56944996,-0.11810194,-0.26004517,-0.20082399,-0.63499343
9,14.606756,5.4776573,-10.342331,-2.12224,-10.684257,2.7483363,3.4628825,-0.426152,-3.1624367,22.830158,-2.8435545,-3.7166162,6.2685437,0.52369994,-6.0519395,2.4892416,1.2558862,-0.49266553,6.9498796,-3.4091306,-3.381933,-0.29635286,-4.9552107,-1.0209196,1.0077047,-1.1809561,-1.8198814,-0.26047108,1.4528863,0.06683664,3.5049138,-0.9417921,-0.5952687,2.3343825,-0.9164497,1.3037821,0.69110966,-0.73469615,-1.8945243,-1.039642,0.4500082,0.29172647,1.0397993,-0.8806858,-0.33155447,-1.2778345,-2.488619,0.35247734,1.8079617,-0.5827714,0.54260105,-0.6518731,1.2009948,1.040399,0.28318048,-1.5300899,0.18234745,1.7220888,0.33334553,0.45171726,0.7078712,-0.15667003,0.30610555,0.49604887,-0.41520587,0.46592158,-0.38899714,-0.5006568,0.12796037,-0.09451267,0.19031659,-1.0793812,0.030704476,0.004011496,0.45326114,0.2266765,1.1059072,-0.3684764,0.13089031,0.13562228,-0.26254025,-0.2681592,0.7041868,-0.2804017,0.77822685,0.34360054,0.10232438
