,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,728.86316,-1.4824302,0.5681758,-0.08190322,-0.5750119,-0.13838053,-0.13451865,-0.06936689,-0.25018555,-0.05574206,0.12352985,0.08180958,-0.14380774,0.17399317,0.23841648,-0.20944488,-0.080945194,-0.04296473,0.08595592,-0.15105602,0.034123458,0.029248293,-0.09350994,0.023403227,-0.0015987473,0.023364168,0.082700625,0.057869487,0.034002863,-0.0022458853,0.082417876,-0.083556086,-0.0075662252,0.04033606,-0.032721583,-0.065392025,-0.041662335,-0.055906348,0.015616348,0.018769018,0.0061821016,0.002825553,0.009814566,-0.0027662024,-0.011873178,0.01144582,-7.1176087e-09,-5.3382605e-09
1,-1.4824302,10.30396,-2.1766067,4.033003,-7.2328587,-1.5362122,-2.0857654,-0.16764252,-2.5413365,-1.5165128,1.7823889,0.210628,-0.86036134,-0.08591298,0.7410197,-0.8498356,-0.44291687,0.87287635,-0.622162,0.12845625,-0.2581135,-0.35949335,-0.09698194,-0.5084271,-0.2011755,0.51043475,0.10118094,0.0953636,0.62636775,-0.22490227,0.16644542,-0.29778117,0.015408649,0.19408235,-0.18590444,-0.13812917,0.022547927,-0.0027832165,-0.0051166406,0.12466006,0.026007462,-0.09275733,-0.031497166,0.012750887,-0.08474177,0.02211816,5.949231e-09,1.5904408e-08
2,0.5681758,-2.1766067,12.349303,3.4243908,-1.495877,-2.9309468,-1.122966,1.8110933,-0.3569494,-0.45992702,0.13139756,-0.30388883,0.28660268,-1.1003522,-0.38121825,1.2590806,1.1284848,-0.05293072,-0.1632339,0.60109234,0.2614302,0.46703798,-0.08466496,0.12911342,0.37591034,-0.35941136,-0.7839085,-0.056944862,-0.4272759,0.15567842,-0.6363871,0.7604474,0.054271027,-0.23717047,0.2969638,0.33198196,-0.1172909,0.27040726,-0.11447698,-0.16498207,-0.14787391,-0.024972308,-0.08572334,0.014032669,0.049341317,-0.077812225,5.4123714e-08,8.0263284e-08
3,-0.08190322,4.033003,3.4243908,18.124126,1.6551619,-0.4596212,-0.8203659,-0.8160827,-0.34664458,-1.214643,-0.6652778,1.3154223,-0.4587415,-1.7080939,-1.2797756,-0.7045586,0.008268633,1.1228592,-0.48419768,0.56891406,-0.023463286,-0.22465494,0.69628525,-0.050268807,-0.12722528,0.10559493,-0.14681718,0.23328295,0.1413731,-0.047306523,-0.24806571,0.15856889,0.4994729,0.00074117165,-0.22925681,-0.16004163,0.35780534,0.074468195,-0.021657038,0.23547962,0.046376802,-0.12227823,-0.0088873375,0.04765392,9.500739e-05,-0.030475259,2.4682972e-08,-6.872001e-08
4,-0.5750119,-7.2328587,-1.495877,1.6551619,14.886186,-2.4193883,-0.2747718,-0.8187299,1.6692183,1.4025054,-0.5723202,1.3653531,0.42511946,-0.30606252,0.18361437,-0.72446966,-0.13471839,-0.4150511,0.1338881,-0.26389027,0.52057314,0.408307,0.12430428,0.20771563,0.28426796,-0.19903639,0.13973108,-0.03183959,-0.07584145,-0.057896562,0.052413523,-0.1546284,-0.079499565,-0.007478124,0.007842274,0.055378184,0.024736442,-0.10625082,0.024948271,-0.014759264,0.05757281,0.013746731,0.020761106,0.022979498,-0.03227898,0.0045638243,-4.9198277e-09,1.1381563e-08
5,-0.13838053,-1.5362122,-2.9309468,-0.4596212,-2.4193883,8.1574955,1.7431538,0.4077595,0.72056973,1.3063023,-0.6764998,1.352477,0.40255386,-0.33146587,-0.91691387,0.16539827,0.70898926,0.09126797,0.51025975,-0.28597263,-0.3644774,0.09744552,0.4063541,0.11281507,-0.079860836,0.14706993,-0.0016955988,0.16877744,-0.16614018,-0.2347385,0.26319486,0.06306471,0.1178301,0.03663577,0.008849459,-0.018184524,-0.0067268456,-0.14176114,-0.0944487,0.11053309,0.028264672,0.002577989,0.10902489,-0.06734609,0.023298763,-0.04185757,-2.7021876e-08,-6.522564e-08
6,-0.13451865,-2.0857654,-1.122966,-0.8203659,-0.2747718,1.7431538,5.8597264,-0.31294346,1.352112,-1.2154908,-1.2585636,0.19182943,-0.008194384,0.0561155,-0.4148951,0.32169676,-0.060326293,-0.24431872,-0.71532196,-0.008533974,0.08159326,0.047959104,0.48575568,0.158842,-0.3010184,0.0043362314,0.30451262,0.030030783,0.26277518,0.030301262,-0.39809698,-0.09176521,-0.35415763,-0.10175687,0.23580171,-0.13243681,0.115338326,0.030787496,0.09890126,-0.17565104,-0.02863978,-0.062143728,0.026858926,-0.0069672903,0.07456225,-0.032522492,-1.2780695e-08,-5.0332478e-08
7,-0.06936689,-0.16764252,1.8110933,-0.8160827,-0.8187299,0.4077595,-0.31294346,4.6704626,0.022982832,-0.5635519,1.4117237,0.7389754,0.93924576,0.12745383,0.30729502,-0.5110672,-0.34716067,-0.2666189,0.055934086,0.02077999,0.5898392,0.3067167,0.29370704,-0.24580942,-0.039352007,-0.052485712,-0.022442445,0.3228437,-0.2740015,0.1678046,-0.17290843,0.24210654,0.19495597,0.24445707,0.2014491,-0.14023955,-0.16974686,-0.0987111,-0.038502835,-0.082241476,-0.018662687,0.0043289904,0.10852788,-0.010516698,0.08071686,-0.0020150552,-7.467555e-08,-7.359447e-08
8,-0.25018555,-2.5413365,-0.3569494,-0.34664458,1.6692183,0.72056973,1.352112,0.022982832,6.2946324,-0.04412131,0.95687664,-1.1359345,-0.18787193,-0.12076225,-0.2674983,0.117774874,0.116252415,0.022436893,-0.64195955,-0.33252245,-0.38027334,0.003089313,-0.13886511,-0.2871652,-0.11026269,0.0834979,-0.016122274,-0.096999854,0.0628045,0.10150735,-0.036384046,0.1373075,0.26107675,0.063265905,0.0146388635,-0.03622546,-0.062451754,0.08914577,-0.07305005,0.1708424,-0.059550557,0.031694464,0.007882395,0.0060333293,0.04536946,-0.009486842,1.3392729e-08,-2.2447994e-08
9,-0.05574206,-1.5165128,-0.45992702,-1.214643,1.4025054,1.3063023,-1.2154908,-0.5635519,-0.04412131,3.87893,0.29406118,-0.12996355,-0.3332113,-0.26974678,-0.3053754,0.2178298,-0.40394822,0.3181953,0.54056317,0.7147633,-0.006893904,-0.08349353,-0.046840142,-0.48447734,-0.09387475,-0.00032494514,-0.08634724,-0.16074333,-0.2070818,-0.20451358,0.091673285,-0.061715767,-0.0676729,-0.006893019,0.088332,0.11388517,0.040017262,0.10184441,-0.02664168,-0.029491754,-0.032328896,-0.044056702,0.13424143,-0.02560547,0.00037147218,-0.070544206,-4.2667374e-08,4.5289283e-09
