,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,558.3157,-82.72055,-20.376001,64.505035,42.488335,-38.668922,-11.912979,-9.897161,-4.3422756,8.519499,0.9763223,-9.273029,4.4762173,0.6327702,5.2593985,-8.388877,8.443245,8.163119,3.5258136,3.8558033,-2.3080091,-1.3937157,-2.385079,-1.4832039,3.2514205,2.7262702,0.25292164,-0.33215857,-0.017974086,1.570075,2.1916595,1.7104583,-0.7848741,-0.7411665
1,-82.72055,366.28757,-3.7167773,36.71386,32.729927,-51.07799,-33.323128,3.0846486,3.7245483,-6.6579647,-9.522556,-9.332173,-0.12586151,-3.4759798,3.5448568,-1.9448023,2.6786811,2.138393,2.0572047,6.2876177,0.2664852,-5.2931795,-2.2446833,-1.5699828,1.6668153,5.5510187,-2.318147,-1.3031266,-2.3808808,1.9072814,2.6341221,0.20753536,-1.0926774,1.0196626
2,-20.376001,-3.7167773,151.25543,72.88792,8.07191,26.147633,0.6877683,0.6962056,-2.5511498,-19.832344,-11.036819,-2.5974944,9.434882,-2.2754765,-2.414474,6.2698226,-4.52396,-8.184791,-1.5637798,-2.2424738,-3.5661721,7.253806,1.9945383,3.1940546,0.16160202,-1.0300194,-0.14293128,4.713196,0.7574241,-2.874867,-2.7978885,1.630287,2.5049236,-1.6073091
3,64.505035,36.71386,72.88792,109.6176,-17.03035,11.578556,-4.530512,9.066333,5.7187004,-4.7165513,-5.13872,5.797049,-0.4585145,-7.1484327,-2.5556417,-0.58125526,-2.1815362,3.8263187,-0.81111676,0.27585027,6.2114296,-3.5961788,-1.6490624,-0.50311893,-2.47023,-2.2654428,-0.7070321,-1.3899924,-1.7950854,1.4372952,0.44750288,-0.7768214,-0.41594487,1.9890084
4,42.488335,32.729927,8.07191,-17.03035,51.897682,-22.594143,-14.120291,-9.158824,-6.7502136,2.3567293,2.1916509,-3.1527,3.019668,-4.352108,-2.1301494,2.8971434,0.003185995,-5.607253,-3.510197,-3.3199668,-6.105702,2.8165421,1.3360624,2.9972413,0.9311754,-0.22870836,-0.44659686,5.760927,3.073937,-2.1159039,-2.9163709,-0.55871046,-0.4809386,-0.62328374
5,-38.668922,-51.07799,26.147633,11.578556,-22.594143,31.58243,14.020683,1.6780198,4.239188,-8.897467,-1.4000314,-3.3694057,0.45394892,0.22652027,6.4797325,-1.6887649,0.211972,-2.157325,-0.6872585,0.97847086,0.114645004,-0.72565216,0.19545704,-0.3744511,-0.4774577,0.28267217,0.3226965,0.6343914,-1.8452637,1.1790783,-0.9337399,-0.2471804,-1.1649723,0.44256324
6,-11.912979,-33.323128,0.6877683,-4.530512,-14.120291,14.020683,28.78047,-6.772299,6.642557,0.8886124,-14.076145,-4.2493324,-3.0668807,-3.4690685,6.677761,-0.6773521,0.13186365,1.946023,0.97762537,0.69297165,-3.634183,-0.7564393,0.92743707,1.2809436,0.066145025,4.2815223,-3.0580108,0.3864891,-0.57669175,0.7800782,-0.006342193,-0.9754987,0.5382845,2.1237824
7,-9.897161,3.0846486,0.6962056,9.066333,-9.158824,1.6780198,-6.772299,25.960918,-1.7844675,2.2036796,-5.0746956,7.46008,4.8481207,0.5223823,0.18708172,-2.1662512,0.900264,-0.18874443,4.047443,-4.5310497,0.4707767,-3.5639668,-0.28036964,2.7405543,0.7748548,-0.22299257,4.0284076,-3.745421,3.7614276,0.23276652,0.5248495,0.11481443,-0.5311215,-1.5761485
8,-4.3422756,3.7245483,-2.5511498,5.7187004,-6.7502136,4.239188,6.642557,-1.7844675,24.205004,-1.0137742,-1.8239825,-3.5247946,-4.362608,6.2340026,-3.7391734,4.070052,1.966414,4.1459403,2.685073,-1.0778188,0.5216601,-1.2539353,-7.160946,3.6757066,-1.4297599,1.3653226,-0.006134877,3.8517818,-0.2246572,2.7058163,-0.45422435,-0.585003,-0.70401376,0.095158815
9,8.519499,-6.6579647,-19.832344,-4.7165513,2.3567293,-8.897467,0.8886124,2.2036796,-1.0137742,19.372135,0.40568846,0.006772898,2.6271071,-2.80779,-3.1643205,0.84933007,-2.8605666,0.61033857,-0.0691282,-7.508995,2.7439342,-0.88024044,-1.0813599,1.640931,-0.9543005,2.5113897,-1.9552351,-0.9786293,-0.98486197,0.37076905,0.9889247,-0.46879944,0.530653,1.350951
10,0.9763223,-9.522556,-11.036819,-5.13872,2.1916509,-1.4000314,-14.076145,-5.0746956,-1.8239825,0.40568846,20.874628,1.219016,2.4224076,2.2956738,-4.131979,-2.8173733,-0.908319,-6.2350407,-1.9620674,0.9707649,4.257993,-0.38860565,-2.3321953,-0.34748012,-0.62675315,-4.056284,0.5485878,0.7778655,-2.8754518,0.57122993,-0.11921427,0.6576423,-0.43878955,0.37456554
11,-9.273029,-9.332173,-2.5974944,5.797049,-3.1527,-3.3694057,-4.2493324,7.46008,-3.5247946,0.006772898,1.219016,14.171454,-0.80623865,-1.9378163,-4.9891925,0.017876685,0.9457154,-0.61552143,-2.9599829,0.7349135,2.701083,-0.719843,0.9537071,-0.3891893,-0.29618087,-2.5810566,1.2792386,-1.9849598,3.2790146,-0.54228956,-0.45214102,-0.91976327,-0.4326024,-0.32766291
12,4.4762173,-0.12586151,9.434882,-0.4585145,3.019668,0.45394892,-3.0668807,4.8481207,-4.362608,2.6271071,2.4224076,-0.80623865,20.488451,5.502186,3.230146,0.1886259,0.429447,-5.891346,1.9849467,-1.1747837,3.969306,-0.3900542,1.7721951,0.1796374,-2.5518694,3.3147979,-0.61734337,-0.40453488,1.1094131,0.942134,-1.6379193,1.3235438,0.5904189,-0.035256434
13,0.6327702,-3.4759798,-2.2754765,-7.1484327,-4.352108,0.22652027,-3.4690685,0.5223823,6.2340026,-2.80779,2.2956738,-1.9378163,5.502186,10.138583,-1.1963023,3.919018,2.2602367,1.4521667,2.556392,1.1734028,2.4614804,1.2268745,-2.1123047,-1.0758018,-1.4623082,1.2704058,0.72683734,0.44638836,0.49582988,0.7206735,-0.12239574,1.2105253,0.53890777,-1.6740924
14,5.2593985,3.5448568,-2.414474,-2.5556417,-2.1301494,6.4797325,6.677761,0.18708172,-3.7391734,-3.1643205,-4.131979,-4.9891925,3.230146,-1.1963023,10.6274605,-2.5640852,2.9003048,-1.7283106,0.039904978,1.3937588,-2.4347997,-2.3495517,1.1783891,-2.218979,-0.13482133,2.0534291,-1.0651081,-0.4357684,0.48928547,-0.60422415,-0.45975822,-0.30902156,-0.40268844,0.9696953
15,-8.388877,-1.9448023,6.2698226,-0.58125526,2.8971434,-1.6887649,-0.6773521,-2.1662512,4.070052,0.84933007,-2.8173733,0.017876685,0.1886259,3.919018,-2.5640852,6.4606385,0.47501916,3.3680053,-0.48385713,-1.356212,1.0204852,2.0724792,-1.0664899,-1.5524912,-1.9949605,0.6931982,-0.6739963,1.5880594,1.2484912,-1.1478338,-0.39468765,0.28525174,0.56688803,-0.59145
16,8.443245,2.6786811,-4.52396,-2.1815362,0.003185995,0.211972,0.13186365,0.900264,1.966414,-2.8605666,-0.908319,0.9457154,0.429447,2.2602367,2.9003048,0.47501916,5.742803,-0.5732303,-2.0104196,0.43902588,0.81699514,-2.0761714,-1.7206435,-1.6488731,0.6343435,0.74948525,0.39995188,0.4415001,1.9832804,-0.091490336,-0.576805,-1.2502872,-0.059041746,-0.11979676
17,8.163119,2.138393,-8.184791,3.8263187,-5.607253,-2.157325,1.946023,-0.18874443,4.1459403,0.61033857,-6.2350407,-0.61552143,-5.891346,1.4521667,-1.7283106,3.3680053,-0.5732303,8.480147,1.0489882,1.0534589,0.31042975,1.2299485,0.16451263,-1.8880782,-0.8632517,0.34577018,0.10951805,-0.48795965,0.19483742,0.23690164,0.6929538,-0.017959327,-0.34475595,-0.679098
18,3.5258136,2.0572047,-1.5637798,-0.81111676,-3.510197,-0.6872585,0.97762537,4.047443,2.685073,-0.0691282,-1.9620674,-2.9599829,1.9849467,2.556392,0.039904978,-0.48385713,-2.0104196,1.0489882,6.704929,-0.31932217,-2.0707293,-0.76286364,0.112330005,2.8339963,-0.20044336,0.25588876,0.83768487,-0.9969355,-0.4569915,0.36088502,0.91104066,1.3212006,1.2963974,-0.46440607
19,3.8558033,6.2876177,-2.2424738,0.27585027,-3.3199668,0.97847086,0.69297165,-4.5310497,-1.0778188,-7.508995,0.9707649,0.7349135,-1.1747837,1.1734028,1.3937588,-1.356212,0.43902588,1.0534589,-0.31932217,6.1981435,-0.33005214,0.9769232,1.8396549,-1.790084,-0.05301905,-0.64352524,0.017895337,-0.6543007,-0.27701193,0.92282283,-0.3875075,0.18066818,-0.7803252,-0.5588268
20,-2.3080091,0.2664852,-3.5661721,6.2114296,-6.105702,0.114645004,-3.634183,0.4707767,0.5216601,2.7439342,4.257993,2.701083,3.969306,2.4614804,-2.4347997,1.0204852,0.81699514,0.31042975,-2.0707293,-0.33005214,6.0035353,-0.2940708,-0.6794821,-2.1293194,-1.1987295,0.32264853,-0.23829651,-0.58064663,-0.8553891,0.7554536,0.15892294,0.028012259,-0.08116452,0.36977404
21,-1.3937157,-5.2931795,7.253806,-3.5961788,2.8165421,-0.72565216,-0.7564393,-3.5639668,-1.2539353,-0.88024044,-0.38860565,-0.719843,-0.3900542,1.2268745,-2.3495517,2.0724792,-2.0761714,1.2299485,-0.76286364,0.9769232,-0.2940708,3.5957906,1.04599,-0.7196213,-0.23575056,0.1602347,-0.2836403,0.48771244,-0.49894935,-0.23597176,-0.07670912,0.8584511,-0.20393148,-0.952584
