,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,179.8337,114.19766,28.415344,-24.24198,-21.56103,-34.180122,11.264906,20.944134,7.008381,33.125458,1.7400383,22.273813,-15.02133,18.050838,-0.7405212,-13.666164,2.871231,12.414898,1.3435111,3.3242824,-3.805521,-3.2581196,2.4869947,-4.2916565,5.0798445,0.84997827,-0.3188389,2.2061539
1,114.19766,121.84519,-3.7968593,-15.347475,-35.08947,-22.871307,-21.389324,22.752193,10.48698,29.358006,-6.264659,-7.011385,-15.892418,6.101557,7.835726,2.4880407,9.728352,2.5206883,-4.0111666,3.0787995,-0.45301375,2.929925,2.0150537,-3.7795224,3.8500915,2.827357,-0.58627295,-0.34735447
2,28.415344,-3.7968593,96.37102,4.6096544,-15.606125,-46.55436,23.773424,-13.7908535,-13.603754,-5.2154446,8.846526,20.66566,-11.599524,0.69449794,-4.4192085,12.713198,4.061431,3.6816702,1.0181569,-0.3704737,3.6803527,1.4331502,-0.7608573,6.5882273,-5.5833445,-1.9482112,-2.5310807,-0.11947034
3,-24.24198,-15.347475,4.6096544,151.12709,29.804678,-8.8698845,-23.135494,27.004526,-8.352627,15.594465,-2.503103,11.109838,1.9137552,-14.072353,-1.067342,0.753214,4.6535954,4.371344,6.3970265,-9.54615,1.9198601,-0.010608254,-0.6188823,-0.44215336,-0.85639954,-2.6793823,-0.999598,0.15303591
4,-21.56103,-35.08947,-15.606125,29.804678,102.08062,-19.854616,-1.359817,-23.98307,17.10186,0.63874006,-4.6149826,-1.2365029,-8.155588,4.065207,6.155361,-17.43438,-6.9041204,1.4001203,0.011379376,3.1202524,0.9019364,0.32332712,3.1329803,-2.7701106,-1.5206263,-5.9237022,-2.4206975,-1.7214829
5,-34.180122,-22.871307,-46.55436,-8.8698845,-19.854616,66.037636,18.038574,33.636723,-2.860537,-5.3823013,2.3919415,-7.723523,5.953983,-1.554166,-5.6029415,-7.684593,-3.254104,-4.7002935,-3.3327966,-2.963694,1.8194472,-0.120491385,2.3255448,-2.4266648,-0.34989107,-1.3188734,0.78041524,1.2922561
6,11.264906,-21.389324,23.773424,-23.135494,-1.359817,18.038574,53.441525,5.110029,-1.223865,1.9938605,10.863199,7.9577513,-3.7566025,0.5294924,-13.832228,-3.7451186,-4.699607,-0.10935369,2.3152714,4.8308916,6.522763,0.7775626,2.6665678,-2.075418,-1.9103777,-5.138794,-2.6362758,1.7398043
7,20.944134,22.752193,-13.7908535,27.004526,-23.98307,33.636723,5.110029,57.949764,0.69852126,-3.8088999,3.1731598,4.848911,-10.675091,-3.5585237,4.868017,-4.7297993,0.7036719,0.487957,2.670642,0.40382516,-0.08551665,3.1916986,3.216755,0.5404475,-0.2801514,-0.2536636,0.72696835,-0.43174875
8,7.008381,10.48698,-13.603754,-8.352627,17.10186,-2.860537,-1.223865,0.69852126,24.566984,1.1310794,11.233854,4.992444,-0.7995695,-6.4711103,7.2583666,-2.2462897,0.1802007,-4.0707674,-2.093863,5.493285,3.0201793,0.9735863,0.8302779,-2.131163,2.5991015,1.4330542,0.06996701,-1.1920111
9,33.125458,29.358006,-5.2154446,15.594465,0.63874006,-5.3823013,1.9938605,-3.8088999,1.1310794,36.77282,3.8727233,-4.4330854,10.28763,2.7669616,-7.751506,-3.638978,-1.4636453,1.432748,-4.740491,-0.6737067,1.9265468,3.732521,-0.17624205,-1.1582749,0.9012657,-1.5545485,-0.4294903,-0.72344434
10,1.7400383,-6.264659,8.846526,-2.503103,-4.6149826,2.3919415,10.863199,3.1731598,11.233854,3.8727233,27.20039,10.442682,6.275832,-2.7159204,6.3523903,0.5331087,-2.5804956,-1.2347444,-1.8580987,-0.2991537,1.2672616,-0.16529402,-0.74226415,1.1673634,-3.106419,0.4374405,3.296639,1.210634
11,22.273813,-7.011385,20.66566,11.109838,-1.2365029,-7.723523,7.9577513,4.848911,4.992444,-4.4330854,10.442682,25.235992,3.3523803,-0.40185517,1.3016315,-2.8540375,0.6955373,-0.20614319,0.7394208,-1.5404649,-0.0059386115,-4.6391354,-1.0154263,0.6239644,2.7802944,0.40284008,0.18573478,0.09353066
12,-15.02133,-15.892418,-11.599524,1.9137552,-8.155588,5.953983,-3.7566025,-10.675091,-0.7995695,10.28763,6.275832,3.3523803,30.372375,1.9783237,-1.8857106,0.74443984,2.2623258,-2.0319195,2.5153115,-0.5924228,-1.0567422,-0.075550884,2.4573076,1.3295639,1.0889695,1.5563607,0.014721845,-0.6478735
13,18.050838,6.101557,0.69449794,-14.072353,4.065207,-1.554166,0.5294924,-3.5585237,-6.4711103,2.7669616,-2.7159204,-0.40185517,1.9783237,19.430077,3.744299,-6.009016,0.19153094,-2.0503843,2.2329226,-5.3106127,-1.3139899,1.9199661,2.70755,1.9560161,0.8665519,-3.5330706,0.97523475,0.742527
14,-0.7405212,7.835726,-4.4192085,-1.067342,6.155361,-5.6029415,-13.832228,4.868017,7.2583666,-7.751506,6.3523903,1.3016315,-1.8857106,3.744299,17.157804,3.7728405,-0.65122664,-2.532617,-0.5322591,-1.9505682,-1.8855957,0.55936426,2.0585933,0.5371916,-0.62596697,-0.33251494,0.6509727,0.31915912
