,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,217.14781,-3.6733704,26.355871,-36.567265,-1.1778288,-8.001213,2.502902,0.721817,-6.70502,5.642039,-5.1474123,-6.010762,6.425293,0.31077123,-3.8683867,3.9372134,0.6288029,-2.6397216,-1.7197514,1.8751903,-0.11564077,2.10647,2.9796813,-1.1173856,1.0467186,0.28044778,-2.82169,0.08500437,0.3946131,0.55640614,0.59918356,1.646693,1.2994536,1.2874991,1.8797345,-1.1221735,0.48064914,0.11193049,-0.4069553,0.76251805,-0.21367101,0.110050134,-0.26946923,-0.4064119,-0.9760635,-0.61239845,-0.41390526,1.1878375,1.156784,-0.123534836,-0.83345485,0.007283915,0.445067,0.7462648,0.12435991,-1.1600187,-0.265507,0.41661075,0.398098,-0.1448178,0.063475624,0.62045,-0.61747146,0.42849898,0.63071156,-0.1673685,-0.33447045,0.2744695,0.04687337,0.16590533,-0.5921068,-0.29407167,-0.09127203,-0.18974729,-0.29624563,-0.12391549,0.089292616
1,-3.6733704,127.45258,20.045181,-13.732781,2.393044,-2.9476337,-2.6077988,-1.6918836,5.763231,8.170744,0.58489215,0.8915452,-2.1307487,0.44809008,-2.4349566,1.098609,6.2458396,1.3371754,-2.8338964,-1.8587146,-0.84015244,2.3736176,-2.3747516,1.7125474,-2.346447,-1.9386649,1.9286914,-1.1899548,-4.6261063,0.2926548,0.32823497,-1.3918123,1.3586063,-1.3466418,-0.53273886,-0.24062534,-0.06662524,1.1289203,-0.5026537,0.49694234,1.6699435,-0.25403744,0.088272005,1.5451955,-0.35608315,0.47670346,0.19604494,-0.7799734,0.7372767,-1.7996727,0.7257321,-0.5307001,-1.021028,-1.8133922,-0.8045008,0.31769115,-0.9883908,-1.1078045,-0.2302827,-1.0282613,0.23373055,-0.41336066,0.58532834,0.36557525,0.0006352512,-0.41040695,0.69353366,0.047431655,0.52917355,-0.65037906,0.48650962,-0.050637998,-1.1814961,-0.29184073,0.85297406,0.023647806,1.021702
2,26.355871,20.045181,72.92252,-18.121304,-9.0405035,-0.03093979,-7.1389456,4.13645,7.850362,-8.077988,-0.7099142,1.2610743,-2.8041954,0.65216005,7.3466096,-1.5838921,2.4274144,2.2705493,4.3955817,1.4152002,0.725449,-1.7680445,-2.3722196,2.1429596,1.0208702,0.62238264,-0.9921957,1.1437209,0.58469355,1.4420859,1.0963029,0.28224188,0.17010957,-0.07130039,-2.4492183,2.3188784,-0.7563498,-0.70788825,0.90245396,-0.45924443,0.8270676,-0.23639089,-0.12930287,0.81727266,1.0683975,0.51749134,1.1502218,-0.29707342,-0.037969254,0.58916867,0.27396175,-0.6301732,-0.11449953,0.23429981,0.47644973,0.5365499,-0.44527617,0.4940321,-0.42705122,-0.12117159,-0.44450945,-0.4668877,0.0059330612,-0.30658585,-0.41030386,0.020318279,0.3380527,-0.09677485,0.62437594,-0.22318578,0.04661516,-0.027171023,0.07572086,0.06514461,0.33824086,-0.049075335,-0.6504143
3,-36.567265,-13.732781,-18.121304,38.6444,1.7179232,-5.4825697,2.4123163,2.441751,-0.15696281,-0.48137012,-2.60925,-2.972036,0.3489379,0.33573774,-1.1491271,1.0230463,1.7604663,-1.2034416,0.36632705,1.3100668,-1.1661999,0.8484454,0.7312634,0.26934165,1.3416395,0.28099054,-1.2942888,0.10190062,-0.77251387,1.0790324,1.5923803,1.6884451,1.1109006,0.80733585,1.068996,0.3353505,-0.57975054,0.51622397,0.5851593,0.5332571,1.0323863,-0.3464619,0.071552604,-0.13977844,-0.36829507,0.1569471,0.58025885,0.9437655,0.4795316,-0.22656,0.017560795,-0.44275647,0.13658673,0.46032828,0.24746773,-0.31433102,-0.4694035,0.3044455,-0.20357451,-0.41514856,-0.26548833,0.034590468,-0.13768485,0.13832453,0.29812413,-0.6117462,0.27792263,-0.124254115,0.30740082,-0.18284556,-0.1404914,-0.11821391,-0.20431578,-0.22894019,0.046112604,-0.10968226,-0.014034597
4,-1.1778288,2.393044,-9.0405035,1.7179232,44.12737,0.81351304,-4.21554,3.6475086,-4.7014484,2.7317038,-0.46272743,-2.9908495,1.6966835,-3.343975,0.9120661,1.9501606,-0.7653996,1.0140089,-0.033929672,-1.4231385,0.987204,0.12494537,-1.3289793,0.032532834,-0.84029925,-0.69662905,-1.2979478,1.2414011,-0.44719937,0.7619529,0.2639591,0.46535462,-0.4458272,0.0057163434,-0.18027267,-1.1085199,1.42857,-0.58465433,-0.70094013,-0.017868908,0.019084029,0.6577126,0.96048236,0.77124035,0.31462204,-0.2948694,0.044234153,-0.1449154,0.32637948,0.22723886,0.12513354,-0.03235282,-0.5187627,-0.46523035,0.034032565,0.1243232,0.11249154,-0.18514045,0.43650684,0.23356539,0.13428676,0.10777293,0.029490216,0.27021915,0.27117553,0.41905773,-0.09515617,0.52146757,0.6392858,0.16951543,-0.21023345,-0.09931473,0.44564253,0.06089011,0.56450343,0.06927341,-0.566084
5,-8.001213,-2.9476337,-0.03093979,-5.4825697,0.81351304,44.370804,1.6343837,-2.582931,-1.9510167,-0.26617,1.7051591,-1.6784337,0.37792093,-1.1470507,-1.4551528,1.640708,-0.5074884,0.17853871,-0.05627592,2.7485542,0.42515928,1.2641879,0.46478724,1.273996,0.6163712,1.6089579,-0.575736,-0.2241278,0.42395937,0.42499402,-0.68454033,-0.71484536,0.5213446,0.16115001,-0.30756137,0.44530118,-0.56028944,0.79696107,-1.3909901,-1.1209986,-0.04667695,0.4487971,-0.16326182,0.33391324,0.08779247,0.19856928,0.49764854,-0.11170822,-0.41387534,0.26022524,-0.16396266,-0.31321025,-0.25761706,-0.09779065,0.107769534,-0.10972718,-0.39433646,0.13939881,-0.051576927,0.40157896,0.05581572,0.06256789,-0.52288634,0.13842699,-0.25706086,0.25710064,-0.091600746,0.25511742,0.47288543,-0.26796016,-0.13138597,0.038933747,-0.15195552,-0.19457254,-0.051141478,0.010261963,0.15031911
6,2.502902,-2.6077988,-7.1389456,2.4123163,-4.21554,1.6343837,23.700653,3.1928225,0.15652013,0.39416438,0.0553182,-0.45409623,2.4234521,0.18311566,-0.44052887,-0.46156532,1.688581,2.0339184,0.898779,2.221816,-0.01346493,0.94010246,-0.76732045,0.21841064,0.1097444,0.33389047,-0.18862396,-0.30855274,0.5403614,-0.6486819,-0.7288368,0.20886588,0.3411697,-1.489032,-1.0002444,0.9040033,0.14092964,-0.5105042,-0.695448,0.866785,-0.42578822,0.28930724,-0.557654,-0.39656425,-0.67458034,-0.13884145,-1.1051736,-0.0650192,0.36850864,-0.03802996,0.75278074,-0.4827885,0.3244971,-0.34670675,-0.096566536,-0.36891538,0.027830143,0.26308692,0.4339348,-0.25455797,-0.40687114,-0.029203054,-0.41701138,0.19860625,0.47990793,-0.091047324,0.10196632,-0.4030637,-0.11565794,0.09492849,-0.074901365,-0.116650626,0.034782358,-0.24737021,0.31943256,-0.07446324,0.17280628
7,0.721817,-1.6918836,4.13645,2.441751,3.6475086,-2.582931,3.1928225,26.314623,-1.26209,0.26191103,1.0665582,-1.0984395,0.029510938,1.5187607,-0.19645739,1.3861159,1.9631758,-1.0124943,-0.44703197,1.135356,0.44879657,-0.5280914,0.9546106,0.1436121,-0.27753437,0.64563084,0.603191,-2.0470757,0.7826163,-0.0049399007,0.37572485,-0.8053322,0.20567623,-0.1080513,0.07669535,0.6530316,-0.46135592,0.27849054,-0.6179876,-0.48511285,-0.27396697,0.3304298,0.109739706,0.33598,0.42549455,-0.23819251,0.17318329,-0.2565869,-0.5370052,-0.27267855,0.051931687,0.010333385,-0.13597855,0.009416222,0.25794396,0.2458598,-0.25923952,0.26075482,-0.064449,-0.47678113,-0.11856265,-0.07482006,-0.06780144,-0.18376343,-0.20280619,0.009837094,-0.22709349,0.04689005,0.039278906,-0.07854459,0.20326337,0.14824507,0.09418894,0.056569166,0.13787912,-0.06641373,-0.12072986
8,-6.70502,5.763231,7.850362,-0.15696281,-4.7014484,-1.9510167,0.15652013,-1.26209,21.251635,0.7455473,3.6235714,-1.1087005,0.3367371,-2.3310273,-0.44440275,2.0658216,-1.1706686,0.49877596,-0.08288053,-0.12897024,-1.0409483,0.8213552,-0.58610904,-0.75194013,-0.4122401,1.1785789,0.2931805,-0.08073054,0.3256465,-0.14924037,0.50555015,0.34727788,-0.2348626,0.24732783,-0.6318872,0.15966171,0.22527418,0.6000078,-0.25629273,0.24662471,-0.4508685,0.21371481,0.17534354,0.24260828,-0.3675666,-0.6101229,0.03370086,-0.04809293,-0.49985427,0.4544416,0.31568897,-0.4360683,0.054108113,-0.40828538,0.1627565,-0.037916563,0.13693213,0.039095104,0.14459282,0.06391002,-0.22754285,0.16543286,-0.12774256,-0.103687234,0.198897,-0.011975856,-0.22118297,0.04031772,0.2815698,-0.07637997,-0.17360091,-0.16378933,0.11257146,0.25732696,-0.042877164,0.18143982,-0.026824638
9,5.642039,8.170744,-8.077988,-0.48137012,2.7317038,-0.26617,0.39416438,0.26191103,0.7455473,17.201504,-1.6095829,2.633635,0.42886323,-0.16994351,-1.9709582,0.23302738,0.24144092,-0.17165995,-0.8580247,0.48689872,1.4533875,-1.2554638,-0.9143518,0.45573765,-0.21053506,1.4031451,0.62882996,-0.90944844,-0.25682276,0.13467617,0.535437,0.7481365,0.5311625,-0.16979416,0.7487583,0.568257,-0.25171936,0.3834002,0.53484774,-0.49994522,-0.15357178,0.91872805,-0.12880406,-0.36807352,0.48499468,-0.26871717,0.78480625,-0.045902736,-0.027953917,0.22358099,0.602738,0.19240738,0.31665102,-0.23130105,-0.30516768,0.2299526,-0.026207237,0.20158616,0.111925445,0.29402173,-0.20264837,0.060585357,0.20095152,-0.328075,0.15959413,0.10772036,0.009396048,0.020610074,-0.15817082,-0.033852857,-0.10585955,-0.053289898,0.1934447,-0.053447045,0.00038304017,0.2245287,0.027129667
