,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,154.97844,10.868324,-63.419136,87.61588,2.6486459,19.12106,-5.6312494,-1.2881353,15.856384,-13.469873,12.245073,15.029504,-15.617399,-0.5945387,9.301625,-9.257851,-1.8538005,5.9346704,3.88171,-4.355094,0.08180943,-5.157608,-7.312541,2.4533684,-2.636669,-0.6058131,6.4833174,0.2361216,-0.7317407,-1.2353996,-1.6223228,-3.8984723,-3.2280707,-2.9915395,-4.557046,2.5520186,-1.2146628,-0.18529895,0.98288363,-1.9173924,0.41166374,-0.22214648,0.6341939,0.9179888,2.3450701,1.5733241,1.0597744,-2.9119954,-2.6749253,0.34278256,1.8861995,-0.1513452,-1.0147228,-1.7276675,-0.26862067,2.6132102,0.63793546,-0.8586161,-0.82883644,0.21431176,-0.22825235,-1.5580955,1.5369842,-0.95980173,-1.6160198,0.38370323,0.74042994,-0.6476618,-0.1529206,-0.28396094,1.3485346,0.72997105,0.32538247,0.50040793,0.57894266,0.36145407,-0.23311816
1,10.868324,234.99606,-48.179085,33.713898,-5.418762,7.285342,5.571527,3.100968,-13.336168,-19.892464,-1.1464508,-3.315059,5.5173187,-1.3927643,5.8844585,-3.0823956,-14.287163,-2.2958956,7.4224386,4.113613,2.461465,-5.508086,6.0001044,-3.6351476,5.849675,4.511589,-3.9972582,1.9508617,10.634305,-0.92229843,-0.42004317,3.2373238,-3.012618,3.0056863,1.3649548,0.8591431,0.2787133,-2.907174,1.1682777,-1.0481248,-3.81011,0.52409005,-0.22736266,-3.565063,0.8643236,-1.3489492,-0.6316974,2.0062203,-1.9995105,4.2308526,-1.4861403,1.5731063,2.3530154,4.2172575,1.8591251,-0.35427618,2.378347,2.3435318,0.27294105,2.7575788,-0.4171173,1.1407356,-1.5211302,-1.0284057,0.21472512,1.0168061,-1.545867,-0.15236673,-1.193163,1.3211482,-1.0165479,0.06680903,2.6064491,0.6092664,-1.7793716,-0.18756086,-2.4108224
2,-63.419136,-48.179085,212.75003,43.57655,21.742638,0.0852964,17.14764,-9.938989,-18.871723,19.432438,1.7102196,-3.0402746,6.7336926,-1.5736134,-17.67093,3.809912,-5.8406343,-5.4695854,-10.583382,-3.39364,-1.7496419,4.2514277,5.7068233,-5.150015,-2.4457998,-1.4966694,2.3847027,-2.7549953,-1.3991742,-3.4674537,-2.634936,-0.6825732,-0.41535354,0.17509365,5.8886786,-5.5707664,1.819924,1.7049761,-2.164607,1.1104884,-1.9869074,0.5686059,0.32058942,-1.9716856,-2.569869,-1.2456789,-2.7607286,0.7114684,0.09289335,-1.4170054,-0.661752,1.5132339,0.27241725,-0.5623762,-1.143117,-1.2977356,1.070297,-1.1845838,1.0284336,0.2911001,1.0722889,1.1212962,-0.013666496,0.7372966,0.98577476,-0.047304638,-0.81106555,0.2352741,-1.5004159,0.5371356,-0.11133745,0.06709966,-0.1798221,-0.15678482,-0.81222284,0.116882846,1.5623939
3,87.61588,33.713898,43.57655,109.484245,-4.17947,13.153789,-5.6957145,-5.7188144,0.29696256,1.1995959,6.2341433,7.3325233,-0.90357536,-0.7542312,2.7561114,-2.3899035,-4.351055,2.7430286,-0.9833554,-3.0921998,2.7317126,-2.0729313,-1.8023252,-0.7255378,-3.2588334,-0.65033245,3.0099854,-0.09976511,1.9376585,-2.5601287,-3.8873348,-4.04355,-2.713958,-1.9042084,-2.5847697,-0.8498888,1.3752675,-1.209295,-1.3994284,-1.3042972,-2.5150537,0.84737074,-0.16895638,0.31055743,0.8833658,-0.3450268,-1.3695519,-2.2895584,-1.1170521,0.5601175,-0.08251234,1.0155591,-0.31290117,-1.0839785,-0.5826229,0.6888963,1.1287329,-0.67960185,0.53536034,0.953156,0.61544645,-0.10698715,0.3498724,-0.3087435,-0.7517239,1.4666715,-0.6872328,0.30559027,-0.7512916,0.47886658,0.31375432,0.29333615,0.52930963,0.56545955,-0.1535934,0.28435183,0.026129382
4,2.6486459,-5.418762,21.742638,-4.17947,51.649483,-1.9654635,10.186322,-8.6938305,11.267561,-6.5535164,1.0922436,7.2710342,-4.110508,8.053949,-2.1926284,-4.6558294,1.7879585,-2.5016923,0.0423005,3.4503887,-2.4033313,-0.31244868,3.1706882,-0.10810495,2.011664,1.6832924,3.0755346,-2.9250412,1.1111587,-1.8161957,-0.6624761,-1.1122242,1.0546196,0.0055928715,0.4290349,2.6470509,-3.4428988,1.417867,1.6889985,0.0331802,-0.05998215,-1.5760221,-2.3034775,-1.8667903,-0.75554174,0.7219701,-0.091374755,0.33560514,-0.7669185,-0.53983516,-0.3242934,0.059288785,1.2543167,1.1292369,-0.0755633,-0.32885343,-0.27132702,0.46650654,-1.0311364,-0.5822295,-0.33053893,-0.2695099,-0.064147234,-0.63934845,-0.66689825,-1.0090238,0.21990328,-1.2509413,-1.5437148,-0.39144754,0.49433792,0.24346024,-1.0547965,-0.1405136,-1.3777602,-0.15826824,1.3576012
5,19.12106,7.285342,0.0852964,13.153789,-1.9654635,26.936224,-3.9236052,6.259284,4.675604,0.6562602,-4.108775,4.076124,-0.93161225,2.7699466,3.4948487,-3.9273338,1.1879714,-0.47436392,0.10196456,-6.593336,-1.0445125,-3.0487132,-1.1287695,-3.082077,-1.4821558,-3.8608885,1.3569415,0.5735562,-0.99414015,-1.0121429,1.6321802,1.7205443,-1.2695286,-0.3750922,0.7364828,-1.0777705,1.343652,-1.9074006,3.3513818,2.6931405,0.105002284,-1.0765777,0.40039164,-0.8128576,-0.21145011,-0.47176427,-1.1851174,0.26021817,1.0050471,-0.6217452,0.37994897,0.73900425,0.6215292,0.24086396,-0.2543491,0.24202746,0.94838524,-0.32024843,0.13716082,-0.97809184,-0.13697019,-0.1575467,1.2620709,-0.3264729,0.6084436,-0.61691046,0.21696281,-0.61007535,-1.1400856,0.65344584,0.3102802,-0.09022176,0.37702894,0.47123095,0.11250311,-0.020275887,-0.36425674
6,-5.6312494,5.571527,17.14764,-5.6957145,10.186322,-3.9236052,48.79187,-7.8438454,-0.30682778,-0.9952527,-0.09774126,0.93396544,-5.757056,-0.48212114,1.0665245,1.0438297,-3.9471703,-4.7426944,-2.0609863,-5.3956413,0.10419139,-2.2312267,1.8901647,-0.45600995,-0.25134802,-0.82983196,0.55215716,0.61210823,-1.3815024,1.5249116,1.8069068,-0.5132656,-0.7735548,3.5398214,2.4152522,-2.1411016,-0.3239069,1.1986995,1.658075,-2.0669823,1.0530787,-0.706305,1.3252914,0.9824796,1.6221931,0.30944228,2.622848,0.18318513,-0.9211385,0.07683137,-1.7612531,1.2078886,-0.79202676,0.8133803,0.21789202,0.9559742,-0.06711443,-0.6818279,-1.0879586,0.656402,0.99283516,0.0937531,0.98688805,-0.5007415,-1.1206691,0.21740842,-0.22970194,0.9605212,0.28973085,-0.26163244,0.20230995,0.27029118,-0.12235372,0.5824977,-0.72757345,0.16182911,-0.40748936
7,-1.2881353,3.100968,-9.938989,-5.7188144,-8.6938305,6.259284,-7.8438454,21.374508,3.157228,-0.67971724,-2.505116,2.3747292,0.011689794,-3.7244072,0.4749093,-3.430675,-4.558527,2.6338444,1.2010913,-2.802558,-0.98397565,1.3145092,-2.2279677,-0.23515764,0.71721613,-1.586348,-1.3071148,4.7154384,-1.9878035,-0.037655327,-0.8197986,1.9099605,-0.44087327,0.20944244,-0.16693974,-1.5044208,1.136298,-0.7105417,1.4796634,1.2037985,0.7063762,-0.81309986,-0.2625352,-0.77873313,-1.0227983,0.5274925,-0.45046347,0.6463444,1.2417998,0.63341004,-0.066534415,0.039807938,0.30211133,-0.05383393,-0.6356045,-0.5034933,0.62342197,-0.69644374,0.09293275,1.2110643,0.31912848,0.21200684,0.13847345,0.40828997,0.5359592,-0.016641397,0.57430434,-0.11966503,-0.075643174,0.13531618,-0.45378602,-0.36766016,-0.27806425,-0.15666613,-0.26954153,0.12936828,0.29962626
8,15.856384,-13.336168,-18.871723,0.29696256,11.267561,4.675604,-0.30682778,3.157228,26.271534,-1.7640057,-8.743256,2.8000288,-0.85552824,5.642727,1.0677061,-4.9179125,2.7293706,-1.3048381,0.13350591,0.34237498,2.4522705,-1.9985204,1.3721805,1.7504717,0.97228515,-2.813983,-0.78143704,0.30210388,-0.725631,0.38633978,-1.2592062,-0.8226819,0.5337305,-0.5667781,1.5121486,-0.4159615,-0.5546477,-1.4223845,0.62256104,-0.61274195,1.0592934,-0.5061438,-0.41852117,-0.59875906,0.8848984,1.4877231,-0.05910278,0.096803844,1.2274029,-1.0805149,-0.7944076,1.014257,-0.117804155,0.99694717,-0.38287574,0.04362633,-0.32880813,-0.0581208,-0.31428027,-0.1887892,0.53186214,-0.4150179,0.31914958,0.26745698,-0.50419974,0.027973672,0.5181978,-0.092783034,-0.6875642,0.20969376,0.39926332,0.39996254,-0.24244389,-0.6087141,0.0703619,-0.42071837,0.059675243
9,-13.469873,-19.892464,19.432438,1.1995959,-6.5535164,0.6562602,-0.9952527,-0.67971724,-1.7640057,26.866953,3.8858867,-6.405055,-1.0067148,0.388323,4.745146,-0.5876865,-0.5365472,0.4717271,2.10753,-1.199829,-3.4667845,3.0316744,2.211762,-1.0675209,0.52216935,-3.381884,-1.4748397,2.1333454,0.5872524,-0.33544028,-1.2665533,-1.8053141,-1.2615714,0.39512235,-1.7930753,-1.3497026,0.61305016,-0.9360252,-1.2885873,1.2080371,0.3806003,-2.216336,0.30918473,0.89645195,-1.163768,0.6318207,-1.8945695,0.115157105,0.053081516,-0.5427931,-1.4385431,-0.4435443,-0.76678467,0.54634,0.72885233,-0.52689576,0.06349848,-0.5062134,-0.28615627,-0.69139564,0.49723652,-0.13666536,-0.49147093,0.7805069,-0.37095565,-0.2554117,-0.015421681,-0.052527048,0.3840166,0.06486284,0.2632184,0.12447542,-0.47899616,0.12230386,0.013959475,-0.5476174,-0.06185954
