,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,157.56361,85.23686,-35.2715,-12.738617,-38.439438,23.805143,-10.256554,12.61474,-11.647929,1.0887781,-4.2378783,19.4223,-4.0900283,4.609505,-3.9814591,-12.106487,-5.855731,14.846813,-4.6367216,6.534276,-0.85887986,12.047363,1.3811469,-0.46172303,-3.2342024,-0.74255425,-2.6234589,-5.940013,-0.9207852,-1.1625504,0.71722543,0.99799454,1.5879724,-0.39097953,1.0407022,-2.9550433,2.769589,1.77443,0.9951594,0.32615852,-1.3877008,0.39671305,4.3701027e-07
1,85.23686,213.7795,23.187428,-41.43278,-21.169468,12.303339,3.8211448,15.311695,-4.9561157,-8.778097,-3.7017946,-10.775913,3.5675018,-6.7159963,1.6203153,7.0555396,3.8752604,-9.981546,5.614535,-6.2987804,-2.5544043,-1.9345794,-3.0520918,-3.3609562,3.0193536,-0.027102876,-0.93285626,1.734935,-2.328046,2.5434384,2.7238092,0.7121741,-1.9539442,1.975949,0.7352868,2.6962361,-2.2035015,-0.45471504,1.3010674,0.8392098,0.52689797,-0.34393498,1.2379579e-07
2,-35.2715,23.187428,89.22974,21.336967,-3.2701805,-8.591814,-11.5680275,1.0239174,-9.26767,-15.567656,0.011185337,-18.206429,-1.7095175,-3.916974,0.049019575,14.899124,-3.4511943,7.31034,4.4812765,3.7347174,-1.2722641,-4.7116747,-6.0860434,-2.4068737,-2.6013985,2.2065814,-3.5057404,-3.2448583,-1.3925812,0.85127413,-1.7457422,0.5381421,0.7678783,0.90403706,-3.93251,-0.16910827,0.06551346,0.5182712,0.16015232,0.17211127,-1.0737017,0.07461063,8.656756e-07
3,-12.738617,-41.43278,21.336967,90.09301,-6.329443,32.043503,-0.86616695,12.01663,-4.9381804,-3.6528845,-7.7559175,5.2036405,1.0766228,1.3566988,8.020231,1.9895031,-1.8672464,-0.80874395,-1.0824711,-2.917582,-7.1852727,1.5402279,-0.006646433,-0.8553716,2.0312839,0.9021503,0.6184022,-4.1882715,-3.3218424,2.9444273,4.5646067,1.6938024,-1.8494954,-1.0434763,-3.1578145,-1.3852682,-1.7016526,-0.07825419,0.16367957,0.66383827,-0.3682404,-0.15602447,3.2556989e-07
4,-38.439438,-21.169468,-3.2701805,-6.329443,51.675377,-14.018519,-0.75169206,15.127068,-7.1009645,-6.8193455,4.841695,-0.45571676,1.2004955,-7.852767,-4.689088,-6.2769556,3.0128698,-10.914821,-0.0058366642,3.560038,0.95213926,2.3923092,1.6500263,-2.9567685,-1.6608753,-3.4627385,0.83360493,-0.6069228,-5.254179,-0.11822194,0.96783596,0.94516397,-2.687627,4.5294995,1.4103048,3.1422873,0.60002244,0.7237466,0.3882336,-0.41990837,1.2750614,-1.8622816,-5.807556e-07
5,23.805143,12.303339,-8.591814,32.043503,-14.018519,37.990932,-7.1165166,-6.5174823,-2.5418773,7.2571597,-3.7816882,5.7580023,-2.8878486,-4.8180017,-0.4121309,-2.4388976,0.9879247,-5.2353783,-0.97063935,-5.78972,-0.16222082,-4.7565956,1.3936541,0.9760338,2.533261,-3.9791193,-0.5133953,-3.505755,-2.161443,2.1355863,-0.8158723,0.73756826,-2.118404,0.7926395,-1.1416634,0.24010912,-0.5023651,-0.21584423,0.170365,0.0025844434,0.04892035,0.54146475,-1.24822375e-08
6,-10.256554,3.8211448,-11.5680275,-0.86616695,-0.75169206,-7.1165166,40.730278,19.025219,8.343073,4.9874496,-5.837681,2.0991983,0.2519791,4.757202,1.0980698,6.944497,-3.5098238,-2.1475186,-1.2736187,0.6783757,5.9178567,0.10897231,-1.4056602,1.7984564,5.288718,-0.45301744,2.0874758,2.229714,1.0814602,2.0434828,-1.154001,3.070695,0.90327775,0.614782,-2.9821682,-0.31234133,-1.6861849,-1.6724449,-1.3803408,0.40469193,0.370148,1.0152094,3.2504326e-07
7,12.61474,15.311695,1.0239174,12.01663,15.127068,-6.5174823,19.025219,45.838955,-7.281339,-6.242487,1.2043077,6.4636264,-3.2855105,0.8275696,2.1304967,-1.4936559,-1.2786,0.08157188,-1.2687358,5.535549,-4.3181257,-3.5130882,2.768969,2.8206954,-2.9460323,1.26212,-0.11030133,-0.74981654,0.34063882,1.6488874,1.4602908,-0.060909122,-0.319058,-0.602529,-0.12506872,0.47493434,0.80946004,-0.16994125,-0.029672414,0.6290417,0.42587543,-0.41589552,1.9112381e-08
8,-11.647929,-4.9561157,-9.26767,-4.9381804,-7.1009645,-2.5418773,8.343073,-7.281339,35.131138,-13.14099,-6.793213,-4.6280427,-5.4362783,-1.8100227,-1.5615575,-4.31493,-1.7711607,2.267437,-2.529868,-5.8232555,1.6221794,-0.41769618,2.7717996,1.7603433,2.0450897,3.3274064,-1.7612836,1.589691,-0.05203374,3.9868903,0.52355254,2.5195284,-1.8747668,-1.3306813,1.6933724,-0.7328416,-1.7498235,-0.25827622,0.41174924,1.1901209,0.63699913,0.51723564,-2.8495828e-07
9,1.0887781,-8.778097,-15.567656,-3.6528845,-6.8193455,7.2571597,4.9874496,-6.242487,-13.14099,37.441822,-1.867205,-1.6108282,-3.3919454,1.568864,1.0945317,6.544194,3.8000195,-1.6773036,-0.110192575,6.61661,1.8797772,-0.90814793,1.3789104,-2.3513255,-2.4150305,1.221235,1.1760876,1.6516011,1.3227007,2.4857862,-2.1437242,-0.71143335,-1.9637067,-0.6916218,-0.2623835,1.3264085,-2.2045465,-0.63424194,0.44863513,-0.39766496,0.23595802,-0.14749762,-5.2738864e-07
