,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,207.60791,-74.646034,30.698483,10.6688175,33.580643,-20.897964,8.852486,-10.875673,9.262412,-1.2953125,3.1053085,-16.361128,4.0268974,-4.4526043,3.6539555,11.0699005,5.0996504,-12.727741,3.9732366,-5.9820223,0.88004327,-10.6796665,-0.5891284,-0.12273224,2.755208,0.25907815,2.1074276,5.5523386,0.608503,1.145922,-0.73827523,-0.575549,-1.221874,0.1905911,-0.59648174,2.1983771,-2.5012188,-1.5797653,-0.362584,-0.031849876,1.1959145,-0.0034832703,-1.8211928e-07
1,-74.646034,74.843925,-20.113039,35.291435,18.688417,-11.055708,-3.4422941,-13.145448,2.7456784,7.00381,2.1721158,10.323326,-2.25288,5.037736,-1.0626293,-5.1556683,-3.355813,9.00919,-4.988201,4.9354053,2.4617152,1.3144312,3.7587905,1.9760194,-2.7287393,-0.67450786,0.49732268,-0.80966914,1.6774142,-1.9679308,-2.5754626,-0.091554746,1.986109,-1.987977,-0.08239172,-3.0148597,1.7483776,0.3289798,-0.22356804,-0.2751755,-0.47764966,0.91564876,6.440253e-08
2,30.698483,-20.113039,66.5439,-18.515213,2.8289266,7.4898653,10.0654125,-0.8992701,8.140902,13.570139,0.04520078,15.781679,1.4419533,3.4481654,-0.06080489,-13.007164,3.00031,-6.374123,-3.8911924,-3.2191467,1.0937011,4.116411,5.234254,2.1426067,2.267504,-1.8821331,3.0649304,2.784944,1.2291489,-0.75302887,1.5288942,-0.49564224,-0.68277776,-0.77195966,3.3903537,0.1822199,-0.048169702,-0.44718814,-0.18689865,-0.17351261,0.93467456,-0.09723388,6.6520556e-08
3,10.6688175,35.291435,-18.515213,53.955223,5.720825,-28.140522,0.6605936,-10.318302,3.082861,2.68905,5.933524,-3.7868886,-0.27842882,-1.801074,-6.7058926,-0.97138137,1.634504,0.95848155,0.8591763,2.1174526,6.4343185,-1.6241772,0.86137015,0.010739293,-1.8462706,-1.3251095,-0.7807976,4.1832848,2.6198614,-2.3715887,-4.1294794,-1.0641713,1.8305448,0.6984513,3.177291,0.6854698,1.3498164,0.016600654,0.56071043,-0.22519863,0.30512875,0.6131782,-5.9353468e-08
4,33.580643,18.688417,2.8289266,5.720825,67.4625,12.295166,0.6888164,-13.203736,6.635167,6.115151,-3.9020114,0.11578326,-1.2939377,7.0646725,3.975525,5.1698728,-2.6240067,9.394135,0.036298357,-2.9362073,-0.89874434,-1.971982,-1.7600267,2.8497553,1.474623,3.2165713,-0.63249344,0.3220129,4.670987,0.03105054,-0.78068423,-0.9772341,2.2525754,-3.8592825,-1.3903109,-2.5350997,-0.4723862,-0.60978925,-0.60482156,0.23132658,-1.1030262,1.4378703,-2.5471005e-07
5,-20.897964,-11.055708,7.4898653,-28.140522,12.295166,45.482395,6.1434183,5.7308254,1.6233599,-6.5467625,2.8955362,-4.6493387,2.8299117,3.8884726,0.48834774,2.4883957,-0.85382426,4.6762075,0.8042495,4.831212,0.23132469,3.998128,-0.7972611,-1.2039614,-2.2415767,3.1981275,0.32864636,3.3107922,1.7493017,-1.7655501,0.6317955,-0.44330898,1.9498075,-0.79049194,1.2017817,-0.4603479,0.3738988,0.16276461,0.1925439,0.16835095,-0.049843244,-0.2394399,-1.7847817e-07
6,8.852486,-3.4422941,10.0654125,0.6605936,0.6888164,6.1434183,32.69222,-16.522423,-7.4513135,-4.4159794,4.9447374,-1.7056704,-0.11242674,-4.237485,-0.91133976,-5.915645,3.053769,1.9088036,1.0941815,-0.6579522,-5.1157637,-0.14095503,1.3610933,-1.6827786,-4.6118507,0.30623403,-1.8546251,-1.8510765,-0.98398304,-1.746319,0.9774902,-2.6038766,-0.7494024,-0.5684811,2.6631572,0.1873987,1.4451832,1.4459566,1.3143332,-0.29480278,-0.3243158,-0.8053374,-7.361352e-08
7,-10.875673,-13.145448,-0.8992701,-10.318302,-13.203736,5.7308254,-16.522423,22.433466,6.609457,5.5400667,-0.86123633,-5.789853,2.7060761,-0.57710505,-1.9141326,1.1248031,1.10935,-0.1294809,1.1220777,-4.7172766,3.7121706,3.1202068,-2.6040702,-2.284612,2.5801022,-0.9734719,0.15168044,0.5278399,-0.234563,-1.4771223,-1.2330621,-0.040790744,0.22645167,0.57186365,0.009803398,-0.2939058,-0.6740847,0.15957564,-0.13547528,-0.6277554,-0.36686444,0.25210893,5.587294e-08
8,9.262412,2.7456784,8.140902,3.082861,6.635167,1.6233599,-7.4513135,6.609457,23.745747,10.392691,4.18674,5.590417,6.122939,0.25551784,1.9270372,5.361891,1.563082,-1.430068,2.025681,4.1733427,-1.0153767,-0.24125415,-0.5947101,-3.0862699,-1.9479625,-4.040598,1.0157864,-0.23370017,-0.52495015,-3.06628,-0.79531807,-1.3236396,2.1019201,0.7138002,-0.55716705,-0.46429217,1.2459824,0.11542636,1.1337888,-0.2878528,-0.5859103,0.563486,1.21317605e-08
9,-1.2953125,7.00381,13.570139,2.68905,6.115151,-6.5467625,-4.4159794,5.5400667,10.392691,18.963642,0.93136865,2.030881,3.511164,-1.8947692,-0.72272825,-5.0428305,-3.2951355,1.6764708,0.025726657,-6.1118536,-1.4755573,0.5464626,-0.4684763,1.4186902,2.0317645,-1.5235727,-1.2302303,-0.97396666,-1.3796189,-2.0003583,1.7272713,0.9676198,1.8973764,0.42302433,0.5964876,-1.5966588,1.8060939,0.5075891,0.21019271,0.64640266,-0.21805835,0.5359896,2.4279814e-08
10,3.1053085,2.1721158,0.04520078,5.933524,-3.9020114,2.8955362,4.9447374,-0.86123633,4.18674,0.93136865,14.107558,-7.967309,5.5363975,1.33671,2.437217,-0.1700006,-0.23037374,-1.5666616,-5.031776,1.1975666,1.4592445,0.9482713,3.4965503,-1.7727492,-2.6181831,-1.4132451,0.4895631,0.96352637,-0.6982875,2.0381994,-0.79921854,0.5196036,1.242573,0.7586826,0.37998948,-0.4595533,3.3287563,0.5800371,0.668664,0.062897936,-0.7055733,-0.3307988,-5.5767423e-08
11,-16.361128,10.323326,15.781679,-3.7868886,0.11578326,-4.6493387,-1.7056704,-5.789853,5.590417,2.030881,-7.967309,26.43346,1.1218327,0.8763351,0.571647,-1.3309381,2.5765803,-2.877753,2.423366,5.173143,-2.2336354,-0.8223095,-0.9479325,-0.911945,0.46391952,1.5534194,-0.6884254,-0.6930258,0.77274036,1.7265991,-0.9149554,0.31870985,-0.956718,-0.62282896,-0.008936608,1.0948094,0.005941917,0.28083265,-1.0523083,-0.45217746,0.04769119,-0.033373863,1.547825e-07
12,4.0268974,-2.25288,1.4419533,-0.27842882,-1.2939377,2.8299117,-0.11242674,2.7060761,6.122939,3.511164,5.5363975,1.1218327,16.250092,-0.97262204,-6.767934,2.5843792,4.756098,0.6274724,-2.3556771,0.6228899,-1.8048191,-0.91956604,-0.27721882,2.0563278,-1.9314682,2.5645356,-2.3557992,1.0148013,-3.4192767,1.7632895,-1.8535836,1.3958068,0.15647605,-0.060741864,-0.75730884,-1.3285394,1.0297779,0.44174442,-0.49378502,-0.50593674,-0.064629614,-0.5725855,5.2368133e-08
