,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,97.88702,-29.951271,-14.68772,-35.717674,-40.42263,3.5313165,16.593193,-3.8507519,8.703324,-7.4659157,-1.66729,10.060522,12.179678,-0.8109664,3.6042118,-4.8911076,6.292017,6.331524,10.392466,-1.6022544,6.0762634,2.6680264,3.7163916,1.0084655,-0.3514011,2.981969,-0.40008116,-1.8965043,-3.2692168,-1.5409002,-0.22582224,0.2638878,-0.20897949,1.3361263,-1.7479141,-0.716066,0.8282447,1.499383,1.6527314,-0.32188815,-3.0180234e-07
1,-29.951271,147.47186,10.217281,9.044214,-19.458109,19.901424,20.219383,-25.28711,4.93908,-8.56509,-10.8812895,-18.215363,-19.327446,0.77016425,5.2342625,2.7029986,1.3942035,-6.378825,-2.3313718,2.9453459,-2.634399,-5.9243913,-4.2149577,1.1736803,-5.531776,-2.8638554,-0.5594085,2.7862368,0.50335085,-0.49395204,1.7282999,-2.0677269,1.829035,-0.7675036,0.8833723,1.9202511,0.25113893,-0.3384679,-0.836455,-1.4063464,7.877864e-07
2,-14.68772,10.217281,106.05995,9.140568,-9.764542,-25.605782,-1.3967785,6.707993,12.124367,0.12480223,-12.63374,6.4446535,-8.216467,-7.2618375,1.6850595,1.8516994,-5.237517,-2.2945538,-0.9535438,0.4592979,-6.556679,-2.1646628,1.9596915,-0.24432185,0.753824,1.6388705,-0.83286023,-0.46726677,0.75627565,-0.68485796,-0.6173998,-0.1641225,0.18749899,0.4181015,-0.45076263,-1.103673,-0.7343219,3.5465217,-0.010087066,0.5164486,-5.5010855e-07
3,-35.717674,9.044214,9.140568,26.682892,13.468579,-8.962324,-11.495771,6.5523424,0.28931636,3.1512933,-2.954411,-10.693531,-5.175331,1.276248,-4.3581166,-0.2618805,0.93890584,-0.7157513,-1.6341536,0.5119853,-1.5727394,2.1507697,-1.5359004,1.8991857,1.9419923,-0.19457689,-1.6880305,0.1706293,-0.022889815,0.48796964,1.2286432,-0.549512,1.2344239,-0.014654262,-0.26903877,0.054774072,0.007543253,-0.73156035,-0.30561012,-0.9389606,3.318823e-07
4,-40.42263,-19.458109,-9.764542,13.468579,45.935684,3.5942297,-14.466982,-6.2455635,1.6725031,4.52987,-0.02494131,0.96316886,1.6309373,-0.78169894,-4.540654,4.6026907,-0.9387219,0.8477451,-3.2062118,-3.3867607,-3.8691266,0.08868331,3.5713987,1.1807935,-0.9192226,0.5470649,-0.57151926,0.42317507,0.976968,1.147006,1.7466747,0.037906222,-1.4712529,-0.93114734,1.3645192,-0.3564247,0.15307236,-1.1599283,-0.8607627,0.7998991,7.5087996e-08
5,3.5313165,19.901424,-25.605782,-8.962324,3.5942297,26.760174,7.6114597,-6.8405313,6.3208375,2.0412939,0.9735147,-2.9296088,3.2790825,-3.8845756,5.5881934,-0.953362,1.5101614,-6.5058303,1.1546321,-1.0425142,-1.0429779,0.18591937,1.9660567,-1.615102,-1.0065105,-1.8843477,-0.52914214,-0.5235846,0.7915107,1.5435712,0.44415772,0.124784574,-0.70852184,-0.5543738,0.52728254,0.037609946,0.16300438,-0.94299674,-0.4276678,0.34287688,4.5959985e-07
6,16.593193,20.219383,-1.3967785,-11.495771,-14.466982,7.6114597,17.96774,-2.5532086,-0.4687707,1.9129808,-2.8091745,0.61765975,-6.5894623,0.2148225,5.755249,1.0070658,0.37459266,1.3678662,1.0438735,0.10436502,2.536396,0.45130187,1.0270483,1.6507468,-0.6082841,-1.5590277,0.9340981,-1.4120369,0.2719959,-0.14433831,0.15032679,0.36730978,-0.82446307,-0.32568154,-0.099925086,-0.19461688,-0.55319947,-0.16029903,0.14047587,0.80844903,2.0859383e-07
7,-3.8507519,-25.28711,6.707993,6.5523424,-6.2455635,-6.8405313,-2.5532086,28.72871,3.6332436,12.347127,3.4583182,-0.6110259,-1.140794,2.998069,2.514607,-3.6660905,1.0379708,-0.5142214,-1.7367666,-0.34681,2.5137951,2.271585,-1.696003,-2.4108582,-0.7901163,-2.1817293,-0.9006702,-0.6979668,0.40731442,0.15519959,-0.48848888,0.5413612,0.70232344,-0.0139880385,-0.056185696,0.04938125,0.006882881,0.062761545,0.16310242,-0.10828924,2.699543e-07
8,8.703324,4.93908,12.124367,0.28931636,1.6725031,6.3208375,-0.4687707,3.6332436,39.736897,-1.9332641,2.0318227,-1.2990215,4.271357,2.2946587,4.326899,1.101507,3.4227638,2.4925427,-1.8171482,0.4749847,-0.90207946,-1.5262353,2.2234912,0.03467106,0.8634671,0.32149944,-1.6085284,0.4441344,0.740284,0.7501441,0.68515366,-0.888699,-0.050904278,-0.5164851,-0.512646,0.34365112,0.11929306,-0.30453396,0.41555905,-0.13110015,8.149857e-08
9,-7.4659157,-8.56509,0.12480223,3.1512933,4.52987,2.0412939,1.9129808,12.347127,-1.9332641,21.80276,-4.4237175,0.8067959,-1.2877393,-4.0344195,3.0488176,0.9974315,2.195714,-0.5928439,2.1980262,-0.1386981,2.3721356,-2.8398027,0.40616402,0.8666143,-0.30217817,0.02846253,1.2982612,0.14952004,-0.15542501,0.78138006,0.572726,0.4543575,-0.20060858,-0.29533768,1.1766136,0.3184164,0.050158896,-0.63756156,-0.27864033,-0.16827309,3.809753e-07
