,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,6.341561,16.51891,12.689732,4.9330125,-3.1456394,-3.1350245,0.7346501,1.7943063,0.8274152,-1.0859797,-2.9692988,2.2403944,0.32365757,-0.34992215,1.3568435,2.0084946,0.6131604,0.78971374,2.1180954,-0.0645394,0.76417005,0.2877365,-0.29603672,-0.020091165,-0.15660223,-0.89525867,0.22301039,-0.0966669,0.5316192,0.27455384,-0.44515413,0.14696689,-0.44099328,0.25501773,0.5431264,-0.29372475,-0.2218292,0.094281465,-0.010609349,-0.25714982,-0.84059787,-0.35435045,-0.16545662,0.51668966,-0.18259889,-0.49140012,0.64478564,0.5135695,-0.048870817,0.44604462,0.022281878,-0.26648432,0.09584702,0.058849663,0.7999041,-0.018772904,-0.2742748,-0.22771479,0.63416857,-0.24122266,0.10191938,-0.012153044,-0.18683556,0.027250756,-0.37480265,-0.091461904,0.102934524,-0.1747595,-0.21827628,0.00648443,0.055552803,0.036222063,0.23443735,-0.51238984,0.22458658,-0.1085316,-0.031925812,0.14606452,-0.15196422,0.10826421,-0.07673045,-0.04963734,0.13123295,0.11929442,-0.038548607,-0.14675501,0.07908957,0.008132808,0.02290105,0.09522587,-0.23692662,0.0122826155,-0.1074978,-0.02670911,0.012212425,-0.13552175,-0.00399033,-0.17841142,-0.21373804,0.007422038,0.11965947,-0.20942003,-0.17807543
1,16.51891,80.38299,18.858631,2.4532084,10.290922,-10.005136,5.4863853,7.165533,-3.4602737,3.8705134,-4.4842625,0.7544005,2.84991,-5.3697004,-0.23898743,4.5255246,-1.7047586,2.3487854,6.5136485,1.007735,4.564967,2.0711267,-2.9947934,0.64121747,-0.31740546,-0.41878468,3.398303,0.74131763,-0.14462385,-1.4288404,-2.409387,3.4531617,-2.0092332,1.5023751,2.434381,0.827059,-0.21252036,0.8195777,0.8865584,0.6142162,-2.8125343,-0.93186975,-0.33261538,2.0113516,-0.458147,-3.4360738,1.455301,0.706122,0.39204186,1.0201322,0.69169563,-0.53441346,2.2101974,0.7218009,2.054899,0.71057165,-2.069652,0.2822852,1.2262483,-0.2977962,0.3093778,-1.2562399,-1.7839487,-0.14460963,-1.0177879,-0.8385768,0.43783855,-0.48998588,-0.3765198,-0.11585277,-0.4783656,-0.59302896,-0.046646547,-1.0516322,0.12980816,-0.7695637,0.6848922,0.73502016,-0.41009223,-0.058973238,0.71194875,0.2217924,0.4930743,0.8967356,-0.5646856,-0.41310567,0.013671101,0.23140146,0.43687236,0.28249133,-0.8012604,-0.38154608,-0.1800555,-0.40578532,0.3038851,-0.47326773,-0.15958413,-0.8187905,-0.85537577,0.14091691,0.3555613,-0.6968626,-0.29067078
2,12.689732,18.858631,47.718933,4.5298424,-13.680822,1.3584931,1.679879,0.18794844,5.0266027,-6.464651,-4.9317327,-0.24474767,1.1729153,-0.37625042,5.1382074,10.207325,3.2307773,0.49550068,0.8979536,2.074124,1.01876,0.99280363,-0.75967574,-4.408527,0.39509976,-1.0452163,-1.0020635,0.009172789,1.9296331,1.2859764,0.0018974016,-1.0077555,-0.6132276,-0.18616301,0.016467854,-1.9674366,-0.6735047,-0.2858783,-0.8543256,-0.39508075,-1.051328,0.6728802,-0.65866464,-0.31895724,-1.2975578,-0.9037425,1.6545736,1.1411572,-1.4060584,0.21823795,-0.5352732,-0.13348132,-0.11644263,0.34855723,2.096242,0.02948071,0.10070929,-0.22169974,1.6510439,-0.7915859,0.47064906,1.002785,0.66139555,0.59566057,-0.75054854,0.49621782,-0.2829423,0.21656826,-0.16639331,-0.07737878,0.032176107,0.12781326,0.3174577,-1.3227292,0.59926987,0.3004775,-0.24442653,0.19390851,-0.27423796,0.61340165,-0.074000955,0.0071845865,0.20884544,0.19708617,0.006188756,-0.64254653,-0.054876797,-0.12874156,0.022371616,0.113247305,-0.4935929,-0.38073975,-0.28910902,0.1440098,0.28743297,-0.3585857,0.45030558,-0.27080333,-0.49580753,-0.25988764,0.40528926,-0.26233232,-0.27330878
3,4.9330125,2.4532084,4.5298424,45.52796,-6.233882,-1.0701587,0.63253367,7.8845525,8.477409,-4.16463,-6.261428,3.074719,-3.2030246,2.9037166,1.022605,-1.0878122,1.9603565,-2.0896473,-0.5506525,-3.725998,-0.6308216,-1.2090557,0.41880208,3.8125975,4.2369413,-5.0315247,-0.29483992,-1.8568676,-0.120882004,0.64171946,0.7203251,-1.1413317,-3.3786178,-1.5964081,0.5606704,0.10396272,1.4783323,-0.26965243,1.01291,-0.714173,-0.6744481,-1.2843008,0.79501164,1.0586817,1.072341,0.970978,0.13838708,0.82680225,0.45026636,0.59584,-0.50766623,-0.7858095,0.42018673,-1.0974602,0.13668402,0.07640904,0.47711772,-0.30298936,-0.67714757,-0.6502153,0.5274358,0.09068322,-0.78663355,-1.5974241,-0.36982197,0.18391159,0.29154927,-0.098245084,-0.13740921,-0.5384826,0.0023181187,-0.14234766,0.2370395,-0.11891558,0.6720412,-0.69025886,-0.189209,-0.18188295,0.20791411,0.5349771,-0.024058957,-0.062436506,0.28777885,0.369965,0.6964077,-0.12371861,0.1769349,-0.35935137,0.34819552,-0.020800773,-0.15501189,0.53923297,-0.04197061,-0.21759596,0.018850056,-0.08176379,0.32039303,0.48184234,0.15634273,-0.09807499,0.019926395,0.0305361,-0.033944495
4,-3.1456394,10.290922,-13.680822,-6.233882,20.365871,-1.1766593,2.593422,1.8889947,0.25156185,2.7513216,4.9565578,-2.9476166,-3.2060661,-1.9736218,-2.4918385,-0.92106223,-0.43775356,-0.74745524,-0.72362345,0.029957913,1.1453123,1.2023435,-0.96140635,-0.555971,-0.3581568,2.2162654,2.7333312,1.160454,-1.1077628,-2.3727942,-0.5705956,1.9580007,0.34860578,0.55514693,-0.2637664,1.2425256,0.20222892,-0.7214532,1.2060299,0.17078587,-0.5753757,0.08312128,0.2757785,0.62651443,0.3739648,-0.1398511,-0.4590183,-0.11833306,0.4810279,0.4041106,0.6214668,0.34963742,1.1151419,-0.87271726,-0.9742365,0.6198484,0.09909329,0.9200791,-1.0374994,0.23105997,-0.44249305,-0.24499786,0.10954727,-0.105614945,0.13262738,-0.8731278,0.17751956,0.11691643,0.29008463,0.52347666,-0.50787836,-0.046733037,-0.5995629,-0.014246867,-0.47089797,0.24905506,-0.25104666,0.019560333,0.10031068,0.21968701,0.3921616,0.23383519,-0.058993075,0.13414633,0.08747855,0.019123502,-0.25218123,0.5424397,0.16205826,0.2548882,-0.23177136,0.05154165,-0.024202755,-0.33903927,0.08827569,0.0921386,0.07858535,0.01495817,-0.22159933,-0.044600196,0.0116475485,-0.3412516,0.16603434
5,-3.1350245,-10.005136,1.3584931,-1.0701587,-1.1766593,14.798132,3.2540245,-4.0687714,-0.5721481,0.017792478,4.035205,-2.55157,0.66818714,-0.28829694,-0.5255998,0.98771334,-0.04882679,1.9553889,-3.6302633,3.749342,1.3086596,-0.33913583,1.4952973,-0.03232396,1.1230376,1.2381546,-0.37924427,-0.06931351,0.32412937,0.12864509,0.7037821,0.19847965,-0.96585107,-0.79245293,0.85791606,0.34869295,-0.2969154,0.5376409,-1.2430686,0.60322165,0.46133476,0.25144738,-0.3453019,-0.43351293,-0.06295329,-0.8063346,-0.12661314,0.17976579,-0.47435644,-0.32620376,-1.3578928,-0.172543,0.3105322,0.05567258,-0.5016265,0.32264268,0.055077337,0.3071577,-0.15238464,-0.09748404,0.40980476,0.23174049,0.6623701,-0.6676849,-0.21706256,0.09058672,0.21139826,0.35336995,0.36703897,-0.1344503,-0.28348467,-0.0654837,-0.36703593,0.18229422,-0.11001052,-0.1190605,-0.019216374,-0.07958515,0.17564145,-0.16278887,-0.024122627,0.28697324,-0.101502955,-0.0053964145,-0.15223347,-0.52173984,-0.230952,0.2361538,0.3455804,-0.28444543,-0.4774878,0.09234856,0.25047928,0.21764593,0.1346229,-0.036663823,0.29278904,0.272816,-0.031253926,-0.23668411,0.04208442,0.41954568,0.2994439
6,0.7346501,5.4863853,1.679879,0.63253367,2.593422,3.2540245,22.916706,1.221945,-1.3876286,5.1200724,2.8305492,0.40595856,2.702272,-2.9586434,-2.3938854,0.5675378,-2.1233125,0.17215043,-2.0557985,1.0985696,0.0844121,-1.7932657,0.53184986,-0.40734076,-1.037699,0.86557436,-1.2211446,-0.16014805,1.7330683,2.3081856,-1.1152275,2.169372,0.46639627,-0.22241801,0.6264969,-0.8642129,0.9914025,-0.72612506,-0.7634881,-0.62104255,-0.3058287,-0.82994366,0.092872165,0.918578,-0.70742124,0.5780436,0.2553947,-0.86823374,0.7153983,-0.25481936,-0.16573241,0.67753685,-0.29085505,-0.048487913,-0.119982325,-0.21364942,0.8347585,0.26584452,1.0078242,0.180904,-0.25978443,0.59290886,0.005449784,-0.6741555,-0.6623889,-0.07756274,0.23180589,0.65071064,-0.9421933,0.49915922,-0.20979543,-0.24281055,-0.35097307,-0.64651155,0.040264174,-0.4619391,-0.42991835,0.36487874,0.19912681,0.116163686,-0.22670561,0.4647706,-0.27839988,-0.07660745,0.7031746,-0.26514995,-0.080759555,-0.020852765,0.005429808,0.09688969,-0.51957524,-0.11134746,-0.2318489,-0.50451684,0.38479608,0.0160723,-0.25998625,-0.06836996,0.15731212,0.036071844,-0.30340034,0.35968497,0.0023406819
7,1.7943063,7.165533,0.18794844,7.8845525,1.8889947,-4.0687714,1.221945,7.480504,0.501835,-1.3015492,-1.5061574,-0.00052208814,-0.32484972,1.1160011,2.0891852,-0.73406744,0.34868175,-2.367259,1.6211315,-1.4192309,0.16683073,-0.95746565,-0.43292886,1.2425628,1.2173319,-0.7854854,0.1273962,0.014579302,-0.45461455,0.28091958,0.05800981,-0.07276138,0.01048404,-0.6686816,0.074490786,-0.67279315,-0.38474458,-0.21255144,0.78989697,0.2106905,-0.5748086,0.23881344,0.44522858,0.22751844,-0.50224215,0.12921995,-0.5477716,0.3610172,0.72779346,0.03413885,0.09360494,-0.056186337,0.24963823,-0.67102635,-0.57780784,0.38429943,0.3095044,-0.050474763,0.24977127,0.12286606,-0.7146859,0.16104895,-0.16075651,-0.12607375,-0.14680469,-0.25964424,-0.10978271,-0.34329578,-0.18103647,0.033952795,-0.35879636,-0.3334603,0.06263848,-0.37922108,-0.053779062,-0.21331316,0.2536862,0.1329538,-0.08008432,0.3093812,0.12761518,-0.03229374,0.071907595,0.33626816,0.10598832,-0.0369876,0.10880493,-0.13449119,-0.037311275,0.041040704,-0.02815247,0.03144079,-0.48804754,-0.03802514,0.14830397,-0.042034045,-0.20323296,-0.007777375,-0.09537136,0.18125676,-0.05845225,-0.115345135,-0.16504925
8,0.8274152,-3.4602737,5.0266027,8.477409,0.25156185,-0.5721481,-1.3876286,0.501835,14.597664,0.4766472,0.28345105,0.023696776,-1.2726036,-0.16279984,0.28280675,-1.6103121,-0.4355163,-1.1571858,-0.05044569,1.9865675,0.50890684,0.40856522,0.7371501,-0.65440094,0.28186357,-0.41399956,0.72096777,-1.3717252,-0.7448168,-0.5171965,0.40173304,-0.021843854,-0.35286283,-0.71701145,-1.2170289,-0.39924562,0.7665252,-1.1136031,0.5476577,-0.3521294,0.5606357,-0.3281284,-0.5718816,0.19303238,-0.41793525,0.5203432,-0.20549591,0.7078748,-0.4660534,-0.057755575,0.3252019,-0.036211096,0.81052804,-0.45857543,0.3360651,-0.33359182,1.0364767,-0.20073786,-0.45366216,-0.32675678,0.27688026,-0.20212084,0.081022665,-0.50115097,-0.13310516,0.032549202,-0.1720253,0.1998769,0.014857949,0.14233673,0.41864252,-0.20199037,-0.11559057,0.10767706,0.4841969,0.26521105,-0.18576512,-0.29793492,0.3083392,0.24678904,-0.12999374,-0.10394563,0.03597209,-0.08537695,0.29715794,0.06374654,-0.057138413,-0.19222888,-0.12462422,0.11448909,-0.019913614,0.08585279,0.3618672,0.02454377,0.17071873,0.2500222,0.23689757,0.060878463,-0.41095522,-0.15312146,0.1377584,-0.06319003,0.088998035
9,-1.0859797,3.8705134,-6.464651,-4.16463,2.7513216,0.017792478,5.1200724,-1.3015492,0.4766472,13.138575,2.1843202,-0.44187504,1.114573,-0.6914773,0.97335875,0.039655622,-1.5928082,-1.4402282,-0.0057620816,0.7565936,-0.35752422,0.5555573,0.4930721,1.6001925,-1.6260821,0.09628939,-0.28371653,-1.9662879,-1.0515995,1.1606476,-0.53932345,1.4477382,-0.25939286,1.4317498,0.032485597,1.4788527,0.32696778,-0.8282743,-0.47077093,-0.17492673,-0.069838844,0.5018163,0.25146762,-0.10829298,-0.13256979,0.34516934,0.021024618,-0.31179678,0.5186464,0.5785059,0.64970005,-0.2939338,-0.24171397,0.096336044,-0.51234305,0.16087133,0.122771695,-0.4000618,-0.364492,0.31081873,0.45552334,-0.5143647,-0.08443884,-0.34117416,-0.03240124,0.47743696,-0.50051016,0.108748175,-0.43808347,-0.084100485,-0.06442638,-0.40514553,-0.43022117,0.018365268,-0.017374258,0.17804083,-0.4709753,0.3471058,0.2595262,-0.2624333,0.01805105,0.22630872,-0.17776917,-0.1199878,-0.010285066,-0.17808713,-0.16905652,-0.015108358,-0.0737682,0.46009314,-0.01760022,-0.12507072,0.3529583,-0.27773666,0.25282747,-0.01695865,0.123065636,-0.28863293,-0.063952364,-0.1758022,-0.14225018,0.22958125,0.05640075
