,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,288.14487,-8.662363,-2.6498141,1.4779154,-0.27248752,-2.1707344,-1.1374135,-3.459698,-0.76583964,4.6250916,0.9672842,-1.582568,-3.6434698,1.935129,-0.1729514,1.9596846,-2.7396855,0.6585187,-2.2991102,-1.2553177,-0.24205653,-5.494918,1.8984054,-0.721835,1.1310029,-0.81870735,-1.0461226,2.046443,1.0446073,-1.1829835,-1.1805782,-1.055341,-3.128782,-0.831357,0.14093797,0.59759957,-1.1802617,-0.4988643,0.34926155,0.71803176,1.7564287,0.6722907,-1.3395746,1.8704605,-0.74946,-0.94591916,-0.37738138,0.4764557,0.52179825,-0.69395334,-0.97957337,-0.34431,-0.29171717,-0.41681427,-0.6821831,0.5385974,-2.1730769,-0.7251917,-0.3694221,-0.48154455,-0.033740424,-0.15542355,-0.029957628,-0.86401904,-0.1911532,-0.279015,-0.5787269,-1.0152473,-0.22162655,-0.18319882,-0.22949223,-0.11133121,0.2967072,-0.54627013,0.20530212,0.828847,-0.017785331,-0.78838825,-0.7775893,-0.15335618,0.075115144,0.29132286,-0.1061426,-0.01107483,-0.0035807397,0.39917338,-0.6679279,0.26835045,0.24108928,-0.4837051,0.18780848,0.11115578,0.48012936,-0.41846612,-0.116075575,0.7378178,0.40220678,-0.58945096,-0.26649314,-0.18015194,0.10270457
1,-8.662363,97.86818,-1.2415222,-2.2637272,-2.7552547,-3.693408,-3.6380687,-1.4760988,-1.906598,0.93175226,2.562173,-0.8711343,-2.916432,0.4382642,1.7021356,-0.19086757,-0.16431612,0.36945063,-1.1039157,0.5935031,-1.191172,-0.71057695,-0.7445451,-0.7996057,0.14082374,1.244647,-0.86692834,1.440702,1.2511239,-0.9106425,0.7880989,-0.39568105,-1.679102,-0.43001997,-0.5841299,-0.07121246,-0.5550668,-0.331679,0.42948198,0.18059397,0.63273954,0.528257,-0.24340639,0.35846913,0.1667873,0.18749872,-0.8660452,0.15426151,0.9648117,-0.23079239,-0.18139812,-0.5507379,-0.12347468,-0.23533541,0.45554864,-0.025875509,-0.16897619,0.28824782,-0.8582096,-0.34509665,-0.29965854,0.52243257,-0.25971723,-0.6369908,-0.38945448,-0.00072639366,-0.6579143,-0.66628665,-0.073121786,0.09620121,-0.21633315,0.09483518,0.20497811,0.01091676,-0.19648203,0.4026494,0.05464361,-0.3804716,-0.53267944,0.108768806,-0.0779768,0.2949082,0.38461256,0.20048663,0.16647507,0.31828648,-0.0120895505,0.055086605,-0.008700752,0.0060962276,-0.016411312,0.22166893,-0.27127087,-0.040246867,-0.0379396,0.04811991,-0.14339058,0.0798689,0.09949508,0.20213926,-0.003793926
2,-2.6498141,-1.2415222,73.21426,2.3019528,-2.925167,0.78895223,-1.8519255,-2.3334703,-2.0652733,-1.0315075,0.67971826,-0.6304945,-1.6747274,-0.45572084,-1.3225713,2.3469157,-0.47046274,-0.37645912,0.545888,-0.15884206,-0.3460191,0.2891064,2.2482328,1.3297558,-1.1821657,0.31895396,0.786747,-0.22465587,0.65405333,-0.33811808,0.42979133,0.1682467,0.21059453,-0.6675748,0.14632162,-0.4878267,0.039084084,0.16508909,-0.84945786,-0.48658103,-0.3356701,-0.3708477,0.20376626,1.4476987,0.8692154,0.8038757,0.576908,-0.7015203,0.44175637,0.59446883,-0.35928434,0.048232704,0.05372236,-0.6100403,-0.113156185,-0.0012685352,0.108026765,0.65498877,-0.19453642,-0.6781342,0.28647915,0.08992027,0.24690372,-0.27101162,0.12527299,0.22316477,-0.24978302,-0.08243215,-0.060720462,-0.42999232,-0.06736408,0.54195267,-0.28793356,0.01764505,-0.09574621,0.46513224,-0.18254523,-0.06517006,-0.09732364,-0.02440657,-0.1322825,-0.01483301,0.19940943,-0.32203102,-0.42280817,0.5215102,-4.015415e-05,-0.038502444,-0.06421441,-0.04088495,-0.027124928,0.21693406,0.15752316,-0.08478485,-0.07350545,0.04940732,-0.22392121,0.05946944,-0.23413885,-0.13571435,-0.08690735
3,1.4779154,-2.2637272,2.3019528,67.68676,3.1227078,-5.3107195,-1.4874583,-1.6079565,-2.184194,0.7159969,-0.5307902,0.93625313,-0.31189936,0.8559644,-0.36514413,-1.2820499,3.0791912,1.6053362,0.69423676,0.4408414,-1.1311979,-0.52093554,-1.1524346,0.029398086,0.89787143,0.3069417,0.16746524,0.3563285,-0.14627767,-0.57036114,0.38857812,-0.88395786,0.5017479,1.0265384,-0.025154248,0.27510232,0.2974236,-0.8751496,0.061809853,0.13177814,-0.84607863,-0.090250775,0.18596454,-0.20961383,-0.45064968,0.3904305,-0.2716709,0.34611017,-0.21001902,-0.023064785,0.20549312,-0.0828165,-0.085789815,-0.0045027956,0.3164354,-0.14717308,0.3768155,-0.20580539,-0.15623769,0.09122033,-0.04858745,0.32250333,-0.30520284,0.21139652,0.22065642,0.28777683,-0.6560924,0.01734778,0.058809694,0.041404467,0.027627138,-0.11476335,0.18610808,0.05274584,-0.16200691,-0.019103449,-0.13249692,0.038618185,-0.13608842,0.08491774,0.10572438,-0.064160556,0.053109005,0.11424987,0.06728345,0.034731034,-0.17329665,-0.033099473,0.23380294,-0.055983294,0.009491506,0.06797599,-0.07183783,0.14177367,-0.07708527,-0.012749119,-0.0068520764,0.0064122807,-0.05117988,0.09584853,-0.06005508
4,-0.27248752,-2.7552547,-2.925167,3.1227078,48.61706,3.822556,0.44570044,-1.1524423,1.8490524,-0.79349756,-0.042784348,0.74502397,-0.5956818,-1.4284848,0.5219233,0.023172379,-1.9447513,0.042896885,-1.7175819,0.69703776,-0.2298018,1.1634799,0.8395121,0.30858997,-1.6924484,-0.0685039,-0.64397734,0.5026779,1.1582375,0.07739818,1.2736542,0.6620264,-0.38173926,-0.92942363,-0.8539525,-0.38414207,0.0474092,0.080180146,-0.23927045,-0.30136472,-0.10946634,-0.10667564,0.38402694,-0.14372277,-0.07400899,-0.51147187,0.1552387,-0.23298357,0.3243674,-0.5391208,-0.010888092,0.41235888,-0.17223011,0.059940223,-0.011824224,-0.019144267,-0.077989265,-0.15915495,-0.4072857,0.14728165,0.0152731445,0.25002873,0.33135265,-0.4855379,-0.2659874,-0.4236318,0.39275014,-0.6005951,-0.45893362,-0.003813014,0.17250675,0.2953909,-0.44776273,0.6681211,-0.13448532,0.4596569,0.035966713,0.23640262,0.12988073,-0.096574664,-0.06945139,0.016595248,0.40311956,-0.18218979,-0.09589356,0.3818507,0.15987447,0.20367384,-0.30181038,0.015642509,-0.1463758,0.005784223,0.115791164,-0.045567486,0.099062145,0.085696556,-0.12161791,0.188584,0.22344585,-0.060907118,0.067318216
5,-2.1707344,-3.693408,0.78895223,-5.3107195,3.822556,33.467903,1.3952508,-3.7905276,-1.925008,-0.15387179,0.25504935,-0.21069522,0.18571581,0.6428255,0.2544812,-0.81967777,2.1868293,1.590675,0.95770514,0.548822,-1.6430403,0.0765443,-2.265759,-1.9199271,0.61581063,1.2206378,0.45695496,-0.5506793,0.99163043,-0.85292953,0.30104047,-1.4137161,0.56291354,1.6282482,0.689941,-0.37309572,0.39212018,-1.0735648,0.64251125,0.8952486,-0.1857501,-0.30453318,-0.62119114,0.43413216,0.061284684,0.119587734,-0.10106151,-0.14999102,-0.013891651,-0.012417445,0.56010205,-0.6136246,0.24023342,-0.19796209,0.47668636,-0.037601314,-0.13221054,0.16133693,0.061396502,0.044512615,0.4692037,0.2685681,-0.21314701,0.04949525,0.38625437,0.06461482,-0.8018118,0.10181585,-0.0679206,-0.14143422,-0.14723161,-0.15729788,0.15849316,-0.17374896,-0.2505517,-0.053270213,-0.09229441,-0.12180195,-0.6253933,-0.24720095,0.08562476,-0.01352996,-0.08404155,-0.007818405,-0.32555303,0.17782345,-0.093282446,-0.18827003,0.19661888,-0.12819046,-0.21559131,0.026151277,0.358875,-0.008544264,0.10576345,0.08564188,0.07143143,0.12130838,0.13100043,0.060579553,0.2198768
6,-1.1374135,-3.6380687,-1.8519255,-1.4874583,0.44570044,1.3952508,31.079113,-0.97499883,-1.7765889,1.4635159,1.0764099,1.1231713,-0.12602638,-0.2523794,-0.4830348,-0.18780135,-0.4532674,-0.1526621,-0.2150265,-0.10795975,-0.6982645,-0.6359285,-0.039503045,1.5995421,-0.36498207,-0.41078925,-0.6434903,-0.9005539,-1.0039392,-0.7427776,-0.47801775,0.31142783,-0.45278335,0.29584277,-0.14812472,-0.10878161,-0.05254939,0.20906252,-0.7842523,-0.2828133,0.8564713,0.94993293,0.3897708,0.57188153,-0.48813176,0.6756062,-0.80635273,-0.022833608,0.42881897,0.26338303,-0.30640864,-0.105214104,0.18548638,-0.3307923,0.64515024,-0.29053432,0.160819,-0.20320666,0.04058492,0.008084787,-0.14490515,0.37367272,-0.39596698,-0.08274881,-0.17463446,0.5601996,-0.53407407,0.24249643,-0.34004653,0.08231829,-0.23113132,0.23287445,0.3427469,-0.20682374,0.11661865,0.28864872,0.0296356,0.18636373,0.15582329,-0.34596056,-0.21934095,0.0045346725,-0.048947178,-0.05327292,0.12653051,0.056752738,-0.20077771,0.19908465,-0.22479859,-0.15616332,0.10562244,0.41930592,-0.17946655,0.031058282,-0.20426895,0.018616354,-0.5314046,-0.0741594,-0.14885706,-0.014064435,-0.11875229
7,-3.459698,-1.4760988,-2.3334703,-1.6079565,-1.1524423,-3.7905276,-0.97499883,24.827654,1.742968,-0.96898675,-0.96067345,1.3507216,-1.1113291,0.98650616,-2.2024062,0.96320534,0.090894476,-0.72007596,1.0891917,0.39408267,0.08444047,-0.9396799,-0.17710306,1.0011706,0.3074973,0.44143507,0.2524834,-1.3710607,1.6690121,0.29930973,-0.17299257,-0.35566375,-1.0984628,0.10526399,-0.42988035,-0.43326288,0.11779101,-0.8894836,-0.08223875,-0.52988446,-0.087890334,-0.13064742,0.20019573,0.34734866,-0.70091987,-0.038225442,0.116757974,-0.40570408,0.31026152,-0.058406956,-0.48406273,-0.49043587,0.043607987,-0.12247968,0.08194399,-0.21760656,-0.40527722,-0.46189928,0.34877217,-0.11859381,0.09326793,0.4466399,-0.08251232,-0.019201394,0.5379809,-0.15201268,-0.07761637,0.12108183,-0.3636611,0.27507704,0.28487313,0.37189043,-0.214124,0.059136875,-0.055637255,0.08600503,0.07780892,-0.06345248,-0.42062646,-0.0733097,0.091924,-0.14921808,0.12531567,0.022699356,-0.2184822,0.050092947,0.14454636,0.19530779,0.036597207,-0.16420913,-0.24296963,0.21332252,0.21017988,-0.054831672,0.05738151,-0.023957402,0.1167818,0.09022188,-0.07154848,-0.10130058,0.1657958
8,-0.76583964,-1.906598,-2.0652733,-2.184194,1.8490524,-1.925008,-1.7765889,1.742968,26.422132,0.6942407,0.70267785,0.4287868,-1.0002165,0.64335823,0.20776474,-0.35736415,1.713961,1.4890924,0.7103255,0.6353268,-0.047758117,-0.2337186,-0.7871271,0.8607198,0.10213115,0.90318215,-0.23457095,0.5746659,-0.10268675,-1.2972267,-0.10630941,-0.46480814,0.45135936,0.5702232,-0.05922682,0.16019842,-0.06787659,-0.5500109,0.37984145,0.21111122,-0.49593642,-0.32878074,-0.2704047,0.66941845,0.5472883,1.0426102,0.4463063,-0.023612343,-0.16925994,0.46500248,-0.035835803,0.122859344,-0.15845089,-0.38719693,0.016747888,0.4426846,0.1764666,0.08487356,-0.021647103,0.20900348,-0.18172961,-0.035098627,-0.12885553,-0.48460227,-0.11686371,0.44630852,-0.19847545,-0.15560985,0.18258077,0.0073477854,-0.11530797,-0.32801628,0.002732753,-0.18827072,-0.16168764,0.3829875,-0.13796453,0.031391196,0.116823465,0.07974197,0.09540726,-0.120379895,-0.11300183,-0.07011734,0.10948457,0.26070303,-0.074230194,-0.15184249,-0.11951902,-0.012427084,0.2435111,0.016360164,-0.036627017,0.010034813,-0.25391284,0.08953044,-0.09493552,0.0046374197,-0.061503887,0.14496046,0.11304758
9,4.6250916,0.93175226,-1.0315075,0.7159969,-0.79349756,-0.15387179,1.4635159,-0.96898675,0.6942407,27.611279,-0.032827802,0.16075331,-0.070729285,-0.3919108,-0.21184799,-0.05867345,0.07654405,-1.1045073,0.8323597,0.08347433,-0.11989544,1.3450747,-0.18564543,0.06865322,0.004729399,0.30476224,-0.19954382,-0.77391243,0.80648315,0.48140937,0.32307932,0.19938347,0.3565765,0.21621346,-0.3015034,0.050403498,0.5549356,-0.18590063,-0.07672088,-0.03547793,-0.5131835,0.032162026,0.16088668,-0.0735099,0.24074382,-0.11829564,0.12412661,-0.42588925,0.07573565,0.37849063,-0.009705864,-0.15686709,0.036555264,-0.25236034,-0.26994795,-0.013161862,0.23278734,0.1992805,0.039201487,-0.16568653,0.10068792,-0.07638375,0.07463111,0.06404266,0.14872813,-0.12554076,0.2040361,0.20402381,0.12099008,-0.34887272,0.17112398,-0.051422127,0.03454647,0.1344954,-0.015846841,-0.034731537,-0.008990832,0.18770261,0.014321376,0.24213655,-0.0845701,-0.013337795,0.06491434,-0.0625507,-0.14872794,-0.062394977,0.30888903,0.022703934,0.0018861291,-0.013207296,-0.19033837,-0.023115013,0.005937417,0.13780025,0.025436796,0.046061307,0.026210468,0.25196454,0.15774104,-0.08136381,0.02143628
