,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,462.2077,0.33409345,-19.009321,4.3532596,-9.498825,0.1262944,-1.1317614,-5.195902,-0.35806483,1.205109,-2.9403749,-1.0250123,-0.35340953,5.389889,0.6075083,-1.0260785,0.19355108,-3.381829,0.0028336088,0.53275853,0.65757215,0.9164078,1.024725,0.61242163,0.014499759,-0.35259116,0.25530964,-0.69403136,-0.09657198,-0.18104166,0.78576994,0.58323455,0.44118023,-0.1981884,-0.26336873,0.25837082,0.6009678,-0.5301088,-0.81469107,0.026834663,0.08085522,-0.15156642,-0.80722207,0.014688322,-0.124399036,0.07004316,0.15025204,0.27213418,-0.4049852,-0.08300091,-0.20433855,-0.014143924,0.044411197,-0.07613307,-0.13831595,-0.13320442,-0.12369551,-0.08815354,-0.023550373,-0.04308622,0.11334931,0.014265017,0.24998654,-0.039601266,-0.1442537,-0.014564484,0.14114706,0.029140726,-0.039244756,-0.038332924,-0.015170575,-0.11455799,0.048523247,-0.11071451,-0.12001287,-0.025189213,-0.04553377,0.12557046,0.021252416,0.15309262,-0.025742529,-0.122853994
1,0.33409345,126.3778,-3.0330558,3.2070694,5.1253967,-2.0424469,1.4110043,2.062973,3.0956004,-1.3394024,1.7314351,-1.5833666,-1.1812229,-1.0929673,-2.804692,-0.5391597,-1.0755982,-0.87589717,-0.5857438,-0.568838,-1.1208636,1.5389683,0.021404672,0.6692133,-0.6090255,-0.3389147,-0.9273859,-0.07536581,0.5703231,-0.26746017,0.4894116,-1.0314758,0.52844214,-0.9066608,0.029915685,-0.18911216,-0.027948912,-0.14756171,-1.3257507,-0.06879257,0.05503489,-0.573492,0.23438965,-0.07458481,-0.7325499,0.121768475,0.10295801,-0.61166966,-0.40011668,0.15111695,0.08732058,-0.4553777,-0.09124996,-0.049737725,0.4353833,-0.32177553,0.2003837,0.2755136,-0.55823016,0.23220792,0.4193807,0.02445843,0.44442287,0.068773136,-0.3083516,0.049896874,-0.1907202,0.3623287,-0.011495315,-0.56641316,0.024253063,0.061071843,-0.16432944,0.18973728,-0.020567935,-0.06734293,0.038407646,-0.00837985,0.06027067,-0.090839766,-0.045127228,0.049262825
2,-19.009321,-3.0330558,45.52906,12.01506,-22.555822,-1.8209119,-3.8202233,-11.272686,-1.5601139,3.5312014,-0.03581579,-4.70238,-4.3254547,2.1914306,-4.073952,0.3477129,-2.928567,-1.0034504,0.54935265,-0.45581207,-0.567937,1.7517167,1.4690931,0.6782085,0.42529023,-1.3204918,0.5455016,-0.5298906,0.81682694,-0.35892618,-0.3395127,-0.78959346,-0.51462436,0.18931118,0.6611122,0.116852075,-0.38492414,-0.15671909,-1.2686049,0.39794928,0.19094959,-0.13915154,-0.013484331,0.0015921153,-0.7773064,0.11584519,0.5691413,0.03932391,-0.45086813,0.18929371,-0.46773857,0.104458936,-0.2189872,-0.2098893,-0.08645646,-0.5075301,0.38102853,-0.095000654,-0.33386892,0.28744966,0.4017821,-0.010448317,-0.0021558357,0.106959134,-0.12839079,0.1476492,-0.02886255,0.04325153,0.07525724,-0.21164614,-0.36935467,0.030228656,-0.14196181,0.3474489,-0.1648677,0.05967685,-0.03809368,-0.07769883,0.20090832,-0.11224989,-0.04307781,0.13881698
3,4.3532596,3.2070694,12.01506,54.297974,7.3710237,1.7535653,1.8918419,-0.646873,-1.7784482,2.804737,-0.33585942,1.5077667,0.3864041,1.1296465,1.7809346,0.7139418,0.52535653,-1.5516925,-0.5630857,-1.0860491,0.17034402,-1.3290015,0.1150906,-1.101887,0.5125585,1.1363096,0.44470346,0.11968556,-0.19567071,-0.867241,-0.23990059,0.5227721,-1.2076828,0.60135335,0.28284848,0.21911371,-0.44227362,-0.5101301,0.3550852,0.38271284,0.029944817,0.6127368,0.50113,0.09382802,-0.3801037,-0.4690118,-0.5028099,0.99467254,0.18071389,-0.20018709,0.27960306,0.44849575,-0.8207897,-0.458565,-0.6852489,-0.14918658,0.5822718,-0.16849321,-0.41755915,-0.08900359,-0.21847415,-0.041743927,-0.8151523,0.06297945,0.3515627,0.3065467,0.27808583,-0.14773394,-0.20159477,0.07904349,-0.31766957,-0.119756445,-0.04857195,-0.01374514,0.03455683,0.24870488,0.12921461,0.04697922,0.25409895,-0.18540822,-0.06837493,-0.18454716
4,-9.498825,5.1253967,-22.555822,7.3710237,34.953434,0.1638417,-4.003763,-4.1236973,-4.16095,1.3787153,-1.5022588,0.6371664,0.37543583,0.77594966,-0.2812099,0.4764723,0.29144365,0.04920481,1.0594828,1.784701,2.4451675,-0.70064443,0.6284795,-0.30679005,0.46436206,-0.232351,1.4639482,0.36767644,0.0260343,0.9704988,-0.27022994,0.57063115,0.75944805,1.0770578,-0.072815835,0.23362353,0.25920844,0.22410706,1.5317495,-0.6101701,0.15261635,0.9423773,-0.20245993,-0.030896708,0.8392122,0.026700495,0.08836499,-0.249754,0.37190506,-0.23665646,-0.017021868,0.20010257,0.36628535,0.34150854,-0.02088802,0.33024457,-0.3960371,0.2730214,0.24169275,0.10340831,-0.22252263,-0.24325089,0.3013575,0.30224025,0.13456057,-0.3204705,-0.042327993,-0.3122112,0.01061225,0.3903103,0.14445157,0.13556431,0.13737881,-0.0008701242,-0.114858255,0.063474774,-0.19982386,-0.1162979,-0.020256415,0.11218775,0.09169581,-0.031871952
5,0.1262944,-2.0424469,-1.8209119,1.7535653,0.1638417,42.654545,-0.9722029,0.40968433,0.6659947,-0.4922613,1.0031822,0.15085389,-2.5161285,-0.8969725,-0.31015754,0.64550245,-2.1562433,0.41091037,-0.05318536,0.9272088,-0.946911,-0.48486748,0.26118952,-0.8543111,0.71901876,0.59588563,-0.8077873,0.37709224,0.26018548,-0.5692458,-0.41947156,-0.36071005,1.0069528,-0.27189553,-0.04491297,-0.37615326,0.42055178,0.37897873,-0.4065563,0.24326177,-0.04505309,-0.033546053,-0.36780226,-0.11392468,0.06451925,0.27929586,-0.49219424,0.40855646,-0.15356854,0.5399921,0.36389798,-0.2778796,-0.07451336,-0.014884545,0.08409789,-0.14369869,0.13238424,0.06081717,-0.2636626,-0.12686676,-0.28186268,-0.23757885,0.4817137,0.4041085,-0.06568929,0.2255907,-0.044984262,-0.11672926,0.26160282,-0.265202,0.21545555,0.073831335,-0.38685358,-0.0858337,0.030900091,-0.12436304,-0.004885371,-0.20321614,-0.16157436,0.041941985,-0.24022424,-0.0822306
6,-1.1317614,1.4110043,-3.8202233,1.8918419,-4.003763,-0.9722029,36.13331,-0.8123362,-0.082940206,0.11022185,-0.3164817,-0.7857442,-0.5155275,-2.0656915,-0.92100203,0.78265345,-0.13093752,1.1032472,0.24209143,1.261131,0.51600826,0.19841853,-0.38036048,-1.1347188,0.48665226,0.9376479,0.6614604,-0.28896636,-0.5124465,0.89822644,0.12525684,0.18397054,-0.17086107,0.60684764,-0.89066005,0.36258322,0.35877538,0.402541,-0.009349964,0.088809,-0.010390706,-0.24775067,-0.19548833,-0.32177633,-0.31965852,0.27291125,-0.12923387,-0.1453707,-0.030235462,-0.11945958,0.05061482,-0.13804808,0.04181519,0.3160169,-0.23417145,0.008886485,0.33471543,-0.12267054,0.12204136,-0.092484176,-0.1967124,-0.29985008,-0.1933375,-0.014634597,-0.22358677,-0.07456809,0.16359779,-0.24170366,0.110535644,0.29654634,0.3959775,-0.1832796,-0.073095374,-0.008536807,0.1914236,-0.1263814,0.012520925,-0.07273778,-0.26426366,0.1783038,-0.0707666,-0.19223219
7,-5.195902,2.062973,-11.272686,-0.646873,-4.1236973,0.40968433,-0.8123362,27.326977,-1.9818121,0.6805377,-2.3425982,-1.6967863,0.41332483,2.3478718,2.645877,0.64386696,0.104968965,0.3414647,0.80587,-1.2646363,-0.13012679,-1.2916083,0.4646961,0.39814907,1.3553643,0.026456423,0.51526374,-0.122113004,-0.017379157,-1.106536,0.088129275,0.39366072,-0.48977852,0.15898016,0.50848836,0.21767594,0.109363586,0.42349154,-0.6263562,0.64209473,-0.12532383,-0.5783279,-0.009730693,-0.10218035,-0.20896137,0.03537707,-0.05355411,0.36242348,-0.15182897,-0.13296226,-0.20740879,0.11064095,-0.17711793,-0.3265416,-0.21425861,-0.29090017,0.36175293,-0.25745177,-0.05456733,0.16792156,-0.13230869,0.16265434,-0.5189949,-0.23758444,0.0016408002,0.26671165,0.1423514,-0.00063799636,0.045634326,-0.01339972,-0.02324444,-0.035909172,-0.039023854,-0.009783435,0.027446423,0.03022077,0.10202356,0.063688315,-0.107315734,-0.023338024,-0.07224135,-0.08736717
8,-0.35806483,3.0956004,-1.5601139,-1.7784482,-4.16095,0.6659947,-0.082940206,-1.9818121,25.786474,-0.55657977,-1.7682538,0.64304185,1.3423405,-0.15479085,2.1604104,0.5748504,0.8455092,-0.43937397,0.6291245,-0.73853505,0.15682971,-0.12374979,0.008833562,0.0714532,0.5957868,0.13627325,0.57060266,0.4544769,0.28076845,0.6666182,0.22990388,-0.5265506,0.30804315,0.69752836,0.253353,0.5331753,-0.46327418,0.6051581,0.7383694,0.27585745,0.2080151,0.22367722,1.0872477,0.3214976,0.034170777,-0.21929711,-0.08010795,0.41124117,0.5857283,0.0895675,0.08021809,0.10119539,-0.07526746,-0.29785427,-0.2887264,0.03703575,-0.040805608,-0.08333331,0.103994995,0.24495926,-0.35616142,-0.1369136,-0.13092297,0.13884963,0.3685367,-0.09889561,-0.06269683,-0.33029294,0.032700058,0.02400609,0.005902527,0.2536775,-0.014771158,0.22750399,0.07142301,0.10569985,0.06956911,-0.1677956,0.17338917,-0.05768977,0.060500078,-0.097501256
9,1.205109,-1.3394024,3.5312014,2.804737,1.3787153,-0.4922613,0.11022185,0.6805377,-0.55657977,23.08742,0.67228913,-0.5608074,1.4210827,-0.71007836,0.8837217,0.11159857,-0.36741668,1.7284834,0.15016162,-0.20605922,-0.047687113,-0.83767104,0.093319006,0.395972,0.051721208,-0.5204882,0.24419762,0.15858614,0.07661322,-0.2011931,1.5333982,-0.42039937,0.7260743,-0.50372314,0.5584791,0.7793758,0.6462256,0.43865317,-0.13663971,-0.047546856,0.005769752,-0.82820606,0.21329479,-0.037052326,-0.34982973,0.021312833,0.5505503,-0.08827925,0.18855649,0.018821627,-0.23357302,-0.28170657,0.5256531,-0.0018085777,-0.053813532,-0.29251257,-0.4591334,0.035965145,0.2174278,-0.10897288,-0.24839342,-0.062261883,0.5166606,-0.13470957,-0.36578494,-0.32240945,-0.4646685,0.016985243,0.0064858133,-0.18732736,0.2876891,0.070388384,-0.021992132,0.38499978,-0.069756,-0.0414021,0.07440083,-0.03947577,0.25505775,0.11240649,0.110736415,-0.3117432
