,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,388.80865,9.704874,13.662014,-3.7745876,-6.817794,-3.3998103,19.827667,5.4478045,16.007465,-4.345418,-0.0861038,7.444415,-4.991719,-6.4688015,2.9681964,-2.2858906,1.3574202,-9.370308,-4.2724066,5.0009394,-4.9156246,-0.61019665,2.7801452,0.10579094,-4.8062305,0.3359099,-1.2478108,0.7361927,-3.1752286,0.91511464,-0.72319376,-0.64424264,0.80553234,-0.121262416,-0.37850136,-1.4412087,0.004638853,0.0052927025,5.228963e-09,2.1536246e-07
1,9.704874,54.997826,49.21071,0.92517984,5.341676,14.243206,1.8507006,-8.971655,-17.048256,-17.283524,7.832218,1.207448,13.333043,-5.8623943,6.61022,-3.1624327,-3.7865977,1.240059,1.2004316,-0.042397074,2.1244278,-1.0400672,-3.9744377,0.42018634,0.82274985,-2.4939256,0.5036229,2.4175549,0.8010472,-1.8748767,0.7001587,-0.65164554,-0.082996204,0.62499934,2.216607,-0.6850581,0.43103832,-0.8540158,2.0098872e-07,1.1817459e-07
2,13.662014,49.21071,114.83052,-13.295119,-0.433497,2.731009,-2.4407816,1.3371878,-14.978182,7.759962,-5.3961024,5.533846,-0.9084246,9.856878,-2.3591833,5.3437033,1.8915005,5.130996,4.301055,-3.1948934,3.4190836,-1.0847226,2.305901,-2.1842873,1.873791,-0.126977,-1.6222231,2.0654144,1.0768396,-1.6295767,0.3337921,2.7755885,0.26586336,-0.1299341,0.9149101,-1.1362705,0.9783031,-0.30609405,-3.7691143e-07,-3.0362205e-08
3,-3.7745876,0.92517984,-13.295119,100.2166,-34.801956,23.566704,-3.652866,4.634241,-14.84124,0.9549812,-2.4408324,9.178026,2.9382346,-0.5500221,7.310437,0.9909544,5.7029324,-1.7708905,-3.646716,3.9263713,-6.3489027,-1.2472972,2.8744674,-2.8016505,0.14210817,1.3749621,-2.0289638,0.82588804,-1.1851624,-1.3851984,0.26806954,-9.943545e-05,-1.1901991,-1.9959913,-0.98673797,-1.2550955,-0.3416388,-1.0652217,-2.9391958e-07,-3.3224745e-07
4,-6.817794,5.341676,-0.433497,-34.801956,44.035595,8.633801,-3.3412933,-9.121088,8.578833,-2.6812449,11.098454,-5.0310817,-9.60346,1.3965662,13.68428,-5.7621684,2.632815,3.869163,2.5626805,3.5908842,-2.6622114,-2.8805842,-3.6394825,-0.5190799,-0.4397986,2.47659,-1.3747535,0.9651028,1.4546955,-0.39265212,-1.6996591,-0.1203174,-0.35110965,-0.10481137,-1.0716791,0.12840396,0.07495499,0.94964314,-2.433127e-07,1.6798754e-07
5,-3.3998103,14.243206,2.731009,23.566704,8.633801,48.766884,11.399258,8.249214,-3.8338857,-3.483354,18.58022,-16.017385,1.8042328,2.9499445,-0.60601604,-2.1031806,5.243105,0.9652965,3.410946,5.5727816,-2.862566,0.7168087,-0.7741922,1.3999789,-1.8147534,2.5403123,-1.2707617,2.245087,1.1420071,1.8745449,-0.049847256,0.8791178,1.9424245,-0.6449908,-0.25459495,-0.679309,0.02876557,0.4082657,-3.575552e-07,-8.3253184e-08
6,19.827667,1.8507006,-2.4407816,-3.652866,-3.3412933,11.399258,40.511345,-6.6788893,-6.3496795,7.232278,-4.875355,-15.500452,5.47601,0.038437154,-5.725486,1.488222,-2.8247538,7.4380846,-3.3221817,0.6483407,-2.1064456,3.2539167,-3.6412206,-1.051701,1.8959471,-0.6704237,-1.0930643,-2.7432756,1.4348812,1.2797883,-0.4621837,-3.666573,-1.1294427,-0.14235842,-1.6526351,0.08559856,-1.1921586,0.3043385,-8.240639e-08,-1.2692175e-07
7,5.4478045,-8.971655,1.3371878,4.634241,-9.121088,8.249214,-6.6788893,48.048023,8.47175,-4.2790756,1.8119309,1.8152621,-3.304018,6.0505056,-5.819543,2.355966,-8.290588,6.216224,3.304253,4.8979235,4.318797,0.3921228,-0.74637663,0.17091428,-2.326468,0.15003133,-1.4684498,0.59719455,1.7798314,-1.3624296,-1.1695497,0.27317113,-0.4119529,1.0483413,-0.17788205,0.26642972,0.20560955,-0.18859535,1.8023387e-07,3.8746253e-07
8,16.007465,-17.048256,-14.978182,-14.84124,8.578833,-3.8338857,-6.3496795,8.47175,19.356953,1.8306348,-4.768104,-2.9323254,3.1833715,7.9539385,1.4349985,-4.3847,4.958316,0.8034586,2.7267919,2.6491694,1.260663,-0.20318884,1.5441488,0.23000096,-1.5227873,0.87833714,0.21604595,2.9409223,-0.8346289,0.11809047,-0.25446105,1.5699832,-0.8428373,-0.66378534,-0.025665285,0.24033222,0.37312698,0.5715021,6.128147e-08,2.6721605e-07
9,-4.345418,-17.283524,7.759962,0.9549812,-2.6812449,-3.483354,7.232278,-4.2790756,1.8306348,38.77192,1.8547697,2.9710948,-4.7392197,10.093519,-3.621224,-0.028583266,-2.7638555,0.4388867,-1.5838044,3.0993955,-4.60699,-3.423617,0.6869376,-0.19569266,1.1792603,-0.26609063,4.4911375,1.5706177,-2.1055222,2.13765,0.9271184,-0.7044598,-0.49426958,-0.8842121,-0.010927983,-0.5654429,-0.26778954,0.18884064,-2.9197918e-07,-3.663695e-08
