,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,177.94638,-27.13071,-4.8730583,-1.410322,-9.306168,-6.245613,9.159977,-10.758375,7.2770433,-1.530045,6.927291,9.892541,5.493632,-5.4798794,-1.9783415,-3.849902,-1.1868392,-5.4810643,-5.374666,7.5293164,-7.4570956,-2.3847418,3.8377993,-2.914289,-0.6667601,1.693716,-1.4384072,4.727947,1.7607545,5.154746,-5.1549644,5.565645,2.9200697,2.4414883,1.9053991,-0.9207695,-2.2412543,-2.5754535,-2.4391253,0.686687,0.57117426,0.31038284,1.966814,3.4362962,2.7801228,3.7646394,-0.9662131
1,-27.13071,127.243454,-1.200847,-19.09206,4.3260384,-13.540228,10.409314,10.332949,-6.177969,-7.656113,4.8872375,1.2257185,-2.7604187,3.7810535,3.188022,-0.1724241,-3.9082208,-1.1249701,-5.7433233,1.5444784,5.2012987,2.4979773,8.152505,-3.1297688,-1.5911396,3.241377,-3.8317704,2.9143565,-3.5339036,-0.76213336,1.1228166,0.95305526,1.0193396,-2.384703,0.7204019,-0.46673983,0.41372842,-1.6867759,-2.2501197,-2.6024039,-1.667655,-3.70509,1.4351317,-0.64326113,-0.42176342,-2.2936347,0.48087317
2,-4.8730583,-1.200847,177.37535,-22.06623,-7.511971,-0.21685457,-2.364039,1.0114584,-0.764436,-1.3079793,-6.6301184,9.929342,3.1093907,2.2527936,3.3143935,3.4312694,1.5751748,-0.123696476,-1.1289909,-0.31433827,-3.652292,0.1032233,0.8216244,2.0768838,-1.0340812,-4.02166,0.56223774,0.72413313,-1.273557,-1.5068465,-0.6139685,-1.057026,-0.6073837,1.7925466,1.2627735,0.6369463,0.15061748,0.5022261,0.022898208,-2.9277434,-0.36680117,0.22419226,0.5152894,-0.32119852,0.55562377,-1.0466826,-0.22968352
3,-1.410322,-19.09206,-22.06623,86.87463,-4.857987,-8.682792,14.230773,-5.1173015,-5.6885824,7.4878182,-6.827033,11.84753,-2.6372333,4.558408,1.1095943,-0.9732476,1.4852765,5.9527416,-1.9999013,2.266914,-0.34375292,-0.7584064,0.99570733,2.5003533,-2.2937975,-3.8011746,-0.9550445,-1.1269186,-2.9707305,-1.8420644,-0.31995034,-1.2772859,0.48889127,0.79193866,0.62531877,1.3155392,0.36949527,0.21879593,1.5074582,-0.47296208,-0.8846366,-0.24964592,-0.62273693,0.9247126,0.79127705,-1.8816386,-0.019678064
4,-9.306168,4.3260384,-7.511971,-4.857987,50.56588,-10.432769,-17.72018,-0.45477948,6.085246,6.205074,3.6352992,0.51427984,0.081642024,0.99810934,0.015269799,2.8369436,1.7609365,1.2199461,1.4036155,-0.5337007,2.5526834,-2.2461076,0.15228516,0.54911995,-5.1733675,-0.84143066,1.5203452,0.3586553,-3.8689349,-3.1207747,-2.5628672,2.475311,0.817639,-0.016941201,-0.53288233,0.4552965,0.64536166,0.51766264,1.3552215,-0.45095134,-0.43188202,-0.49674383,0.41095018,0.19639643,0.40350962,0.7800306,0.19617498
5,-6.245613,-13.540228,-0.21685457,-8.682792,-10.432769,43.491585,-10.894577,0.89352775,-13.605604,3.9290538,-4.295722,0.9666195,-4.9179764,0.2593947,-1.5852852,1.0653595,1.6075349,-2.09377,-0.95037484,2.0251257,-0.48683846,0.9525867,-1.9334223,0.66733634,2.5893168,0.9973513,-1.4473886,0.5018239,-2.1628246,1.7417295,0.39494056,1.8996427,-1.6885448,1.3617251,-1.1997048,1.8400941,-1.0304263,0.30752105,-0.0861454,1.26517,1.5327133,-0.66522795,0.10995306,0.22616693,-0.4133578,-0.3096355,-0.396962
6,9.159977,10.409314,-2.364039,14.230773,-17.72018,-10.894577,22.112722,-4.1676016,-0.039865743,-2.7291446,1.7367865,-0.06847718,-1.6110884,-3.294917,0.8874016,-0.11518839,-0.84424746,-1.6549468,-2.9593935,-2.6137238,-0.82127094,-0.124635205,2.282124,0.6700437,0.3515463,-0.6051794,0.25242865,1.5063977,-0.32540405,-0.08174505,1.0601861,-2.1163561,-0.9609798,0.043530393,-0.8088992,0.24024093,-0.08354162,-0.61998105,-0.60737646,-0.12185307,0.43018478,0.04619955,0.27584633,-1.2677813,-0.3388075,-0.026616456,-0.06399131
7,-10.758375,10.332949,1.0114584,-5.1173015,-0.45477948,0.89352775,-4.1676016,27.92954,3.6027555,6.827388,-4.001584,1.1744318,-5.1653833,1.2449138,-2.9288702,-6.8190813,0.5448268,-1.8459883,-0.80145746,1.3616518,-0.9266262,0.17703176,1.0713676,-1.0076933,-0.30735832,-3.669691,-0.6815185,-0.61327636,1.8431277,2.03997,-0.18194756,-1.1024992,0.32648867,-2.23294,0.27187234,-0.5801239,-0.16064201,-0.48867127,0.88250303,0.7095026,-0.767843,-0.04763074,-0.3232649,0.010651691,-0.5468594,0.023986988,0.44000578
8,7.2770433,-6.177969,-0.764436,-5.6885824,6.085246,-13.605604,-0.039865743,3.6027555,29.466375,1.2154175,-2.2155254,2.7028704,1.7270832,0.19073921,-0.74347234,0.97786576,2.8144634,-3.1805983,-0.75331163,-3.2466674,0.9592384,-0.02358554,-0.820328,0.8643105,2.0825386,-0.11711468,-0.4146076,-1.9230523,-0.02339954,0.7744572,1.2819817,-0.7076031,-1.110757,0.54113317,-0.5399169,-1.3003247,-0.5293969,-0.5638988,-0.604511,1.8166155,-0.20657098,-0.6113691,-0.69699574,0.19414625,0.6226748,-0.63549066,-0.67688966
9,-1.530045,-7.656113,-1.3079793,7.4878182,6.205074,3.9290538,-2.7291446,6.827388,1.2154175,28.327318,-1.2603481,-0.23699473,2.7307658,-2.960608,-1.3575313,3.0619926,-0.79257596,-1.1951387,0.3682025,1.78621,-1.6038992,1.2379425,1.0415387,-1.8319318,-1.0003055,-0.36698097,-1.8614292,-1.2156258,-1.1517084,0.6090484,-0.8006645,-1.8518307,-1.3208714,0.6004071,-0.02517795,1.1009494,1.1431004,-1.1366067,-0.41683075,-0.74512744,0.6378373,0.810797,0.9822918,-0.6315051,0.3475527,0.055652723,0.19088303
10,6.927291,4.8872375,-6.6301184,-6.827033,3.6352992,-4.295722,1.7367865,-4.001584,-2.2155254,-1.2603481,25.752857,0.1258375,0.18724439,2.7223349,1.4840997,-0.7863077,1.4598742,-4.0498686,2.926001,-0.5732627,-2.8536077,1.0300885,-0.02563613,0.8918679,1.7560009,-1.6055074,-0.73873794,-0.18257484,-0.14244378,-0.9977915,-1.3462821,-0.68661535,-0.86683786,0.19719955,1.5687928,1.4300208,0.5986967,-0.16723059,0.61668813,-1.0472286,0.9936805,0.6813458,-0.16633257,0.03263838,-0.24822381,-0.22280234,0.13410386
11,9.892541,1.2257185,9.929342,11.84753,0.51427984,0.9666195,-0.06847718,1.1744318,2.7028704,-0.23699473,0.1258375,16.511763,-2.566793,2.3018875,1.025759,-2.2023826,-0.620312,-0.6063737,2.3885484,-1.4128885,0.9892081,0.97836447,-0.15599015,-2.222218,0.6490029,0.5779991,-0.7096056,0.8056587,-0.22418095,0.5265587,-0.056510333,1.1421766,-0.06705352,0.48926866,-1.0030428,-0.086863354,1.2397615,0.5394765,0.35765478,-0.18572588,-0.20098211,-0.3005994,0.61296964,0.038391974,0.752728,0.17560807,-0.21058224
12,5.493632,-2.7604187,3.1093907,-2.6372333,0.081642024,-4.9179764,-1.6110884,-5.1653833,1.7270832,2.7307658,0.18724439,-2.566793,15.159502,0.23851302,1.3253021,0.48806515,-2.5515313,1.3549415,-3.0066528,2.716579,2.7427573,0.4906076,-1.0603757,-1.1038013,2.4917586,-0.3854265,0.35828733,0.28120708,1.0182488,0.30823088,-0.09499499,0.049524374,-0.55213714,-0.49777108,-0.38640302,0.83929193,0.56371987,-0.12264173,0.62398624,-0.39245522,0.21109807,0.16858584,0.32169312,0.4675883,0.88909864,-0.33001244,0.31605577
13,-5.4798794,3.7810535,2.2527936,4.558408,0.99810934,0.2593947,-3.294917,1.2449138,0.19073921,-2.960608,2.7223349,2.3018875,0.23851302,15.518769,2.1885107,-0.97787404,2.3295174,0.93867016,-0.436854,1.8071635,1.5374384,0.26965386,-1.7713921,0.43101263,1.2793024,1.481806,-2.3178537,-0.74087405,-0.24673235,-0.31545216,-0.95346713,-0.8291179,0.29535925,-0.3969406,0.15386203,-0.020527681,-1.2024596,-0.7643214,0.33871353,0.83853656,-0.07869232,0.7017041,0.4034527,-0.08198293,0.018941198,0.40226716,-0.010860844
14,-1.9783415,3.188022,3.3143935,1.1095943,0.015269799,-1.5852852,0.8874016,-2.9288702,-0.74347234,-1.3575313,1.4840997,1.025759,1.3253021,2.1885107,8.877124,2.1029072,-0.80145735,2.728313,0.059397154,-0.3022893,-2.139779,1.0149052,-2.624055,-1.3884726,0.51447344,-1.8085008,0.9243283,-0.44776702,-1.0079658,0.32223642,0.098880954,0.0068386905,0.6866434,-0.99325055,-0.41359013,0.032936566,0.48171744,-0.4789512,-0.72117126,0.8594065,0.1252999,-0.5416418,0.04736246,-0.63449943,-0.52869344,0.15997908,-0.19393335
15,-3.849902,-0.1724241,3.4312694,-0.9732476,2.8369436,1.0653595,-0.11518839,-6.8190813,0.97786576,3.0619926,-0.7863077,-2.2023826,0.48806515,-0.97787404,2.1029072,8.938685,-0.67112094,0.63538355,2.4374275,-0.12960273,-0.5724075,1.085962,0.61008525,-0.28612342,-0.34826946,0.86049163,-0.19960015,1.0404263,-1.5049341,0.4803192,-0.3955844,-1.3299196,0.6834775,0.5061036,0.12704,-0.69264185,-0.6713066,-0.20041637,0.07559139,1.2078753,0.37405616,-0.4335459,-0.092372045,0.20398502,0.281766,-0.98655313,0.051143706
16,-1.1868392,-3.9082208,1.5751748,1.4852765,1.7609365,1.6075349,-0.84424746,0.5448268,2.8144634,-0.79257596,1.4598742,-0.620312,-2.5515313,2.3295174,-0.80145735,-0.67112094,11.037498,-0.7888726,-1.2226722,1.3897357,-0.36115623,-2.5425897,0.0076295948,-0.77159226,0.34820825,0.9349865,2.7075992,0.7661576,-0.69128084,0.2695886,1.2762688,-0.9635196,0.42231393,0.18945566,0.72402406,1.2469784,0.05580232,0.16621841,-0.14715433,-0.33516786,0.24212377,-0.31052607,-0.22033855,0.37326586,0.06209859,-0.33573568,-0.21072188
17,-5.4810643,-1.1249701,-0.123696476,5.9527416,1.2199461,-2.09377,-1.6549468,-1.8459883,-3.1805983,-1.1951387,-4.0498686,-0.6063737,1.3549415,0.93867016,2.728313,0.63538355,-0.7888726,6.132741,2.1315603,1.2983916,0.64299953,-1.1268642,-1.27743,-1.0546892,-0.6073687,-0.54039943,0.24371094,-0.85649383,0.9877504,-0.2992751,1.193311,0.013826925,-0.36378324,-0.51399815,0.9502076,-0.37030536,-0.2505393,0.013569202,-0.5587162,-0.59400034,-0.43929246,-0.3270116,0.05916957,0.13841835,-0.06547193,0.087787315,-0.04699108
18,-5.374666,-5.7433233,-1.1289909,-1.9999013,1.4036155,-0.95037484,-2.9593935,-0.80145746,-0.75331163,0.3682025,2.926001,2.3885484,-3.0066528,-0.436854,0.059397154,2.4374275,-1.2226722,2.1315603,11.661475,-0.31682742,0.59321123,0.10533005,1.8123633,0.28248888,1.0818236,-0.4272076,0.11308548,0.7877622,1.4161236,0.7727779,0.5423763,-0.63128984,0.07066809,0.098534256,0.0848545,-0.24961466,-0.26336676,0.029474076,-0.6745908,-0.1734274,-0.56024826,0.24433735,-0.12612471,0.08632313,0.19559067,0.06916347,-0.14311394
