,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,216.63174,33.18395,4.8288913,1.5730457,10.321032,11.180249,-10.429693,14.285072,-8.015404,3.4372365,-6.2699175,-12.274082,-7.255298,7.686133,3.19027,5.8731365,0.6336955,7.9155607,6.2731957,-8.992813,9.643749,2.5432656,-4.9437575,3.7701716,0.7513281,-1.345736,2.3185594,-5.448388,-2.0712504,-6.4236784,6.9895916,-6.4355316,-3.0979695,-4.101806,-2.6452618,1.0041497,3.037053,3.0108411,3.2764692,-1.0023396,-0.79838896,-1.2977451,-2.3861685,-4.578348,-3.1348777,-4.7092686,1.4214315
1,33.18395,114.32722,1.2245228,23.787579,-5.5885324,17.504248,-12.820859,-12.793648,7.8801384,9.809629,-5.744245,-1.498352,3.3922963,-4.5637236,-3.8751519,0.4061375,4.7302923,1.5845032,7.0989075,-1.8558458,-6.447175,-3.1866207,-10.233143,3.9447188,1.9684325,-3.9325428,4.8676496,-3.555553,4.4579334,0.9702487,-1.3206165,-1.1248211,-1.188155,2.8040462,-0.9382558,0.5762367,-0.48174417,2.0847166,2.8621156,3.2287786,2.0544634,4.4771667,-1.7834079,0.7560321,0.58656013,2.8600025,-0.5798731
2,4.8288913,1.2245228,32.711452,27.544458,8.922999,1.4071548,3.2900484,-0.97005457,1.3353755,2.1612675,9.118315,-12.391001,-4.022381,-2.5452356,-3.8938131,-3.9366398,-2.2500749,0.51568687,1.2633562,0.5325508,4.6744027,-0.28275877,-1.0664923,-2.5593052,1.2685883,5.2945366,-0.5210061,-0.7543626,1.6252214,1.8820708,0.95754135,1.5101228,0.9502435,-2.5963235,-1.6714613,-0.8558788,-0.106107906,-0.70488477,0.042083167,3.6108966,0.43894354,-0.5878504,-0.618608,0.30586544,-0.58044684,1.3108678,0.3679207
3,1.5730457,23.787579,27.544458,59.458675,5.968011,11.052828,-17.737041,6.459321,7.191923,-9.255712,8.703346,-14.814683,3.2684207,-5.6602306,-1.3363595,1.2744064,-1.9014721,-7.3750057,2.475614,-2.8102236,0.44932705,0.91538286,-1.2427427,-3.1244247,2.866349,4.8054013,1.231498,1.4310912,3.7097695,2.2951279,0.43907502,1.6416597,-0.57284105,-1.0543246,-0.8018683,-1.6641159,-0.44490105,-0.29328227,-1.877249,0.5823613,1.1103832,0.25679767,0.783928,-1.1730223,-0.9694607,2.3557644,0.046743914
4,10.321032,-5.5885324,8.922999,5.968011,52.899822,14.132856,22.495201,0.8177177,-7.284951,-7.285379,-3.8163552,-0.5959238,-0.21910518,-0.95822066,0.19953935,-3.194807,-2.4850018,-1.1853366,-1.9019966,0.80494994,-3.0875378,2.6769514,-0.254816,-0.6345506,6.4336014,1.2879113,-1.7432257,-0.2909394,4.8962507,3.921528,3.3692324,-2.9483163,-0.8523277,-0.31478664,0.58827436,-0.59886193,-0.73550344,-0.7024912,-1.6100283,0.51759994,0.4971308,0.328825,-0.49226865,-0.33644438,-0.39348122,-0.9825293,-0.19146627
5,11.180249,17.504248,1.4071548,11.052828,14.132856,44.002785,12.727967,-1.8187382,16.10076,-6.203949,3.3530369,-1.3016568,6.474389,-1.0599787,1.3756936,-2.2510576,-1.2707644,1.7055645,1.5737836,-2.8934677,0.33198088,-0.8233943,2.5574198,-0.9527304,-3.160537,-1.8989123,1.3707808,-1.0311296,2.5762043,-2.2061255,-0.95384824,-2.8036861,1.6434166,-0.8019575,1.7199767,-2.1889694,1.0896027,-0.21534023,-0.09700755,-1.4580228,-1.8299844,1.6122875,-0.19796826,-0.039780453,0.2232485,0.39546847,0.325494
6,-10.429693,-12.820859,3.2900484,-17.737041,22.495201,12.727967,43.361855,4.989376,-0.23436904,3.0098805,-2.8000407,0.060875103,2.1160893,3.8973913,-1.2980776,-0.13611543,1.2798665,1.7879863,3.816847,3.1565356,0.9415922,0.27094576,-2.8134828,-0.871498,-0.41758192,0.55335927,-0.45251742,-2.0050483,0.37197793,0.09651041,-1.4689431,2.5085227,1.05581,0.22252083,1.0804248,-0.26210892,0.04244958,0.8295989,0.69884545,0.1903011,-0.514971,0.18223543,-0.36384922,1.6593693,0.33369988,0.034383334,0.024090044
7,14.285072,-12.793648,-0.97005457,6.459321,0.8177177,-1.8187382,4.989376,31.452007,-4.7134914,-8.839113,4.5296855,-1.4967049,6.5332155,-1.7402196,3.518785,8.29902,-0.49966556,2.0885735,1.0963224,-1.7904906,1.0917472,-0.13600788,-1.2995287,1.2275767,0.4045065,4.433709,0.749597,0.6664405,-2.3407907,-2.561401,0.119796574,1.2818992,-0.51810324,3.007697,-0.28908288,0.746092,0.15442511,0.6478003,-1.1559681,-0.85719955,0.98577076,0.24755034,0.3900495,0.04522711,0.6123558,-0.02584799,-0.5862367
8,-8.015404,7.8801384,1.3353755,7.191923,-7.284951,16.10076,-0.23436904,-4.7134914,20.62979,-1.9134107,2.159451,-3.4153283,-2.0605354,-0.47626,0.7457598,-1.5129473,-3.2837024,3.6930318,1.0636284,3.944291,-1.2850962,0.13953026,1.0767431,-1.1218561,-2.5767317,-0.051519968,0.38613164,2.274374,-0.01834564,-0.9831203,-1.7414532,0.76039517,1.2463803,-0.3968724,0.7405032,1.6524435,0.6018934,0.75252175,0.687291,-2.232459,0.29169977,1.0070415,0.8531811,-0.16709203,-0.87035006,0.7997329,0.79941857
9,3.4372365,9.809629,2.1612675,-9.255712,-7.285379,-6.203949,3.0098805,-8.839113,-1.9134107,20.890366,0.69296765,0.24868779,-3.2710657,3.3666258,1.4318306,-4.2398877,1.3227695,1.0895746,-0.28720188,-2.394871,1.8819679,-1.3876712,-1.2333645,2.233408,1.286658,0.17297965,2.1354594,1.3368573,1.3767602,-0.7792361,0.7996567,2.1316686,1.445997,-0.3509317,0.12705255,-1.3328302,-1.5154924,1.491872,0.42628336,0.98618877,-0.7537719,-0.66652066,-1.2541145,0.897361,-0.5654354,-0.06359547,-0.3092795
10,-6.2699175,-5.744245,9.118315,8.703346,-3.8163552,3.3530369,-2.8000407,4.5296855,2.159451,0.69296765,14.317026,-0.23453413,-0.013150315,-3.927275,-2.2665157,0.33822772,-1.3053849,4.432277,-3.3869328,0.4632224,3.375491,-1.040199,0.14182374,-1.2047156,-2.137485,1.5632739,0.626834,-0.058053937,0.07693374,1.2170458,1.3708268,0.576337,0.7651119,0.37626988,-1.8131366,-1.7228668,-0.88267386,0.31800753,-0.9203527,1.3944342,-1.1715935,-0.31079066,0.16725658,0.12755916,0.105799094,0.28885874,-0.2753566
11,-12.274082,-1.498352,-12.391001,-14.814683,-0.5959238,-1.3016568,0.060875103,-1.4967049,-3.4153283,0.24868779,-0.23453413,13.238134,3.2214687,-2.895912,-1.3054426,2.7256913,0.79672074,0.72729754,-2.9741745,1.7550406,-1.2456298,-1.2081307,0.19485307,2.7768726,-0.810642,-0.74721706,0.8698412,-1.0178587,0.2810704,-0.65519637,0.05282186,-1.447814,0.06635003,-0.5815593,1.2629054,0.116987705,-1.5574527,-0.6656027,-0.4508098,0.23627251,0.24982011,0.40149796,-0.76871896,-0.040004745,-0.9501236,-0.22098047,0.25352442
12,-7.255298,3.3922963,-4.022381,3.2684207,-0.21910518,6.474389,2.1160893,6.5332155,-2.0605354,-3.2710657,-0.013150315,3.2214687,13.984519,-0.21279454,-1.5900377,-0.5057229,3.1051314,-1.591599,3.7143664,-3.354566,-3.39746,-0.6532365,1.3073769,1.3944004,-3.12393,0.5535469,-0.3999775,-0.30508047,-1.2559836,-0.38031763,0.16912869,-0.016572725,0.7415762,0.5212648,0.4592052,-1.059246,-0.6829277,0.13582785,-0.75560486,0.47673857,-0.27566206,-0.29831946,-0.3955249,-0.6117434,-1.0782369,0.41072914,-0.37785017
13,7.686133,-4.5637236,-2.5452356,-5.6602306,-0.95822066,-1.0599787,3.8973913,-1.7402196,-0.47626,3.3666258,-3.927275,-2.895912,-0.21279454,10.258169,-2.8930364,0.99168336,-2.7272549,-1.4057102,0.64281833,-2.3500216,-1.9921668,-0.24078304,2.244903,-0.56572556,-1.581686,-2.0214396,2.7829175,0.82606167,0.28146702,0.3910664,1.0719911,0.92095566,-0.4902224,0.7253825,-0.13430488,0.05902535,1.4513371,1.0017476,-0.47225964,-1.0167332,0.11561951,-0.6786082,-0.5202299,0.16422004,-0.09780269,-0.50256205,-0.03416765
