,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,221.1493,-65.04357,-15.459328,10.846651,-2.6485105,15.323921,14.174998,-22.265102,-5.5993743,-10.471007,12.4839,11.298733,-0.29611582,-10.209695,-7.6576424,6.0204196,-5.7491627,5.1687717,-7.947425,3.692471,7.6834106,11.646702,3.9125123,3.6569653,-5.625182,-6.2120557,-0.016114589,3.2141252,-1.2797439,-1.0907897,-7.2553387,-8.029675,-5.1966734,0.9090331,-0.9454638,-1.4421389,0.77710056,0.44363964,2.3199058,-8.324583,1.8796148,0.6921816,0.91802037,-0.88575256,-4.1619663,1.9056964,1.8570495,0.56133443,0.06372517,-0.97557855,-0.5414717,0.30625743,-0.03456839,0.7684821,0.20651484
1,-65.04357,149.33087,38.06536,-21.39299,18.707104,-29.228474,0.3917962,6.717022,-9.71179,-1.1804851,-8.892363,15.518767,-10.7477665,7.654284,3.2562509,-10.856476,-3.5822597,3.3880327,-4.6473,-2.4962268,-2.6075077,-5.368781,5.5779095,1.9246318,-0.030826466,9.616455,0.69549614,2.9113724,3.7607412,-0.83598024,-2.8195562,-1.7874435,1.7643867,3.517355,0.19081983,-0.717594,-3.1349256,-0.4096374,-1.3771766,3.2818294,2.1016433,-0.19607548,0.36844024,-1.032607,-1.3201289,1.0115182,-0.264615,-1.0173731,0.2917094,0.5325977,1.3522182,-2.074833,0.85999,0.052891627,0.057250552
2,-15.459328,38.06536,95.2156,-0.0997791,-0.15641269,-1.7125108,0.8868874,11.785458,-10.800903,-5.257907,-2.8750796,0.62395597,-3.1606848,-9.504906,-7.571907,-3.9818895,6.3495865,1.0306358,-3.9592614,7.5570273,11.195962,-2.2967267,4.3330584,0.7771286,-1.7817018,1.0163448,-4.0527506,2.9657125,8.174828,-4.8988276,0.7201443,1.6100373,0.13912457,-3.3688614,0.48316556,-0.72550386,-0.38939548,0.95471174,-0.6456263,3.0452943,-0.17239809,-1.1007214,0.8088627,0.21610612,-1.4618573,-1.316602,0.39376938,-0.24377392,0.37314078,-0.21688958,-0.28076568,3.0693316,-0.90273476,1.097704,0.09714727
3,10.846651,-21.39299,-0.0997791,35.695076,2.954075,8.356221,-3.5299344,2.0674317,-2.522041,-4.7463093,2.017449,-1.1601512,-1.2272861,-4.2325616,-2.0336018,-3.8662205,2.938787,3.3378863,-1.2606738,-3.652166,3.2690988,1.5792729,0.20329402,-6.281903,0.24427241,0.7884325,0.2397029,1.4311602,1.4298314,0.22729386,0.6390251,2.3123922,-2.016539,2.0194342,1.9756322,1.8251123,1.670531,-0.4830364,1.0816382,-0.4842045,-2.22026,2.268142,0.09193388,-0.47626236,0.3441611,0.2025311,0.2876202,-0.15831718,0.84531146,-0.7019798,0.7227947,-0.113844946,1.3812673,-0.1984959,0.28298658
4,-2.6485105,18.707104,-0.15641269,2.954075,19.050589,-9.206732,-16.193306,3.0301032,2.8459687,0.46726817,-4.2394404,5.5819263,0.22003648,2.720647,-2.7370436,-0.5962827,-0.59798515,-1.7504871,-1.793361,-0.5050484,1.2249701,0.22044826,-1.0531564,-3.9230194,-0.11552517,-1.957999,-0.26468563,1.0690167,1.594464,2.5007281,-0.3578459,-2.0949197,-1.3498193,1.1638341,0.64685625,-1.4319927,0.6146986,0.70818204,-1.4614325,-0.3192442,-0.06214675,-0.5353688,0.53566027,0.14011206,-1.6679091,0.07942562,0.15165803,0.35104477,-0.058455523,0.2801934,1.0266403,-1.2662742,0.8783828,0.5112864,0.34536478
5,15.323921,-29.228474,-1.7125108,8.356221,-9.206732,30.596619,2.5587702,9.199236,-3.3913102,-0.9202934,6.793147,-6.0498896,2.3277428,-5.22052,-1.869962,0.5517746,-2.2200127,3.153006,-1.2501707,1.5104475,-1.8373367,2.4946132,-0.8738984,-1.4761184,0.07016291,2.2114968,1.1957223,0.25814015,-0.08679731,-1.3707234,-1.3303199,1.6195182,1.371402,0.95153594,-0.6972581,3.1860805,0.7732594,-0.9435092,0.11885999,-0.3234849,2.1791658,0.17370881,0.043866877,0.39225268,-0.065822124,-0.6565914,0.82330805,-0.23697346,-1.1967723,0.17547362,1.4325049,-0.120894425,0.21959747,1.1566563,-0.93163556
6,14.174998,0.3917962,0.8868874,-3.5299344,-16.193306,2.5587702,32.599247,-5.551462,-6.51009,-2.8486032,3.7475207,-0.9738176,-4.4302263,-1.4051064,-1.3098602,-3.3773217,6.232489,-0.3993319,1.3711823,0.69786227,-2.1702423,-0.22711423,5.252903,2.7018957,1.2409785,3.166122,-0.9559369,1.6761769,-4.33193,-0.5230662,0.47264624,0.37360355,1.2090063,-1.0707986,-1.3471701,-0.67284536,0.26451555,-0.9360545,2.027865,-0.43090615,1.4737172,0.6640644,-1.3702761,-0.26984423,0.76608,-0.1834664,0.16161293,-0.9216058,0.44655257,0.3108707,-0.26806253,0.3156982,0.47475803,-0.33143437,-0.01124212
7,-22.265102,6.717022,11.785458,2.0674317,3.0301032,9.199236,-5.551462,19.79733,-2.897438,1.7314377,5.4875193,0.82951534,2.3942847,0.35355026,-0.3179664,0.1087737,0.47710186,1.8419297,0.039141476,1.5189354,-0.19775112,0.34145617,0.06234645,0.54662436,1.0862387,0.47770602,0.80036765,1.2563946,2.8003411,0.4595894,-0.48597324,1.2207348,-0.7314135,-0.78751445,-0.2168809,1.6023026,2.0424244,0.95611054,-0.88803846,0.6714468,1.0395176,-0.56361425,-0.59680885,1.912267,0.5449246,-1.1592021,-0.38289163,0.7411259,0.53756773,1.7446275,1.2247579,-0.9778217,0.043859616,1.0243516,-0.1359199
8,-5.5993743,-9.71179,-10.800903,-2.522041,2.8459687,-3.3913102,-6.51009,-2.897438,22.95743,-0.9677378,-2.6165028,3.588255,1.2024661,0.06264869,3.7598925,-1.1509137,-0.15465117,-3.1026664,-1.4900472,-0.21886554,-0.3438773,-1.4999437,-1.6839159,-1.2583331,0.9492209,-0.006021074,1.8283088,0.32271412,-0.64852005,-0.12343044,1.0672193,-2.175806,1.6558384,-1.1481881,-0.6524957,2.508375,0.15988907,-0.028953835,0.7361045,0.5453886,-0.2874406,-1.5645001,-0.49445483,-1.3020403,-0.15797172,-0.8790208,-0.18253663,1.1322863,-0.95037764,0.3183138,-0.6925275,0.41526818,-1.1667078,0.15858626,0.38468987
9,-10.471007,-1.1804851,-5.257907,-4.7463093,0.46726817,-0.9202934,-2.8486032,1.7314377,-0.9677378,16.933409,5.5097895,-1.3241379,1.7000442,5.69093,-0.37961698,2.3228097,2.6455374,0.9898589,0.3794526,4.699688,-2.5899136,-1.7708821,0.33576173,-0.36088794,2.719194,0.041158557,0.59868276,0.22313859,1.3401716,1.8451271,0.07322885,-0.4361148,-0.47028232,0.09180288,1.0937846,0.08743849,-1.7162677,-1.1752951,-1.4622877,-0.96417195,-0.3718073,0.24537681,0.22696747,0.53989565,0.33002514,0.08331944,0.9548273,0.5407815,0.5256163,-1.1470647,-0.726724,-0.18823287,-0.09940383,-0.25460997,-0.23712513
