,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,214.39023,44.92534,9.929599,-7.8365417,1.7948698,-10.921158,-9.630841,15.277363,3.7314775,7.794063,-8.155928,-8.392101,0.30701053,6.7511177,5.115953,-3.9336023,4.533845,-2.848024,5.241784,-2.6504545,-5.5057516,-7.7169986,-2.595057,-2.1442919,4.1224985,3.9793546,-0.25471103,-2.3783088,1.133372,1.0262687,4.5376444,5.3968596,3.6142535,-0.5106472,0.42859817,0.9331622,-0.49172822,-0.30547088,-1.569658,5.623037,-1.3305433,-0.61731327,-0.56761074,0.43917817,2.6774774,-1.4844527,-1.1958084,-0.3553922,-0.26035446,0.775681,0.590487,0.042644955,0.03484074,-0.23471811,-0.38216555
1,44.92534,146.57887,-25.386383,14.704304,-12.612558,20.021496,-0.22146828,-4.675435,6.567744,0.3931489,5.8524895,-10.034044,7.184459,-5.0878277,-2.1701536,7.248897,2.0545015,-2.6297023,3.1940513,1.7706723,1.9359748,3.5462158,-3.781723,-1.4716623,-0.1600865,-6.3677588,-0.3238532,-1.8462536,-2.6821592,0.40461224,2.0919998,1.2124386,-1.2502137,-2.4260163,-0.014841378,0.50471413,2.0952148,0.2795788,0.9315015,-2.2187676,-1.3815143,0.21439439,-0.27613539,0.78191745,0.95908594,-0.5724942,0.14796941,0.6731436,-0.078013286,-0.42340076,-1.034313,1.262434,-0.585857,-0.19008806,0.093945235
2,9.929599,-25.386383,104.28349,-0.06130664,0.10789546,1.0091183,-0.6167511,-7.875832,7.26861,3.7233336,2.0002646,-0.61025524,2.156238,6.3739185,5.0919228,2.7136164,-4.118167,-0.5395715,2.6403618,-5.1323233,-7.625087,1.5799618,-2.90995,-0.44558892,1.2816205,-0.7354396,2.6664,-2.0504165,-5.443012,3.372414,-0.5711529,-1.0885453,-0.066395015,2.295195,-0.37649977,0.47948343,0.27021772,-0.64497924,0.43357602,-2.0490956,0.10060176,0.70498776,-0.5326479,-0.18412034,0.9540982,0.8384335,-0.25178283,0.16987082,-0.3045079,0.17500705,0.24424863,-2.0076995,0.61117977,-0.67066413,-0.124757886
3,-7.8365417,14.704304,-0.06130664,96.30594,-1.9881135,-5.7877502,2.3583105,-1.3214841,1.6886094,3.3927507,-1.2919407,0.5771309,0.85535204,2.8183424,1.358756,2.638025,-1.8069627,-2.0822628,0.81958354,2.4185715,-2.2893414,-1.0296035,-0.1260485,4.3177114,-0.07735085,-0.5858146,-0.23143108,-1.0203276,-0.89228505,-0.07656256,-0.5232225,-1.5621483,1.3884858,-1.3340836,-1.3862891,-1.2401519,-1.1173798,0.3238207,-0.7305714,0.32973212,1.4794624,-1.5682216,-0.048524886,0.27945036,-0.26544064,-0.18917093,-0.17918119,0.112714276,-0.6268778,0.5041796,-0.42773253,0.14226013,-0.9278163,0.20829302,-0.25465602
4,1.7948698,-12.612558,0.10789546,-1.9881135,71.96827,6.207544,10.913271,-2.0434294,-1.9177331,-0.31868237,2.8557262,-3.7577765,-0.14883128,-1.8328371,1.8447402,0.40121722,0.3996381,1.1764586,1.2091384,0.34119028,-0.8238717,-0.1492264,0.70952594,2.642149,0.07617324,1.3205693,0.17972872,-0.7193506,-1.075903,-1.6867433,0.24293858,1.4118629,0.9090911,-0.78484577,-0.43486458,0.9652363,-0.4144187,-0.4772271,0.98491335,0.21507724,0.04220514,0.36155784,-0.36124527,-0.09362243,1.1246712,-0.05250726,-0.10248263,-0.23668674,0.04049962,-0.189425,-0.693014,0.8520918,-0.59201366,-0.3460003,-0.23151118
5,-10.921158,20.021496,1.0091183,-5.7877502,6.207544,42.953533,-1.7475637,-6.118511,2.2730086,0.83919793,-4.5016932,3.8462014,-1.5368094,3.479793,1.2469733,-0.33516198,1.6918174,-1.9362922,0.80866635,-1.0660448,1.1409183,-1.6420282,0.60128176,1.089812,0.051153325,-1.5518034,-0.8846489,-0.23696712,0.13891155,1.0101594,0.79209876,-1.0957007,-0.89091516,-0.61097175,0.40798053,-2.158629,-0.5116112,0.63392496,-0.081953585,0.221857,-1.4875113,-0.16183174,-0.014412647,-0.31116286,0.006566354,0.3830657,-0.5383124,0.16649222,0.74198616,-0.08316706,-0.89842355,0.15539436,-0.14456448,-0.6954286,0.5557157
6,-9.630841,-0.22146828,-0.6167511,2.3583105,10.913271,-1.7475637,31.496624,3.7518272,4.385596,1.9484768,-2.5154686,0.625928,2.9897823,0.94187534,0.880988,2.2808404,-4.174429,0.29389703,-0.9285089,-0.4766211,1.4497703,0.15820256,-3.5383763,-1.8083527,-0.82337594,-2.1417687,0.6338567,-1.1378785,2.929912,0.36385748,-0.33224493,-0.25234184,-0.81038904,0.7256013,0.8997378,0.45193,-0.17701438,0.6305642,-1.3668505,0.2908998,-0.9956486,-0.45340773,0.92543864,0.175699,-0.5212387,0.11583286,-0.10674258,0.6219752,-0.30941796,-0.20488709,0.18945047,-0.20303875,-0.31949684,0.2344032,-0.0019035367
7,15.277363,-4.675435,-7.875832,-1.3214841,-2.0434294,-6.118511,3.7518272,28.253283,1.9583259,-1.2673745,-3.7331052,-0.4530372,-1.6281741,-0.22064024,0.22034153,-0.09014444,-0.41135734,-1.3278399,-0.010856124,-1.0015271,0.17791335,-0.24806212,-0.047684256,-0.41199723,-0.7772082,-0.29373163,-0.50319433,-0.8177898,-1.924092,-0.3493783,0.37542927,-0.8207022,0.4776326,0.5168146,0.17457116,-1.0745392,-1.3807743,-0.6434541,0.59930974,-0.4542666,-0.69185257,0.40037435,0.39524588,-1.2672114,-0.34988874,0.80847335,0.25045162,-0.50256974,-0.33265406,-1.191831,-0.8561145,0.6250372,-0.031129854,-0.72890335,0.12470314
8,3.7314775,6.567744,7.26861,1.6886094,-1.9177331,2.2730086,4.385596,1.9583259,24.87025,0.66760236,1.7686765,-2.4344516,-0.80810505,-0.044934545,-2.5347848,0.7782054,0.11803429,2.1042342,1.0017688,0.1441049,0.22487885,1.013596,1.1356899,0.8547158,-0.6327436,-0.00027732126,-1.2376797,-0.22192888,0.44272262,0.08928099,-0.7265817,1.4659996,-1.1135411,0.77591574,0.43535686,-1.691237,-0.10708433,0.019374743,-0.49620265,-0.3672726,0.19237146,1.0511792,0.3342896,0.874158,0.10379043,0.58819044,0.124180675,-0.76258135,0.635919,-0.21203908,0.4714273,-0.27464002,0.78650165,-0.10094148,-0.2643358
9,7.794063,0.3931489,3.7233336,3.3927507,-0.31868237,0.83919793,1.9484768,-1.2673745,0.66760236,19.981033,-3.8078249,1.1790228,-1.185272,-3.7875512,0.27221483,-1.6109233,-2.025855,-0.90117085,-0.2137188,-3.1074135,1.8661458,1.1448605,-0.24160017,0.12521413,-1.9547021,0.0485512,-0.30557916,-0.07216394,-1.0029911,-1.3507258,0.0802885,0.2992158,0.27559906,-0.09946054,-0.6602529,-0.044660155,1.1448234,0.79442215,0.9877548,0.64497685,0.27408224,-0.1097814,-0.17176226,-0.30571502,-0.17549473,0.017624382,-0.66398424,-0.37287027,-0.27410048,0.7294593,0.4066119,0.035074927,0.06273541,0.06722824,0.24935214
