,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,86.26233,-37.35354,-16.823769,1.1665344,-4.6897535,2.2427793,30.78997,-11.705709,-3.735787,-1.9077542,-19.994576,-5.585476,16.345745,-1.977655,7.24638,-1.2334669,-11.494595,8.912947,1.1477997,1.932673,6.998168,-3.9365807,-5.2595816,-12.32612,-4.460947,-4.007436,-4.3456583,-0.8730191,0.4888301,-3.3388257,8.276234,-10.855785,-6.866239,4.8571887,-5.50675,2.049086,8.66407,2.0846157,-6.9169292,-0.82131946,1.2000988,-2.172599,3.9687681,5.0318456,-1.3504075,1.8668934,-2.139182,2.9929914,-2.3164337,2.0497222,3.1021237,1.8571976,0.4308703,-2.2916446,-2.0957851,-1.1638393,0.39625388,-1.7565696,0.59631795,-1.4300011,0.5958768,-1.5503292,-0.14588772,2.422217,-2.158003
1,-37.35354,68.09938,5.26542,-8.996121,-1.5179543,19.074368,-14.300821,7.508443,-23.044094,6.0609407,22.092377,4.079835,-3.879815,-12.959295,-19.194258,-14.006437,21.20892,3.1547675,10.32723,6.1362762,-3.3295155,7.901865,10.939645,2.140327,2.5960708,4.1898203,6.429081,2.120076,1.6231169,-2.1898956,1.5107521,5.197179,2.6110039,-2.0012112,3.328391,0.27372172,-0.102673225,-3.029036,0.44240057,5.494892,-3.6829448,-1.319794,-5.3534946,-1.028562,1.8820988,1.355113,1.7705708,-1.1098049,0.13398176,-1.6967001,-2.4839802,-0.85654163,-1.1301851,0.95877516,0.6876621,-1.0242445,-0.3382163,-0.23472235,0.83100724,1.8572805,-0.14797127,0.49161756,0.23920256,-0.44329464,0.32898617
2,-16.823769,5.26542,94.51557,-6.722048,19.374386,-48.127045,8.869595,14.4825535,-14.28933,-13.279059,3.9160912,14.199327,-24.857243,-16.913342,-13.266979,7.320856,3.1608071,0.069458455,-19.010288,4.9914346,-9.87114,-5.836496,-4.502992,-5.0063047,3.4148984,-6.3142138,4.761506,-4.917367,0.7861667,1.8045567,-4.48565,-0.12303896,7.417557,-0.14976546,-2.2339368,-3.7161732,-2.0601063,2.531112,-2.900416,2.4287486,3.2809684,-0.62418914,6.08755,-2.785348,0.29230437,4.058779,-3.093182,-2.3403347,-0.07764812,0.75422764,-1.2908797,-0.90784913,-0.19574127,-1.9168932,-0.8497147,0.38441336,-1.7906716,1.8863434,0.43857569,-0.89340436,-2.0734973,1.5975913,0.26157027,1.231226,-0.6451254
3,1.1665344,-8.996121,-6.722048,56.5643,-2.1754053,-7.1735783,7.655592,-7.8162756,14.907768,20.04588,8.916928,-3.1918864,-7.464013,-7.5922704,6.044507,-7.5970273,-4.752239,-0.3642558,0.085775726,4.6587887,1.5413611,-3.9746904,-3.635573,-1.7371303,0.11788326,-0.7616514,-9.940475,2.6179266,3.273681,4.350288,-5.115871,-1.1259143,0.43498337,3.5178533,3.0392776,1.8506234,0.8967271,-0.32852346,2.517633,-3.4745545,0.56901956,0.24098381,1.8816051,1.5404671,-0.64424527,1.9826281,1.0889776,-0.41703862,1.4975853,-2.4979618,4.5844297,0.16237815,1.2164788,2.8215046,1.4211166,-0.09238452,-0.25917673,-0.999496,0.7859689,2.4830828,-0.5054064,0.71761185,0.019403694,-1.3285568,0.0033971122
4,-4.6897535,-1.5179543,19.374386,-2.1754053,57.06286,-55.094963,-10.902356,-5.9426146,-13.017143,-7.3796186,10.890402,12.179784,-10.659352,-6.7624083,-4.9873877,-7.721813,8.604864,7.839713,-3.1910906,2.912291,4.6254234,0.71028686,0.7895815,-3.3630352,6.6946054,-0.5214765,3.5600991,-4.5568438,-2.6578279,0.89016694,-5.067934,-0.9442811,-1.3738275,-1.5390725,-1.2372589,-3.2259154,0.09909457,-2.1218626,0.16664445,-3.7592373,0.124628596,-0.853191,-0.3196894,-1.8227276,0.20099539,-4.600861,1.8673657,0.70921624,-3.442267,1.3116789,2.6421957,-0.13953471,-0.34790224,-2.7148452,-0.6074945,1.1104333,0.6565947,0.93196887,1.5500898,0.52026343,-0.8317458,0.708882,1.5340036,-0.5808129,-0.14223403
5,2.2427793,19.074368,-48.127045,-7.1735783,-55.094963,120.5293,-13.704296,-12.966991,18.423878,1.4478133,-13.64603,-9.034676,14.477324,16.100424,-0.8795297,4.5893965,0.3339099,-10.080849,34.772736,1.2771802,-15.165037,1.2737675,2.5615003,2.527428,-4.317013,-5.2104177,7.195212,5.2718396,-1.0712526,-0.9893606,6.0435715,3.3480089,-2.6084971,-2.292561,-1.857734,0.82667327,1.7107916,0.3070504,-2.282641,4.206537,-1.6510763,-3.2258773,-0.5250083,-1.8675382,1.3170056,3.102716,-0.29315853,1.2868454,2.0971375,-0.33112922,-1.1734974,-2.0772138,-0.077362165,1.6703122,-0.35830665,0.13716385,-0.70724237,-0.70308995,-0.47196677,0.54319936,1.5013785,0.5718381,-0.35145172,-0.03146944,0.106396474
6,30.78997,-14.300821,8.869595,7.655592,-10.902356,-13.704296,38.50512,-3.4146943,0.6427196,-1.2510571,-14.244362,-10.835469,1.0736641,-11.434508,-2.1490276,2.0329266,-6.1518803,7.107892,-10.970839,0.124084935,5.9879265,-1.6860082,-1.7877841,-4.091957,0.16538827,-2.6335716,-4.89587,2.1906288,1.466804,-0.9547616,5.087618,-4.298255,2.709809,1.625097,-1.6929345,2.8364646,3.1729174,1.0679445,-1.3460512,2.9200592,1.4672997,-0.57092524,1.9338727,2.1163435,-0.50501925,2.6330748,-3.220886,-1.3467376,1.6877291,0.3358934,1.4027016,1.5272908,0.6631459,0.105276346,0.85492086,-0.14389393,-0.47439486,-0.80693686,-0.3463455,1.2058483,-1.205012,-2.0565286,0.0707988,0.6390398,-0.28462678
7,-11.705709,7.508443,14.4825535,-7.8162756,-5.9426146,-12.966991,-3.4146943,18.720081,-8.926895,3.936854,4.3001785,-0.7790308,0.34286338,0.12279551,3.3047242,2.0749564,-2.486035,-0.6072111,-9.918625,-0.5376831,1.678086,0.27176547,-0.89287937,2.880788,-0.81485534,3.6652894,-1.7004299,-1.2125543,-1.1572797,-1.2468216,-1.6781682,-0.19871122,0.78505564,1.926939,1.0545682,1.6013899,-2.2262783,-0.8547344,1.1696117,1.9625915,-1.6215739,0.07793437,-0.64857906,-0.06825278,-0.94970584,1.2349532,0.62204456,-0.41952077,0.35764366,-0.72398436,-3.1203969,0.34819874,-1.2509073,0.7337583,-1.305933,-0.98398185,-0.48979846,0.08494219,-0.46255535,-1.0446863,-0.34591627,0.9147351,-0.9774293,0.2250318,-0.40780932
8,-3.735787,-23.044094,-14.28933,14.907768,-13.017143,18.423878,0.6427196,-8.926895,41.287075,3.5948558,-3.345004,-8.305852,-3.2801418,7.3705797,8.113057,9.715178,-10.31406,-8.411593,3.9097238,-1.2523743,3.7241359,0.5041389,-6.3231087,7.695182,-1.0469445,-4.2601933,-0.6387516,4.466337,0.56397986,2.0347748,-0.9507426,0.29232886,2.4613957,-5.6570497,1.8689246,-1.5425746,-1.153685,2.5418797,-0.79808867,-3.4045403,0.66783196,1.5969417,2.6641216,-0.5206983,-2.528831,-0.44953725,-0.24513718,-0.29995713,1.8244638,-0.7322155,1.3418365,-0.3939234,1.3532887,1.6968303,2.075326,1.8860974,-1.5477846,-0.4126211,-1.3114456,0.930771,-0.499431,-0.30404705,-0.045912623,-1.5082858,-0.49313462
9,-1.9077542,6.0609407,-13.279059,20.04588,-7.3796186,1.4478133,-1.2510571,3.936854,3.5948558,22.501503,10.065525,-5.530536,3.7863274,1.9370586,9.600014,-5.761611,0.18941349,-2.7402554,5.689724,2.0790136,2.7719047,1.7203349,-1.2645441,2.6458478,-1.5321457,4.421941,-5.9467564,0.4768728,1.2231749,-0.5779501,-1.5735233,-1.7904112,1.243615,3.2541323,0.9141665,0.7546494,0.92009366,-2.6167197,2.248097,-0.7354922,-1.8041074,1.1646013,-0.9956124,1.1702739,0.64652616,0.74232423,1.4154066,-0.6291239,-0.05576627,-1.9088651,0.3565648,0.33493873,0.2565625,1.1191089,-0.09902915,-1.2693859,0.57609594,-1.0499933,0.8917259,1.4905326,-1.2105055,-0.15917008,-1.4706019,0.16693851,-0.3010197
10,-19.994576,22.092377,3.9160912,8.916928,10.890402,-13.64603,-14.244362,4.3001785,-3.345004,10.065525,37.51207,5.8411336,-2.306414,-7.1531887,-2.9523606,-6.8674154,8.879509,-6.508876,1.5784669,13.361776,1.262939,5.476678,0.047410145,3.5988283,3.9804568,0.5518714,1.1574957,1.4169388,3.0735288,0.19373827,-1.7137719,1.0925331,0.9454801,1.2836068,5.938191,-3.2027974,-1.2155454,0.41392908,1.184166,-1.6556356,-2.5242376,1.68699,-1.1018897,1.3097856,-0.98059857,0.12160215,0.73007524,-1.8380635,-2.1281843,-0.8667881,0.36780262,-1.6490893,0.5248182,0.91599774,1.1069083,-0.020410009,0.52013516,-0.44605714,0.5331906,0.5657728,1.2214842,0.2468664,-1.5883377,0.09253618,0.91241103
11,-5.585476,4.079835,14.199327,-3.1918864,12.179784,-9.034676,-10.835469,-0.7790308,-8.305852,-5.530536,5.8411336,12.626882,-3.3193984,-1.2256248,-4.6666107,-2.462298,4.9322844,-0.8631529,0.39495268,-1.1583159,-4.8699293,-1.2977555,0.11515145,-4.507116,-1.2600505,-0.4895573,2.6235814,-2.0079577,1.1587656,1.7109106,-1.5129157,1.7083739,-0.188241,0.52449524,0.07210638,-2.1672745,-1.1643711,0.45374686,-1.1341863,-2.1635227,1.3398176,0.7783321,0.7393334,0.07175125,1.3677804,-0.4033051,-0.09883116,0.6934155,-1.6093678,0.50129986,0.24947333,-0.8572321,-0.025995474,-0.8638593,-0.26789403,0.054195363,-0.12201635,1.0284973,0.7500336,-1.284715,1.095937,0.7606299,0.39163435,0.3375829,0.27032927
12,16.345745,-3.879815,-24.857243,-7.464013,-10.659352,14.477324,1.0736641,0.34286338,-3.2801418,3.7863274,-2.306414,-3.3193984,18.37873,4.5869484,5.1925178,-1.7673763,-4.5066614,-2.0167346,6.111261,-1.603849,2.2763867,1.9289932,-1.8539371,-2.9478655,-1.1032093,3.1583753,0.099921614,0.47050196,-0.63562024,-2.505497,4.002702,-3.4515314,-0.10058658,2.0644126,0.5959964,1.4551477,0.16019677,-2.4147575,1.0631398,-0.3958906,-1.0320125,-0.8827275,-1.0823959,3.117867,-0.21114357,-1.0051873,0.28419203,1.0199044,-1.495829,0.6547187,-0.92476004,-0.15270007,0.0789893,0.20515406,-1.694133,-0.1325573,0.5307336,-0.8538419,0.14366865,-1.6081793,0.5697247,-0.1794219,-0.30592412,0.5738547,0.66464293
13,-1.977655,-12.959295,-16.913342,-7.5922704,-6.7624083,16.100424,-11.434508,0.12279551,7.3705797,1.9370586,-7.1531887,-1.2256248,4.5869484,19.090462,10.513821,4.8444986,-4.4079256,-4.848667,6.5320215,-6.4460993,-1.7802246,-1.7837907,-1.323946,3.1581016,-3.2606459,1.5591364,-1.1141839,-0.60181016,-1.2316527,0.61648434,-1.9869208,0.38833672,-2.162358,-0.14895734,-3.501925,-1.4252663,-1.8158318,0.3526668,1.2521756,-1.6185752,1.2920613,1.1191293,0.18198177,-1.0948257,1.8810751,-2.8778186,0.6593198,0.39800256,-0.33631337,-1.0430095,-0.98949194,0.46828014,0.1537767,-0.43295074,-0.7029856,-0.13474098,0.45243043,1.0110989,0.30963004,-0.2766495,0.30608547,-0.22076622,-0.40816805,0.34338215,0.24108982
14,7.24638,-19.194258,-13.266979,6.044507,-4.9873877,-0.8795297,-2.1490276,3.3047242,8.113057,9.600014,-2.9523606,-4.6666107,5.1925178,10.513821,16.63845,2.5283298,-7.051085,-3.6762028,1.0086069,-1.802048,2.6310415,-0.32583684,-4.644185,2.3918998,-3.6524413,1.5741159,-3.4167933,-1.0932584,-2.0063486,-1.110652,-2.8156447,-2.1077118,-0.45637944,2.6844034,-1.1549591,1.1677313,0.21062373,-0.63840747,2.011941,-1.8349364,-0.2609383,1.3037612,0.47479528,0.104190215,-0.20541263,-0.47454756,0.99080646,-0.32440114,-0.7687621,0.04662732,-0.16369176,0.56903136,-0.33122873,0.6246444,-0.5344286,-0.49661916,0.24425825,0.21201304,-0.18387115,0.2429846,-0.87178755,-0.2177825,-1.3390188,0.67762804,-0.4484169
15,-1.2334669,-14.006437,7.320856,-7.5970273,-7.721813,4.5893965,2.0329266,2.0749564,9.715178,-5.761611,-6.8674154,-2.462298,-1.7673763,4.8444986,2.5283298,12.052671,-6.599617,-4.991767,-4.8082285,0.045205943,-2.036126,-1.4405265,-2.7591996,4.011594,1.5720003,-2.6012564,0.418641,-0.63658965,-0.9580199,0.082120776,-0.29505742,0.096050136,-0.38274598,-0.54913855,-1.3192445,-0.92395604,-1.4634789,1.585284,-0.3041951,0.74408364,0.83602524,-0.031811524,1.8964254,-1.3854764,-1.333719,0.099316806,-1.47436,-0.8883461,1.3871795,0.9444871,-1.1653061,-1.2420709,0.2892822,-0.27904058,-0.09153658,-0.0768836,-0.23877338,0.3674068,-0.2598545,-0.7774037,0.25546765,0.36207485,-0.59227157,0.24063429,0.14810261
