,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,204.21446,-17.185978,-10.811511,33.66585,-28.284311,9.321096,26.314007,16.387772,-17.244,17.87799,-26.26906,-15.95879,-3.3576684,2.6040444,-1.6882164,8.0450535,12.618757,9.69869,1.9520459,7.488472,11.891814,-9.838751,-7.0202694,-0.9412711,10.113382,-3.9812126,-12.861094,5.337776,0.85195774,-1.262805,5.8803897,-1.0375211,8.188093,-3.4849594,1.9823911,-1.4192624,-1.6258409,2.9559238,3.4370356,0.89398134,1.9200413,-10.443363,-2.0968409,3.0377064,1.105836,-0.34986103,0.014639802,-1.5949628,-3.637848,2.9768329,1.4894894,-1.1056064,-2.6434088
1,-17.185978,57.828766,14.502876,9.283527,-2.01611,0.5537301,-10.796162,14.030096,7.0011687,6.9274855,-0.011913382,-6.0652223,9.239834,-5.3536286,2.443226,-2.6930518,-2.3570445,-3.4890943,2.1649494,4.228859,-4.497162,1.0577748,-0.9790523,0.6902219,0.121912256,-1.8900146,1.3832195,-4.7281036,1.9480541,3.8677378,-1.6104169,3.4553938,-1.212173,0.35435975,-0.8101305,3.56734,-1.8601029,-4.4305916,1.1562669,0.026751632,-0.93203366,-1.4945309,0.4735881,1.469954,0.1486227,1.2501172,-1.2954507,1.2657354,3.0788004,1.374527,-1.0097442,-1.794172,-0.6147597
2,-10.811511,14.502876,80.82758,23.701105,17.721355,-21.710112,-9.114027,7.306266,-2.5294461,12.109759,1.2706984,-14.540538,7.97816,3.0560012,-1.766206,-7.63995,-9.815986,-1.1327082,11.213479,-5.7325935,-4.7181063,-2.2740507,1.4853332,1.5030649,0.38572928,3.6680746,0.79016924,2.2493324,2.2510836,-0.23243853,-1.6198947,-1.5867758,-5.26128,-1.8500469,2.6354003,3.2524009,-3.6495464,-0.5005088,-0.09272394,1.5281973,0.33896053,-0.79150176,0.24421366,1.1657072,-3.503004,-0.8118217,-0.78039527,-0.03355603,0.7904695,-1.8520417,0.8334484,1.7902569,0.0972317
3,33.66585,9.283527,23.701105,50.572872,5.6602936,8.136145,-6.5416327,13.525459,-8.147388,12.963297,2.9064233,-3.1065893,5.2127185,-1.9200928,-1.6644149,1.5440838,3.5123014,3.2855008,0.98615956,-0.9222064,1.7457149,-3.6116066,3.191463,4.716859,2.6310763,-2.9747796,-2.770345,6.172695,-1.8806132,-0.38556784,1.6464369,-1.0759997,-0.9390241,-2.122948,3.707343,0.22927082,1.3556471,-1.8260803,0.2841115,0.327574,0.17879784,-0.33129108,0.29971042,0.79025185,-1.4608821,0.8462081,-1.3377321,-0.6290106,1.3393614,-0.8392884,0.9688672,0.37911412,-0.9242542
4,-28.284311,-2.01611,17.721355,5.6602936,23.795511,-3.806703,0.46599513,0.93442607,-3.6301231,4.3114576,7.5990705,-0.94386333,3.5679426,1.5103853,-5.5118613,-2.6817882,-5.204153,-3.2714357,4.753621,-2.2969496,-2.2580636,1.5756807,2.8906202,1.6386517,-0.2968164,0.6881396,4.0485535,2.6716888,-1.8371658,-1.0171325,-2.4492114,-0.1680378,-1.3896946,-1.5008068,-1.1380892,-1.3236513,-1.3038628,-0.3267883,-1.5433096,-0.568621,-1.6074753,1.4929638,0.82964575,-1.7131774,-0.1862823,0.52982277,-0.2134693,-0.91515553,-0.32769382,-0.39395005,-0.5523286,0.5130374,0.16661465
5,9.321096,0.5537301,-21.710112,8.136145,-3.806703,23.491442,-1.8127279,1.182886,-0.0871712,-3.7325797,-0.83618116,3.850096,-1.6782851,1.74615,-4.7290964,0.7876123,4.5284014,-0.32604352,-5.0555906,0.899011,1.4833013,-0.12542903,2.0627058,1.1989925,1.5674796,-1.7112868,-1.1448461,2.7014427,-1.4230967,0.5052217,3.2759624,0.8932599,3.3361716,-0.35887536,0.19921759,-0.101811394,1.0090123,-1.6156284,-1.4389713,-0.63381153,0.7575786,0.31501523,0.5864868,0.7431009,1.2604392,0.40697926,0.1860249,0.51283616,0.086232014,0.060491323,0.10758276,-0.22473004,-0.6583462
6,26.314007,-10.796162,-9.114027,-6.5416327,0.46599513,-1.8127279,29.961472,-4.0809355,-7.9796515,3.1194148,-4.7845936,0.1802052,-4.66947,-0.53042793,-3.3100195,1.2864647,-0.050910033,-0.21072154,-2.9113317,1.4523582,-0.076183766,-1.758924,-2.6368845,0.71703434,-0.04358028,-1.4382101,-1.6267219,-1.5859393,-0.7081212,0.5293876,-0.74738866,-1.1115365,0.953473,-1.0436201,-0.8098266,0.5863196,-0.6252214,2.1796913,0.6606383,-0.34743118,1.4467793,-0.59948003,-1.2044978,-1.8733342,1.1378216,-1.0240345,0.23007226,-0.65355146,-0.7189846,0.49198788,-1.610484,0.071589336,-0.727293
7,16.387772,14.030096,7.306266,13.525459,0.93442607,1.182886,-4.0809355,14.297314,-3.644555,7.5021343,2.97575,-4.9805627,1.4925306,-2.686301,3.4160175,-1.6056528,-1.0980241,0.7832291,-0.5039474,2.696406,-2.4328413,-1.4670937,0.047278926,1.7002172,-0.110689566,-2.5157943,-2.4396777,0.986809,0.5031715,0.5852931,-0.836243,1.3747338,2.3286653,-1.9672148,-0.41598877,0.7759751,-0.32687122,-2.2419524,0.54563254,0.27323347,-1.277666,-0.42617387,-0.25979018,1.0905828,-0.08498246,0.30114996,-0.20749137,-0.06537072,-0.030368766,0.47265947,0.26633865,-0.79248583,-0.25233543
8,-17.244,7.0011687,-2.5294461,-8.147388,-3.6301231,-0.0871712,-7.9796515,-3.644555,9.254542,-3.229597,-2.0801513,3.6442916,0.9016975,1.5332464,1.1873822,1.6346104,-0.23072913,-0.7760657,0.22493353,0.34796655,0.033017553,2.0371492,0.5452492,-2.7165663,0.02611469,0.76174664,2.1848397,-1.5828741,0.08803518,1.7209806,-0.25112385,1.1947734,-1.3820379,1.963839,-0.47497404,0.47713545,0.027786609,-1.0905948,-0.06008042,0.004810149,0.04874122,-0.6215464,0.8619758,0.2982124,-0.40397936,0.5048703,-0.2560293,0.8479175,0.20501088,0.17304395,0.2311691,-0.22039875,0.6312405
9,17.87799,6.9274855,12.109759,12.963297,4.3114576,-3.7325797,3.1194148,7.5021343,-3.229597,14.923549,0.7867906,-4.281783,2.2799382,0.9204805,1.3117974,0.45705068,0.13121533,-0.4909957,3.618576,1.4220033,-0.5371063,-1.6645756,0.9537742,0.6118568,0.16284637,-2.6015358,-2.3585107,1.3848388,-0.39501947,0.14594617,-1.9188442,-0.6518047,0.47146592,0.9734002,-1.4866748,-0.6454817,-0.2536074,0.6540931,0.20347105,0.31307614,0.32734364,-0.3281594,1.1207633,0.13628623,-0.9196373,0.8036685,-0.18237147,0.02275696,0.47700393,0.8538917,-0.27911493,-0.22868799,-0.27117032
10,-26.26906,-0.011913382,1.2706984,2.9064233,7.5990705,-0.83618116,-4.7845936,2.97575,-2.0801513,0.7867906,10.98355,1.5358605,-0.69357014,-1.2197429,1.7797407,-2.5068865,-2.2275581,-1.3328574,-1.0145824,-1.3696723,-2.825528,0.7921102,2.3390174,1.3281845,-2.738685,-0.94463366,0.55269575,0.88519895,-0.09962792,-1.560891,-0.74258375,0.18734157,0.33102882,-0.35667062,0.009882376,-0.07125126,0.6838635,-0.61648357,-0.536973,0.19030647,-0.77947515,3.3911898,0.24153455,-0.17565991,-0.026032906,0.46712464,0.16250634,0.34612006,0.2073885,-0.04271798,0.2292749,0.030954717,0.6279272
