,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,679.52185,-2.1429522,57.86371,27.576923,-32.487072,5.0409756,33.378204,-4.1384716,7.7105722,24.829086,13.151546,-17.8646,10.456836,-1.2765386,-3.737368,-4.479103,-10.960369,-8.160088,-11.361889,-8.710771,-5.6696415,-2.5913582,2.5143046,0.735211,-3.6499295,2.9373772,-2.1690416,-2.2197032,1.9416656,-1.7303367,3.0330486,3.5458403,-1.532728,3.0580487,-2.729473,1.3661761,-1.7596816,-4.098402,-0.8750575,-0.1342532,1.782353,0.3559647,0.6133992,-0.3125887,0.48112804,-1.8809872,-2.738261,-0.027456164,0.39487618,0.46403846,0.7232498,-0.9972717,-0.7994567,-0.7602824,0.7815672,0.09977889,-0.7752696,-0.20722643,0.1874417,0.18973637,0.22196424,0.35045522,0.5104621,-0.26665813,0.8361785,0.26533562,0.75980204,0.40748125,-0.20240325,-0.8206881,0.05218827,-0.27978146,0.54460114,-0.094119996,0.5999956
1,-2.1429522,285.1917,40.885803,7.695453,-2.394517,-30.949661,2.0594668,-17.87934,-15.854639,-4.9789495,13.984899,0.23617044,-8.886179,6.725615,4.5722837,-1.603727,-2.127046,-1.2685091,1.4767289,0.9418862,8.179051,6.649378,-0.812015,-4.0244517,3.135552,-0.22217011,0.93897593,3.0044887,0.3617516,0.625589,4.3789883,0.33103746,0.20698291,0.17866614,1.8633583,-0.7729521,-0.5986366,0.1643545,0.8834259,-0.011035982,1.1886377,1.2238746,-0.69575036,0.43826368,-1.6949897,0.18494274,-0.38138008,0.051929444,-0.19889098,1.0756576,-1.0826302,-0.84541357,0.10271231,0.3995008,-1.1566999,0.036135174,0.23664066,-1.0351784,-1.3591506,0.10311558,-1.008783,0.34894633,-0.33274657,-0.5705397,-1.1204565,-0.2926076,-0.72026265,-0.18336183,0.47158313,0.099724635,0.5377567,-0.24610138,-0.80504024,-0.13772333,0.16372406
2,57.86371,40.885803,100.595924,-29.11013,20.941952,-0.35077488,-6.8718176,5.2349358,0.6585064,4.9033694,1.2007035,1.5571886,-2.0383556,-0.6486089,-0.6546228,2.1819336,-1.3450582,3.5071735,2.9425728,-1.9813938,2.9148917,-0.83809227,0.95093,3.3057292,1.5321312,-0.41895273,1.9723878,-0.11002487,-1.2933807,2.7716837,0.43151453,-0.09789564,2.623932,2.570164,-0.11479215,-1.221051,-1.5337684,-0.72253907,-0.8882123,1.0373391,-1.8651049,-0.22122042,1.102218,-1.4245772,1.962972,-0.7968793,1.3527681,-1.0564592,-1.1423068,1.2293442,-0.14084493,-0.8537859,0.2957722,-0.43997976,1.0649662,-0.42407835,-0.8450088,1.1066864,0.9731659,0.44044933,1.5155642,-0.22358003,0.3064691,-0.10501812,0.6445035,0.6873156,0.29751152,-0.18187132,-0.27679485,-0.27452624,-0.3109881,0.2887079,0.37169656,1.8007553,-0.17169659
3,27.576923,7.695453,-29.11013,82.61563,5.735246,-0.08875322,-11.088494,-9.928854,-7.54592,4.4641705,-3.9025369,-4.4148874,-1.4329884,-1.0764606,1.0186116,2.2951262,3.9421394,-1.6290603,-2.0839324,-0.5709655,0.47572526,5.4094253,1.0435393,0.8549319,0.24002925,1.6518158,0.60943574,-0.65073264,-1.0402961,-0.28233713,0.012067644,-1.075706,-1.0583045,0.5465383,-1.2870562,-0.49379706,0.7118498,-0.78445166,-1.0939502,0.44306982,0.44359717,1.4753722,0.45017028,-0.72996193,0.10805377,0.021061331,-0.32889295,-0.20683858,-1.1206325,-0.9857421,-1.3173895,1.1923542,-1.1835678,-0.033409238,0.059078276,-0.2930671,0.23487765,0.24261428,0.45725012,-0.08104678,0.1518963,-0.33026037,0.27004665,0.50642014,0.7391629,-0.076170176,0.043022364,0.25031477,-0.72848964,0.2340396,-0.39869717,-0.097754486,0.52401423,-0.076687485,0.094992384
4,-32.487072,-2.394517,20.941952,5.735246,68.116425,-1.8085912,10.057146,-0.15023153,0.5678549,9.082008,-3.0864923,-1.9672267,1.5681915,-5.5160933,3.3262088,-0.062382363,0.79172754,-0.47982255,0.33203477,0.6465145,2.305738,0.19727243,-0.07826015,-1.1176425,-1.1146588,-1.8871031,1.1733073,-0.03712111,0.13131426,-0.27073944,-0.389946,-1.0400176,-1.4937683,-0.14455351,-0.61457425,1.4673312,-0.10935356,0.011037921,-0.20922351,-0.7688256,-0.4466259,-0.04926434,1.1798973,-0.060346134,-0.29368573,-0.7519754,-0.25771382,0.5432979,-0.99935734,-0.40550268,-0.027593799,0.17313248,0.27342337,0.21101305,0.61730945,0.57848793,0.540153,0.72400546,0.34616494,-0.72163725,-0.6190195,0.12171185,-0.29390717,0.7742975,0.27696452,-0.28022307,-0.12751968,-0.021229178,-0.47055978,-0.30842143,0.18404901,-0.5281865,0.08984934,-0.39718938,-0.17657712
5,5.0409756,-30.949661,-0.35077488,-0.08875322,-1.8085912,44.16289,7.4609957,2.0105486,-11.860214,-3.2294116,3.5639267,2.010181,-2.749631,-1.8332391,5.802247,-1.0197701,-1.9800634,-4.232229,0.7503872,-3.1744547,1.0863171,0.33456883,0.45940977,0.7125578,1.2829974,0.35808396,-1.1733389,0.3525554,-1.5229466,-0.6424889,0.2533145,-1.2424302,1.1053455,0.2804914,0.6713082,-0.669865,0.39791095,0.33280703,-0.16860455,-0.74089146,-0.550925,0.20259818,1.3395262,-1.2701057,0.13327026,0.3801273,1.4161913,-0.3395591,0.7865053,-0.12795673,-0.7806623,-0.39630806,0.41631222,0.869952,-0.10027255,-0.63009846,0.57446647,0.5406524,-0.061029673,0.95224583,0.16437376,0.19168177,-0.41846216,0.20721221,-0.40173078,-0.18414477,0.36522076,-0.18771978,-0.00975523,-0.17263491,0.120773226,0.12005663,-0.036504366,0.71162033,-0.5859844
6,33.378204,2.0594668,-6.8718176,-11.088494,10.057146,7.4609957,29.693632,4.9937124,0.1669431,-5.733077,-1.3406782,-3.7850842,-0.95296514,-3.6699548,-2.5172257,-5.742371,0.81605995,-4.082897,-1.4191242,1.2155335,0.69136244,2.2353578,-0.2878368,-3.3175113,-0.035449345,-0.6509393,0.9442334,0.6456847,-0.164747,-0.004883866,1.2224325,-0.19086474,-0.3876714,-0.08818948,0.23247941,0.12928447,0.3892963,0.35253975,0.2599426,0.3882732,0.44389075,0.014847832,-0.26454133,0.3041297,-1.1405923,0.20628531,-0.13584788,0.26047993,0.20991144,-0.377567,0.2515983,-0.3468143,0.38481158,-0.008513249,-0.6156832,0.2517299,0.12225924,-0.4344211,-0.8229706,0.4259754,-0.6361927,-0.12030693,-0.093943745,-0.040015347,-0.16600743,-0.57592237,-0.27636537,0.2546522,0.026722804,-0.34012318,0.23292439,-0.11252919,-0.17855619,-0.5023079,0.23687811
7,-4.1384716,-17.87934,5.2349358,-9.928854,-0.15023153,2.0105486,4.9937124,15.241522,3.3411498,-3.1786654,0.79827785,0.3083188,-0.9903714,-0.57771575,0.9059919,1.1007576,1.5866007,0.5038842,-0.9181566,0.093405545,-0.280085,1.5068374,-0.6747029,0.6817736,1.135885,0.12066981,0.8348322,-0.45467126,0.108160675,0.17266801,0.42978567,0.52967966,0.22292165,0.7905985,-0.68126947,-1.319284,0.55074847,-0.61020637,-0.3289754,-0.23073009,0.4269114,0.4677476,0.020309009,0.3852281,0.8247013,-0.42428887,0.9429675,0.96424615,-1.5167159,-0.0029561357,-0.63823164,0.055956468,-0.69396067,0.060673997,0.20113158,-0.2732324,-0.29322827,-0.867597,-0.07272138,0.08102371,-0.46948326,0.3665645,0.54422915,-0.6774508,-0.39746094,0.24365176,-0.18593703,0.59521234,-0.14111596,-0.20526871,-0.14218448,-0.824126,0.109889284,-0.17163533,0.4840519
8,7.7105722,-15.854639,0.6585064,-7.54592,0.5678549,-11.860214,0.1669431,3.3411498,25.601912,4.981407,2.354626,-2.471049,-1.008014,0.68649983,1.2307533,0.8891653,2.397045,-0.36199743,-1.0647644,3.6731608,0.3562001,0.9502932,0.5551112,1.3599772,1.0893767,-1.5117238,-1.050852,-0.7618249,0.75378263,-0.39831442,-0.3039345,-0.47054124,0.20892292,-0.33503214,0.6058916,0.555462,0.39195466,-0.1153907,-0.35930818,0.38558674,0.6299389,-0.7446772,-0.03914771,-0.30681294,-0.6122557,0.7300396,-0.40919596,-1.1552038,-0.19194476,-0.35023218,-0.55859065,0.13451663,-0.036153935,0.30523032,-0.61735344,-0.9471626,0.792907,0.068234906,-0.5541022,0.16367722,-0.4526459,-0.19624852,-0.13412777,0.058894634,0.13326171,0.21991313,0.2173048,0.15998071,0.09943508,0.30128878,-0.18213516,0.65897167,0.36769563,-0.12516835,-0.025973441
9,24.829086,-4.9789495,4.9033694,4.4641705,9.082008,-3.2294116,-5.733077,-3.1786654,4.981407,17.967253,-2.2270436,3.3759813,1.2704,0.3579024,3.6976833,-0.5808331,-0.9668213,1.0696578,0.375138,-1.0857587,-1.2716646,-0.13761854,-0.40363175,0.4828907,-1.6180761,0.61628896,-0.33003163,-0.46198592,-0.6256879,-1.5527182,-0.07757471,1.4053924,0.16489017,-0.9796494,0.99956775,-0.33887896,1.0092373,0.71571803,-0.019993488,-0.07092649,-0.21446323,-0.1286645,0.35549504,0.20492035,0.0141165145,0.048458908,0.33144152,-0.16552861,1.1246207,0.09309967,-0.2083937,0.15061095,0.2719497,0.3387198,-0.78703463,-0.027829137,-0.24377593,-0.39138007,-0.011604104,-0.25932905,-0.5183294,0.111835524,0.170926,-0.18260138,-0.97277594,-0.07005268,-0.055119976,0.15683973,-0.17150986,-0.11198103,-0.08898997,0.21096879,-0.10524275,0.14194988,-0.013965458
