,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,244.99954,16.913631,-22.052692,11.970833,-17.387005,-4.2504196,-24.884926,1.2334656,1.2120874,-15.434814,18.15028,-17.385868,44.21798,-4.496232,-3.27609,6.813198,13.479879,0.9175564,22.957207,-0.5748177,7.2610636,1.6631317,2.0966215,2.0850341,1.294774,5.0750847,-2.3171077,-0.98938084,-1.0116408,-6.1090736,0.15283027,1.7199094,1.0974324,-2.9748678,0.9908021,0.90724444,-0.024183389,0.382847,0.60174966,-3.2399635,-1.5571454,-2.3844287,1.5125245,-1.0621982,-0.91640675,-0.18087049,0.23543906,2.982947e-07
1,16.913631,85.124,-27.90438,10.64876,23.755867,14.636747,-7.569249,16.501513,20.068775,-0.4124288,-5.1135387,-2.7045164,9.540558,5.599826,0.9984119,-12.004061,2.077262,8.54177,-8.039692,1.4363792,1.6303189,-0.46582463,2.1533532,-0.6925622,-3.2500286,-1.9426947,-3.821526,-0.89614576,-3.0239568,-1.2342651,-1.6456618,2.8976707,-0.8859271,1.702631,0.23269495,1.2440944,-2.845343,-0.49982655,2.7519279,-1.8454587,-0.09540184,1.1487532,3.079506,-0.6486475,0.37353536,0.016790226,-0.46587163,1.7217462e-07
2,-22.052692,-27.90438,82.32425,-32.92408,-24.461975,-8.540014,-3.9847724,-5.6445737,-3.8228552,12.558102,-6.108979,4.675502,4.564169,4.0303025,-3.2318864,1.4913573,0.38429606,7.279619,-1.4851272,-2.2679367,1.8139063,-2.8406882,0.53467846,-2.3254237,2.3714461,-0.45291346,-1.3038929,-2.9943256,0.18115364,2.5464196,-1.2420022,0.4763435,-1.2507706,0.8303873,1.6141887,0.91479325,-0.36662656,1.4804726,-0.91127753,-0.097571254,0.55513054,-0.5176344,-0.0206745,-0.062092282,-0.24641429,0.50837135,0.029886324,1.505372e-07
3,11.970833,10.64876,-32.92408,66.47639,6.5295753,-26.930067,10.765512,8.976387,-2.652615,-3.192824,-7.5835342,5.0786543,5.954501,3.6185455,-4.2646427,4.737075,-1.2834533,1.9964004,-0.31198093,3.001952,-1.8496602,-2.4919205,-1.2887414,-0.5134948,-0.7245902,-0.71714795,0.04725899,-0.13117886,2.1482491,0.20252118,1.4063498,-1.084168,-0.07924749,0.37634984,0.67434365,-0.34831357,1.3982491,1.4372026,0.38788274,0.49314874,-0.9546653,-0.3667126,0.2491568,0.62143016,0.1452294,-0.21751994,0.25088835,-4.1847613e-07
4,-17.387005,23.755867,-24.461975,6.5295753,32.921608,6.263828,1.7946928,-4.1760793,11.232422,-0.60807073,-1.9556222,3.5710554,0.024504583,-7.166333,3.8392663,-3.7162604,0.40302187,1.8543949,-2.6810312,-0.8183185,-3.8111174,-3.8834877,1.7216891,-2.2651765,2.525021,-2.2051342,2.2071934,0.80675125,-0.43983945,-0.022187013,-2.0096107,0.8785771,-0.9842557,0.5847228,-1.2175832,-0.98444235,-0.22726741,-1.204348,-0.0210511,0.6624987,0.85077405,-1.3428869,-0.35634518,-0.4722607,0.31930694,0.71582234,-0.53287566,8.073582e-08
5,-4.2504196,14.636747,-8.540014,-26.930067,6.263828,26.570944,-10.717197,6.3862143,6.019112,0.5849074,1.3976855,-6.727346,-5.969326,-0.23899055,0.016177531,-3.512713,1.9675915,-5.2068806,-0.10262227,-2.1004949,-0.9051838,0.64891005,2.8795028,-0.41886544,-1.3507273,0.24208972,-0.05474978,1.2297184,-0.36951706,-0.34733805,-0.6226352,0.31912577,0.050700076,0.35758096,-0.17826241,-0.05079996,0.060211636,-1.4421813,0.8692422,-0.2307671,0.43330187,0.01966681,0.31927782,0.27011776,0.20164359,0.45188698,-0.36075956,3.7222028e-07
6,-24.884926,-7.569249,-3.9847724,10.765512,1.7946928,-10.717197,26.99854,-14.974392,-3.975227,3.8103075,-0.50499606,-2.0683644,0.8898924,3.922716,7.9693146,-0.79209137,1.0576811,-2.6641846,-4.407338,-1.0480243,-2.3203301,0.057866305,0.3918566,0.30701882,-1.7993841,-0.19009861,-0.60255206,-0.20577005,0.56115556,0.7932292,1.0932477,-0.21794958,0.8462399,0.21659827,-0.3677656,0.25355884,0.0052854745,-0.082213685,0.028722294,-0.7013631,0.3609306,0.23918611,0.16555907,-0.27560678,0.059891693,-0.28311414,0.15470654,-4.973457e-07
7,1.2334656,16.501513,-5.6445737,8.976387,-4.1760793,6.3862143,-14.974392,23.315023,1.5276847,3.1393156,-3.9457004,0.05711628,-2.7763567,3.9409466,-7.6287684,0.6413516,-1.0475277,1.3688941,0.061322752,1.5016538,0.067636795,-0.31901705,0.08089681,-0.7379234,-2.461452,0.27413476,-2.5045874,1.296202,0.21341473,-0.27723646,0.6853068,0.10218658,0.79290676,1.2901261,0.22508234,-0.91356295,0.31245792,0.276302,0.9286488,0.26890555,-0.4047984,0.45558125,-0.76283985,0.50595295,0.07033294,-0.08752933,0.25795203,2.4815984e-07
8,1.2120874,20.068775,-3.8228552,-2.652615,11.232422,6.019112,-3.975227,1.5276847,8.7934885,-3.1353326,-3.0954828,1.6902148,2.3989882,-0.6346945,0.6559459,-2.2154903,1.03191,1.2603555,-2.3239574,-1.1398666,0.103988916,-0.9277352,2.2191634,-0.96977186,1.0100555,-0.17159882,-0.78372455,-1.6032361,-1.2038405,0.35917044,-1.1850471,1.4937949,-1.2263412,0.3476235,-0.13048598,-0.08946238,-0.4409302,-0.40684503,0.0672348,-0.6011949,0.40881616,-0.25239816,-0.065626174,0.10955845,0.03654352,0.07176127,-0.20357004,9.0457114e-08
9,-15.434814,-0.4124288,12.558102,-3.192824,-0.60807073,0.5849074,3.8103075,3.1393156,-3.1353326,16.92854,0.7713648,-3.3700185,1.3086882,0.9004122,0.80663496,-2.5592287,0.8084134,3.06591,-0.44665697,1.1620214,-2.1038685,-4.540821,0.5782906,-1.3653684,-2.5754027,-1.4518464,-0.80396914,3.1245382,0.6036624,-0.3427003,1.3909845,-0.98308575,0.849147,1.3054874,-0.79746175,-0.63074636,0.6623675,-0.07025388,0.3441345,0.8184556,-0.32217023,-0.19411522,-0.3023659,-0.55188286,0.15999132,0.7721964,-0.026762411,2.3261297e-08
10,18.15028,-5.1135387,-6.108979,-7.5835342,-1.9556222,1.3976855,-0.50499606,-3.9457004,-3.0954828,0.7713648,12.332154,0.112733506,1.6035798,-3.3694787,0.28619954,-3.6505728,0.6290052,0.3029501,1.5482098,2.516793,1.5291889,1.1597748,-0.8907801,1.730104,-1.1194038,1.230278,0.99201393,1.95592,1.6477253,-0.9188441,2.6578445,0.73729575,0.86261284,-1.6779852,-0.898344,-0.29994226,-1.472223,-0.4918717,-0.4392506,-0.19316137,0.23424616,-0.2842539,-0.42465764,-0.687209,-0.33117318,0.018920263,-0.06669822,1.602573e-07
11,-17.385868,-2.7045164,4.675502,5.0786543,3.5710554,-6.727346,-2.0683644,0.05711628,1.6902148,-3.3700185,0.112733506,11.619322,-2.4837115,-3.4043071,-1.4324207,-0.48730522,-1.9101708,2.3703685,-2.8483567,1.2205985,3.1630306,-1.3880432,-0.8440294,-0.7591207,0.72717184,2.1097887,0.90826523,-1.344182,1.2422056,1.5628722,-0.16646561,1.4225912,0.41003555,-0.095679164,-0.16844548,-0.80776006,-0.7700802,0.4531166,-0.2605387,0.24908164,0.35401672,-0.5770617,-0.738675,0.19448237,-0.095330164,-0.016523125,0.09257898,8.675049e-08
12,44.21798,9.540558,4.564169,5.954501,0.024504583,-5.969326,0.8898924,-2.7763567,2.3989882,1.3086882,1.6035798,-2.4837115,14.4570055,0.5604434,0.4366113,-0.52644193,4.214736,3.3342984,2.4185624,-0.905675,-0.06555347,-1.7951468,1.2616107,-0.36133102,-0.3868994,0.14901546,-0.94472206,-1.2067015,-0.0015960636,-0.57906663,-0.24280587,0.99745464,-0.6340633,-0.5717218,0.6326146,-0.29169586,-0.5180317,-0.07637066,-0.09400086,-0.45153928,0.2273389,-0.27932078,0.07276137,-0.5407187,-0.15286219,0.028819991,0.16851917,-2.5968129e-08
13,-4.496232,5.599826,4.0303025,3.6185455,-7.166333,-0.23899055,3.922716,3.9409466,-0.6346945,0.9004122,-3.3694787,-3.4043071,0.5604434,10.603777,-2.4331973,-0.4371621,2.0346012,0.21649109,-2.431159,-1.2738651,-1.0779719,2.1153445,0.79755473,2.416049,0.51832414,-0.50939095,-1.0795884,-1.104718,0.9856366,1.1933933,0.5145153,-0.62868553,0.4061495,0.043960273,-0.68457144,-0.14347488,-0.27505082,-0.7625488,1.1674421,-0.85002935,-0.06591192,0.3498007,0.33391038,0.43613994,-0.06507899,-0.17404854,-0.19265185,-1.8416479e-08
14,-3.27609,0.9984119,-3.2318864,-4.2646427,3.8392663,0.016177531,7.9693146,-7.6287684,0.6559459,0.80663496,0.28619954,-1.4324207,0.4366113,-2.4331973,8.223146,-0.20546612,-0.27805164,-0.41761345,-1.0138814,0.020332254,1.7958457,-0.4077031,0.20067099,-0.20018652,-0.26721376,0.7676041,-2.0261302,0.66360337,-2.518321,-0.21649528,-1.1012895,-0.34254128,0.70267564,0.10514084,0.25096443,-0.21480185,0.4056753,-0.54129124,0.56584525,0.07950559,-0.67403305,0.014528353,0.052680396,-0.28307247,-0.08217274,-0.20784122,0.10424663,-3.0586466e-07
15,6.813198,-12.004061,1.4913573,4.737075,-3.7162604,-3.512713,-0.79209137,0.6413516,-2.2154903,-2.5592287,-3.6505728,-0.48730522,-0.52644193,-0.4371621,-0.20546612,7.613786,-1.2112443,-2.447506,2.8215911,-1.4594889,-1.5343837,1.1233249,-0.5857693,-1.2073097,1.7069051,0.7490518,-1.8755732,-0.06731878,-0.43463254,0.338975,-0.9541416,0.69535816,0.5048212,0.6169294,-0.3111621,-0.8407506,1.0413979,0.35649154,-0.23706035,0.5091951,-0.16421187,-0.42795378,0.073236585,-0.35276294,-0.4219076,0.30867004,0.008987729,5.8760827e-09
16,13.479879,2.077262,0.38429606,-1.2834533,0.40302187,1.9675915,1.0576811,-1.0475277,1.03191,0.8084134,0.6290052,-1.9101708,4.214736,2.0346012,-0.27805164,-1.2112443,3.9571426,-0.6224886,0.7495708,-1.8705132,0.06189482,-1.1328858,1.3546395,0.44571,-0.55797344,0.8448422,1.079845,-0.857075,0.8980586,0.186393,-0.22135876,-0.5143524,0.43620884,0.0336582,-0.23409721,-0.44686976,0.24456993,-0.59229624,0.6386323,-0.19741514,0.7930335,-0.5125983,-0.26439577,0.35389733,0.24199225,-0.11059224,0.12130277,3.2169318e-08
17,0.9175564,8.54177,7.279619,1.9964004,1.8543949,-5.2068806,-2.6641846,1.3688941,1.2603555,3.06591,0.3029501,2.3703685,3.3342984,0.21649109,-0.41761345,-2.447506,-0.6224886,8.555944,-1.2465539,1.0429189,0.69777614,0.6027519,-3.114623,0.80842406,0.601539,-1.1417098,0.039485257,0.2529348,-1.252995,-0.96358764,-0.7559284,-0.88570726,-0.40541807,0.18825513,-0.5565532,-0.60468066,-0.45097888,-0.46164587,0.02498354,0.11534974,0.07510892,-0.42089164,-0.072545215,-0.40096843,0.013007825,-0.064254224,-0.24359915,4.3699924e-08
18,22.957207,-8.039692,-1.4851272,-0.31198093,-2.6810312,-0.10262227,-4.407338,0.061322752,-2.3239574,-0.44665697,1.5482098,-2.8483567,2.4185624,-2.431159,-1.0138814,2.8215911,0.7495708,-1.2465539,5.1678104,-0.11338852,-0.4542762,-0.9037136,0.03043661,0.17609471,1.0135024,-0.37372157,0.928231,0.49664778,-0.23111336,-0.7758937,-0.50630367,-0.4612695,0.546139,-0.05031181,-0.43585965,-0.01132673,0.4892185,0.4315148,-0.09958518,0.6557306,-0.16357377,0.30954188,-0.058797464,-0.2725587,0.069554806,0.012607107,0.28507113,1.7041868e-08
19,-0.5748177,1.4363792,-2.2679367,3.001952,-0.8183185,-2.1004949,-1.0480243,1.5016538,-1.1398666,1.1620214,2.516793,1.2205985,-0.905675,-1.2738651,0.020332254,-1.4594889,-1.8705132,1.0429189,-0.11338852,4.4316235,1.8788159,-0.5986512,1.1729736,0.6337266,0.53611636,-0.8982394,-1.1478035,1.9011855,-0.2463562,0.3525079,0.8044447,-0.52559525,0.023332585,-1.4337823,-0.14684996,0.21649744,-0.08742267,1.1949046,-0.02163773,-0.21163556,0.1257715,0.3527454,0.28562832,0.00038434484,-0.107619345,-0.039179657,-0.09318784,-9.2918896e-08
20,7.2610636,1.6303189,1.8139063,-1.8496602,-3.8111174,-0.9051838,-2.3203301,0.067636795,0.103988916,-2.1038685,1.5291889,3.1630306,-0.06555347,-1.0779719,1.7958457,-1.5343837,0.06189482,0.69777614,-0.4542762,1.8788159,6.4454703,-1.000133,0.38034445,1.0502517,-0.6357553,2.5606103,-0.28903362,-0.6927908,-0.9578446,0.3714342,-0.04960282,-0.69267166,0.5922818,-0.25229228,-0.23901993,0.24108385,0.63061774,0.42785,0.8308816,-0.31440267,-0.6188426,-0.058002166,0.62532055,0.63606083,0.07573028,-0.18910825,0.017972415,-7.994292e-08
21,1.6631317,-0.46582463,-2.8406882,-2.4919205,-3.8834877,0.64891005,0.057866305,-0.31901705,-0.9277352,-4.540821,1.1597748,-1.3880432,-1.7951468,2.1153445,-0.4077031,1.1233249,-1.1328858,0.6027519,-0.9037136,-0.5986512,-1.000133,5.758138,-2.8064985,0.8178247,-0.043169476,0.11434375,-1.0892878,0.14652476,-0.47063604,-0.83762574,-0.011121104,0.07333651,-0.20365168,-0.44982016,0.2388592,-0.08073057,-0.52995443,-0.39399648,-0.3308351,-0.7678436,0.83062416,-0.42602044,0.31968847,-0.22509664,-0.305049,-0.33381885,-0.29135668,7.245497e-08
22,2.0966215,2.1533532,0.53467846,-1.2887414,1.7216891,2.8795028,0.3918566,0.08089681,2.2191634,0.5782906,-0.8907801,-0.8440294,1.2616107,0.79755473,0.20067099,-0.5857693,1.3546395,-3.114623,0.03043661,1.1729736,0.38034445,-2.8064985,5.1261826,-0.10031501,1.4261863,-0.3870727,-1.1897662,-0.069959484,0.15040344,1.4515084,0.8299763,0.37717286,-0.5173578,-0.82125527,-0.20619306,0.28168553,0.31784332,0.6209954,0.18003026,-0.3041475,0.2977401,0.15789303,-0.37623692,0.48638922,-0.037694026,-0.0073598996,0.07977086,-1.01398314e-07
