,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,37.659676,-12.4629135,52.50222,3.7830722,1.7791753,5.967593,11.140547,-1.6188779,-3.2746089,-0.15068737,-1.5456163,-5.4070816,-0.2758908,-4.5894966,-1.7046244,2.983392,0.4612117,-1.5012809,2.6873677,-0.12559855,0.1282424,-1.2871606,-0.30118877,3.0502553,-2.9754848,0.21367228,0.3050599,0.7855823,-0.3229249,-0.00071052066,3.1636863,0.24699156,-0.35673577,0.016276332,1.7705791,-1.1363788,-0.18412593,-0.4145984,-0.5924914,-0.6868605,-0.25122672,0.22408974,1.820459,0.8139652,0.201743,0.7189477,-1.8140564,-0.49120897,0.34628797,-0.5829866,-0.5355315,0.55758214,-0.5098174,0.5242568
1,-12.4629135,132.03125,37.628693,16.138712,9.585939,-1.8035082,-4.053012,-7.8452315,-4.5324593,12.271292,8.1344185,3.3028297,5.9226756,9.248135,11.585741,-3.549045,1.4432037,1.8356128,-6.6527996,-5.144968,2.7409887,1.6340809,1.4642658,-6.1740255,1.9280579,-0.7905294,-4.198663,-2.8258262,0.6256541,-1.4368551,-10.044351,-3.760317,0.28824013,1.9421201,-4.1067076,0.2232251,0.19191259,0.059980746,1.5326167,1.2007208,1.4031286,-0.8329474,-3.8190312,-1.4097571,-0.28813362,-2.1349583,4.077219,1.0697293,-0.8804458,1.1535349,1.6248395,-0.1442225,1.0470682,-1.6761482
2,52.50222,37.628693,120.88485,7.7209063,0.8685874,1.0426888,1.7504718,2.6215153,2.8861318,1.3934262,-3.1889868,-6.1203623,-0.8326842,0.045191966,-1.5624833,-1.400358,-2.2198792,1.2269714,1.5154366,-0.33455005,-0.79665,-2.4308372,-1.2573578,-0.4564508,-2.1895165,1.083735,0.72822416,0.875178,-0.81120944,-0.6747798,1.7097466,-0.33345336,0.050724838,-1.2864649,0.23769826,-0.5226653,0.57485723,0.20222306,-0.3381889,0.6230991,-0.9196924,0.50461364,0.24709785,-0.56579745,-0.44327128,0.40204892,-0.42329016,0.37923682,0.11149196,-0.13351005,-0.16585255,0.055415995,0.050503775,0.25937855
3,3.7830722,16.138712,7.7209063,41.077457,5.1793184,-6.5810227,-7.0934367,-3.5204482,2.5486379,-0.7174467,-3.569067,-1.9140513,3.8237689,-2.962109,7.4284096,2.9379206,1.3342321,2.200365,-0.2954836,0.89738744,0.49324226,0.48387223,7.810592,1.536211,2.1289582,-4.931279,-1.1187444,-0.22386435,0.466224,3.7398973,0.22182989,0.6971638,0.38241535,1.6633689,0.42312467,-0.42999852,-0.58477616,-1.3130536,-0.6448581,-0.55523014,1.3842199,-2.351469,2.070708,2.0030246,0.34662545,0.98634183,-0.091574445,-0.30717075,0.56343126,-0.36545825,-0.55259883,0.11051844,0.38500234,-0.46699372
4,1.7791753,9.585939,0.8685874,5.1793184,18.730024,-9.860353,16.331429,3.2112718,-8.273797,0.37011826,2.0164626,0.7630627,-1.3494573,1.4175963,-0.328376,1.0866387,-1.019522,-0.38143694,-1.0702926,-2.2521937,-0.15940419,0.41471472,2.06317,-0.53858376,1.0324533,-1.5687962,0.2503042,0.25143486,-0.046800558,2.3918412,0.41795796,0.64466256,-0.20124039,0.27104348,-1.4533358,1.4678215,0.37173074,-0.45342952,0.052242354,-0.051398993,0.6895362,-0.46388257,0.37767094,-0.021064553,0.19711524,-0.8278031,0.208994,0.14327899,0.0072471467,-0.65633494,0.0145764565,-0.56712687,0.89024866,0.37313217
5,5.967593,-1.8035082,1.0426888,-6.5810227,-9.860353,21.955717,3.7638202,-5.828717,-0.2559793,4.7396193,2.8360038,0.22533241,0.016865347,-0.14517784,3.1761642,1.7814143,2.3086739,0.09913014,-0.5530095,5.000334,3.2913084,-0.39668715,-1.5944741,-0.5626975,-1.0807755,2.3926182,-1.7022711,0.63950056,0.3819651,-1.1760484,-1.4300342,0.21467447,-0.24957189,-0.65872836,2.1210852,-1.8976414,-0.9096775,-0.62901944,-0.026805863,-0.052396487,0.05073098,0.9207138,0.7681631,0.28419062,0.7735373,1.3721931,0.15076035,0.2014575,0.6240844,0.55583316,-0.1344533,1.3302093,-0.5960066,0.16809219
6,11.140547,-4.053012,1.7504718,-7.0934367,16.331429,3.7638202,33.552914,3.3432117,-8.065548,4.489577,1.700691,-0.094548225,-4.4404564,-1.5225391,-0.49961317,0.36488664,0.47518104,-2.3780887,0.15476076,0.4159208,-0.640366,0.89011145,0.3008685,0.28362262,1.5716445,0.5385657,-0.76619583,1.3909328,1.1002662,0.102100134,-0.7431895,0.07126667,0.04107104,0.1258165,0.94916487,0.52963674,0.2142849,-0.15849413,-0.07911797,-1.0484667,0.68069303,-0.12440504,-0.1146303,0.7091116,0.90195644,-0.7308544,-0.5421237,-0.05072869,0.59590787,-0.33801413,-0.6608157,0.69169736,0.16048926,-0.07694826
7,-1.6188779,-7.8452315,2.6215153,-3.5204482,3.2112718,-5.828717,3.3432117,19.493021,2.0308595,-3.9892929,-1.9238633,3.0842814,-4.336884,-2.8632812,0.48685327,-2.8969135,-0.5963476,2.8747394,-1.4450566,0.9214633,-0.60003066,0.055631638,0.81564605,-1.0048121,-0.8333926,1.686614,2.364965,2.3115237,-0.31111634,-1.6857972,-0.9622559,2.0552735,-0.18164682,-1.212033,0.5843679,-0.763921,0.005169592,0.211577,-1.7082071,1.4259659,0.8948035,-0.6422532,-0.5496102,-0.57066387,-1.166321,0.06670463,0.10970734,0.07266711,0.4570092,-0.6285676,0.9174978,-1.0962787,-0.04902619,-1.0354223
8,-3.2746089,-4.5324593,2.8861318,2.5486379,-8.273797,-0.2559793,-8.065548,2.0308595,21.671713,3.21739,-1.2501683,2.4758255,-1.9574339,-5.4543266,-2.7397325,1.3677115,-1.881198,1.0623444,1.094758,0.820583,-2.101972,-0.82730377,0.22629008,-1.7942953,1.0467473,-0.65984154,-1.2567279,1.9666805,0.22966115,-0.52639174,-1.0217782,-0.029292004,0.5557835,-0.41968584,0.8794638,0.50453365,1.8202996,0.2150101,-0.09779309,-0.273192,0.26254916,0.22495782,-0.45576215,0.34662265,1.2195419,-1.4460938,-0.05113969,0.38270545,0.65556407,0.78804135,-0.6080167,0.6012427,0.512107,-0.09037485
9,-0.15068737,12.271292,1.3934262,-0.7174467,0.37011826,4.7396193,4.489577,-3.9892929,3.21739,15.60126,1.0637492,6.147032,3.4676533,-2.4518495,-0.8624582,1.6821762,1.1858139,-1.3891423,-1.5006237,-1.2334414,-2.4977708,-0.5443053,1.5297296,-1.1905427,1.38871,0.3740102,-0.56406265,0.33614653,1.2694399,0.0007406256,-0.33176723,0.69338566,-0.15849665,0.086570546,0.064755574,-0.5726824,-1.1359751,1.2128123,1.3150809,1.1315762,0.0033232875,-0.37791896,-1.3711165,-0.86230695,0.40031204,0.9730935,-0.6514932,0.52513194,0.33447677,0.45523816,-0.63945985,0.5000759,0.022502787,0.71258533
10,-1.5456163,8.1344185,-3.1889868,-3.569067,2.0164626,2.8360038,1.700691,-1.9238633,-1.2501683,1.0637492,11.165613,1.340238,0.6216583,-0.9794246,-0.7036029,3.2145834,0.84761465,0.4905908,-0.11779305,0.17753613,1.7070904,-0.6906414,-0.3368719,-0.47227615,-3.3500729,-0.6205751,1.0401633,0.7743446,-0.691456,1.4985055,-1.162297,-0.56063205,-1.9351766,-0.79702747,-0.6839972,-0.19355696,0.98013985,0.17390972,-0.54526335,-0.8269745,-0.22160491,-0.41011083,0.5738889,-0.52638626,-0.20062964,-0.9114192,0.39886868,1.4587517,-0.7621874,0.30977583,0.72040933,0.9908562,0.6321392,-0.4519736
11,-5.4070816,3.3028297,-6.1203623,-1.9140513,0.7630627,0.22533241,-0.094548225,3.0842814,2.4758255,6.147032,1.340238,9.981978,0.76823264,-2.5435987,2.9007788,-1.109278,-2.093277,0.31331146,-0.53229725,-2.5089412,-1.7145269,-0.11279618,0.7028921,-1.2872245,-0.65436137,2.3287413,0.6834098,1.5310503,-1.1053491,0.23165572,-0.42696762,0.3518114,0.60268223,-0.879745,-0.41059378,0.6858511,-0.6379867,0.046723828,-0.103672534,0.3244635,0.17289332,0.3944396,0.7891042,-0.3318721,-0.28918085,0.97050416,0.6442026,0.5917382,0.033401832,-0.27878135,-0.27312326,0.31132323,0.5391866,0.8552237
12,-0.2758908,5.9226756,-0.8326842,3.8237689,-1.3494573,0.016865347,-4.4404564,-4.336884,-1.9574339,3.4676533,0.6216583,0.76823264,8.789682,0.24992092,1.4486248,-1.3634849,3.7667258,-2.640008,1.3392622,-1.8672539,-0.47446424,-1.4356077,-0.30085468,1.0373944,-0.418702,0.9106803,-0.38347632,0.38743246,-0.8797306,1.281358,0.8305315,1.1464803,-1.3562831,0.56298405,-0.36107016,-0.13620426,0.2095602,1.0310924,-0.009174533,0.5133586,0.20534548,-0.10387842,-0.5720724,0.5257432,0.2776395,0.0963999,-0.62685835,0.4989705,0.0087621175,-0.17688058,0.8724469,-0.26412407,-0.24450707,0.30822402
13,-4.5894966,9.248135,0.045191966,-2.962109,1.4175963,-0.14517784,-1.5225391,-2.8632812,-5.4543266,-2.4518495,-0.9794246,-2.5435987,0.24992092,13.377749,-1.654532,-0.002975544,-1.0159726,1.5734084,-0.43808174,0.8905897,-1.2926092,1.1257647,-0.44184214,-1.4925334,2.3455212,0.8706152,-0.29510573,0.66453046,-0.3275292,0.12242056,-0.3169073,0.9254458,-1.2304347,0.9930563,0.24491528,0.6071912,0.42961735,1.1479502,0.007025187,0.5493867,-0.8169184,0.53956485,0.7386023,-0.052607875,0.4179624,0.5750115,1.395372,0.2848475,0.025379844,1.0810459,0.18628292,-0.34843397,-0.03551144,0.3274937
14,-1.7046244,11.585741,-1.5624833,7.4284096,-0.328376,3.1761642,-0.49961317,0.48685327,-2.7397325,-0.8624582,-0.7036029,2.9007788,1.4486248,-1.654532,11.589707,-2.6083872,0.2742875,-0.44009864,0.1776487,-0.38798442,1.3837093,-0.41697204,-0.12355305,-0.030665737,0.11481973,-0.35593736,0.57544386,0.3413012,0.38333696,-0.5880584,-0.49120873,0.57647866,1.0895777,-0.25023797,1.0927846,0.694247,-1.756288,-0.5063224,-1.2384175,-0.6108073,-0.23986815,0.7459979,0.53553873,0.056520913,0.31904095,-0.26203024,1.0404487,0.34908676,-0.7393266,-0.4714628,-0.27605206,0.13326812,-0.24308649,-0.48793966
