,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,475.59006,17.705214,-72.467224,-5.2619777,-2.4642377,-8.230589,-15.444494,2.3904383,4.507865,0.13252607,2.1705961,7.4727488,0.38799682,6.398254,2.4873743,-4.131851,-0.61579347,2.086896,-3.697942,0.21074258,-0.18599963,1.741785,0.3919561,-4.2997427,4.1234846,-0.3177613,-0.40772176,-1.0020802,0.4432904,-0.061239228,-4.461054,-0.28702602,0.4864195,-0.0033927453,-2.4810214,1.5941272,0.2455225,0.579688,0.8594676,0.9459605,0.44802898,-0.34102076,-2.5367274,-1.1381123,-0.28016993,-1.0027297,2.5386438,0.6957776,-0.50390375,0.7503115,0.74930155,-0.75679207,0.70067024,-0.66624045
1,17.705214,288.64743,-51.777378,-22.268982,-12.603804,2.131064,6.0119324,9.938753,6.4373055,-15.662014,-10.890989,-3.7204413,-8.394508,-13.280794,-16.95897,4.5301485,-2.1318078,-2.7142968,8.603222,6.614673,-3.3413434,-2.0600448,-1.8784287,8.919708,-2.716219,1.4583998,5.9090075,2.9873486,-0.78959036,2.4802678,14.300394,4.887647,-0.21512267,-2.9903488,5.723365,-0.6785239,-0.087415025,-0.11635117,-2.309155,-1.3750293,-3.1621249,1.1880219,5.5386357,2.0487607,0.23210663,3.0139713,-5.4726667,-1.6168731,1.4379804,-1.2650102,-1.9775068,-0.16583487,-1.2640043,1.6208407
2,-72.467224,-51.777378,28.651443,-10.671867,-1.2420444,-1.4135201,-2.445506,-3.559247,-3.9885263,-1.9892161,4.3870177,8.401466,1.1548922,-0.027549544,2.215826,1.9403,3.0686889,-1.6854006,-2.055809,0.48689193,1.0742384,3.3451848,1.7215918,0.60112995,3.0221589,-1.5143716,-1.0105212,-1.1560636,1.1233387,0.8949566,-2.3912463,0.47687757,-0.08030987,1.7917454,-0.33698303,0.7492422,-0.80324924,-0.27137998,0.46947476,-0.8723656,1.338301,-0.69876,-0.36054978,0.7724234,0.61419046,-0.5596119,0.5768416,-0.51338756,-0.16754553,0.169141,0.2127589,-0.054451935,-0.08060922,-0.31837144
3,-5.2619777,-22.268982,-10.671867,86.63833,-7.1985693,9.093768,9.767847,4.829649,-3.5080278,1.0089531,4.920676,2.6420968,-5.2846084,4.0891213,-10.244368,-4.0741415,-1.8491548,-3.0400555,0.41225553,-1.2357998,-0.67244023,-0.63845015,-10.771586,-2.1093147,-2.9493372,6.8052497,1.5218613,0.30002728,-0.6343792,-5.165739,-0.32383487,-1.0184023,-0.531201,-2.2911644,-0.5964117,0.5978134,0.80083025,1.8196235,0.85929465,0.77118516,-1.9278698,3.2448392,-2.8718143,-2.7637851,-0.48671582,-1.3601527,0.1189986,0.419829,-0.77028835,0.5410706,0.74518436,-0.14149414,-0.5414326,0.6311376
4,-2.4642377,-12.603804,-1.2420444,-7.1985693,86.23398,13.86365,-22.708294,-4.0950336,11.318129,-1.1341486,-3.0411773,-1.5603964,1.9593477,-1.7023423,0.89626324,-1.3300059,1.4472249,0.6160308,1.8209281,3.3697991,-0.028898988,-0.58654946,-2.8967507,0.60324347,-1.4284523,1.9750435,-0.45305398,0.101547346,0.043573,-3.5434427,-0.7748191,-0.8422284,0.1736367,-0.20189877,1.9906349,-1.8314712,-0.6219095,0.6569662,-0.05013084,-0.08839122,-0.3473817,0.65977156,-0.6914151,-0.024498433,-0.18452781,1.115215,-0.43216065,-0.14201999,-0.10663855,0.8266132,-0.22536051,1.0086057,-1.3462763,-0.1869589
5,-8.230589,2.131064,-1.4135201,9.093768,13.86365,40.983665,-5.0851774,7.8447156,0.40945345,-6.1756697,-3.759426,-0.014479358,-0.07853563,0.05363562,-4.637538,-2.5519347,-3.208889,-0.19283281,0.56501955,-7.0548296,-4.396665,0.55416906,2.2231526,0.85639894,1.492986,-3.191162,2.409037,-1.1415094,-0.51337767,1.7599629,2.0903673,-0.32679752,0.40396604,0.8079016,-2.9168057,2.5106802,1.3189762,0.85060346,0.022393487,0.16502303,-0.41724408,-1.2812562,-0.9615612,-0.3608774,-1.1184497,-1.8782036,-0.12457196,-0.30767673,-0.8060627,-0.7210386,0.30399978,-1.9659958,0.89121354,-0.42029935
6,-15.444494,6.0119324,-2.445506,9.767847,-22.708294,-5.0851774,22.59444,-4.4132333,11.079172,-6.4936824,-2.4489236,-0.08771056,6.175418,2.2275968,0.9207195,-0.42369902,-0.62877274,3.3253226,-0.06197266,-0.44933277,0.76911813,-1.2543225,-0.44499642,-0.48109472,-2.1595886,-0.83357507,1.019481,-1.6959898,-1.5320191,-0.26277983,0.9182161,-0.04617578,-0.10255362,-0.09422913,-1.3208412,-0.64054215,-0.34351075,0.23072235,0.1422267,1.3739929,-0.6390588,0.17055705,0.08191952,-1.0050325,-1.2019851,0.9930887,0.69762254,0.10130362,-0.8741302,0.4033868,0.8307169,-0.8557956,-0.27002427,0.27009135
7,2.3904383,9.938753,-3.559247,4.829649,-4.0950336,7.8447156,-4.4132333,37.345524,-2.6969604,6.181533,2.8663678,-3.7815652,5.855411,3.6777596,-1.1739976,3.7868366,0.75251436,-4.065406,1.6730088,-1.5316786,1.0783794,0.019357987,-1.0545735,1.5881729,1.1187127,-2.1255934,-3.1986094,-3.6785445,0.47372484,2.5828118,1.5388627,-2.9966216,0.34789917,1.5040627,-0.79330945,0.8606936,0.0892146,-0.30598003,2.2509408,-1.8060193,-1.9015191,0.8938197,0.9029317,0.84213144,1.5077324,-0.057737228,-0.053265773,-0.17467806,-0.5102755,1.0430377,-1.1129167,1.31318,0.16275898,1.0575924
8,4.507865,6.4373055,-3.9885263,-3.5080278,11.318129,0.40945345,11.079172,-2.6969604,26.181578,-4.6102834,1.6629319,-3.543478,2.730987,7.589557,3.8995287,-1.8326792,2.6100426,-1.4403453,-1.4238517,-1.0646389,2.832597,1.1221373,-0.328419,2.4302497,-1.4384844,0.85901827,1.7141626,-2.5900204,-0.32647017,0.66248846,1.3609488,0.07618957,-0.7921635,0.6222926,-1.2135142,-0.64620167,-2.5363202,-0.2919733,0.155624,0.3341983,-0.19473925,-0.30830622,0.5905955,-0.49169454,-1.6562381,1.9867148,0.03946843,-0.5103518,-0.93331265,-1.1254416,0.7946018,-0.77587104,-0.73245466,0.21720025
9,0.13252607,-15.662014,-1.9892161,1.0089531,-1.1341486,-6.1756697,-6.4936824,6.181533,-4.6102834,27.205132,-1.87592,-9.31557,-4.577482,3.8188815,1.982178,-1.969202,-1.5357924,2.077161,2.6353436,2.1367278,3.0091376,0.6306653,-2.2198613,1.3489451,-1.8820865,-0.85088074,0.64866966,0.3402033,-1.8152965,-0.4215799,0.1393455,-0.73704857,0.050654683,0.16438958,-0.09310359,1.1175394,1.3986971,-1.6423784,-1.6811492,-1.8393431,1.0949361,0.53391516,1.6376987,1.0993752,-0.38096476,-1.3945749,0.6946962,-0.60741615,-0.65270174,-0.8772067,0.5905441,-0.3388635,-0.20166238,-0.37784573
