,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,117.75892,-114.1107,-31.837633,38.611893,10.331215,-3.292879,10.854988,-8.089592,-5.5973754,6.673998,-3.3575373,1.1494415,0.14918551,7.6940565,-22.606407,9.451798,-9.793284,-3.2445984,2.8821118,1.5853751,2.2961142,4.8708086,1.0420424,-6.3320284,-1.9978526,-0.16426513,3.0102131,-2.5271652,1.2220861,0.90466785,5.9844356,-0.07428251,6.2648344,-3.7474856,1.9643515,-2.5570812,-1.6594529,1.3963277,-3.60002,-4.263058,1.686898,0.17046133,-1.0348697,-0.52715826,1.1800479,0.63586634,-1.7061489,0.18609782,-0.050479844,-3.274193,1.9331672,1.8675022,-1.1173043,-0.053865217,-3.1476035,1.7629256,0.061018538,0.094409354,1.1656711,-0.40071568,-0.39929786,-0.0061694677,1.0190172,0.42934614,-0.91399837,-0.5145885,-0.26625556,-0.78212523,0.47313684,0.7206663,-0.36334327,0.2202748
1,-114.1107,205.22482,-52.69333,-18.471733,-6.7592983,2.31144,-6.6362085,24.80661,6.4642096,-13.204365,2.5683389,-15.087892,-3.7234588,0.7814288,13.522175,-11.609158,9.903973,12.826908,-4.43349,-5.7972393,-0.49381292,-4.100873,-1.709029,5.5144053,5.6295056,-1.6826017,2.853131,9.35384,-1.2084794,-0.15348831,-1.7589619,-4.097129,0.27339396,6.3400764,-0.31714824,5.8963118,2.235674,-3.9841704,-0.35349685,2.860476,-2.0268426,1.608866,-0.35605615,1.1941903,-2.0438638,-1.1420708,3.5467668,-1.6079971,-1.083772,3.966908,-1.9614246,-0.26209304,0.62181294,-0.41530883,1.112562,-1.1637559,0.21469642,2.7398472,-1.311178,-1.781493,-0.27040976,0.090853944,-0.9058962,0.13539293,-0.4499089,0.8684025,-0.2396388,0.40314528,-0.181734,0.31229067,0.21367644,-0.5368564
2,-31.837633,-52.69333,131.29745,-28.270693,-16.271263,-1.6787593,-21.329445,-7.442196,3.8299332,-0.28741133,-10.541017,7.6585865,7.0914288,7.6545715,18.241531,3.8271577,-2.1557178,-9.816603,4.2330294,3.4318628,2.0654173,-3.9097993,5.6474514,5.5934525,-7.4448137,-2.3761384,-5.5893307,-1.2011449,-1.4429423,-4.1749783,-5.3804436,4.813137,-4.2642097,-1.1964151,1.0187972,-1.5650687,2.2200904,1.5988141,0.7285358,0.24862987,-1.9558223,-2.533032,0.9823228,0.4161482,-0.9543731,1.998203,-1.6445822,0.31686482,-0.5284896,1.4362102,-1.1158049,-1.114449,0.46763584,1.108924,1.359097,-0.481219,-2.032399,-0.30786785,-0.30773196,1.4161793,-0.31837934,0.55949223,-0.46712372,0.038813133,0.72122836,-0.8295869,-0.1877774,-0.36701393,0.576082,0.3287834,1.1756566,0.051564716
3,38.611893,-18.471733,-28.270693,72.685135,10.858925,-21.445465,-0.33586058,-5.1531606,-10.624486,1.4913905,-4.823362,16.181862,8.480821,-2.7675786,-3.520597,6.3747897,-1.0776658,3.4004278,-1.4869303,3.687367,-2.4015265,1.8585141,4.821195,0.859408,3.6921282,-2.0194688,-2.3751168,9.570764,-0.5502482,-1.0085229,1.5881289,-2.5930505,2.4559894,0.12940182,-2.181746,3.7412791,-1.0462068,-0.35163885,-2.64398,-2.1218097,-1.468884,-0.68620706,-1.2269318,0.23862186,-0.21595725,2.4355693,1.9755156,-0.053740297,0.92008746,2.194377,0.4744925,1.5034714,-0.31252813,0.5409441,-0.37482077,0.7236092,0.1405814,0.70612615,-0.8597965,-1.2290535,-1.0942867,-0.4320103,-0.21970043,-0.2594791,-1.4028761,0.9347161,-0.039221413,0.9473176,0.23323682,-0.67569804,0.2842039,0.14668767
4,10.331215,-6.7592983,-16.271263,10.858925,49.50765,1.1592782,25.721668,-5.0237837,14.355125,-0.2309472,6.35596,12.675576,3.4078403,3.6340466,2.1785135,1.4429102,-4.183959,-3.4585526,-1.2399116,-0.33438614,5.225437,4.99701,-2.5804062,6.5013,3.049727,1.7436352,-1.0771523,-3.245389,-4.1057467,-0.9588231,-3.3359966,-1.221139,-0.8262921,2.0067463,1.9448563,2.155948,1.8818998,-0.7071413,0.2615417,2.1697624,1.3493586,0.8699527,-1.3086505,3.0378506,1.6053281,0.8674468,-0.81450844,-0.8974085,0.07980184,0.5895119,-0.18368784,0.2193676,0.23256028,-0.87266773,0.30571866,-1.0419703,0.9252479,0.5589628,0.38033515,-0.72432613,0.996364,-1.2281208,-0.8458911,0.3076828,-0.50022924,0.012370531,0.040232968,-1.1522624,-0.39922595,0.042220093,0.5771462,0.7558769
5,-3.292879,2.31144,-1.6787593,-21.445465,1.1592782,27.09982,9.951582,2.0842705,-3.3733554,12.109633,0.45997757,-7.682665,-4.4303017,3.1889024,1.0049844,-5.23669,1.2983307,2.4352386,4.453528,5.5432343,2.3381505,-3.3372734,-3.1982691,-0.9510479,-2.538091,4.0504637,0.92925364,-1.3661772,-0.4687242,-0.20912151,0.21215767,2.0045052,0.47029668,-1.2970471,2.4871492,-0.61644906,0.41688263,0.54983866,-0.6828569,0.32509756,1.8393135,3.2152176,0.5369321,0.6741674,-1.164336,1.201849,-0.32664648,-0.56425935,1.0940893,-1.1350286,0.22538486,1.1449884,0.063727394,-1.6383843,0.15233201,-0.48073214,0.02544633,0.011223794,0.43579584,0.38203102,0.24059588,-0.3859114,-0.02415898,0.32642603,-0.63059247,-0.17845997,0.4857993,-0.47445545,-0.6096312,-0.2652111,0.82267284,0.973291
6,10.854988,-6.6362085,-21.329445,-0.33586058,25.721668,9.951582,47.05654,-13.599206,3.1783133,14.510735,-4.8010225,-2.0651646,6.968698,4.7837906,3.1943955,-0.8662635,3.1018019,2.4143217,1.1499991,-2.9602542,0.13712594,0.9353533,-1.8259122,4.0280666,4.264324,1.0844612,3.874833,-3.3134785,1.3914272,0.53302264,-0.4334545,-2.180633,-0.5279596,-0.63647413,2.3503532,-2.246688,-0.061749727,0.1159018,1.1979234,0.14639536,-0.14618754,1.331228,1.3483977,1.2635013,0.35451078,-0.68089575,-0.14500788,1.1585095,1.2220541,0.7260097,-0.20589635,-0.03684834,0.59922534,-0.21079636,1.7118323,-0.069010496,-0.11311522,-0.8542794,0.66481495,-0.8013387,-0.18963099,-0.80818933,-1.2024372,-0.09465979,1.1312168,0.49740306,0.28988922,-0.12767574,0.09044294,0.7316086,0.5873102,-0.8623716
7,-8.089592,24.80661,-7.442196,-5.1531606,-5.0237837,2.0842705,-13.599206,22.761576,8.657978,-1.24653,-2.1569,-3.074719,-8.358081,-5.9424787,-0.736891,2.190815,3.027357,-2.9166875,-3.367415,-1.8074288,-0.25502518,1.1032896,0.24520199,-0.13703817,0.6253375,1.4374131,-2.843512,1.9648578,-3.668665,-2.706221,2.717465,-0.22353426,1.7411114,-1.8144116,0.6955018,-0.57968014,0.10729439,-0.639167,-2.0715892,0.06659329,1.059366,1.0784204,-0.17942324,-0.5709772,-0.35660124,-0.107855804,-1.2875462,-0.9043936,-0.09252538,0.20136438,0.59428436,0.7148073,-1.1530459,-0.1909717,-0.9658183,0.50918496,-0.16218364,0.63506913,0.61410064,-0.6486078,-0.39864367,-0.46182668,0.044825613,0.99246526,-0.13567546,0.06426908,-0.26920748,-1.1814859,-0.41898078,0.59278464,0.42572707,0.59708905
8,-5.5973754,6.4642096,3.8299332,-10.624486,14.355125,-3.3733554,3.1783133,8.657978,49.040745,1.6315069,8.927904,1.6825657,-2.5060625,8.37228,-2.5233612,-0.31353006,-0.563073,-10.155024,-2.0608103,-1.1517544,0.1812981,-1.0735468,4.6020136,0.76529634,0.6646837,-1.5610042,-1.0648743,0.62527084,-4.0807867,-1.9358852,1.9477634,-1.8864452,0.060271353,2.2695637,-1.9013202,-0.8808247,-0.6446366,0.3493157,-1.0890596,-0.15332961,-0.88251776,0.25338453,2.4669838,-0.59934604,0.47619018,-1.8185146,-0.5689292,-0.6245487,-0.12867063,0.7963315,0.7553252,-0.010420181,-0.16780192,-0.65818465,-0.31439513,1.7091181,0.44615644,-0.26971763,0.7005993,-1.2288713,0.8526299,0.07355886,-0.7242857,-0.015411098,1.4221773,0.27549583,-1.0778397,-0.24604091,0.45200557,-0.88940936,0.25393,-0.6080997
9,6.673998,-13.204365,-0.28741133,1.4913905,-0.2309472,12.109633,14.510735,-1.24653,1.6315069,37.422256,-1.7838597,2.9331481,-1.7469419,0.8699924,0.58085364,5.3163576,8.712015,-1.7278378,0.14922547,4.791507,-0.9504781,-6.7918363,-2.845011,0.4446281,-0.9652532,1.2874472,-0.08883406,3.352958,1.7971361,-1.4177163,0.40094554,-0.34777927,-1.2630138,0.037815705,0.0013895852,-0.30783373,0.5694094,-0.90157187,0.24277747,-0.051793933,1.4019094,0.6819346,1.0959852,-2.111971,-1.2008631,-1.4464507,1.2215981,-0.767869,-0.14414972,-0.14503087,-0.13408229,-0.4291551,-0.36918622,0.45659125,-1.1613877,0.24678169,-0.1986905,0.38999444,1.175097,-0.04587258,-0.6190562,0.87830997,-0.018518388,0.1317249,0.6669508,0.390127,-0.06259698,0.43982816,-1.0080874,-0.06934708,-0.31301033,0.15246397
