,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,883.4712,-1.3390603,-0.81771576,0.12541988,0.12385908,0.12054232,0.11131323,0.14563093,0.07208428,-0.14939862,0.068315074,0.06826007,0.14631581,-0.07003477,0.091356516,-0.11489533,-0.023875108,-0.019173848,-0.11323404,0.04467949,-0.021896645,-0.042335488,0.031484213,-0.03328626,0.035460994,0.0027364106,-0.033667833,-0.046769887,0.03881014,0.016861863,0.043773584,-0.016573016,-0.0037177042,0.012865895,-0.00015784136,-9.7678916e-05,-6.292752e-05,-7.638646e-05,9.5937485e-06,-6.950008e-05,-3.6297308e-05,-6.130822e-06,9.308373e-06,-3.4992125e-05,-1.9355552e-05
1,-1.3390603,16.488052,-12.9229355,-0.31357688,1.0467196,3.2660267,-0.088149846,1.4905202,-0.92737293,-0.4592291,0.15291253,-0.6480687,0.9039829,0.4988222,0.6115576,-0.089507036,-0.13704568,-0.26816523,-1.0867689,0.47751138,-0.7959137,0.19609648,-0.04976708,-0.09608955,0.35504723,-0.038474582,-0.5843708,-0.096738465,0.37297106,0.09471905,0.1122724,-0.03834081,0.041138276,0.027358681,-0.00043858262,0.0002756645,-6.379621e-05,-0.00036615683,-7.196072e-05,-0.00019926595,2.7465687e-05,7.0747265e-05,2.132644e-05,5.0240346e-06,-0.00013279231
2,-0.81771576,-12.9229355,19.121477,-0.7498329,0.8094826,-0.3204178,-0.031299487,-0.10563007,0.119672626,-0.8734915,0.22889793,-0.057692453,-0.47772324,0.38504872,0.772661,-0.9263538,-0.28308898,-1.1401219,0.32234058,0.24662796,0.15965463,-0.15944834,-0.29660434,0.19689211,-0.18552679,-0.021950305,0.064250454,0.022863496,-0.20626944,-0.11291218,0.028414484,0.016500954,-0.08254825,-0.07504332,0.0006408453,6.922719e-05,-4.6627858e-05,0.00028344858,0.00013848582,9.296704e-05,-3.144978e-05,2.1246604e-05,2.6671446e-06,-3.0592073e-05,3.8682083e-05
3,0.12541988,-0.31357688,-0.7498329,2.111079,0.58060503,-0.8164799,-1.4992297,-0.43030423,-0.303474,-0.16784945,0.66699517,-0.51130533,-0.2767953,-0.32009792,-0.6263283,0.37875584,-0.10007481,-0.30014268,0.27504063,-0.20089123,0.2277121,-0.048374094,0.1925291,0.0028203551,0.19681346,-0.017164074,-0.2696126,0.20147485,0.041319977,0.14711685,-0.01382026,-0.04328359,-0.0047631646,0.03417269,6.608568e-05,-0.00016165558,0.00013372407,9.479462e-05,2.7994844e-05,1.8002182e-05,0.00011491959,-9.396842e-06,2.1468688e-05,-8.8361285e-06,5.697115e-05
4,0.12385908,1.0467196,0.8094826,0.58060503,6.6145005,-0.11417553,-1.4395423,-0.08010146,0.81074136,0.52904934,0.41569024,-0.5341121,0.10755837,0.53256226,0.44952202,-0.022069542,-0.7752733,0.38214314,-0.42627215,-0.56339693,-0.17465475,-0.13723198,-0.2647488,0.08051182,0.14798763,-0.23628129,-0.06392707,-0.30918497,-0.023378262,-0.021973789,0.08877656,-0.00036693568,0.07606122,-0.046238773,0.0002856646,-0.00059585506,-0.00016017034,0.00019985304,9.555475e-05,3.0640008e-06,3.2170203e-05,1.7916569e-05,-3.140036e-05,-0.000114942464,9.773583e-05
5,0.12054232,3.2660267,-0.3204178,-0.8164799,-0.11417553,4.7756505,0.7103629,1.006026,0.3359313,-0.19267452,0.5847974,-0.3761798,-0.67858505,0.2972517,-0.04736822,-0.11168592,-0.04850655,-0.39259672,-0.09837785,-0.041439082,0.12310773,-0.3388608,-0.1040665,0.09268683,0.03861602,0.0031498224,0.15713638,0.057998747,-0.10695779,-0.0064171543,0.078277126,0.012299031,0.064329654,-0.04739547,-0.000106158164,0.00020494411,-7.4922355e-05,1.8907114e-05,7.448375e-05,-9.794149e-05,-2.8849765e-05,-2.2333215e-05,7.0758383e-06,-8.515948e-05,-1.1076183e-05
6,0.11131323,-0.088149846,-0.031299487,-1.4992297,-1.4395423,0.7103629,2.1315079,0.01688244,0.5712337,-0.19845453,-0.583019,0.62824225,-0.25445473,0.10680853,0.3429339,-0.3921762,-0.077821635,0.34912264,-0.004913698,-0.15474379,-0.046890892,0.025615279,0.16369364,-0.099280775,0.047702614,-0.07759783,0.06519391,-0.069686376,0.030692425,-0.04916925,0.07267595,0.050868243,-0.15278986,0.12954482,-0.00066975306,0.00048026396,7.568018e-06,-0.0004770441,-6.132439e-05,-0.00017569118,-0.00017268391,-1.0977068e-05,-2.4087058e-07,2.5708105e-05,-0.00017815421
7,0.14563093,1.4905202,-0.10563007,-0.43030423,-0.08010146,1.006026,0.01688244,1.1791779,-0.35594338,0.1690248,-0.5015168,0.32129383,0.009252513,0.32951105,-0.050281826,0.12874785,-0.26666218,-0.3560794,0.11285715,-0.047539033,-0.19918478,0.14679936,-0.21865779,0.07818505,-0.078317866,-0.029204195,-0.17760095,0.040702708,-0.07842443,-0.10922702,-0.07149763,-0.044905514,0.06688048,-0.14571142,0.0010023226,-0.00029410567,2.0002455e-05,0.00052383216,4.8517122e-05,0.00023526649,0.0001767638,1.1224112e-05,1.4802818e-05,4.195609e-05,0.00017068334
8,0.07208428,-0.92737293,0.119672626,-0.303474,0.81074136,0.3359313,0.5712337,-0.35594338,2.6165612,-0.48258144,0.38309598,0.14886601,-0.16351557,0.37766743,-0.3832857,-0.065599024,0.122425854,0.50393957,-0.049983293,-0.05077613,0.10821718,0.38733083,0.0064840275,0.25432664,-0.09293707,-0.007859841,-0.029644158,0.010863127,0.03241399,0.044117402,-0.16030514,0.09228517,0.015582983,0.012203727,-0.0003161005,-0.00051304605,-0.00014234413,-3.4189543e-05,9.860967e-05,-0.00015250355,3.0313759e-06,-7.950163e-06,1.05806375e-05,-0.0001426335,6.995096e-05
9,-0.14939862,-0.4592291,-0.8734915,-0.16784945,0.52904934,-0.19267452,-0.19845453,0.1690248,-0.48258144,1.9597234,-0.28435948,-0.008250749,-0.17089029,0.58023787,0.36514324,0.4576576,-0.035769146,0.35560483,0.28619623,0.23139358,0.23369971,-0.10360855,0.083320126,0.063783266,-0.08346227,-0.09987511,0.14569552,0.11328593,-0.23061773,-0.061153255,0.011400115,0.045635868,0.0006011925,0.01040417,0.00014306209,0.0005084541,6.8305046e-05,4.7400674e-05,-0.0001356212,0.00018618605,5.6384233e-06,6.413245e-06,-1.8983905e-05,0.0001256984,-7.220087e-05
10,0.068315074,0.15291253,0.22889793,0.66699517,0.41569024,0.5847974,-0.583019,-0.5015168,0.38309598,-0.28435948,1.8501805,0.294496,-0.036190763,-0.34780687,0.08835758,0.05403912,-0.06241571,0.08561358,-0.1997765,0.42160234,0.13989538,-0.1427324,0.24385354,-0.042052314,0.16118784,0.08351519,0.01796291,0.17144662,-0.025751386,-0.013799954,0.03554873,-0.038776174,0.006921542,-0.09306939,5.8020596e-05,-0.00017982276,-5.2590753e-05,0.00017740569,5.395122e-05,-1.4229134e-05,8.125442e-05,-1.7007285e-05,2.0612455e-05,-8.66231e-05,9.716283e-05
