,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,925.7516,0.8852387,0.22570659,-0.095591575,0.011390928,0.26728332,0.010822762,0.027868949,0.03536635,0.017036028,0.046447888,0.012417534,-0.03954805,-0.061727423,-0.069317184,-0.031067692,-0.024612019,0.031388223,-0.016141396,0.008611506,0.01452474,-0.0013910471,-0.01986818,-0.0054711006,-0.017484311,-0.030768855,0.0019007073,-0.006136192,0.0020564254,-0.0054022144,0.005857125,-0.0003998974,-5.9475442e-09,2.123929e-09,-1.1183788e-09,9.2878055e-10,1.5803694e-09,4.259631e-10,-1.5536681e-09,3.2033043e-09,4.55615e-09,-2.6334412e-09,1.1548237e-09,2.7564915e-09,3.6066896e-09
1,0.8852387,21.213707,4.803438,4.4300604,1.0130525,2.906394,-0.71575236,0.40000457,-0.48077464,-0.75383973,-0.72368014,-0.5396285,-0.6173221,0.55676514,-0.34856763,-0.20996296,0.12881228,0.041199587,0.28763014,-0.128581,0.4373641,-0.5192993,0.19131544,0.06846031,-0.11659795,-0.23729983,-0.032744505,0.048082076,0.040148437,-0.032656863,-0.026816312,-0.03035397,-2.6601136e-08,-4.1351164e-08,3.539589e-08,-2.5092701e-08,-3.4650647e-08,-3.289749e-09,-2.873495e-08,2.3821649e-08,-3.1069625e-08,5.8887558e-08,2.5260158e-09,-3.4828547e-09,3.451409e-08
2,0.22570659,4.803438,11.255591,-1.2499186,-2.2319565,1.9693525,0.94765854,0.33854628,0.8147528,-0.26960844,0.97692823,0.12985012,-0.78063524,-0.7733245,-0.44656575,-0.4635285,0.26047945,0.554806,-0.32507622,-0.06537564,-0.49038398,0.26519674,0.07114146,-0.048169054,0.0936732,-0.045862548,-0.08838564,-0.08913758,0.053423762,0.032528527,-0.024853071,0.0010301601,9.344514e-08,3.3195962e-09,7.079177e-08,-4.7063374e-08,-1.00067155e-07,-2.3563206e-08,1.656966e-08,4.1152717e-09,-2.8538873e-09,2.1664452e-08,-1.269e-08,-1.7466377e-08,2.3463539e-08
3,-0.095591575,4.4300604,-1.2499186,2.6831448,1.2698522,1.1903883,-1.3035171,-0.6565214,-0.17244825,0.6360549,-0.18298659,0.052398704,0.20972261,-0.06859014,0.09032643,0.15275423,0.096300915,-0.07916075,0.16147207,0.037476607,0.07134903,-0.13216667,-0.043671746,0.041190956,-0.010698793,-0.035077292,0.02326021,0.012989726,0.013397395,0.027572377,-0.013537535,0.0068162438,-3.0507465e-08,5.6022795e-08,-1.0576021e-07,9.404907e-09,5.6286034e-08,1.5350576e-08,-3.4305867e-08,-6.1093663e-09,3.055166e-08,-3.0898125e-08,6.7034676e-09,3.253747e-08,-6.138742e-09
4,0.011390928,1.0130525,-2.2319565,1.2698522,1.5055821,0.26074004,-0.33532155,-0.11961178,-0.49473816,0.4977584,-0.47490138,-0.008314954,0.1982595,-0.15697774,0.108388215,0.018531606,0.30757552,-0.2698846,-0.07130747,-0.042627007,0.17298223,-0.03799574,-0.027669292,-0.12298608,0.05253432,0.090152934,-0.035944156,-0.038251143,0.045366347,-0.091187626,-0.03065367,-0.007921215,-5.4680722e-08,-4.3668436e-08,-4.9793037e-08,3.907393e-08,-2.4866813e-09,-7.8918445e-09,-1.27918725e-08,-7.280762e-09,-5.898032e-10,-5.5818017e-09,4.135778e-09,2.8943383e-08,4.6418838e-10
5,0.26728332,2.906394,1.9693525,1.1903883,0.26074004,1.8020252,-0.3063859,0.11573862,-0.2446205,0.8262199,0.3161245,0.110650845,0.06409019,-0.24618551,-0.10101445,-0.0053835013,0.04329676,0.0458939,-0.16877532,0.17536011,-0.040740304,0.13074408,0.008829592,0.024442662,-0.017642714,0.026794374,0.08388363,0.07358985,-0.08589466,0.015242264,0.056254715,0.0163542,-5.0346515e-08,5.3667634e-08,-1.2099884e-08,3.6179664e-08,1.950334e-08,2.8843279e-09,-1.9060355e-08,-2.8600797e-09,1.887043e-08,-2.5721036e-08,9.416897e-09,8.827314e-09,-1.9230826e-09
6,0.010822762,-0.71575236,0.94765854,-1.3035171,-0.33532155,-0.3063859,1.4311155,0.86394083,-0.42442515,-0.13027535,-0.17234457,-0.023551939,-0.0072331475,-0.011800669,-0.109493144,-0.14682272,0.06659432,-0.00075664185,-0.11461769,-0.0061592907,0.11845429,0.03900972,0.062365346,-0.06260266,0.05250254,-0.09864854,-0.1810396,-0.007315445,-0.09856421,-0.0006889211,0.0024365112,0.006424346,-2.2609843e-08,-3.5964895e-08,7.9037434e-08,3.36368e-09,-3.2779653e-08,-3.317495e-08,1.974298e-08,1.1343974e-08,-3.400106e-08,1.944646e-08,-3.4089938e-09,-1.2912425e-08,1.3410425e-08
7,0.027868949,0.40000457,0.33854628,-0.6565214,-0.11961178,0.11573862,0.86394083,0.9985228,-0.55429035,0.05305384,-0.027654476,-0.122513175,0.023717768,0.13375485,-0.16715476,-0.075666726,-0.20186469,-0.051833913,-0.12405802,0.0060032653,0.17627837,0.12827979,0.040194344,0.03456352,-0.097123355,-0.044705495,0.019871794,0.028139982,-0.013297421,-0.09188512,0.013920947,0.011982342,-3.415326e-08,-1.102593e-07,6.605056e-08,2.8812423e-08,-1.9773367e-09,-4.583066e-09,1.0422752e-08,5.116033e-09,-8.5547445e-09,1.3456344e-08,2.3926376e-09,-1.888923e-09,1.1250991e-08
8,0.03536635,-0.48077464,0.8147528,-0.17244825,-0.49473816,-0.2446205,-0.42442515,-0.55429035,0.6708599,-0.32996666,0.16140366,0.027189806,-0.1891722,0.11153318,0.020927936,0.11659601,0.13897286,0.118415944,0.043347053,0.022303084,-0.17565134,0.004890959,0.08756302,0.031450827,0.033099733,0.063286975,0.014605949,0.0010481407,0.036321767,0.044703323,-0.032473702,0.011857964,5.5306543e-08,4.3302393e-08,-3.2443912e-09,-3.2628726e-08,-6.962292e-09,8.934364e-09,2.4747413e-09,-8.26487e-09,-6.5117565e-09,1.6376521e-08,-4.9589266e-09,-4.690458e-09,-3.69302e-09
9,0.017036028,-0.75383973,-0.26960844,0.6360549,0.4977584,0.8262199,-0.13027535,0.05305384,-0.32996666,0.95636636,0.13283181,0.17387074,0.27135408,-0.29929572,-0.035212003,0.14760232,0.03321952,-0.048743993,-0.049980976,0.066135325,-0.04417832,0.20668933,-0.01676574,0.035127774,-0.0126778,-0.05081439,-0.03227452,0.00055394263,-0.03354549,-0.0042771203,0.00994803,0.02273088,-2.490423e-08,6.20705e-09,-4.5518135e-08,2.2361785e-08,3.6691e-08,1.2827732e-09,-1.811042e-08,-6.8959056e-09,2.5716929e-08,-3.3489748e-08,3.3529397e-09,2.842484e-08,-2.8117353e-09
