,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,232.3343,-25.868721,46.16958,29.05146,6.225421,22.621899,-26.939589,17.465069,23.432518,-9.434349,7.606288,-3.457837,7.0727587,6.1388497,-1.9560785,0.4316443,-1.070675,0.16936183,-1.1837752,0.45360148,-0.32935667,-0.093651116,-0.15423724,0.0883512,0.3308214,-0.1676135,0.12968022,-0.20626959,0.1313273,-0.24901633,-0.0005259393,0.10192421,-0.016767398
1,-25.868721,119.58376,-18.89095,-20.025997,11.856609,5.8194733,-33.63246,22.221561,-3.720405,-31.200245,-35.630524,-6.5392675,-4.19378,5.951091,0.671412,-2.0188928,0.22061273,-0.71356,0.2628329,-0.834636,0.1264785,0.33030218,-0.23556182,0.32228017,0.13143434,-0.11249103,-0.21700037,0.33683145,0.028775387,0.21833414,-0.24225877,-0.03207036,0.25594378
2,46.16958,-18.89095,130.14365,-25.817364,-10.469032,7.4385285,1.6658809,-2.822834,-33.921947,-1.5882804,10.708741,6.8481436,13.0592985,-3.1464634,-11.061996,0.8063055,-2.959206,0.8447504,1.3205879,0.3877899,-1.2394078,-0.29148564,-0.24597423,0.54207444,0.75664026,-0.5857289,0.18408173,-0.46196964,0.7349739,-0.050270483,-0.12504432,0.4220462,-0.05745677
3,29.05146,-20.025997,-25.817364,109.0203,11.839794,-28.041382,-13.066454,8.549452,-9.862446,6.421595,-0.8608942,-3.5724864,-2.9749448,-1.794772,-9.352347,0.7350103,-2.2074873,0.44804928,-0.09550288,0.41141838,-0.937837,-0.11505555,-0.1998367,0.54847884,0.5798894,-0.45999524,0.18209273,-0.28878564,0.47703415,-0.15974793,-0.12898251,0.29046434,0.015778221
4,6.225421,11.856609,-10.469032,11.839794,106.01906,35.70934,23.963837,-4.566538,-8.827477,3.2066472,-5.364799,1.7711844,-1.1441925,0.06193708,8.156735,-0.5944404,2.81194,-0.49816802,0.88670367,-0.6150408,0.9997994,0.14049168,0.33683512,-0.5572146,-0.763251,0.52555084,-0.20867293,0.38938487,-0.5115466,0.31990302,0.13279083,-0.32454485,-0.033040047
5,22.621899,5.8194733,7.4385285,-28.041382,35.70934,31.82343,-2.4769526,-11.25415,7.069665,-1.162179,-1.1565027,5.8507423,-1.9784539,-3.750914,2.924329,0.20758219,0.7670161,-0.12409826,-0.6319679,0.08485668,0.34974825,0.018712986,0.11181891,-0.25504142,-0.21146835,0.19343072,-0.0024885633,0.051824022,-0.23943765,-0.047209762,0.10548017,-0.095174216,-0.033311654
6,-26.939589,-33.63246,1.6658809,-13.066454,23.963837,-2.4769526,64.74854,15.779168,2.8439083,7.0418215,16.205519,3.9691043,11.640463,-0.34283203,6.09092,-0.08327223,2.1007051,0.011567431,1.7767961,-0.3649397,0.682636,-0.054001767,0.30432633,-0.5152719,-0.6106273,0.41187537,-0.123672344,0.19493166,-0.25673068,0.3148617,0.14488034,-0.20721488,-0.13890536
7,17.465069,22.221561,-2.822834,8.549452,-4.566538,-11.25415,15.779168,44.36128,-1.3505814,-12.163232,-3.0457172,8.151521,1.0646974,-2.969083,8.441018,-0.18625446,2.0767946,-0.14774536,0.658955,-0.29389563,0.75142217,0.031576894,0.31570637,-0.54730076,-0.55537194,0.47436455,-0.09635909,0.24129003,-0.37923828,0.18325782,0.14415798,-0.22395852,-0.108539805
8,23.432518,-3.720405,-33.921947,-9.862446,-8.827477,7.069665,2.8439083,-1.3505814,37.357918,-1.981909,1.3381352,2.419887,3.0772936,-0.0457195,-5.874608,0.1026537,-1.3543651,0.1870332,-0.35377708,0.22856107,-0.51754093,-0.033184946,-0.2399762,0.35445696,0.43611854,-0.32116067,0.07246842,-0.17524077,0.29508692,-0.10704554,-0.08832973,0.15238786,0.046951722
9,-9.434349,-31.200245,-1.5882804,6.421595,3.2066472,-1.162179,7.0418215,-12.163232,-1.981909,28.403692,-2.7993631,12.956148,11.236591,-0.3809411,5.7806153,0.51018655,1.4322357,-0.014379472,-0.1769642,0.12825091,0.6134835,-0.07247488,0.27729824,-0.49603513,-0.47174126,0.3692472,0.035041977,0.054066025,-0.36988196,-0.018680938,0.21321139,-0.14419395,-0.1348107
