,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,146.1478,60.413864,-101.83496,-54.604225,-14.058683,-41.439003,41.958557,-35.324215,-46.431503,14.209856,-17.111202,1.5810134,-20.10067,-8.961613,7.461027,-0.13319147,2.8627114,-0.38019812,2.44135,-0.91980135,1.051263,0.07447189,0.6935545,-0.7763193,-0.88604,0.91429836,-0.3376605,0.45207834,-0.57973886,0.4655413,0.23384741,-0.4102441,-0.17041095
1,60.413864,328.77472,33.591805,44.917583,-34.147694,-13.403316,46.06677,-47.634247,11.632788,50.480614,63.072224,6.0335464,-6.53306,-4.8669786,-10.7503,2.4494472,-3.2646716,0.7838142,-1.4139104,1.4883541,-0.92599857,-0.34693605,-0.28496802,0.35032454,0.46637455,-0.5358613,0.3469814,-0.5776727,0.5768367,-0.45453167,0.07174597,0.5655266,-0.04692571
2,-101.83496,33.591805,176.57938,74.94447,18.176188,-35.60293,6.8198533,-16.240814,81.72254,-14.898844,-10.764523,-1.7065636,-3.546514,5.4325123,-23.186102,2.9576213,-6.7667236,2.064577,-2.970153,2.5654624,-1.1739019,-0.6490526,-0.8302878,0.21056348,-0.20733915,-1.0546756,0.71434605,-0.9026859,0.8698854,-0.5096827,0.045400262,0.90840983,-0.19942437
3,-54.604225,44.917583,74.94447,77.0374,-37.789024,46.837914,22.684044,-22.301514,25.815958,-23.206198,3.5279477,9.703669,9.934126,5.8414288,-16.290964,0.8616394,-5.6918764,0.78102076,-3.256106,1.5121032,-1.5560901,-0.12994319,-1.0104644,0.9840795,0.9337152,-1.2278275,0.44082087,-0.68908674,0.954085,-0.5765553,-0.28881866,0.750836,0.2165809
4,-14.058683,-34.147694,18.176188,-37.789024,47.573647,-65.14998,-31.817743,19.920525,12.385147,8.445503,10.454874,-1.8969927,3.6206136,-1.0566756,-2.380288,0.98704207,-0.49513,0.31480393,-0.934363,0.49418986,-0.55518496,-0.2014935,0.011570945,0.3829822,0.9060168,-0.25811684,0.2377537,-0.30748534,0.11710202,-0.4557354,0.040429536,0.12637384,-0.0846641
5,-41.439003,-13.403316,-35.60293,46.837914,-65.14998,148.96005,2.268051,23.266983,-20.87122,4.351579,5.195364,-9.537458,2.6456485,5.2647524,18.372437,-3.0133274,4.469102,-1.6786114,2.2192996,-1.9688387,1.035978,0.6177122,0.3904367,-0.23674487,-0.30287954,0.7152808,-0.59990877,0.8206514,-0.53755414,0.58485365,-0.15421599,-0.67140627,0.25882408
6,41.958557,46.06677,6.8198533,22.684044,-31.817743,2.268051,43.32614,-38.866356,-2.2272873,-11.827205,-18.611938,5.2194567,-8.593668,-1.5208186,-2.257671,0.6963357,-0.98579454,0.3361904,0.01213707,0.3004681,-0.117685005,-0.09046626,-0.011252106,-0.0680896,-0.013693323,-0.0039702994,0.08458349,-0.113110766,0.09647377,-0.06271036,0.0631332,0.12309548,-0.07922819
7,-35.324215,-47.634247,-16.240814,-22.301514,19.920525,23.266983,-38.866356,47.116756,-0.2495771,24.05537,8.6413,-16.03865,-3.4524267,1.596064,8.853703,-1.4144504,3.1260133,-0.7711493,1.6211782,-1.0696323,0.9658233,0.21703333,0.4157494,-0.46345732,-0.7496145,0.6105293,-0.36569786,0.5420308,-0.5028063,0.4687925,0.019843787,-0.47323394,0.020553147
8,-46.431503,11.632788,81.72254,25.815958,12.385147,-20.87122,-2.2272873,-0.2495771,38.213238,0.29094675,-2.91812,-4.5243587,-3.943894,2.2284434,-7.594474,1.406184,-2.2972593,0.78650796,-1.1370485,0.99858063,-0.53206456,-0.29199356,-0.21036962,0.1617854,0.24918425,-0.37161058,0.31331378,-0.3786932,0.30517077,-0.32911643,0.04844793,0.31941658,-0.12181294
9,14.209856,50.480614,-14.898844,-23.206198,8.445503,4.351579,-11.827205,24.05537,0.29094675,44.815147,12.2806,-19.897346,-17.554909,-2.8392355,16.179226,-0.5514916,5.287096,-0.7593431,3.2763495,-1.3197608,1.5381434,0.09636538,1.0155605,-0.99566084,-0.982662,1.2307032,-0.42781287,0.692268,-0.8729046,0.5550317,0.2938621,-0.7074665,-0.2248396
10,-17.111202,63.072224,-10.764523,3.5279477,10.454874,5.195364,-18.611938,8.6413,-2.91812,12.2806,38.33617,6.44203,14.502427,-0.10440281,-3.1806374,-0.16023435,-0.6842386,0.009602204,-0.6978843,0.2859742,-0.2127247,0.021327239,-0.31010434,0.13888758,-0.14519072,-0.32471856,0.035737444,-0.11499199,0.19719872,0.034357935,-0.08906735,0.16002434,0.13384145
11,1.5810134,6.0335464,-1.7065636,9.703669,-1.8969927,-9.537458,5.2194567,-16.03865,-4.5243587,-19.897346,6.44203,14.755644,13.640358,0.68564415,-11.475872,0.44394642,-3.5572388,0.49720588,-2.2412286,0.944969,-1.0414367,-0.07223146,-0.70084274,0.6651717,0.59114534,-0.8524017,0.28095415,-0.48120153,0.60626674,-0.35379118,-0.19530311,0.50038165,0.16892274
12,-20.10067,-6.53306,-3.546514,9.934126,3.6206136,2.6456485,-8.593668,-3.4524267,-3.943894,-17.554909,14.502427,13.640358,18.451437,1.5819491,-8.718515,0.0018703099,-2.729745,0.289003,-1.9660832,0.70174253,-0.86259735,-0.0035447848,-0.65918744,0.5973284,0.47551987,-0.77367175,0.21114194,-0.3780255,0.51342714,-0.2546269,-0.20828952,0.40223497,0.20196031
13,-8.961613,-4.8669786,5.4325123,5.8414288,-1.0566756,5.2647524,-1.5208186,1.596064,2.2284434,-2.8392355,-0.10440281,0.68564415,1.5819491,1.0203917,-3.3775587,-0.03936801,-0.9648995,0.09638508,-0.52306455,0.19805853,-0.18564475,0.00021496229,-0.19059989,0.12493479,-0.0129226595,-0.19468269,0.037932493,-0.07304716,0.1429148,-0.025434759,-0.06536195,0.11129344,0.05425544
14,7.461027,-10.7503,-23.186102,-16.290964,-2.380288,18.372437,-2.257671,8.853703,-7.594474,16.179226,-3.1806374,-11.475872,-8.718515,-3.3775587,29.91146,-0.90560526,8.472972,-1.1163743,4.687599,-2.0525966,1.950638,0.182755,1.4644375,-1.2345861,-0.5742246,1.690162,-0.48766083,0.86472416,-1.2648731,0.55909884,0.4381878,-1.0479695,-0.33393967
15,-0.13319147,2.4494472,2.9576213,0.8616394,0.98704207,-3.0133274,0.6963357,-1.4144504,1.406184,-0.5514916,-0.16023435,0.44394642,0.0018703099,-0.03936801,-0.90560526,0.1014166,-0.23910445,0.072958834,-0.098975025,0.088230595,-0.03714565,-0.021791464,-0.03099027,0.0022168998,-0.022761695,-0.036329783,0.022527557,-0.031406756,0.029733436,-0.011416116,0.0021365178,0.033292513,-0.005722569
16,2.8627114,-3.2646716,-6.7667236,-5.6918764,-0.49513,4.469102,-0.98579454,3.1260133,-2.2972593,5.287096,-0.6842386,-3.5572388,-2.729745,-0.9648995,8.472972,-0.23910445,2.3725858,-0.32719535,1.2890087,-0.5791794,0.51935494,0.051431276,0.41877517,-0.31498596,-0.09156844,0.47033715,-0.13387747,0.23749821,-0.35106567,0.13261087,0.12003346,-0.29516554,-0.09261741
17,-0.38019812,0.7838142,2.064577,0.78102076,0.31480393,-1.6786114,0.3361904,-0.7711493,0.78650796,-0.7593431,0.009602204,0.49720588,0.289003,0.09638508,-1.1163743,0.072958834,-0.32719535,0.055650894,-0.18513927,0.0921093,-0.08426711,-0.013703207,-0.051495902,0.049954973,0.042216316,-0.06580729,0.02572941,-0.040918503,0.049527224,-0.032396633,-0.012441589,0.042711772,0.007462832
