,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,133.49059,-45.996574,-97.798584,55.380272,-20.945929,3.5118845,11.117985,2.1549854,-20.611118,8.1516,-23.188885,-5.6980352,14.506456,-4.851163,5.216199,8.945362,6.2174454,6.7490344,-3.4913907,2.4075856,1.4599476,-1.0083938,-0.07879907,-1.1120975,0.43490946,1.6288123,-1.1290798,1.364593,-1.4832633,2.0172997,-1.5656111,0.5323898
1,-45.996574,32.516422,22.116879,3.825349,8.736929,-6.2747726,12.684433,-8.971204,18.799114,-3.8165634,12.566948,-0.10960917,-13.329929,7.8807187,-2.1970837,-9.209818,-3.5291905,-2.6722748,3.5124044,0.10524319,-2.3236718,0.9975867,1.3750367,0.91058964,-1.8103021,0.43510252,0.92422056,0.53106266,1.9470961,2.021149,2.0717382,-0.3994496
2,-97.798584,22.116879,154.40808,-7.503232,53.644005,-6.4236317,-8.604459,9.312495,-3.8799713,-11.874369,-12.461296,-1.723473,3.1022086,-0.73456526,-0.030885769,-1.0551229,-0.108674616,-5.0057907,-6.271015,1.8758769,-1.9516941,1.1613452,1.0513165,2.6984267,4.3022313,-0.33429396,0.45805705,-0.7364849,-0.29118937,1.8544029,-0.040128943,-0.37812388
3,55.380272,3.825349,-7.503232,120.3613,34.06613,-14.684082,26.102829,-10.848817,0.097843096,-6.2625875,-11.669483,-20.35553,1.1966492,5.313697,-2.5328102,1.7593294,-3.1086035,-4.9671545,1.2896849,4.8731065,5.3184457,0.3529251,0.6364625,-4.3126373,-3.3126378,2.2507048,0.8672706,-0.5218787,-0.0035232874,-0.16022441,0.7952037,-1.3246863
4,-20.945929,8.736929,53.644005,34.06613,36.669865,-1.3485453,-5.0903783,-2.8520532,-9.412762,-4.144001,-5.6915145,-9.695944,2.0822902,7.2993736,-2.7840548,-0.18160492,-2.3351839,0.07604581,3.595438,2.334156,2.041068,0.45322666,0.5362034,0.4794076,-1.3399463,0.9987213,0.5240365,-0.32343477,-1.5834854,-0.23021889,-0.84122455,0.22262678
5,3.5118845,-6.2747726,-6.4236317,-14.684082,-1.3485453,11.894113,-9.849974,-4.299693,-11.953276,0.9215933,-0.50171244,-2.450457,-1.2316847,3.108447,0.5373088,2.2287421,-0.6092273,6.9852467,2.9715466,-3.0162253,-3.7966113,-2.4700854,2.7458305,2.44879,-1.0803531,-0.14486718,-0.024453068,2.3440924,-1.7537825,-0.18511146,-1.7775722,-0.5211027
6,11.117985,12.684433,-8.604459,26.102829,-5.0903783,-9.849974,35.98522,-0.3833995,21.530743,-0.46704006,-9.111298,5.167152,-5.9512715,0.15579146,4.7674274,-4.493906,2.61382,-5.188821,-4.72824,1.0711033,-6.2283125,-0.9347149,6.468491,1.0287217,1.094967,-0.09109725,-1.011513,-0.4072541,0.65084773,3.0035975,-0.16542292,-1.0428283
7,2.1549854,-8.971204,9.312495,-10.848817,-2.8520532,-4.299693,-0.3833995,20.380049,2.1851864,6.5782366,-9.352692,10.59297,11.905344,-0.5576191,-2.737911,-1.9158747,2.9595702,-5.148719,-5.1888046,3.2651405,5.167802,-1.7797093,-3.263911,-1.7729013,-0.031889573,-0.06675842,-2.7105289,1.5906467,-1.3851805,0.50853187,-2.8479447,0.25926045
8,-20.611118,18.799114,-3.8799713,0.097843096,-9.412762,-11.953276,21.530743,2.1851864,31.440798,0.6379623,9.3430805,6.5964203,-8.570623,-3.4986482,2.4257884,-3.5930595,0.20074774,-8.954239,-4.5695887,1.8908038,1.8394223,1.4517264,-0.0665534,-1.0899442,0.6563525,0.073577665,2.108704,-0.76529694,-0.7506516,0.06131886,-0.44134897,-1.2594867
9,8.1516,-3.8165634,-11.874369,-6.2625875,-4.144001,0.9215933,-0.46704006,6.5782366,0.6379623,10.290109,-4.762928,7.789076,5.8566675,5.54741,-1.1426682,-3.815586,3.83162,1.0080873,3.704987,2.9663172,2.148429,3.1312037,-0.3536615,1.2376137,0.2544661,1.5356345,1.2633941,-0.08359582,-0.566709,-0.23658472,-1.7475667,-1.3960259
10,-23.188885,12.566948,-12.461296,-11.669483,-5.6915145,-0.50171244,-9.111298,-9.352692,9.3430805,-4.762928,27.89283,-6.73228,-11.173994,-2.2723825,-3.1581352,6.440301,-5.182502,-2.2827735,3.0067668,1.0272632,4.2909765,2.0301037,-5.0520763,0.3953628,-2.615203,0.043491583,-0.43046206,0.7942643,0.38121527,0.5057687,0.8314676,0.2570122
11,-5.6980352,-0.10960917,-1.723473,-20.35553,-9.695944,-2.450457,5.167152,10.59297,6.5964203,7.789076,-6.73228,13.45622,5.391689,2.3929677,-0.447194,-6.1845083,3.9745746,-2.5518987,0.40036654,1.3505952,-0.6416994,1.2246909,1.1745877,0.18863478,1.2197185,-0.15947866,-0.92422724,-1.6961491,0.9133605,-0.34931618,-0.6381301,-0.13451111
