,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,248.64478,30.453373,65.08168,-36.64553,13.832041,-2.287127,-7.6393566,-1.4906185,13.609397,-5.2122245,15.698742,3.9612007,-9.782066,3.444695,-3.4665215,-5.8062162,-4.259437,-4.502413,2.4303734,-1.6454427,-1.0576923,0.970578,0.29893416,0.7256274,-0.22286715,-0.9213935,0.720543,-0.68305624,0.8219264,-1.4011234,0.9475671,-0.26631472
1,30.453373,236.85582,-13.916769,-1.0497639,-5.95306,4.7184124,-9.050329,6.454196,-12.590639,3.1597486,-8.335815,0.585129,8.276599,-5.6115894,1.325558,6.6221914,2.2540221,1.583915,-2.4736834,-0.8873614,1.5346051,0.021472782,-0.78726524,-0.29345393,1.8112671,-0.26006815,0.14916027,0.44070488,-1.4668354,-1.7768116,-1.3056988,0.8860669
2,65.08168,-13.916769,53.490173,4.157557,-35.566307,3.956822,6.0710106,-6.423356,2.6938725,7.506821,8.226296,0.8492497,-1.7241557,0.5772357,0.09132852,0.4060818,0.14614338,3.414298,4.2520924,-0.8362535,1.3607649,-1.1990054,-0.873597,-1.9438195,-3.2073312,0.122749925,-0.6772312,-0.0026089617,0.3871295,-1.0398732,0.104427546,-0.053117245
3,-36.64553,-1.0497639,4.157557,40.562057,-22.57412,8.777563,-17.254555,6.4594536,-0.18893623,3.8991675,8.301374,13.273019,-0.59478855,-2.9752426,1.7248819,-2.4261832,1.778368,3.2657118,-1.2623034,-2.4524398,-3.2646432,-0.66887385,-0.2679097,2.6270928,1.6516232,-1.5728024,-1.2840352,-0.33187518,0.015390709,0.5683847,-0.6988081,0.4953048
4,13.832041,-5.95306,-35.566307,-22.57412,70.07127,0.9331738,3.2272573,1.9059947,6.3185215,2.7590642,4.0097494,6.486799,-1.5984068,-4.68174,2.007317,-0.13440251,1.3244619,-0.03743431,-2.597042,-1.5456038,-1.2431314,-0.10786292,-0.15665925,-0.581694,0.9066901,-0.5023209,-0.36560726,0.47190198,0.8793323,0.15895289,0.62285525,0.0049474947
5,-2.287127,4.7184124,3.956822,8.777563,0.9331738,78.04947,6.4764934,1.7823551,8.047571,-0.41708082,0.96898854,1.1858667,0.92048323,-1.4700181,0.21803012,-2.6361163,0.10579519,-4.4599905,-2.2683234,2.8944325,3.1632023,1.5170281,-1.3103517,-2.079915,0.37060302,0.045673024,-0.70130527,-2.0654626,1.1496232,0.46136153,0.8394247,-0.027998652
6,-7.6393566,-9.050329,6.0710106,-17.254555,3.2272573,6.4764934,42.04608,-0.7792003,-14.320583,1.1268775,6.9744363,-3.561473,3.5609086,0.3871805,-2.4853835,2.0299008,-2.23034,3.5767627,2.712249,-0.31042388,4.9362903,1.131827,-3.4828367,-1.02488,-0.56672513,0.03404261,0.48236698,0.26661423,-0.631244,-1.9915057,-0.3231786,0.7860504
7,-1.4906185,6.454196,-6.423356,6.4594536,1.9059947,1.7823551,-0.7792003,41.284348,-1.4411116,-2.9975963,8.29369,-7.323721,-8.395203,1.6688967,2.8448963,-1.4365463,-3.0327468,3.4559555,2.5122032,-0.80900097,-1.9412069,1.8302547,3.73793,0.6543267,-0.2153903,-0.042245425,0.76454043,-1.6518601,0.56118155,0.0022121342,0.93887687,-0.40277958
8,13.609397,-12.590639,2.6938725,-0.18893623,6.3185215,8.047571,-14.320583,-1.4411116,31.327728,-0.55675066,-6.2968817,-4.5189323,5.7210884,2.3109398,-1.4364041,2.2967117,-0.1391395,6.0386,2.98202,-1.2120978,-1.0916791,-1.0506684,0.042602506,0.57225704,-0.46411324,-0.056493282,-1.4306593,0.54470575,0.51014334,-0.013536074,0.41843686,0.86240464
9,-5.2122245,3.1597486,7.506821,3.8991675,2.7590642,-0.41708082,1.1268775,-2.9975963,-0.55675066,37.824844,1.9613906,-5.329012,-3.5574245,-4.2523904,0.10975069,3.496729,-2.0910056,-0.71958303,-2.2144773,-2.3608453,-2.2578816,-2.8737373,-0.76667786,-0.74425936,-0.5407029,-0.93232685,-0.619343,0.17291799,0.6043235,0.28689122,1.9512256,0.9638067
