,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,150.48589,94.30138,15.07714,-18.077581,-19.35297,-21.715317,13.240118,9.38366,-0.2567467,24.437485,-4.2547774,20.316502,-8.415606,9.350931,7.282057,-13.96553,-0.16220073,9.828982,3.16145,2.1212134,3.8523693,-2.330171,-0.80287933,-2.7621508,2.5240698,0.7176913,-1.2833387,1.1421883
1,94.30138,106.55417,-13.460024,-12.870729,-35.117004,-20.51973,-21.2071,13.111571,5.655266,19.191921,-0.18578179,-6.2549415,-10.964106,0.44843733,6.5881705,-1.4091561,3.3020642,1.2542562,1.0977304,0.4112224,3.4667935,0.77006215,-0.32035595,-2.0403218,1.4818268,-1.4659504,-2.8842492,-1.9134359
2,15.07714,-13.460024,103.099174,6.581971,-2.5889778,-27.424328,36.0782,-8.154618,-11.264482,5.542339,4.532876,5.2981877,-11.166549,-2.1074276,2.0900788,10.111378,5.8836927,-1.71796,0.03692396,-1.9832959,-5.1745872,-0.44049215,1.3010702,4.920893,-0.016098268,1.1235502,1.1634264,-1.0065486
3,-18.077581,-12.870729,6.581971,117.7661,26.021255,-3.7436771,-15.377819,22.770538,-8.926015,13.790674,-1.6172655,7.2346363,2.0197005,-9.570746,1.2939467,2.049584,3.6873226,3.4127424,3.2327027,-4.503708,0.85044575,0.096955575,-1.3478787,0.5456081,0.20978884,-2.2306623,-0.9555682,0.24149895
4,-19.35297,-35.117004,-2.5889778,26.021255,89.3793,-7.0974903,6.0432124,-13.901041,10.330854,3.699231,-2.0189815,-4.1767745,-6.40122,8.8180485,7.660839,-9.831846,-1.719445,3.42895,-2.5193706,5.196269,-1.1517966,-0.13867883,1.4973958,-1.7288883,0.99245596,-0.6884304,-2.8275938,-0.7619308
5,-21.715317,-20.51973,-27.424328,-3.7436771,-7.0974903,59.280056,23.926666,25.467056,-7.486494,-0.7742476,0.16190673,-8.417532,5.874627,0.51973486,3.182402,-4.682656,-0.7255631,-2.056706,-3.1217902,-0.40636584,2.4242246,-0.9369873,-0.37713027,-1.7773023,1.1523106,1.5934856,0.16340427,0.75368416
6,13.240118,-21.2071,36.0782,-15.377819,6.0432124,23.926666,58.095875,1.4426427,-5.569626,7.689376,2.1533337,1.6689479,-2.181281,-2.5503988,-0.45376536,-3.8328567,-1.9046755,-1.7878851,2.0404534,2.7420893,4.189399,-0.28531384,1.2269932,-1.8755883,0.6985849,-0.8450018,-0.26281607,0.58667266
7,9.38366,13.111571,-8.154618,22.770538,-13.901041,25.467056,1.4426427,49.40696,0.93499047,-1.9844006,6.1923523,1.8548404,-8.931763,1.6695647,0.70086086,-0.23735103,2.0436826,1.2235496,-0.3531155,3.0580654,-2.9623103,2.877873,2.5390258,0.61772656,0.73998606,-0.3807245,0.48954546,-0.057348967
8,-0.2567467,5.655266,-11.264482,-8.926015,10.330854,-7.486494,-5.569626,0.93499047,24.454454,-0.13298625,8.212263,5.090574,-2.1096864,-5.79899,0.17873508,-2.1799464,-0.14911447,-4.339472,-1.7924526,2.7149184,-0.52110416,0.58049166,3.736224,-1.3433257,1.845331,0.8485234,0.56885767,0.26776093
9,24.437485,19.191921,5.542339,13.790674,3.699231,-0.7742476,7.689376,-1.9844006,-0.13298625,31.160606,1.0461503,-5.761789,7.8767347,0.8174284,-3.0682335,-2.1863256,-0.7156523,-0.4362958,-4.555585,0.34705043,-0.8786526,2.3146653,0.37618083,-0.27999112,2.0706787,-0.95512915,0.6310017,-0.38056934
10,-4.2547774,-0.18578179,4.532876,-1.6172655,-2.0189815,0.16190673,2.1533337,6.1923523,8.212263,1.0461503,34.56205,0.78128415,2.7209518,2.3968115,0.072719134,1.8203125,-1.6314242,0.7125912,0.6542494,-1.3481258,-0.84653497,-2.355422,-1.8140001,1.1931547,-1.5614591,-0.3255741,-1.1388974,-0.7992216
11,20.316502,-6.2549415,5.2981877,7.2346363,-4.1767745,-8.417532,1.6689479,1.8548404,5.090574,-5.761789,0.78128415,27.553982,4.015813,-0.45928204,0.17996496,-2.67066,0.028327743,0.9073236,-1.0801653,0.32124123,3.4936209,-1.0210683,-0.42949095,0.13995853,0.15350455,0.3541785,1.2420449,1.6231997
