,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,1013.3211,7.648538,6.8035,8.4429865,-9.031841,6.768284,0.6055312,1.7811723,0.62522817,2.3462567,5.299849,0.030236576,-1.2240378,-0.20924124,-1.004912,1.5144719,-0.48097247,-2.5808578,-0.38877124,-2.127201,0.0013268534,-3.6718254,-1.8056197,-0.31414336,0.6619514,1.149577,0.31643167,0.6252706,-0.31636557,0.18547685,0.25227425,0.21688187,0.92280203,-0.15101,-0.32793546,-0.26699153,-0.012171701,-0.004101391,-0.0076527568,0.007257973,-0.004917669,0.0012483436
1,7.648538,176.13454,-20.959965,0.28747728,11.577916,4.3588305,-7.5180683,-0.85566247,-8.793575,1.5415412,-4.2313137,0.37343663,1.533043,2.0981016,3.220015,-1.9666381,-3.2922459,0.78917587,0.22759679,2.2265701,-1.828335,0.14842829,2.199325,-1.313183,-0.41029325,-0.1376032,0.43769175,0.8888817,-0.17764378,0.6909745,-0.0982134,0.124126375,0.0754638,0.20591421,0.23853727,0.27202412,-0.004378871,-0.0021498038,-0.0001675089,0.0011146887,-0.00078815914,0.0022307532
2,6.8035,-20.959965,30.768597,18.322361,4.614582,-18.266947,-8.039754,2.8108673,-3.705665,-0.042281087,-2.5343933,-2.9410322,-0.82691336,-0.74169284,0.6613982,-2.1225328,-2.7048745,-1.5039332,-0.7557667,0.54219174,-0.33181518,-1.6693761,-1.4982474,-0.009063844,1.2696466,-0.88443404,-0.5530697,0.33283794,-0.02210154,0.79890263,-0.35813767,0.29191786,-0.7847305,0.09290969,-0.19978556,0.3741265,-0.008794827,0.011160901,-0.0067215143,-0.0052131554,-0.0032988102,-0.00452846
3,8.4429865,0.28747728,18.322361,57.64835,18.731062,0.18625349,2.3011212,0.4891681,0.8503758,-4.1905556,-4.47033,0.13150728,2.3300917,4.8228226,-0.635649,-1.2996514,0.3357332,-0.9147781,1.1877761,-1.3768286,1.3072989,1.7883644,0.6231804,1.9973758,1.2060876,-0.5474857,-0.5482113,-0.4654637,-0.51498103,-0.82190746,-0.15091223,-0.22885054,0.00079322816,0.09333358,0.2565255,0.12300001,0.0030872833,-0.0026091887,-0.00071602844,0.0001981346,0.000971513,-0.0003538575
4,-9.031841,11.577916,4.614582,18.731062,19.278862,3.5642848,-7.098483,-0.81674564,1.4202552,-3.1737258,-1.4052043,0.8051667,0.22197735,-4.1061783,-2.7328658,1.939137,1.6513464,1.7599306,-0.72625685,-0.4684315,0.4015545,-0.9465257,-0.84859526,0.93726623,-0.31704998,0.26282835,0.71894526,0.29667667,0.19575399,-0.18311527,-0.5362284,-0.41741252,-0.030434804,0.4173072,0.19515365,-0.32748723,0.005501612,-0.0046829646,0.00422143,-0.0012586032,0.0016341687,0.0017811451
5,6.768284,4.3588305,-18.266947,0.18625349,3.5642848,22.723625,1.7512751,-0.93850684,7.7857065,-1.3505527,-1.7372022,1.2449386,-2.9091163,-0.2850748,-0.42296183,0.030180734,2.892624,-0.23336643,-0.6069776,-1.2018654,0.265265,2.3300028,-0.48041946,-0.8985771,-0.30776656,0.056881383,-0.04897795,-1.2917132,0.4198392,-0.90947485,-0.17444113,-0.93679667,0.15703732,-0.43302748,-0.12615958,-0.34287703,-0.0030728853,-0.0027098432,-0.001514382,0.0033457552,-0.0012542738,2.1389602e-05
6,0.6055312,-7.5180683,-8.039754,2.3011212,-7.098483,1.7512751,19.488539,1.3082036,-1.2921987,-2.245535,-1.8185201,5.346265,3.1279974,3.2410572,2.9877086,-1.1706774,0.8952771,-0.6528534,-0.6637832,0.009949026,-1.2209606,0.56959486,0.21474245,1.29143,-0.1538783,0.47803664,0.8732778,0.3376023,0.14894137,-0.9458928,0.12779798,0.6974473,0.7398567,0.41644365,0.25010252,0.19337839,-0.00030907683,0.0018263806,-0.004142026,4.5157823e-05,-0.0012066497,-0.00031057303
7,1.7811723,-0.85566247,2.8108673,0.4891681,-0.81674564,-0.93850684,1.3082036,7.5492373,4.7514277,0.2702627,-4.4169717,0.6350424,-2.479395,1.4301616,1.8332279,0.43820807,-0.058987744,1.1766837,0.8999398,0.0470599,-1.8558279,-1.949862,0.1330485,-0.27457416,0.20932817,0.042862408,-0.65746343,0.02133831,0.43425614,0.4609262,0.0625345,0.47671038,-0.2410607,0.33186597,0.16100985,0.2524047,-0.0027304399,0.004973506,-0.0031273328,-0.0033636207,-0.0016575668,-0.0024858292
8,0.62522817,-8.793575,-3.705665,0.8503758,1.4202552,7.7857065,-1.2921987,4.7514277,10.86953,2.0604162,-3.6788957,-0.88249946,-1.886034,0.6908899,-0.14053452,2.4371686,0.80627203,1.3021185,1.1776497,1.4166089,0.36526224,-0.84800005,0.554106,-0.05665312,0.91240656,-0.4543819,0.32579368,-0.919085,-0.06353518,0.14138828,0.6684158,-0.16757601,0.27737314,0.017010478,0.09649555,-0.1696756,0.007406559,-0.0047982046,0.0049960455,0.0014806252,0.003017009,0.00094643084
9,2.3462567,1.5415412,-0.042281087,-4.1905556,-3.1737258,-1.3505527,-2.245535,0.2702627,2.0604162,13.470972,-0.7123755,-0.62095344,-0.5946824,0.79541063,-0.31706804,-0.49901438,0.34541994,-1.4198446,1.9974177,0.4849223,1.173965,0.5872295,0.48188877,1.4503438,1.0730829,-0.46553153,0.5355437,1.1415925,0.6549778,0.53629243,-0.3010971,-0.96383935,0.14983264,0.331238,0.50376683,-0.08915282,0.0061585205,0.007787298,0.0052092737,-0.0074751163,0.0019118785,-0.0014381802
