,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,15.764171,-8.495815,-7.5601377,-9.115681,10.031725,-7.5328684,-0.25303403,-2.104004,-0.63370883,-1.6557058,-6.398051,0.92371094,1.3066124,-0.13442238,1.4739468,-2.2778244,0.962933,2.8669398,0.101549074,2.09909,0.15628317,3.8866696,1.5920798,0.21385995,-0.375288,-1.1690029,-0.627744,-0.5113723,0.36314154,-0.13250682,-0.31106493,-0.3734846,-1.1004431,0.08700435,0.34272808,0.5776075,0.0017010393,-0.0018699332,0.0046038246,-0.004924464,0.007841703,-0.00045421178
1,-8.495815,24.692242,23.656712,-0.4253004,-12.87438,-4.8567243,8.138097,1.084266,9.515795,-1.7885488,4.57524,-0.4346717,-1.6862764,-2.1800036,-3.48341,2.0982695,4.2176437,-0.9372546,-0.2522054,-2.477005,2.0544813,-0.1190926,-2.4375553,1.1148677,0.60074496,-0.266805,-0.5461698,-0.8481644,0.26367974,-0.7544106,0.21085161,-0.017801492,0.10527988,-0.10037097,0.011567313,-0.43514997,0.007499162,0.00088715233,0.0033406168,-0.0011800717,0.0045394297,-0.0013503237
2,-7.5601377,23.656712,84.91017,-19.965042,-5.3794394,20.511957,10.283588,-3.3917532,3.8266497,0.5984398,2.262696,3.7154408,0.6010325,0.693477,-0.52025175,2.7201185,2.90121,1.814275,0.47918388,-0.7454052,0.2754954,1.6579757,0.8700925,0.6288599,-0.8026869,1.4243052,0.23624462,-0.3110633,-0.3058924,-0.4952116,0.46801817,-0.51916677,0.5352747,-0.3732057,-0.06356896,-0.0018397778,0.012517313,0.0023949465,0.0067571616,-0.0014810263,0.0064303097,0.00012460949
3,-9.115681,-0.4253004,-19.965042,30.346432,-20.574192,-0.27137363,-2.823172,-0.45877355,-0.91457796,4.4284782,5.055955,-0.3234043,-2.5046628,-5.2265997,0.63687766,1.383909,-0.37833405,0.9736111,-1.216153,1.5598364,-1.4341626,-1.9143362,-0.5235078,-2.3080015,-1.4568347,0.5013777,0.68796957,0.49464098,0.62672526,0.8388972,0.1531665,0.3060071,0.074730486,-0.054932803,-0.22560325,-0.23599312,-0.0021631105,0.0037106199,-0.00017462799,0.00019797875,-0.0020838783,4.527007e-05
4,10.031725,-12.87438,-5.3794394,-20.574192,37.794518,-4.044997,7.275965,0.8687968,-1.256704,3.3136172,1.8938247,-1.0941293,-0.100890845,4.4114122,2.8290272,-2.1842425,-2.4432187,-1.9342895,0.9723712,0.62307405,-0.45320833,1.0687617,1.336679,-0.94585013,-0.09689106,-0.04011955,-0.5348011,-0.50535774,-0.13995138,0.0028267754,0.45233357,0.4178655,-0.026835402,-0.4543422,-0.3798023,0.31231546,-0.009248419,-0.0024374113,-0.0066324044,0.0063614734,-0.007017673,0.0013184219
5,-7.5328684,-4.8567243,20.511957,-0.27137363,-4.044997,27.300028,-1.9500723,1.128756,-8.696852,1.4728097,1.8021086,-1.333832,3.1827915,0.3994826,0.5337119,-0.07557585,-2.739594,0.21439664,0.639014,1.2855259,-0.2586128,-2.540214,0.4601909,0.76823354,0.47687012,-0.34890795,-0.025276028,1.529441,-0.4274283,1.0337906,0.26667064,1.1059643,-0.04890836,0.55014825,0.3277855,0.30505538,0.0075505152,0.0032550779,0.0032942763,-0.0040524374,0.0045675593,-0.00023261638
6,-0.25303403,8.138097,10.283588,-2.823172,7.275965,-1.9500723,21.94256,-1.0260979,0.89651334,2.023164,1.8414814,-6.188953,-3.510333,-3.0725398,-3.201072,1.4675984,0.2837661,0.5732895,0.760183,-0.036026143,1.3754494,-0.47593284,-0.3647661,-2.061472,0.49565887,-1.5146693,-1.1400707,-0.0678124,-0.08256075,1.1756573,0.12595943,-0.45493734,-0.36628234,-0.20898788,0.3519205,-0.56222403,0.013929347,0.00455623,0.010627374,-0.0055835163,0.008688323,-0.0011982317
7,-2.104004,1.084266,-3.3917532,-0.45877355,0.8687968,1.128756,-1.0260979,26.305054,-5.2562714,-0.04592561,4.6915016,-0.47987306,2.6541696,-1.6558623,-1.9346306,-0.49721926,0.010024659,-1.2437582,-1.1079915,-0.110199824,2.0324283,2.080731,-0.3695603,0.48085254,-0.061534546,0.13897197,0.61885595,-0.013479111,-0.5600544,-0.41426817,-0.074484564,-0.60356426,0.14986914,-0.46316665,-0.29314125,-0.1269438,-0.00068068877,2.2732856e-05,0.0024945526,0.0017902167,0.0012977901,0.0005295549
8,-0.63370883,9.515795,3.8266497,-0.91457796,-1.256704,-8.696852,0.89651334,-5.2562714,17.719692,-2.4313931,4.385956,0.7755321,2.221587,-0.85877883,-0.009961149,-2.7950554,-1.4187598,-1.4386997,-1.1295321,-1.4578261,-0.40472555,0.9606981,-0.2129646,0.10445718,-1.4029369,0.70548517,-0.1094224,0.84564036,0.15733096,-0.3614528,-0.86071384,0.15446578,-0.34746048,-0.0019307684,-0.2429856,0.13044769,-0.011502586,-0.002943666,-0.0070067924,0.0037078008,-0.0082854,0.00075308024
9,-1.6557058,-1.7885488,0.5984398,4.4284782,3.3136172,1.4728097,2.023164,-0.04592561,-2.4313931,9.589598,1.0967113,0.02873351,0.6994746,-0.48986143,0.16977784,0.77524924,-0.29799557,1.4911685,-1.9764762,-0.40113682,-1.3493899,-0.48640755,-0.2843164,-1.7756672,-1.3653963,0.16286166,-0.45147595,-1.2662036,-0.6616612,-0.61637557,0.38408518,1.2425416,0.04542465,-0.2607196,-0.36497402,-0.18505313,0.0038330269,0.003421277,-0.0023515706,0.0025748457,-0.002448924,-0.000633133
