,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,870.20074,99.16669,-22.33666,3.4849906,29.758022,3.2060676,-26.6502,-7.3435907,-1.9578917,-2.4033961,20.644257,-0.07117527,10.04218,-8.5094185,1.8560116,-5.077381,-1.4511654,1.5592529,1.1817281,-2.8996243,6.297348,-0.3472023,-0.8845297,-0.6047735,2.742322,3.0444064,-2.9732826,-3.3060126,-0.57341707,-1.1507814,2.5910034,-0.94793975,1.2819504,1.0994798,-2.8436763,-1.0386231,-0.5488925,-2.239388,0.06118369,-2.0109277,-0.882415,-0.6195799,-0.59276164,-1.2027857,-0.988696,1.3936889,0.64961916,1.0452306,0.92851543,0.42219776,-0.84897226,-1.2038395,-1.997709
1,99.16669,143.54713,-1.9606389,15.246553,-3.919437,-14.545673,15.826672,14.295331,-1.0333014,3.05634,-4.692318,7.7336826,1.1547079,3.5141401,-6.9913607,-0.6894536,0.8057398,-1.6849446,-0.6014352,6.4578724,1.6581376,2.5460577,-0.2222363,-0.22399986,1.4213912,-10.64518,0.7863606,2.0008097,1.6625313,-0.72732425,-2.8181686,0.6698212,-0.4152515,-2.3485303,0.94766927,0.2879544,0.09303832,2.2098598,0.708578,0.97740567,1.5483384,-1.2115623,1.6656957,3.1812057,1.3515586,-0.41816354,-2.1505861,-2.0628853,-1.1287966,-0.20999661,0.746529,1.5988158,3.3327954
2,-22.33666,-1.9606389,103.55151,8.6463175,13.31523,11.016136,3.8966522,9.989483,1.671219,0.38646922,11.173059,9.565748,0.10394375,8.284708,1.4839048,0.18680283,-3.6582627,-1.5108774,-12.105812,2.4417782,-0.5666486,3.308217,0.07668288,-1.8502145,-1.9165962,-4.0204515,-1.1701419,-1.8038235,2.1685357,0.37715375,-1.3358841,1.973053,-2.2181373,1.0453329,-2.4432988,1.6851776,0.96893334,0.8604878,0.18623628,-5.1530933,1.4299506,2.93504,-2.3800178,1.309197,-0.550634,-0.38809386,0.6653111,-0.8590795,-0.90247065,1.0490674,-0.75202096,2.5339458,-0.2920193
3,3.4849906,15.246553,8.6463175,62.269653,0.5744324,3.662706,0.25361305,3.7411392,4.563746,-2.078115,-12.004536,-1.7795436,1.886626,1.6538764,1.0354433,-0.80044603,0.22372243,0.94837105,-5.2774124,-3.2814312,4.796953,-3.745104,2.8033729,2.26246,-2.2557602,-5.374283,-0.22129528,-0.164197,-0.5282904,2.2936304,0.7327497,0.0023516812,-2.9496207,1.9091535,0.36856997,-2.4131985,-0.15942091,1.4311314,0.79015255,1.3254268,-0.13298838,-0.30274016,-0.14764804,-0.31552047,-1.2215035,-1.1440675,-0.81934184,-1.0963682,-1.8616749,2.1480565,-0.90809727,-1.4064773,0.14067715
4,29.758022,-3.919437,13.31523,0.5744324,94.27631,-0.1416499,9.802174,1.9696364,7.82978,-4.0038676,-6.83972,-3.478768,-3.147978,9.096652,-2.265676,2.7360234,-6.0078344,-1.4228213,-0.25594652,1.3770509,-3.9893217,-0.9266957,-0.42727542,-0.3375929,-4.2729387,-0.26323408,5.6553116,-1.0009536,-1.7382839,4.432807,2.4903026,-1.8274832,2.0982308,0.9252336,0.6348926,0.5943431,0.52448606,0.1476416,-0.90097106,0.7347101,1.4815516,-0.42099208,-1.222614,-1.3910325,1.0845492,-0.62251675,0.9771218,0.65460616,-0.3860355,-0.3402595,1.0747623,0.9030903,-0.17672928
5,3.2060676,-14.545673,11.016136,3.662706,-0.1416499,34.594353,0.8651445,5.704114,-1.1393701,1.9963076,0.38312447,-2.2233076,-1.6956427,5.7723036,2.7277844,1.9926311,-1.532643,-7.0548453,0.25616306,1.6897894,3.1388292,-2.0054986,1.0688494,-1.4278793,-1.2584103,1.1204592,-0.5196172,-3.038976,1.2720175,-4.405704,0.9448526,-0.6539496,-1.3696389,2.2880423,-0.62408364,-0.47124586,0.39064193,-1.1297172,-0.26456726,-0.33534533,0.6796346,-0.8978083,1.7179978,0.17862257,0.13317475,-0.056052186,-1.7897564,-0.048691034,0.7349367,-1.0544403,-0.50651336,-1.2736609,-1.2113657
6,-26.6502,15.826672,3.8966522,0.25361305,9.802174,0.8651445,32.28472,-3.6396487,-5.049463,-2.3331304,-1.8392909,4.734828,1.4401529,7.0442734,-0.13769123,-1.9746529,1.5149908,0.5825584,-2.93562,-2.4081106,-1.7571548,-2.724307,1.5258908,1.0878915,5.625391,-2.380451,-1.8100224,-1.1484838,-0.946149,-0.25357705,-0.3340649,-1.4636674,0.23692133,0.35082933,-0.76213515,-0.065303065,0.3634736,-0.7706014,-0.42226577,-0.4562183,1.806978,-1.5108503,-0.5226086,-0.8982657,1.1486356,1.6383963,-0.3885674,0.19829716,1.0719988,0.42694587,0.967581,-0.108242854,0.88918316
7,-7.3435907,14.295331,9.989483,3.7411392,1.9696364,5.704114,-3.6396487,33.174606,-3.6481442,2.0722523,-5.860797,2.8680434,8.394463,2.9474196,-1.5048304,1.1228292,2.851668,-0.41479433,-0.39198416,2.3436532,2.9446104,3.8604808,-1.2688392,2.984215,0.2769851,1.8536874,3.964819,0.08030101,-0.19699019,-0.61316746,1.3341541,0.3116544,-0.5274444,-0.629603,-0.7805962,-1.4122055,0.5019622,-0.06729303,-0.15147784,1.051219,0.90466475,1.9547106,0.19036709,0.0007053676,0.91336006,-1.4516675,-0.062398538,-0.24307682,0.1374975,-1.3888727,-0.92519367,0.47399542,0.36292553
8,-1.9578917,-1.0333014,1.671219,4.563746,7.82978,-1.1393701,-5.049463,-3.6481442,20.356956,-0.45187393,-2.368904,-0.014803847,-6.7798595,3.542511,1.7983844,-1.5939109,-1.3813828,1.2345266,1.7660182,-0.15500113,3.113,0.9166332,-2.9699764,-1.0558254,-0.6039829,-0.6381396,-0.15872633,1.2832078,-2.3616014,-1.2889137,1.3010678,-0.4925797,-2.5287533,0.39861447,-0.48982108,1.8135705,-0.095981024,0.6861271,-0.56965303,0.5413828,-1.2626245,0.5207324,-0.13641678,0.29437694,-0.025303107,-1.203089,-0.00755109,1.025071,-0.2717733,0.87711155,0.58541274,-0.39916533,0.17384446
9,-2.4033961,3.05634,0.38646922,-2.078115,-4.0038676,1.9963076,-2.3331304,2.0722523,-0.45187393,25.971703,2.2032628,2.423295,1.0316637,-2.6693676,2.85331,1.9955235,-0.78884375,-2.2587662,0.8020919,-2.820654,-3.5884907,5.019753,2.3530564,0.042503662,-2.451869,1.0659477,-2.0044446,1.7734792,-2.0852957,-0.71121204,0.5656086,0.14367703,1.0559307,-0.22127289,-1.2549876,-0.27377617,-0.118180856,0.087843455,0.4956103,0.09724972,1.2917111,-1.8991014,0.3002556,-0.4046483,0.36248368,-1.4824475,-0.060598344,-0.08898855,-0.62132573,0.21712114,-0.82641673,-0.13470513,-0.2570748
