,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,122.83011,0.6754431,-15.106213,-34.274975,-13.917122,0.07367221,0.98510706,2.438984,11.5531845,-1.2542399,-8.310699,-5.8430758,12.7771435,10.347733,6.324057,1.5196834,2.4871116,1.0038948,5.076909,-8.473816,2.3739514,-2.4686246,-2.5345972,0.09583651,0.48523122,7.668704,-0.9166372,-1.114486,-1.6144453,-4.878114,5.344923,-1.0440459,0.08586882,1.672498,5.1018333,0.44439647,-0.69588244,-0.6875301,-2.1540408,0.5851835,-0.43824118,-0.339086,-1.4085629e-07,-9.870436e-08
1,0.6754431,120.98505,-12.600471,-16.364697,1.5889047,17.410164,10.916278,3.576706,-5.37996,0.88372755,2.823745,-0.9794812,0.9175936,-4.4936037,-2.636284,-13.112898,-11.641222,-1.8713974,-0.03200098,-3.1508908,-2.0595717,1.5594752,5.880416,3.1483824,-5.1052237,3.682975,-4.1919794,0.98492634,1.2484939,1.3480031,-1.2521884,-3.3211045,-4.9922924,1.2820082,1.5627389,2.44195,0.9226357,0.30399254,1.133049,0.26351488,0.8105485,0.20524149,1.4613231e-06,-5.3707254e-08
2,-15.106213,-12.600471,119.61795,-15.785614,-6.359192,-0.5143052,-1.4544805,-5.4116898,3.1826391,10.626791,4.5510817,22.39448,3.1651864,-4.260769,10.3932495,-5.404337,5.5504894,-5.233461,-3.9220247,5.033415,0.64412224,-1.2629764,-1.5417695,4.9772177,3.2463894,0.06628904,-1.0028334,-1.9478176,-1.1019897,0.5932093,-3.0166826,-1.246536,-0.8800268,-2.3223844,1.5744741,-0.80347466,0.68370473,-0.7370078,-1.1024678,-0.62945235,-0.6970724,0.5615878,-1.4575169e-06,-1.8612442e-07
3,-34.274975,-16.364697,-15.785614,118.71663,8.232195,-17.406322,6.452097,-11.697279,-2.8179042,-13.22584,-0.6798029,3.8205767,1.0044312,-2.1643987,4.7414656,-3.2739182,2.3478236,5.280925,-3.8888602,0.8127076,-2.3318253,-0.00729648,-0.37816134,-2.078937,-5.964527,0.780833,0.5479109,-1.6199069,0.4502244,2.3132582,-0.5637057,-1.2392434,0.6280115,1.9271187,0.70333266,-0.29810226,0.15908119,0.26271704,-0.05934453,0.5904421,-1.2341096,-0.08014802,-1.7782185e-08,6.423895e-07
4,-13.917122,1.5889047,-6.359192,8.232195,62.038082,12.702918,12.249418,2.5578525,5.8487988,3.3262339,-6.558019,2.3936288,6.0909767,0.47067097,-5.8764114,4.205058,0.6732186,-0.6890391,-2.7947278,0.19469136,-2.9792595,-0.59379745,1.3705108,-3.7727387,0.73231304,-1.2611182,0.8653207,-0.47120366,-1.020362,-1.3199679,-1.9153851,-0.24024999,-1.6680607,-0.81800723,0.1828406,-0.8566494,0.25647268,-0.48228317,-0.2287661,-0.13030131,-0.42385328,-0.02845256,-1.0544659e-06,4.04174e-07
5,0.07367221,17.410164,-0.5143052,-17.406322,12.702918,35.90488,0.9184258,2.9360356,5.407866,-3.3610516,2.531349,-0.1276336,-4.433344,-2.4185576,-3.9586487,0.5317416,-1.8969471,1.3314089,-1.5228808,3.8867967,-0.4374262,2.222619,-2.4192414,0.9801377,-0.773163,2.5225568,2.3577073,-1.3183347,-1.839353,1.5323298,1.0081022,0.39107978,-0.9899415,-0.8546661,0.18057185,0.4993018,-0.45680213,0.5042827,-1.2303996,0.9439384,-0.13775991,0.43093288,3.3575185e-07,1.4652394e-07
6,0.98510706,10.916278,-1.4544805,6.452097,12.249418,0.9184258,44.354652,3.1369078,0.8037659,-2.6535122,7.2597785,3.3668218,-0.0050564967,2.21818,5.7076826,3.82864,-2.1101441,-3.132563,0.6581218,-3.053406,0.7137741,2.167776,2.2362494,2.0102928,-1.1790781,0.60813296,-0.65180004,0.91465247,0.10747083,-0.26251495,-0.13736989,2.9040804,0.5044048,0.22642908,0.39486963,0.15814465,-0.8555338,-0.6954547,0.14649364,-0.34509632,-0.22416109,0.2415733,3.1469148e-07,4.4970625e-07
7,2.438984,3.576706,-5.4116898,-11.697279,2.5578525,2.9360356,3.1369078,21.369469,-0.36061794,-3.5349963,5.153611,-2.182209,0.5062004,0.69070214,4.0478663,0.1935249,-1.1297398,2.2536478,1.2788814,0.56641686,1.3371339,-2.1090608,-1.7963896,-1.8387313,-0.022990571,-2.692196,1.3432281,-1.9019095,0.966419,-0.7763164,-1.5281558,-0.7912823,-0.575311,-0.31154,0.22738436,0.9365621,-0.9603882,-0.3708704,0.35956267,0.06780779,0.26668864,-0.3187548,3.2757237e-07,-2.3758554e-07
8,11.5531845,-5.37996,3.1826391,-2.8179042,5.8487988,5.407866,0.8037659,-0.36061794,35.598263,0.7316774,-1.7010968,-0.25161105,0.8619175,-0.57239836,1.4673941,-1.1949518,-1.2956282,0.19416137,-0.29718852,-0.15198869,1.5842893,-1.7281778,-1.0679615,0.25250605,-0.6907186,1.515919,-1.4515326,-0.7999145,0.9419596,0.013588456,-0.3718208,-0.5266077,1.528544,0.85645765,-1.1794178,-0.60871637,-0.35087866,0.9805409,0.64531875,-0.03668058,-0.24459627,0.29884136,-2.4131606e-07,6.410354e-07
9,-1.2542399,0.88372755,10.626791,-13.22584,3.3262339,-3.3610516,-2.6535122,-3.5349963,0.7316774,14.208241,3.169949,3.4996424,1.081038,-3.2260716,-5.055864,2.3924646,-0.060748346,-1.8981881,0.877632,-1.2687409,0.91510904,-0.16366221,1.7359248,-0.4384725,-0.96643066,-1.8548589,-1.4457507,-0.6721476,0.5532228,-0.30301398,1.1028473,-0.87589914,0.42206317,0.23336571,0.32259023,-0.30656326,0.4108249,-0.13092011,-0.11968398,-0.4720979,-0.4436313,-0.21609327,-4.7431703e-07,9.1424496e-08
10,-8.310699,2.823745,4.5510817,-0.6798029,-6.558019,2.531349,7.2597785,5.153611,-1.7010968,3.169949,13.0526705,-0.7711774,-3.4433656,0.14317013,-0.7857894,-1.8017106,-1.3398845,-1.804033,-0.5246041,-0.10231813,0.34867114,-0.20666513,-0.7024905,0.9158279,-2.0848749,-1.4360337,1.2156713,-1.8771181,-0.7191298,0.26110673,0.38561216,-0.14665236,0.87296754,0.5459296,-0.32828796,-0.13804169,-0.13579726,-0.502592,-0.06819514,-0.38556802,-0.5668974,-0.09968592,-1.7681324e-07,-1.822005e-07
11,-5.8430758,-0.9794812,22.39448,3.8205767,2.3936288,-0.1276336,3.3668218,-2.182209,-0.25161105,3.4996424,-0.7711774,18.673922,-1.6487303,2.3831613,-0.49531543,0.9297252,-1.0449903,2.1105065,-0.65551496,-1.3630775,0.38494223,1.0552616,-0.9125455,-0.16304757,0.7851215,-0.09554892,1.0279377,-0.10776533,1.4171495,-0.1591402,0.56973803,-0.50699204,0.030235346,-0.007215591,0.54441506,0.98871505,0.30727136,0.20526926,0.6239323,0.41534972,0.13337912,0.16850013,2.0487096e-07,5.317098e-07
12,12.7771435,0.9175936,3.1651864,1.0044312,6.0909767,-4.433344,-0.0050564967,0.5062004,0.8619175,1.081038,-3.4433656,-1.6487303,13.778479,2.476193,1.3563535,-1.7282163,1.210207,0.4004931,0.87069845,0.15232795,1.1686919,2.494853,-0.90878713,0.4247558,-0.0678834,-2.0558918,-2.237576,-0.728023,-1.3718836,0.14471933,0.38659734,-0.36451894,-0.8172587,0.32065806,0.3662734,-0.09618576,-0.07762194,-0.24120647,0.033257954,0.06177204,-0.045088943,0.0020403347,-5.28492e-07,2.4497606e-07
13,10.347733,-4.4936037,-4.260769,-2.1643987,0.47067097,-2.4185576,2.21818,0.69070214,-0.57239836,-3.2260716,0.14317013,2.3831613,2.476193,15.468383,-2.9196777,-2.1608207,1.5351858,-0.23954116,0.7663599,-0.9105279,1.7403055,-0.7054062,0.22040494,1.268173,-0.5037904,0.34842265,1.7360357,0.5455774,-0.35774353,-0.22030228,-0.5535478,-0.19244885,0.21967462,-0.31611854,-0.62153596,0.11598402,0.3592509,-0.20008019,0.064643055,0.25390598,-0.074442446,0.049499795,-3.080976e-07,-6.3806944e-08
