,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,352.674,-0.6209348,16.46214,37.549526,15.252556,-0.2013587,-1.0878403,-2.6575747,-12.614908,1.4859357,9.008861,6.463767,-14.05929,-11.29854,-6.8954325,-1.7300408,-2.7717886,-1.1062293,-5.5484505,9.292864,-2.6289465,2.716403,2.801562,-0.0968879,-0.5188493,-8.381779,1.0086937,1.1751747,1.7531135,5.375864,-5.839905,1.15924,-0.10298689,-1.8419865,-5.608904,-0.51586413,0.71648216,0.7290137,2.347176,-0.6266577,0.4885549,0.3432512,1.2619191e-06,1.0311365e-06
1,-0.6209348,178.19778,13.153534,17.2188,-1.4142929,-17.948853,-12.0409565,-3.9422035,5.1544256,-2.0553513,-1.7279673,0.4335678,-0.34880108,4.599129,2.9661155,15.053491,13.541275,2.192253,-0.0106829,3.4976401,2.5897045,-1.7641286,-6.821823,-3.626423,5.544058,-4.1496706,4.456668,-0.5316001,-1.1337931,-1.8676692,1.1882242,3.451377,5.6113043,-1.2489264,-1.4435284,-2.3217318,-0.33233225,0.05866289,-1.0783994,-0.47498363,-1.0841166,0.19391608,2.3805405e-06,-1.5817888e-07
2,16.46214,13.153534,129.34312,18.003632,6.348999,1.351224,1.8658237,5.7075806,-3.2615077,-12.317934,-5.0060654,-24.879717,-3.1025534,4.4336624,-12.050083,6.236932,-6.212271,5.6781673,4.131677,-5.793181,-0.60669625,1.2194564,1.7062154,-5.3715763,-3.7251506,-0.23749802,1.1798891,2.267281,1.1860052,-0.76279485,3.2781205,1.3120623,0.94385016,2.5345058,-1.6768239,0.9646969,-0.77628213,0.75004977,1.2201927,0.664883,0.85725045,-0.6318512,1.971972e-06,2.799035e-06
3,37.549526,17.2188,18.003632,60.552322,-9.140743,19.809036,-6.985577,12.708839,2.9082496,13.809578,1.2407461,-4.568675,-0.7082741,2.1553068,-5.432931,3.9712143,-2.33398,-5.753048,4.1760445,-0.98608994,2.7195444,-0.0768315,0.2800177,2.2423997,6.4432106,-0.9664092,-0.61555624,2.0323951,-0.41493344,-2.7227483,0.5388037,1.26668,-0.64256823,-2.0571082,-0.6512375,0.4916495,0.06641185,-0.16699603,0.13038555,-0.7256082,1.3162951,0.23566371,1.0125448e-06,1.0678077e-06
4,15.252556,-1.4142929,6.348999,-9.140743,35.348248,-14.286953,-13.487711,-2.7312884,-6.3861647,-3.3112886,7.024597,-2.4365559,-6.8585033,-0.4065396,6.6227703,-4.78384,-0.7923311,0.75335675,3.1147828,-0.13613796,3.1920524,0.70410883,-1.4601994,4.130644,-0.7443353,1.4449185,-0.95639753,0.40978795,1.095596,1.5253216,2.127427,0.30128056,1.8153019,0.8799429,-0.24690676,0.87039995,-0.3550553,0.49858236,0.22714147,0.17244513,0.46058816,-0.01417709,7.0640203e-07,5.4735904e-07
5,-0.2013587,-17.948853,1.351224,19.809036,-14.286953,47.38913,-0.9004328,-3.2086535,-5.199341,4.658663,-4.082056,0.7241254,4.259961,2.9379692,4.196372,-1.2159646,1.308913,-1.6003051,1.6962056,-4.328924,0.16674203,-2.3982677,3.0170345,-0.89448225,0.87923837,-2.665801,-2.4464955,0.9313991,1.7886889,-1.3154624,-0.9309683,-0.255005,0.9444321,0.78671765,-0.4504614,-0.8771415,-0.15269029,-0.93184423,1.1929753,-0.8576007,0.3484859,-0.87439823,-9.482836e-07,1.8653147e-06
6,-1.0878403,-12.0409565,1.8658237,-6.985577,-13.487711,-0.9004328,28.427668,-3.4630122,-0.8586493,2.815207,-7.943056,-3.736155,0.054657187,-2.4603274,-6.332046,-4.149103,2.301123,3.4252303,-0.7408742,3.3107672,-0.76691914,-2.3942828,-2.4502406,-2.1935158,1.2701046,-0.6869744,0.7228862,-0.98114765,-0.11843129,0.27080458,0.14596553,-3.1885896,-0.5536336,-0.24787524,-0.42453802,-0.1601443,0.9391128,0.75775635,-0.15766165,0.37354237,0.25529903,-0.26336533,-6.392045e-08,-1.5014514e-06
7,-2.6575747,-3.9422035,5.7075806,12.708839,-2.7312884,-3.2086535,-3.4630122,26.70953,0.3310753,3.859192,-5.5576677,2.3785305,-0.5429228,-0.7578951,-4.3742657,-0.1947403,1.297399,-2.4549477,-1.3903515,-0.59451586,-1.4516103,2.319941,1.94226,1.9961443,0.03569484,2.9546866,-1.4860568,2.1063437,-1.0422089,0.8351474,1.6643169,0.85931236,0.6406967,0.35160267,-0.23613392,-1.0106578,1.0964316,0.43516105,-0.3847239,-0.083877504,-0.3120126,0.37654385,5.8485057e-07,-1.0389166e-06
8,-12.614908,5.1544256,-3.2615077,2.9082496,-6.3861647,-5.199341,-0.8586493,0.3310753,10.120298,-1.4799428,2.515552,-0.115794145,-0.5445984,0.4177696,-1.7205604,1.7151592,1.7689028,-0.15635636,0.26650345,0.12528867,-1.5507488,1.829598,0.9897307,-0.3446601,0.69357,-1.7545683,1.5440977,1.1707824,-0.9239052,-0.22828794,0.3131535,0.47502917,-1.6093088,-0.8654214,1.4319127,0.8560887,0.7051029,-0.8988658,-0.6255399,-0.05519156,0.19432262,-0.12960991,-5.419861e-07,-1.9005059e-08
9,1.4859357,-2.0553513,-12.317934,13.809578,-3.3112886,4.658663,2.815207,3.859192,-1.4799428,26.715134,-2.2326622,-4.3975577,-0.6079279,3.2523203,5.644435,-2.0086422,0.79013807,2.2112184,-0.99338984,1.4472923,-0.7034395,0.13817357,-2.248579,0.3141216,1.0231829,1.9340143,1.4573252,1.2257578,-0.39290595,-0.01626387,-1.372346,0.7934721,-0.33062744,-0.114457145,-0.11252417,0.6515167,0.16703588,0.50105876,0.27789062,0.34927604,0.30245924,0.6171715,-5.8319056e-08,-7.795561e-07
