,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,292.83807,97.47249,19.429657,-3.4958763,-17.326323,10.305584,-17.00468,-16.375338,5.60635,6.529038,-3.5585093,-0.5341372,-1.2143499,-5.858859,8.091881,-11.820059,0.006729724,-0.36326247,-8.305723,-3.3604097,2.081229,0.9943367,3.3190553,6.7079477,-3.069759,4.2411356,-2.1508281,-3.4303713,1.7802932,-4.3428526,-5.892157,-0.9103838,-3.7947035,2.0779693,-1.5903128,0.18323955,1.3289769,-0.96624875,2.2351081,3.8130684,1.7179484,-1.939366,3.265523,-0.087191984,0.38446897,1.2599022,0.21726668,-1.4602149,1.2165896,1.3127625,-0.24191055,-1.7993399,0.08696301,-1.394208,2.8194003,1.2139734,1.0546463,-0.29002222,0.64249694,-0.86650395,1.0053985,-0.7956958,-0.287867,0.3517027,0.023147706,-0.24835351,-0.41411674,-0.47394472,-0.10036254,0.48722765,0.19232258,-0.40504354
1,97.47249,111.74795,45.619072,11.807655,8.119246,4.080489,4.1706204,-15.360212,0.58395326,2.4331417,1.564342,7.1225233,-0.37185323,-1.2231119,-7.0080185,6.54963,0.3101819,-3.0072472,1.9789886,1.7658968,-1.334923,1.9820282,-2.6906524,-5.496689,-1.4437103,0.8796274,-1.554666,-7.149563,-0.17598289,0.14464453,1.7317305,2.6819677,2.4401436,-4.7169385,-3.4063227,-1.9444752,-1.2538761,1.4229596,0.03341116,-1.843406,-1.412519,2.1944082,0.7466238,-0.8472767,1.3194832,0.18092763,-0.39292264,1.4544623,0.16157772,-1.133616,0.10687488,0.2322455,-0.09963399,1.9686288,-0.08744306,-0.88871896,1.219938,-0.4882303,0.03300145,1.0145288,0.23105721,0.41008842,0.75944746,0.15695971,0.58796096,-0.6414454,0.53472626,0.07267369,-0.22260186,-0.45770746,0.41568136,0.38875663
2,19.429657,45.619072,74.06946,17.462467,7.4761343,1.1817385,17.243595,5.8931227,-3.7018824,0.8691838,7.0933084,-6.210463,-2.6080682,-8.326273,-12.826336,-0.45279825,-5.747248,2.4035392,-0.36207005,1.4905152,-3.0612807,2.600107,-0.87461936,-1.3532276,3.4050028,0.7884284,3.2173934,0.6426401,0.8027176,2.1683285,3.545676,-2.8325865,2.0028152,1.2360655,0.71333325,0.29517817,-1.3128157,-0.56339556,0.45816493,0.027306285,1.7406466,1.1064694,-1.117645,-0.42510977,1.0893866,-0.60282815,0.15068868,-0.014347402,0.4322818,-1.1700943,1.6555084,0.1896451,-0.24223694,-0.60707295,-1.5787206,-0.03209094,1.622988,0.37586695,0.94174165,-0.5073519,-0.8703704,-0.29681772,0.22102307,-1.027628,0.49784797,0.7091557,0.17132737,0.64631635,-0.3302435,-0.33719307,-0.42470914,-0.054811835
3,-3.4958763,11.807655,17.462467,43.859264,-7.192827,0.17016694,7.5990276,13.816833,-1.5438211,-2.0234807,6.5813756,-8.260899,-1.0766555,3.740219,3.9537652,-2.0628119,1.4107982,-5.445715,2.9988241,1.622141,-1.1667547,-3.3685565,-1.8449574,-0.78556335,-1.504454,0.17341773,1.924571,-5.33904,-3.078506,3.0183933,1.1436584,2.2959876,-1.0531659,0.77387047,0.4988526,-1.1394069,-0.07364157,0.9492909,1.2934756,1.3361268,1.0035727,1.2296028,-0.28658542,-0.64770436,-0.41407123,-2.6422608,-0.62436485,0.4751212,0.03048915,-0.9701753,-1.1768637,-1.2836449,1.5862279,-0.593289,0.42209795,-0.5896914,0.0414664,-0.81117195,0.69550806,0.65646935,0.29312938,0.24037677,0.008084942,-0.1620645,0.48858467,-0.22714618,-0.31974387,-0.9064538,-0.197547,0.61495215,-0.20776345,-0.22575575
4,-17.326323,8.119246,7.4761343,-7.192827,61.82582,0.15346217,-20.108051,-2.6240034,-8.621813,3.9537244,-4.581904,-10.266447,0.8728533,-4.729228,-2.9813328,-0.30846825,-0.03780875,-1.0958766,1.689465,2.6600518,-5.10378,-2.796173,4.628886,-2.967846,-1.3018794,-0.6468036,1.4508364,0.87419915,3.1873024,-1.3996899,2.096922,-0.21403277,1.9115683,-0.020681053,-1.3171012,-0.9759089,-1.0190454,0.2887236,0.2363033,-2.2194474,-0.94409955,-0.27032298,0.60112154,-2.0733967,-0.5124248,-0.6028379,0.15443227,0.7367004,0.8175491,-0.58909905,0.24337736,-1.1840205,0.17134139,1.3868785,0.10519901,-0.29307523,0.069890216,-0.54273033,0.22436601,-0.20782971,-0.36296016,0.03061522,0.376289,-0.17403823,-0.15145555,-0.30364615,0.19814092,0.03902134,0.3585559,0.12982295,-0.28640768,-0.24414489
5,10.305584,4.080489,1.1817385,0.17016694,0.15346217,40.686153,-0.838679,7.962759,-8.95723,-4.9618144,1.0286984,10.731049,3.1000705,2.6513243,-2.637709,0.4252375,0.65311646,-5.2608767,-3.7331553,-1.0348995,-0.83405745,1.5906827,5.261647,0.9658781,0.68446726,-3.9927864,-1.8013319,0.6637231,0.1164365,1.4593313,1.1898446,-2.2322278,-0.011244686,-0.24638101,-1.265907,0.8083903,-1.4801027,-0.60544837,0.91325355,0.24803248,-0.56570005,-1.660794,-0.61661035,0.07810624,0.025392976,-2.0667129,1.0353255,-0.030886194,-0.5113231,0.43900102,-0.04242737,-0.5519209,0.7354747,0.5046405,0.39247993,0.2570874,-0.09156107,-0.61721706,-0.7860949,-0.23661637,0.06338376,0.14503357,-0.45235664,-0.011364188,-0.07964364,0.21232674,-0.8498292,-0.14842716,0.60083413,0.21174861,-0.6392796,-0.81054133
6,-17.00468,4.1706204,17.243595,7.5990276,-20.108051,-0.838679,32.38275,2.3366623,1.5283809,-7.5629864,2.0805783,1.4465477,-3.9072118,-3.4834294,-3.0765777,-0.84182584,-0.1685285,-0.22263777,-1.1482496,-0.14677168,1.9985023,-0.052206002,0.28839907,-2.900167,-0.99845743,-0.066593684,-2.5987892,0.60250235,-0.20123345,-1.1663904,0.6016211,0.8754349,0.8892199,1.7040834,-1.6234775,1.4567815,0.48998034,-0.5004482,-1.7039475,-0.60846,0.21453118,-0.47266614,-1.4239233,-1.3942443,0.04294192,0.31154168,-1.0574687,-0.70265675,-0.9641857,-0.54405797,0.53530806,-0.55853724,-0.5051799,-0.32114148,-0.9354193,0.12149437,0.12600544,0.7084291,-0.6070825,0.4629643,-0.38601893,0.12591878,0.64121056,-0.035729066,-0.7745137,-0.74469835,0.2804854,-0.039832834,0.31238192,-0.17157286,-0.32364738,0.86995816
7,-16.375338,-15.360212,5.8931227,13.816833,-2.6240034,7.962759,2.3366623,32.246357,-0.59631586,1.4876078,0.32354194,-0.9837221,8.125,3.1768098,-0.5252534,-0.920733,-0.66010433,3.2687545,-0.1390163,-0.4607243,1.2957315,0.6385753,0.47137445,-0.71035266,0.03418394,0.81708527,1.2701395,-2.9595435,2.3290315,0.17418589,-1.6784189,-0.8533189,-0.8082952,3.1806402,-0.39252615,0.16893162,-0.7238535,0.8126682,0.9916187,-0.77142656,1.5179793,-1.5677822,0.3502524,-0.3570755,0.4275446,0.75713134,0.19067913,0.51352787,0.8097235,-0.35750443,-0.18075441,-0.9647637,0.38773423,-0.04426293,1.3365296,-0.17787045,1.1825997,-0.71831757,0.8659056,-0.4180577,0.37732852,0.3356501,0.28102332,-1.2155051,-0.15363306,-0.28001666,0.02224687,-0.08292056,0.38243812,-0.06908751,-0.07728748,-0.12745288
8,5.60635,0.58395326,-3.7018824,-1.5438211,-8.621813,-8.95723,1.5283809,-0.59631586,15.497636,0.62125754,-3.8529449,1.6751398,2.7500715,-2.7198787,-0.05497408,0.66694903,0.54687285,4.8036213,-0.08670681,1.8420676,0.76245236,-0.09668271,-0.8994763,-0.29596132,-2.3073812,1.1923774,-0.034047306,-0.44899714,2.4197278,2.2067206,-1.0040557,1.2242141,-0.21769771,-2.7635534,1.1129658,0.7533411,-0.1830146,0.009652603,0.5910836,1.198132,1.1356771,0.31683844,-0.8801612,0.5688444,-0.53322476,0.5555624,0.6840835,-0.029458225,0.06590903,-0.19282877,-0.32964608,0.053305246,0.904938,-0.49141538,0.21208137,-0.24547079,0.020969778,-0.022250347,-0.3355868,0.68790996,-0.89898133,-0.28864196,0.3129774,-0.11108232,-1.3093408,-0.372454,0.13672787,-0.05252952,-0.23535815,0.7679733,0.10000521,0.2247833
9,6.529038,2.4331417,0.8691838,-2.0234807,3.9537244,-4.9618144,-7.5629864,1.4876078,0.62125754,13.701244,4.1835203,-5.277133,1.4859529,-0.8916862,2.47159,0.719363,-3.3499525,3.8079672,-0.31546986,-3.2934704,-0.27909005,3.5714335,1.1522279,-1.5016851,0.3280118,-1.3556054,-0.95803726,-0.54102516,-1.5356125,1.834626,-0.49287027,0.40026286,0.22621438,-0.3566295,0.3072937,0.25699678,-1.0444144,1.0717511,0.100774646,0.1971143,-0.6969663,0.1080324,-0.47643352,1.5538845,0.065619946,1.227703,-0.49295276,0.417704,-0.07176183,0.47210294,-0.30992213,0.9442291,-0.0031792591,0.32339072,0.6610832,-0.64355963,0.26569384,-0.11383882,-0.3108353,-0.15071209,0.38615465,0.13381365,0.46779722,-0.49155694,0.14831752,0.028881159,0.031757254,-0.15066534,0.5221572,-0.093854904,0.29653156,-0.009441359
