,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,326.52484,55.060043,-25.966341,55.289276,42.56569,-3.3633027,22.753551,-12.41947,-26.321,0.480609,-21.429771,0.6821027,-11.774219,-2.175102,-9.44784,-3.6534605,-2.6344779,1.9432929,-0.027240977,-1.5849525,4.8737993,-4.083124,-1.5513103,1.3878983,1.9503479,3.254076,2.34137,-3.0889697,-1.2491257,-2.7543275,1.0669113,4.646767,0.9143454,0.065508746,-0.87553674,0.84691197,0.86421037,1.1245301,1.1542866,0.29328805,0.77482766,0.7487534,0.1842708,-0.19641042,1.6173388e-07,6.287721e-07,-3.3483907e-08,-1.4209445e-07,-4.2940445e-07
1,55.060043,115.146065,-6.678501,30.365814,-40.020107,10.8414345,9.432014,6.7117834,0.056206748,-5.938574,-2.7392316,11.058897,3.2329135,-8.314938,0.020297298,4.584653,-3.401476,-6.968464,2.2906103,-4.525099,-0.24199656,5.3514423,-5.3090267,1.7674689,0.09531641,-7.6170745,0.7576555,-1.307934,0.9168709,4.8601813,5.3867826,0.2595116,2.0052245,1.2344583,2.2071795,2.756581,0.6787678,-1.2210352,0.8061609,0.3440413,0.13737926,0.41865647,0.43291858,-0.7386333,-8.664409e-07,-8.158459e-08,-2.0697883e-07,7.485066e-08,2.560497e-07
2,-25.966341,-6.678501,131.39442,26.719345,7.8213987,-13.128778,8.7522955,-0.59071946,-1.4378117,-16.727879,-6.8975334,4.796194,5.0029306,-1.1159929,-0.31377935,11.331369,-1.1220168,0.6079919,7.7339096,6.090335,-9.13216,2.5354524,0.7622547,-5.1806383,-0.09632294,3.702476,1.5189937,0.081498004,-2.0692868,-1.3874638,-0.58649445,-0.27689824,-1.2788873,0.3794972,3.9725163,-0.5393019,-1.4999774,-0.23230696,-0.35992107,-1.6285824,0.75711715,0.6807671,-0.4057432,0.0298431,-1.2323905e-08,-5.165547e-07,-6.2720204e-08,-2.3413195e-07,2.8271904e-07
3,55.289276,30.365814,26.719345,79.7107,-5.229561,20.82623,-14.13244,-10.208834,4.2218547,8.768171,-1.2494538,5.8194103,5.695238,5.684167,3.1111782,4.948916,-3.6217785,-6.594239,-3.1683748,0.38167605,-4.6526375,-0.15454371,7.754255,-1.5046685,1.8946491,2.5289369,-0.6012366,0.7139116,-0.44899184,-1.7881087,1.8564646,0.74896514,0.10109898,0.4818188,0.4691117,2.1099117,-1.5723963,-0.18544325,0.9483713,-0.6098615,-0.33326262,0.17475984,-0.07328382,-0.23825784,-1.3401522e-07,-6.6601734e-07,-1.3012938e-07,-1.0702745e-07,2.027983e-07
4,42.56569,-40.020107,7.8213987,-5.229561,85.05514,5.8415794,-4.243898,-4.5233274,2.3768735,-9.129097,7.4529448,1.781986,-6.000622,6.211595,7.8699408,4.3535213,1.0338354,8.149576,-0.45320034,-2.1285012,3.1065547,-4.2995234,-2.0848386,-1.7177141,3.4984264,2.924149,0.47028148,-4.0312366,1.9330698,0.6795254,0.6516363,-0.48186177,-0.025041621,2.0561495,-0.13034043,-1.1744239,0.14848915,-0.40363163,0.6170552,-0.84531677,0.32974026,-0.23874354,0.04598991,0.8214078,1.7525363e-07,2.5227752e-07,1.8919731e-07,-1.2007071e-08,2.2012225e-08
5,-3.3633027,10.8414345,-13.128778,20.82623,5.8415794,85.088875,0.13294429,6.45608,9.698128,-5.505311,-3.437294,-4.1238146,6.057393,2.9748697,8.188799,3.251016,-0.38873327,-0.030032381,4.226697,1.9671322,2.6983194,0.5469558,0.8191608,-0.47086155,-0.7709409,-2.7572343,1.7614576,-0.66610855,-0.19454375,-0.6006954,-2.0313354,1.5180851,-1.1351037,-1.7203369,-1.9572722,-0.08272147,0.28233448,-0.2547813,-0.32160607,-0.01315381,-0.702453,-0.32380867,-0.08567943,0.26745695,-6.0706327e-07,-2.5454264e-08,2.2992364e-08,1.02935566e-07,2.9250464e-07
6,22.753551,9.432014,8.7522955,-14.13244,-4.243898,0.13294429,29.178638,-8.383745,-12.2764,-9.724264,-2.900112,1.5040255,-0.9463513,2.8576674,-0.556624,-4.5403757,-2.740652,1.3427889,4.895501,2.5833488,-2.0177147,0.41589114,-1.6255817,-0.16713443,-2.8250337,-3.3163385,1.7877061,1.3998,0.8804723,2.371152,-2.158589,0.16148707,0.016109113,-0.46911678,-0.37232953,-0.80709696,0.20439461,-0.25483778,-0.69065225,0.25913483,-0.0995163,-0.06881745,0.013589345,0.05633522,-1.0784754e-07,1.6130674e-07,7.076706e-09,2.960262e-08,8.115967e-08
7,-12.41947,6.7117834,-0.59071946,-10.208834,-4.5233274,6.45608,-8.383745,27.390852,-4.284338,2.681319,3.2585502,4.241699,2.0946214,-4.272482,-1.0001922,0.48183283,5.6922073,-2.8666487,3.3495479,-2.2896929,3.4312828,-0.2525906,-2.9024675,-0.68215525,0.17159677,0.4852266,1.530391,-3.2136893,-2.7506032,-1.2340512,-0.15112282,1.6473624,-0.423967,-0.3968787,0.9082268,-0.2908692,0.24430305,-0.03230996,0.19150715,-0.575513,0.56361794,0.53511,-0.16506675,0.060306758,-2.964391e-07,1.1256074e-07,1.6561732e-08,-5.999924e-08,5.9364716e-08
8,-26.321,0.056206748,-1.4378117,4.2218547,2.3768735,9.698128,-12.2764,-4.284338,33.587242,-6.8011813,-3.2855701,2.1924248,0.4064897,-2.7006435,-4.755776,-1.4312093,-5.279172,0.5199032,-0.85382015,1.8647338,1.3261179,-1.3092375,-0.563277,3.3614044,-0.89163613,1.6792064,-0.58356345,-0.4361603,1.348369,-0.5763383,1.8233824,0.25073802,0.047557794,1.6276495,0.40205437,0.2804993,0.38066226,0.6781107,0.45989734,0.2908186,0.20875037,-0.0355547,0.062484894,0.08087778,1.3104426e-07,-1.8036599e-07,8.1636244e-08,2.6129175e-08,-2.8843061e-08
9,0.480609,-5.938574,-16.727879,8.768171,-9.129097,-5.505311,-9.724264,2.681319,-6.8011813,17.945076,-0.9751463,1.1888431,4.4458675,1.399551,0.80866086,0.6391219,3.4682555,0.823547,-2.3457108,-2.4948049,-1.4890312,-3.1694353,2.572801,0.82832325,0.43866473,-1.0856519,-0.5636686,0.9393817,-0.9550468,-1.5842035,0.76284564,-0.052730873,-0.65745604,0.56291795,-0.821814,-0.7286283,-0.86965895,0.38655174,0.045123037,-0.19363062,-0.22759125,0.17666718,-0.026682831,-0.118355684,-1.3044061e-07,2.8508473e-09,1.4882124e-08,-3.6968945e-08,5.845903e-09
