,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,888.8247,23.061867,21.651226,-44.367523,1.039046,-5.1117783,16.821259,9.322508,-5.2478237,0.03746021,0.48439252,4.0157814,3.1347508,-1.7170079,5.83488,-1.2463164,2.903988,0.55548394,-3.4406881,1.4476657,-1.433519,0.4448529,-1.4831238,2.4285746,-0.33628333,-0.9006294,0.7895128,-0.67696166,-1.0895243,-0.94584596,2.1511273,1.2963736,-3.520513,1.1354823,-1.9711055,0.49371147,-1.0213635,-0.582299,1.6068785,0.028006662,-2.098359,-2.4195228,1.2588794,0.018612217,0.3113008,-0.6727193,-0.5256113,-0.78086466,1.4677863,0.6223374,-0.24860787,-0.20621097,-0.8925025,-0.20168251,0.0013143022,0.34231904,-1.63581,-0.44078922,-0.62426203,0.0646403,-0.0644293
1,23.061867,265.5118,-80.2381,6.517907,36.452965,28.952593,-3.1643424,-10.768386,7.595017,8.88105,-1.6370368,-6.926302,1.1481266,-4.4414597,1.5625458,3.135774,-5.498146,-2.7091599,-3.891904,-3.03581,-1.2934463,-1.2650343,-1.4987411,-1.8474073,-5.4038525,1.9699409,0.31481332,2.2446446,0.5230962,2.7494967,0.63580406,-1.8280063,-0.37282687,-1.698169,0.6181717,1.3996365,-0.19316973,-0.5676428,0.43519974,0.50966966,0.36130822,0.7823211,-0.6227584,0.49046475,-0.8139558,0.35248357,-1.0550556,0.04222489,-1.3605119,1.0600798,0.12691763,0.13410676,-0.69404477,0.9845722,0.5057882,-0.44291168,-1.0440156,0.25216967,-0.7886418,-0.2688917,0.51534486
2,21.651226,-80.2381,152.30548,10.893717,28.009127,25.562668,0.35397792,-10.928371,14.119561,6.6179476,-5.8545246,3.4063158,4.6379795,2.658264,-0.62536484,4.801025,-2.3140259,2.9816146,-2.767315,-5.015522,-1.2992493,-0.13434362,-1.6237899,-1.3108635,-1.2249756,1.9814713,-1.6785978,-2.4507594,-1.2172118,-0.8875922,-0.5932393,-1.233577,0.65654594,-0.47048086,-1.496087,0.179196,2.3494024,1.0698802,1.543501,0.34911728,1.3449026,0.2865498,1.0651824,1.052027,-0.39093795,-0.26438856,-0.3957013,0.027290462,-1.2118411,0.13709673,-0.46927357,0.5659907,-1.1066759,-0.7649415,-0.036032848,-0.2725504,-0.97172934,-0.15773094,0.38286164,-0.20917563,0.0844865
3,-44.367523,6.517907,10.893717,58.006134,21.217766,7.51779,12.810253,1.0397389,-10.676292,-3.7560067,-9.247089,-2.2563448,-0.29814312,1.157102,0.39519995,-0.34184006,0.7651779,0.5039046,-5.443758,4.3967476,-0.323915,1.4905908,-1.3684487,-2.6218112,5.1366415,0.07652492,1.1211642,0.81263137,-2.8669524,-0.38662603,-0.191554,-0.75395083,0.026318591,-1.6165202,-2.6347775,0.53444827,-1.176206,-0.07121354,0.3351165,1.1272582,-2.5107865,-2.5571246,0.056873955,0.81934154,-0.7049035,-2.2030945,0.7745545,0.71346915,0.81725925,-0.11809169,1.6853414,0.68326247,-0.37767443,0.88537574,0.55768657,-0.67608523,-1.3664393,-1.0498654,-0.39105153,-0.030089632,0.1254991
4,1.039046,36.452965,28.009127,21.217766,65.96483,-1.630333,8.081581,1.6466718,5.8640804,-8.096058,-9.700564,1.982493,2.1004837,-6.2347736,-0.107832074,-2.054701,0.65679485,2.1869843,-0.6545033,0.5183811,-0.41252363,0.009532358,4.317005,0.6457721,0.014105129,-0.27117616,0.49338213,0.2942778,-0.043647107,-0.5559086,0.992538,-1.2074533,-0.49723846,0.1647131,-0.052848186,-1.1126969,0.05448293,0.39928463,-0.45839602,-0.8647833,0.86409724,0.13546138,0.06551457,1.0756705,-0.43717837,0.63646275,-0.11214578,0.9818851,-0.8231741,-0.64045,0.29418033,0.67564285,0.27146018,0.5154655,-0.19601685,0.3485642,0.73409903,-0.54195213,-0.11168146,0.74081856,-0.80638677
5,-5.1117783,28.952593,25.562668,7.51779,-1.630333,57.909824,-2.1539035,-14.137257,-3.6970959,1.5636458,-1.8838873,-0.08756779,-2.0471482,6.241228,10.729061,-1.2767881,4.177583,-1.1475382,0.009619046,-0.15683518,0.028700717,-0.8741994,-2.7581987,-0.656054,-1.0586998,-0.4484334,-2.1193738,-0.17854305,-1.864542,1.9255569,-0.5572264,1.530965,-0.22113484,1.9014807,0.4351419,0.38044405,-0.1389715,-0.5805048,-0.5239767,-0.39070478,0.5356607,1.45393,-0.68632674,-0.8973226,0.5785866,-0.7322728,-0.021330371,0.3092472,1.2285228,0.23399962,-0.77751833,-0.20515805,-0.32752097,-1.2574663,0.4694853,-0.0011127985,-0.39214152,-0.105333894,0.9180958,-0.6095494,0.34667715
6,16.821259,-3.1643424,0.35397792,12.810253,8.081581,-2.1539035,17.260746,5.2143126,-2.3719778,-0.39159077,-5.490322,0.49869847,-2.3253288,0.10613425,0.84974873,2.2420528,-1.1056392,1.118939,0.9054265,4.0373583,-0.51786387,2.224774,1.7390492,-1.1693001,-0.58172953,0.44235614,1.1453791,-0.47430843,-0.06946768,-1.4454043,-0.2725052,-2.5490854,0.49346465,0.7874327,0.4542644,0.8314991,-0.9534954,-1.4061246,0.8033257,1.248386,0.26987028,-0.8309617,-1.6610541,-0.14971992,0.24115553,-1.2818696,0.081012025,0.075642705,0.8641031,-1.160306,0.5506195,-0.32375112,0.7621994,-0.3254625,-0.24452308,0.12987104,0.25780356,0.115386054,0.93311036,0.13152833,0.8203927
7,9.322508,-10.768386,-10.928371,1.0397389,1.6466718,-14.137257,5.2143126,12.500575,-7.281992,-0.26605695,-0.07076989,-0.28059107,0.49784026,-0.6783246,-0.93079233,-1.628454,-1.3581693,0.81197524,-0.9094331,0.43725222,1.3670068,-0.18306874,1.7175388,-0.5005656,0.29364908,1.4261174,-0.5477568,-0.6076797,-0.5677078,-0.29501233,-0.55686784,-0.46934777,0.17326975,1.1542916,0.26255018,1.1077964,0.39418644,0.83184224,-0.6002547,0.93077385,0.85224164,-0.25040603,-1.4908586,-0.044867404,-0.2831421,-0.017661314,-0.17172313,0.03530549,-0.25313038,-0.11078592,0.5736892,0.7588599,-0.6148739,0.07358047,0.16510329,0.27916852,0.22015956,-0.04866963,0.44239455,0.6797825,0.4780898
8,-5.2478237,7.595017,14.119561,-10.676292,5.8640804,-3.6970959,-2.3719778,-7.281992,19.463024,2.1970057,4.22943,5.675605,-3.2171378,-3.4917827,-2.2577035,1.0115461,-3.3530674,-1.0165586,2.2768772,-1.1402922,-1.4298596,0.27878946,-0.21148622,-0.2143755,-2.546885,1.6310008,0.6647861,-0.71486163,1.2189913,-0.42472723,0.0004089253,-0.24371633,-0.41673756,-1.3684411,-0.23737228,0.2648573,0.55617976,-1.1529343,0.019987758,-1.1709914,-0.23590651,0.13056362,0.8411617,0.037199225,0.09007042,0.2316452,-0.20839825,0.620728,-0.14446774,-0.6262802,0.5962992,-0.530704,0.9767542,0.095458135,-0.49241203,-0.45601532,0.07500124,0.16820484,-0.06282106,-0.4777493,-0.21763277
9,0.03746021,8.88105,6.6179476,-3.7560067,-8.096058,1.5636458,-0.39159077,-0.26605695,2.1970057,15.348309,2.5961006,-3.5420074,0.44565007,-0.12862685,1.2464197,2.8393993,-4.955483,1.1160076,-4.193331,-2.1187851,-0.4744019,1.0972135,0.33442003,1.508458,1.2481451,0.27194524,-0.23738892,-0.6382272,0.8089118,-0.4936388,0.91120833,0.21309866,1.9849635,0.0058744727,-0.20407891,1.371852,0.52723324,-0.022751424,0.34561166,-0.30321342,0.30075118,-0.23326632,-1.436048,0.734771,-1.0485606,-0.6759721,-0.23075882,0.25883585,-0.15829538,-0.9235985,-0.053103488,0.08935279,-0.11856265,-0.45610127,0.07161546,-0.26057142,0.12849566,0.45518854,0.321262,-0.1736566,0.036792025
