,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,46.93503,-54.877373,-45.779453,33.198162,11.874011,-13.295853,29.03675,30.21428,5.568186,-12.22992,7.221402,-9.599701,-4.260812,9.215702,0.037551142,-0.21949355,0.04658006,-1.8392875,4.5578175,-2.828508,2.218148,-4.9187346,0.50847965,0.5854297,-1.8588245,-0.38229212,3.3720198,2.0432093,2.3369968,-0.5185679,0.7501639,-0.8711187,0.23758578,-0.54192877,-1.0489494,-0.28754434,0.7139681,-0.06603977,0.6211928,-1.4206932,0.27426964,-0.36702955,0.3831238,-0.49508178,0.26131254,-0.19784096,-1.141696,0.4784208,0.23071459,0.1543405,-0.031419955,0.2611319,-1.2297392,-0.997643,0.5020822,0.12860498,0.26793432,0.34189808,0.61696434,-0.6392174
1,-54.877373,202.64746,107.57036,19.914425,-57.068333,-5.577462,-14.428556,-44.175705,23.040112,23.01174,-13.516741,21.933613,15.8358555,-19.083088,13.6036625,1.1847069,15.639914,4.4148045,-0.78463864,-2.3032923,-7.225118,4.7466516,1.3149769,-0.12732755,13.89982,-2.6166658,-5.580616,-2.7579412,-6.4598966,1.7836058,-3.5169415,-0.35532373,0.6621696,-0.5709826,6.8638043,0.50258577,1.8749231,-3.193678,1.3428985,1.7395318,0.45945734,1.4332273,0.7365698,0.5200081,0.113016754,0.5238756,-0.86894333,-0.16895148,-0.674785,0.5116174,0.07707255,-1.4330742,-0.6370409,0.41133243,0.59912777,-0.961891,-0.011498166,0.43788856,0.92092353,-1.7031128
2,-45.779453,107.57036,77.44169,-16.950348,-37.699036,3.43182,-23.514294,-34.981827,1.6878419,13.779704,-7.0956936,12.727434,6.080688,-8.172956,9.932785,3.7669806,6.77779,2.8034515,-2.9974513,-0.020388812,-2.769977,4.856775,1.3667309,0.3102676,5.862135,-0.46149504,-4.989867,-3.0679622,-1.9453851,-1.2672119,-0.8837994,1.1544079,-0.19331996,-0.07212643,1.8908257,0.52850807,0.74510425,-1.6375709,2.0748832,1.9618144,0.77158296,1.5181694,0.21830654,0.61934483,-0.079813845,-0.74013597,-0.59345585,-0.3294746,0.10988336,-0.27855563,0.88897264,-1.070344,0.6379875,0.44217247,-0.60152817,0.020044286,-0.34831816,0.64204526,0.7889969,-0.33302188
3,33.198162,19.914425,-16.950348,63.059433,-7.1880875,-17.696568,23.079422,18.17229,9.162813,-7.775849,3.452741,-0.44599617,2.8634233,2.7041442,0.49780488,-0.17236653,3.330707,0.99718964,3.6137905,-1.4785118,-2.3511095,-1.762305,0.09515365,-1.0301085,5.2851086,-0.111626506,2.1012206,3.0184627,-1.7815341,2.1944318,-1.5611068,-3.0581346,0.59261,-0.5991141,1.7707007,-1.276149,0.4049222,-1.5238047,1.0915678,-2.6665304,1.0856392,0.9131625,1.0667024,-1.2042811,1.310197,0.21748483,-1.6442719,0.6502079,0.55782926,1.7728821,-1.1218793,0.08460607,-2.1825228,-1.100572,1.0115768,-0.74129105,0.35131735,0.65117216,0.9430512,-1.0465773
4,11.874011,-57.068333,-37.699036,-7.1880875,42.359913,1.6893979,-0.72184443,6.6791,-8.469015,0.6027442,0.53661597,-9.128286,3.2509809,4.6013145,-5.6231704,-1.2313685,-3.2024407,-4.218631,2.8751755,-1.5548866,2.6150482,-0.45641398,-0.01602231,-2.5135443,-4.881521,-1.1896055,4.073452,0.18756598,-2.9148407,-0.10682272,-0.10737665,0.7854179,0.6241949,1.8912556,-3.0551999,0.6730096,-1.1321973,0.9395354,-2.4421506,0.5052672,-2.55301,-1.1848538,0.96670663,0.04498262,-1.5177441,0.37030903,0.07695012,-0.5743331,-1.915772,-0.38909316,-1.39493,0.4790541,-1.5710396,0.21049507,2.0372417,0.032421883,0.9019499,-1.1673985,-0.9817623,0.17964962
5,-13.295853,-5.577462,3.43182,-17.696568,1.6893979,34.936447,-4.9661927,-4.8099036,-9.200953,-0.5742642,-2.3420541,-3.8406296,2.402547,0.2028008,4.5609326,-9.02628,1.5770301,4.0886765,-1.7078953,-1.5368232,1.103273,1.6753924,0.651466,-2.6977062,-1.3309731,1.4943438,-2.4389443,0.6015421,2.8814814,1.4446956,2.1515281,1.6876163,0.45920777,-0.7101824,0.10247745,1.4001961,-3.815699,0.45451075,-1.5497885,-0.35049146,0.42905048,0.09775283,1.9735248,0.5139899,-1.97786,-1.6429355,0.63649666,-1.1577423,0.7152865,0.054589435,0.65642774,0.44235855,0.4152599,-0.8470844,-0.028068032,0.5607679,-0.37714955,-0.44280767,-0.553825,0.12296133
6,29.03675,-14.428556,-23.514294,23.079422,-0.72184443,-4.9661927,50.04668,13.252799,10.132927,-10.452384,1.8575134,1.7258577,-1.6951654,-0.40492833,8.895998,1.8104887,2.9979334,3.369957,2.535675,-4.7665205,0.29156855,-7.9224954,2.2811174,-0.8898955,-0.54119694,-2.6378098,0.26589274,0.21526667,2.653558,-0.51519465,0.45160925,-1.5909415,-1.0749567,-1.1879585,-0.009814036,1.2045014,1.6002896,0.010768154,-0.6587891,-1.2685978,0.2166698,-0.72151595,-1.5681479,1.5538297,-1.2505882,1.3293104,0.10528523,-0.15875176,0.35427085,-0.9562533,0.97188944,0.36198655,0.17098805,-0.18947083,0.611817,0.210258,-0.7637645,-0.32301742,0.06919477,-0.7171507
7,30.21428,-44.175705,-34.981827,18.17229,6.6791,-4.8099036,13.252799,34.24989,2.6700513,-4.1246614,7.0338373,-5.079674,-1.4531417,5.914709,-3.2432203,-5.799618,-0.1908161,-3.9200616,3.0860248,0.5985239,2.089688,-3.16042,-0.7268522,3.9054506,-1.642033,0.24321538,1.5014462,1.0536335,2.336796,1.4374486,1.3219185,1.3653173,0.53875625,-1.4152217,1.2995265,-0.21218479,1.04311,0.67467177,-0.67587614,-1.0686344,0.33735305,-0.90084666,0.43170488,-0.88796276,0.38025028,0.48428398,-0.58048874,0.07736412,1.1549826,0.52307117,0.66579103,-0.18819468,0.07999694,-0.66586065,-0.07024798,-0.45856583,-0.18642205,0.19337788,0.043208003,0.076316744
8,5.568186,23.040112,1.6878419,9.162813,-8.469015,-9.200953,10.132927,2.6700513,37.233635,6.9954376,-8.622801,-3.6375675,-1.6190673,-5.498125,-1.5202742,-1.1175407,3.4198387,-0.9622712,0.57697606,-4.2871656,-1.1868169,-3.430542,-2.365726,1.3236141,0.9130745,-2.4538255,0.2225014,0.1118405,1.1211194,0.7111439,-0.22562522,-0.19927302,0.5754527,-0.28535777,3.8261662,0.31909946,2.0257287,0.80520284,-0.25600114,1.7269354,-0.52222586,-2.286847,0.18238357,0.29758126,-0.06741747,0.7809372,1.1389635,0.42654824,-0.95947284,-0.22819266,0.24897768,0.34552872,-0.0716838,-0.33309186,-0.21131113,-0.45734417,0.3524263,-0.5667168,0.0037319628,-0.85017025
9,-12.22992,23.01174,13.779704,-7.775849,0.6027442,-0.5742642,-10.452384,-4.1246614,6.9954376,15.497681,-3.927733,1.7516935,5.8889503,0.1779619,2.446063,-0.9515819,0.67345965,-1.9875798,-0.37097818,0.63757575,-0.68901414,1.1933944,-1.9358988,2.1583328,1.0278769,-2.6917303,-0.4217222,-1.6289415,-1.2356919,-0.17271695,0.7030077,1.5237888,0.7804103,-0.73011506,0.14634377,0.98065376,1.9990628,0.5933523,-0.4197862,0.6573059,-0.23173699,-0.6491731,0.14936465,-0.43471375,-0.30175743,-0.28289807,0.43328702,-0.56944597,-0.45665473,-0.5190004,0.20323917,0.037069693,-0.5576317,-0.1451779,0.105380654,-0.35417318,0.2617621,-0.17515402,-0.2807755,-0.42991775
