,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,410.1599,12.518556,10.43947,-7.5848174,-2.7166824,3.0537953,-6.624137,-6.892312,-1.2725258,2.7865918,-1.6554842,2.1934028,0.9673693,-2.1015823,-0.007907739,0.044723082,-0.009475114,0.42470333,-1.0413687,0.6496892,-0.51102924,1.1199082,-0.12117333,-0.13270028,0.4219485,0.08770096,-0.7682915,-0.46853513,-0.5374081,0.12259737,-0.16823712,0.19732955,-0.052810006,0.12293166,0.23757792,0.065651566,-0.16143267,0.011057056,-0.14297903,0.3258126,-0.06622462,0.08557766,-0.08591038,0.11113541,-0.05974984,0.044968616,0.26187402,-0.10783505,-0.052026495,-0.033779766,0.010874434,-0.058866307,0.27948332,0.22673997,-0.11457357,-0.031207431,-0.060497835,-0.07954918,-0.13976657,0.14520678
1,12.518556,128.08394,-24.53843,-4.551878,12.971725,1.3269515,3.2903829,10.094929,-5.239563,-5.265569,3.0484943,-4.9954653,-3.6331687,4.348258,-3.1045985,-0.28613707,-3.568915,-1.0167551,0.1822505,0.5311603,1.6330795,-1.0924892,-0.3082344,0.035715327,-3.1764803,0.59678423,1.2888997,0.6095471,1.4581951,-0.39241204,0.8165119,0.07004083,-0.14248285,0.12513998,-1.5837417,-0.11142273,-0.4183573,0.71906185,-0.31168926,-0.39393705,-0.11256263,-0.32532397,-0.15996738,-0.12844443,-0.029156432,-0.12339887,0.20048952,0.043716043,0.15533668,-0.11423248,-0.010126291,0.33042336,0.14439538,-0.09206307,-0.13364965,0.21854597,0.0014807447,-0.102818266,-0.20427227,0.3865613
2,10.43947,-24.53843,97.99341,3.8800063,8.738461,-0.87560296,5.3775253,7.930952,-0.44468087,-3.1062343,1.698933,-2.9244804,-1.3527772,1.8814014,-2.2614303,-0.8241373,-1.5437285,-0.6211083,0.67823505,-0.004895552,0.6732348,-1.080226,-0.2961035,-0.08516246,-1.322999,0.10308911,1.1020163,0.74505985,0.4798289,0.2490811,0.16811316,-0.2391193,0.017964799,0.031184498,-0.3812694,-0.12446605,-0.19137168,0.39724386,-0.46071428,-0.45015895,-0.16032353,-0.3521345,-0.07233429,-0.11795579,0.028246311,0.17549469,0.13068925,0.064162746,-0.028041748,0.0614227,-0.21953699,0.23698583,-0.14467952,-0.103647545,0.12865657,-0.002703384,0.081799686,-0.14290851,-0.1939658,0.07664943
3,-7.5848174,-4.551878,3.8800063,56.009148,1.633317,4.046411,-5.271716,-4.138423,-2.0849648,1.784315,-0.7887198,0.10667619,-0.655064,-0.6181302,-0.11194606,0.034087084,-0.760121,-0.23711836,-0.8179938,0.33395636,0.53746617,0.39981735,-0.019089485,0.23494147,-1.2032163,0.024297353,-0.47610188,-0.6939708,0.41030788,-0.50546587,0.35426524,0.69499594,-0.1357103,0.13697994,-0.40616918,0.2905165,-0.09311809,0.3476568,-0.25185293,0.60880274,-0.24520397,-0.20742212,-0.24563381,0.27362922,-0.29886955,-0.050696287,0.37750053,-0.14818393,-0.12934439,-0.40745276,0.25230205,-0.018472377,0.49821818,0.2516548,-0.23063023,0.17068951,-0.07940963,-0.14837894,-0.21655588,0.23749033
4,-2.7166824,12.971725,8.738461,1.633317,47.83929,0.17183498,0.1166895,-1.2977028,2.2131116,-0.3835795,-0.5615348,2.1743164,-0.9590338,-1.1577988,1.2572956,0.08869241,0.71264404,0.854962,-0.62599504,0.42030102,-0.8105358,-0.030899411,-0.09156242,0.6570111,1.0345035,0.29099536,-0.7286266,-0.2848932,0.45473027,0.24103974,0.21597809,-0.31494647,-0.004109369,-0.51561475,0.4450106,-0.11077991,0.3777731,-0.3392231,0.49813288,-0.088625304,0.48608917,0.2866846,-0.09955914,-0.1338751,0.29622883,-0.12662862,-0.0021228052,0.19409302,0.4497869,0.11418331,0.41786766,-0.06963527,0.3552031,-0.028773077,-0.42191494,-0.016808923,-0.2224054,0.24422994,0.30586848,-0.055357475
5,3.0537953,1.3269515,-0.87560296,4.046411,0.17183498,32.119686,1.1697776,0.9272852,1.8898308,0.3462509,0.9003037,0.7993742,-0.3546632,0.04308079,-1.0223203,2.2217188,-0.34738588,-0.84914184,0.36178982,0.28791174,-0.07695125,-0.27131355,-0.06371343,0.5457685,0.37130243,-0.3591414,0.39338148,0.063600615,-0.4788315,-0.50978017,-0.65109146,-0.2743156,-0.21646506,0.23165567,0.17681757,-0.35797942,0.7701702,0.00039576477,0.40134913,0.053274296,-0.0102766305,-0.035462923,-0.5497121,-0.01663965,0.49117094,0.41075873,-0.15827805,0.21074784,-0.17507257,-0.037486136,-0.23735853,-0.13413206,-0.08934052,0.17693423,-0.028383786,-0.117125094,0.09922598,0.12243618,0.05719045,-0.01270622
6,-6.624137,3.2903829,5.3775253,-5.271716,0.1166895,1.1697776,17.639473,-3.0100796,-2.298564,2.3643422,-0.45056075,-0.38197887,0.37171623,0.08443302,-2.0286424,-0.42637017,-0.68518925,-0.771785,-0.5758693,1.0949812,-0.07903411,1.7963089,-0.527557,0.20855531,0.11533667,0.6062675,-0.048348702,-0.06457642,-0.6217123,0.13249922,-0.08971192,0.35375774,0.25591004,0.26607543,-0.014926514,-0.2731673,-0.35659087,-0.010822942,0.14613853,0.29015583,-0.05948229,0.16639557,0.36709976,-0.36200452,0.28161213,-0.304117,-0.021724558,0.040311135,-0.07947111,0.2192649,-0.21317998,-0.080301836,-0.03971499,0.043805722,-0.13655451,-0.048967853,0.17353374,0.07245083,-0.010829512,0.16403317
7,-6.892312,10.094929,7.930952,-4.138423,-1.2977028,0.9272852,-3.0100796,17.906277,-0.70537543,1.0114293,-1.4590547,1.1309326,0.39558506,-1.3169112,0.75180423,1.3861427,0.0474526,0.9347925,-0.71449625,-0.15217912,-0.40845072,0.7638092,0.1932352,-0.91682637,0.3982712,-0.055180747,-0.40655732,-0.16163218,-0.47008148,-0.39762864,-0.36236405,-0.26742777,-0.16596334,0.34893426,-0.21607879,0.035115793,-0.27683616,-0.11379446,0.17372474,0.23662984,-0.050011493,0.19926205,-0.13617654,0.24397232,-0.0704111,-0.09717655,0.12669638,-0.03736543,-0.26653296,-0.12490472,-0.18022254,0.029957706,-0.016738368,0.14642285,0.001890722,0.106679186,0.047577467,-0.037410926,-0.03495643,-0.013365466
8,-1.2725258,-5.239563,-0.44468087,-2.0849648,2.2131116,1.8898308,-2.298564,-0.70537543,16.241226,-1.5091537,2.1491704,0.79647946,0.44603997,1.2969865,0.36217695,0.33071506,-0.7742815,0.2600146,-0.1377385,0.95723796,0.35987228,0.83972263,0.57694817,-0.33179775,-0.17570803,0.56177866,-0.13044731,0.06844057,-0.17474669,-0.25025195,-0.023437113,0.10065822,-0.1857748,0.096307434,-0.7687207,-0.08894731,-0.5084696,-0.13447621,0.08279091,-0.40163693,0.15218394,0.5115019,-0.09105441,-0.016660377,0.036327228,-0.1619817,-0.26565617,-0.12173445,0.21425217,0.04322384,-0.09547131,-0.095691994,0.018875873,0.0694844,0.030495636,0.10803889,-0.0744371,0.13709903,-0.031746127,0.19741076
9,2.7865918,-5.265569,-3.1062343,1.784315,-0.3835795,0.3462509,2.3643422,1.0114293,-1.5091537,15.705824,0.7402972,-0.36388838,-1.4338287,-0.08200137,-0.5629314,0.1459011,-0.16122623,0.4221233,0.096803844,-0.11184454,0.07944125,-0.3217525,0.40284616,-0.461448,-0.26861587,0.6291408,0.16797349,0.28419322,0.19712806,0.12269484,-0.08841829,-0.39542073,-0.12443778,0.13428451,-0.123465896,-0.20715831,-0.4100665,-0.18113711,0.076129004,-0.13933733,0.00879314,0.15294126,0.0132577475,0.056471735,0.050826624,0.050697006,-0.09316449,0.15391515,0.11099125,0.13083823,-0.0035344604,0.005463846,0.12589222,0.040129967,-0.008208837,0.075169496,-0.06596124,0.031064447,0.09574194,0.092905626
10,-1.6554842,3.0484943,1.698933,-0.7887198,-0.5615348,0.9003037,-0.45056075,-1.4590547,2.1491704,0.7402972,12.42346,-0.25549436,0.28801322,-0.8393184,0.28042102,0.12709722,-0.8537298,0.089489534,0.1003255,0.07603219,-0.3090815,0.055641964,-0.22173205,-0.24879882,0.07528131,0.1266048,0.2106838,-0.09695705,-0.1675806,0.28448135,0.019529963,-0.02626491,0.23507658,0.32530558,-0.006600017,0.39345983,-0.032502957,0.14264482,-0.099448204,0.035691295,-0.035814464,-0.0030573974,0.120212,-0.16688465,-0.10801409,0.24015251,0.14059702,-0.1319997,-0.07587927,0.14417838,-0.04372055,0.18511096,-0.13093166,0.101297185,0.15521158,-0.0073363967,0.00068596576,-0.17525974,0.16824728,-0.024364674
11,2.1934028,-4.9954653,-2.9244804,0.10667619,2.1743164,0.7993742,-0.38197887,1.1309326,0.79647946,-0.36388838,-0.25549436,11.485634,-0.21946022,0.97638136,-0.1511634,-0.7311456,-0.1521495,-0.24609771,0.39813474,-0.29999822,0.2875296,0.12394686,0.074995965,-0.52994347,-0.5043115,-0.21360224,0.16556352,0.0072862264,0.4003273,-0.24089378,0.13392544,0.04430882,0.14716902,0.031839266,0.0044458527,0.25738445,-0.21301512,-0.18858194,0.033104718,0.2009065,-0.13433543,0.037298877,0.23117524,-0.10007518,-0.101001784,-0.109073386,-0.19628268,0.058527865,-0.15270808,-0.022850007,-0.049431026,0.06417118,-0.21565619,-0.15510765,0.13029821,0.014411118,0.08825901,0.05249155,0.09723246,-0.08315053
