,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,319.41272,-33.087112,-43.061237,-15.474005,4.701317,21.804203,-7.566073,-5.280599,5.591179,1.2097056,-0.72144485,-13.653709,1.992623,-4.084235,-1.0000935,-0.70080477,-6.1686516,2.0998645,-6.6231503,-0.051921837,4.207772,-0.8851909,0.029533803,-1.9603381,-2.1833205,3.0354424,-0.21336535,2.0601301,-0.30124274,-1.4268115,-0.28327638,2.2571263,3.1677496,1.9262903,0.3162446,-0.97946733,-0.40530547,0.7100871,0.014487088,-0.65596867,1.002151,1.1122746,-0.94892097,1.0039128,0.35137144,-0.6328017,-0.14000134,0.5324651,0.9199008,-0.5284852,-0.67951983,-0.10764069,0.3953098,-0.35261863,-0.7812164,0.90907156,-0.7028446,-1.366659,0.19259088,0.28104532,-1.394925,0.37996265,-0.17565128,-0.4022841,-0.05832881,-0.045335647,0.64813364,-0.23936719,-0.3312628
1,-33.087112,85.20168,-45.083244,-9.992878,-6.997418,-5.9655476,2.462327,0.08922788,-0.270368,1.8813728,1.3821821,1.0426505,2.1056426,-4.0168285,-0.3972461,-0.81977123,0.12703468,2.2193425,1.3128434,0.8201803,1.4408423,-0.9867097,0.53441286,-1.5573223,-0.24917269,-0.14738165,-0.15835084,-0.65805376,0.8163531,0.26607418,0.35803032,0.6637504,-0.5754944,-0.38064343,-0.4980725,-0.43670684,0.520464,0.1651403,0.29419667,0.33186942,-0.17603737,-0.75252056,-0.03963317,0.0034446642,-0.26396683,-0.44162422,0.062474884,-0.47172502,-0.015195377,-0.08968653,0.06744825,0.06424547,0.25281915,0.13916248,-0.06795585,0.14447229,0.09473828,0.17586778,0.42894953,0.10622849,0.25114956,-0.09532527,0.043946963,0.31539327,0.0749217,0.05166672,-0.0549397,0.18110216,0.168528
2,-43.061237,-45.083244,47.507435,-2.044518,-8.820997,-5.0383444,5.356037,0.54382086,-5.169903,-0.49720582,3.0379071,-2.6554701,0.902542,3.462557,-0.83348715,1.8038565,2.644383,-2.0835986,0.823484,-0.8409749,-1.2168032,-0.83572334,0.77391535,-0.21778537,0.2515712,0.7095167,0.13537967,0.34211951,-0.09916541,0.3949144,-1.1373883,0.10841253,0.1599501,0.49952555,0.05205726,0.63502604,-0.41501957,-0.05177774,-0.21381783,-0.14994079,0.17549989,0.29553133,-0.4361156,-0.34219143,0.21104562,0.4464785,-0.0043115094,-0.22587389,-0.1627504,-0.018697437,0.33618528,-0.16657403,-0.18458122,0.30717576,0.09544435,-0.31435737,-0.016370233,-0.027060369,-0.3041263,-0.018815346,0.099383846,-0.22919658,-0.2194536,-0.012035461,0.06181452,0.0026458725,0.15539421,0.021828873,0.004084547
3,-15.474005,-9.992878,-2.044518,71.601204,-2.810169,6.4885526,-0.7453573,-0.18291879,6.879874,8.115093,-3.3621452,-1.5216769,2.0072565,-5.454238,-2.7419903,-1.046123,-1.3930953,1.8527291,0.9054595,1.565465,1.6297464,1.6351893,-1.098485,0.8220267,0.62285507,0.7069615,-0.5031847,-1.1013658,-0.85564137,0.23798442,1.4836079,-0.08912724,-0.009694554,-0.7119675,-0.67787814,-0.027300563,0.37337247,-0.64943326,0.3381937,0.26389748,-0.045802392,-0.6007717,0.36679554,-0.13519232,-0.28040332,0.47198015,0.0047675967,0.019700442,-0.54488885,-0.10715194,-0.6655248,0.039843306,0.27810082,-0.5224902,0.23902547,0.45191732,-0.025613034,0.062419225,0.6321837,0.0011386136,-0.09595045,-0.11063599,0.37430024,0.2820831,-0.21939391,0.06253801,-0.06195899,-0.10162247,-0.20853098
4,4.701317,-6.997418,-8.820997,-2.810169,50.614952,-0.4948992,2.8591132,3.598033,0.6252564,0.98469055,-0.85420763,0.3647899,-0.30593085,-0.56275284,-0.509462,0.73642844,1.354313,0.53157926,1.817311,0.27330828,-0.9598483,0.6080198,-1.9642212,0.8936283,1.1083935,0.6454706,0.40482154,-0.21959108,-0.49660498,0.2832825,0.62819636,0.22777534,-0.97576004,-0.40389904,-0.46100932,0.23193151,0.43005508,-1.0233405,-0.8635869,-0.4145828,0.05526457,0.0735682,0.298235,-0.19041789,0.14370678,-0.04581766,-0.08070734,0.20299484,-0.2044439,0.25902185,-0.055320896,-0.36778715,0.005869237,0.06665894,0.20889688,-0.035456717,0.29397807,0.365238,-0.12584542,-0.18531698,0.29408723,-0.08221136,0.090210296,0.28054565,-0.037895393,0.019676436,-0.48472106,-0.015475747,-0.12988436
5,21.804203,-5.9655476,-5.0383444,6.4885526,-0.4948992,38.606564,2.0394406,-1.5397277,-4.3620043,-0.091281995,2.6522608,6.597724,-0.5803836,0.9132694,1.912256,-1.9203404,1.8076735,1.1347266,3.6299624,0.5777897,-0.60689723,-2.0586019,0.6795076,-1.7806823,-0.25610405,-1.084658,-0.6550698,-0.1740149,0.93915415,0.026027955,0.22378772,-0.97749555,-0.7671081,0.26921993,0.14129995,0.49151558,-0.16435432,0.2258505,0.419992,-0.2772749,-0.0861775,-0.41920507,0.06432928,0.0039325785,-0.30679166,0.28000268,-0.51565593,-0.56404746,-0.42090932,0.16645744,-0.1668715,-0.046887778,0.17061529,-0.11665498,0.044149883,0.005544353,0.13138458,0.18933722,0.14946815,-0.16530845,0.14341113,-0.2512334,0.36156887,-0.072520025,-0.06648673,-0.07798046,0.12911154,0.10102028,0.11267994
6,-7.566073,2.462327,5.356037,-0.7453573,2.8591132,2.0394406,39.413437,-7.4986353,-0.21911713,2.2108397,0.38235372,-3.1065197,-1.8782319,0.81921923,1.0690393,-3.0101619,-0.94385433,-0.3556252,0.04905499,-0.5293483,1.3731601,-0.8820465,0.9894272,-1.9748659,0.6582358,1.0824878,0.66529953,-0.0992288,-0.41725194,0.5641601,0.8746029,0.41518676,0.6077618,-0.18461096,0.6386865,-0.496074,0.16371635,-0.47441167,-0.03033312,0.34272486,0.50208986,-0.24551073,0.0132543715,0.17051938,0.6421848,0.12953198,-0.464549,-0.37537897,0.54942966,0.044032015,-0.111903965,-0.00783962,-0.20558242,0.17678341,0.0997712,0.22670966,0.3322099,-0.3076405,0.04237987,-0.3744818,-0.02421285,0.028066784,0.00666672,-0.057635337,-0.021213295,0.28409272,-0.04314507,-0.26609626,-0.024252445
7,-5.280599,0.08922788,0.54382086,-0.18291879,3.598033,-1.5397277,-7.4986353,26.494051,-0.8890233,6.9228516,1.1482286,-2.3925667,-2.6859446,2.2710278,0.45592245,-3.7212172,-0.40323904,-0.9455785,2.5327332,-1.1777834,1.2607293,-1.0765977,1.0827962,-0.8502367,0.43224335,0.07572085,0.44782603,-0.19381145,0.9280408,-0.07584785,0.33938688,-0.44079944,0.3455996,0.5872667,0.53347015,-0.24874833,-0.30046105,-0.33365503,-0.13648641,0.11458519,0.41286433,-0.16869116,0.113945045,0.3001896,0.1516038,0.27087575,0.21181962,-0.19784774,0.326136,-0.15841687,-0.44422144,0.037389927,0.0001451727,-0.48515627,-0.20801547,-0.053261817,-0.054248773,-0.13683823,0.15780064,-0.18619385,-0.30004644,-0.18914099,0.08035162,-0.3388213,-0.00078629237,0.12710862,0.19766746,-0.107815094,0.16731721
8,5.591179,-0.270368,-5.169903,6.879874,0.6252564,-4.3620043,-0.21911713,-0.8890233,32.601448,-2.9654946,2.3775787,0.8326546,-0.48969966,2.474749,1.9854453,-0.30208045,1.4395492,-0.8861563,-0.07560155,-0.047256745,-1.2130356,-1.358989,0.9219301,-0.58200145,0.4481722,0.34009376,0.30885866,-0.35427463,-0.05517672,0.22962616,-0.514566,-0.26479352,0.083771184,0.39064634,0.3289654,-0.4475637,0.13488618,0.25083706,0.2083978,-0.3600061,-0.027754623,0.083210774,-0.050786152,0.2772884,0.108620316,0.029396413,-0.17963192,0.103206545,0.17640993,0.02180046,-0.05630922,-0.028670814,-0.09563166,0.051742677,0.20080703,-0.09652074,0.01601995,0.03649204,-0.28271443,-0.24803364,0.011255636,-0.23543666,-0.08969246,-0.24044082,0.024637394,0.14950868,0.036180682,-0.1581428,0.16428387
9,1.2097056,1.8813728,-0.49720582,8.115093,0.98469055,-0.091281995,2.2108397,6.9228516,-2.9654946,22.494398,0.86807376,0.12144671,1.2729377,0.7285764,3.0047088,1.1761742,-0.5385324,0.70585257,-2.750013,0.22609158,-0.7451606,-1.382096,-0.2917382,-1.7232324,-0.7483609,0.12587415,0.48866552,0.4399851,-0.8899547,0.33485785,-0.0038736574,0.60248005,-0.3016253,0.7782001,-0.005917798,-0.2798113,0.0895898,0.6750692,0.13810964,-0.27804148,-0.30549562,0.11504686,-0.28787208,0.22081502,-0.18056154,-0.56352997,-0.742625,0.13704231,-0.017154157,-0.14266826,-0.100164674,-0.029185764,-0.072750404,0.46135604,0.41423297,0.03908886,0.054910116,-0.1064208,-0.40420103,-0.0923939,0.00076030084,-0.18718024,-0.09638436,0.10241773,-0.023042185,-0.0733054,-0.17931287,0.01497961,-0.19278699
