,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,156.73357,25.354584,45.612724,9.096804,14.589713,39.76945,-26.12295,-1.7145021,-0.14552835,6.124056,10.036458,17.213142,-13.551348,1.7550719,-1.7824988,-1.8940632,3.5048234,1.1970618,-9.281717,-2.014356,-3.0853662,7.803404,-6.200987,-1.4704684,6.171647,7.2259254,-0.7882552,1.9445994,5.977198,-1.8772182,2.1792607,-2.7689185,7.9204807,1.0017555,-1.8244641,3.4931293,-3.9481964,-4.1982813,-3.2883658,-3.0771046,6.673342e-08
1,25.354584,108.93339,-5.442437,18.686531,-3.1740284,-10.010323,-31.752048,-0.33371803,-10.219145,15.749187,-14.555826,4.597623,2.067803,3.2751045,-0.2050882,-1.4891572,2.590794,6.772519,0.4777608,3.940734,-4.148934,0.42489326,2.2626247,1.1713656,-2.395937,2.2475915,-7.6772027,1.4753573,-7.518628,-0.56790566,0.95193034,-3.4749312,-2.6491375,-2.1010418,-3.916235,-1.8173031,-1.0954946,1.5207729,-1.7534895,0.18781143,2.1713433e-07
2,45.612724,-5.442437,98.45311,-6.653702,2.5545087,-23.832945,-2.9020557,-1.5758817,0.78895843,-4.5212173,-0.07749134,6.1170597,3.6137326,-13.807726,-1.4018471,-3.7543223,-0.9745484,3.8340232,-0.7298387,0.33239108,-3.5216117,-0.7285621,-0.5092168,-4.3756523,-1.7888937,2.982183,-0.021325067,-0.2587462,5.335438,4.8003273,3.6799073,4.0568385,0.4830261,0.19276413,-1.0546649,2.818145,-0.5835206,1.6499667,-0.8399667,-3.0406313,-2.381139e-07
3,9.096804,18.686531,-6.653702,86.641174,-4.0231714,-12.663906,-9.057821,-6.8064184,9.262445,2.3530397,8.868761,7.0224714,-5.9735484,7.7517304,0.41985643,-7.4628983,4.3056717,6.705636,5.8578053,-2.2504272,1.4017634,0.5892207,-4.7384443,0.7718627,1.2848866,-4.514064,2.494275,0.024674248,3.3189054,2.2598672,-2.9226432,1.8895266,0.31183818,3.137063,3.4744983,-2.0216684,-0.52994907,1.0809274,4.447913,0.045867186,-1.0635386e-09
4,14.589713,-3.1740284,2.5545087,-4.0231714,78.05767,4.522048,5.270151,-4.226468,-0.027430624,6.6673517,1.730048,-2.6281195,-1.6672275,2.6459427,-2.412434,-2.4937363,-1.9554465,9.466227,5.0561748,-3.023611,-1.063556,-8.598301,0.55556166,0.24769734,0.7014381,-1.932689,1.641922,2.8108506,1.0316172,2.3238392,-0.8665643,-3.3291955,-2.981433,-0.6188774,-2.6948614,1.873363,2.0191326,-5.9568567,-0.5154692,0.35526067,3.2634952e-07
5,39.76945,-10.010323,-23.832945,-12.663906,4.522048,49.58272,6.831031,4.075082,0.019642109,-0.49387744,2.354641,8.186193,-7.4502726,5.5812554,2.462802,-7.569972,1.4471934,-0.060632274,-3.2700465,3.3314095,5.7969346,4.010334,1.7298098,-2.6445296,0.46874332,-0.0069396184,-1.8047447,1.0069957,1.6181092,-2.7042165,0.064327866,-2.1162598,1.2687937,1.3113517,-1.1217806,-0.18314052,-2.6597633,-0.4256394,-2.288124,-1.6315925,1.334345e-07
6,-26.12295,-31.752048,-2.9020557,-9.057821,5.270151,6.831031,28.770163,-3.9765646,-4.180171,-2.8656795,2.0598123,4.9199123,-1.2092767,-3.730074,-0.07182449,-5.7023306,6.242277,1.9657552,2.000797,-1.7157559,-0.6668196,-3.6369257,2.3702571,-2.0092845,-5.128271,-1.1865733,-2.196835,-2.433081,2.6442654,-2.5234332,0.21466869,0.8013557,-1.1507015,-0.015913852,0.9468359,-1.5281398,0.27622682,1.2325665,1.620232,0.88588464,-4.263704e-08
7,-1.7145021,-0.33371803,-1.5758817,-6.8064184,-4.226468,4.075082,-3.9765646,40.911755,4.3997293,6.9132876,1.710166,0.65318096,-6.193198,-1.4581336,8.615242,3.8072271,-0.3404667,3.6987696,-7.3177857,2.226223,0.008730751,-3.114356,0.96465623,3.618956,-1.007484,-7.1211357,1.338301,-2.3308854,-0.40134707,3.8559031,2.5441465,-0.02863851,-0.23747788,-1.442527,0.94946045,1.514751,0.26421005,1.4079046,-0.25973383,-1.1547287,-7.619836e-08
8,-0.14552835,-10.219145,0.78895843,9.262445,-0.027430624,0.019642109,-4.180171,4.3997293,31.030197,-3.8328598,-6.6213546,-3.524723,3.1842856,0.17298383,-3.0688806,-1.6020877,-2.2762876,4.3854074,-0.14471903,-4.6486974,9.252972,1.0632098,-3.9424856,1.0922155,-4.54152,0.145179,2.8895574,-2.6033602,-2.2235909,0.568457,1.5484374,-1.9336007,2.5194664,0.34911105,1.2636693,1.8031996,-0.9826996,-1.0564406,-0.26387292,-1.2234352,-2.0470468e-07
9,6.124056,15.749187,-4.5212173,2.3530397,6.6673517,-0.49387744,-2.8656795,6.9132876,-3.8328598,31.99238,-0.3037775,-3.8073692,-6.361371,-5.19069,-2.5564358,-1.2435086,2.4317777,-6.507079,1.5194302,-2.4807162,4.8106337,-0.38969964,0.21786177,-0.50056756,-1.9243398,-0.42890888,-2.9981422,-0.6335362,2.9284863,1.9823992,0.6881308,1.717404,1.1731038,-2.3095753,1.029418,-1.2819436,2.600871,-0.9680791,-1.0738747,1.6189973,-1.9846559e-07
