,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,75.15879,-85.57515,0.3571965,-55.610336,-27.086245,-1.1469214,-4.31576,-0.65007865,-14.132656,-8.351276,20.601643,-10.269197,3.6166296,6.6116033,10.392683,-15.345846,9.170473,-0.34411073,-6.7359776,-12.639757,5.884181,-5.249448,-6.0419817,-4.8707485,5.091613,2.3727875,1.9578049,-2.098679,0.40817523,1.1758115,-0.78670055,-1.0682936,-2.6201167,1.3433708,-0.870298,0.33628446,1.341578,1.76345
1,-85.57515,201.98073,-76.01506,99.13588,15.458952,0.3770508,-25.700104,33.569763,27.694618,12.75946,-3.1035113,4.864521,8.558266,-22.309748,-1.0998836,8.918406,-15.072822,-12.052341,10.892196,11.389105,0.9511466,2.1893945,2.8023362,-1.1202371,-6.3910384,1.6835577,-5.035801,-1.2762351,-3.7557425,-3.0864983,-3.0527902,-0.99950135,0.8848735,1.7241302,1.9220393,-0.11313634,2.8176217,-1.1613514
2,0.3571965,-76.01506,92.49861,-23.973103,-5.5668745,4.961278,19.182068,-21.667337,6.074455,-2.1138244,-15.272768,14.470819,6.988041,16.540985,0.9166931,0.22554216,-5.826476,14.181583,-3.7385526,4.6468706,-9.104403,1.4083637,-8.326809,10.254168,0.11907524,-6.1134768,1.3394668,4.992318,-3.7829154,1.1124947,0.62189865,-0.007883545,1.2948456,-0.17985931,-3.6186836,1.2487247,-3.8666806,0.053567015
3,-55.610336,99.13588,-23.973103,75.31197,7.357295,-17.942417,-0.47180498,18.679659,4.4209642,14.261988,-3.9074516,-0.7801577,-1.2748191,-7.20477,-4.9937224,-1.5148633,-10.540058,-1.889008,8.137325,12.113109,1.7056522,2.2577608,1.073437,9.553383,-1.9528228,2.3987343,-1.9949292,-0.83088815,-0.9348125,3.5409791,1.1446015,1.710844,0.7417361,-0.728932,-0.46742034,-0.67295396,-2.5454242,-0.70427084
4,-27.086245,15.458952,-5.5668745,7.357295,30.305338,5.9551067,-4.465681,-8.433725,2.3574662,0.028293215,-8.109115,-3.040339,-9.127553,-3.522372,-6.4628773,13.60064,7.5477114,3.2984433,2.9978647,8.708107,-2.4950376,3.5480163,5.6150217,-2.5669475,-1.3789129,-4.016184,-0.17251983,-1.2659096,3.5471156,-2.2753549,2.1910384,1.8451507,1.4032838,-2.4685276,2.127469,2.5582457,0.016536903,-0.6882745
5,-1.1469214,0.3770508,4.961278,-17.942417,5.9551067,27.189465,-7.360223,-4.594212,9.429426,-0.699913,5.4469943,-2.864395,2.1242619,-1.4460661,1.9518383,8.959691,-5.422057,1.8471998,0.24784559,-3.3826385,-9.056923,-1.3551444,0.6453613,-7.960004,-1.4383175,-6.012845,-0.21146634,4.1107078,1.8021114,-4.360512,-1.6098547,-1.9934322,3.0096972,1.871204,-0.9720856,0.7941792,2.2695582,0.6506822
6,-4.31576,-25.700104,19.182068,-0.47180498,-4.465681,-7.360223,26.981049,-6.3309417,-6.287117,1.3663876,-11.551102,3.2367773,-8.401173,-0.3408035,-5.0366335,-2.4729962,-4.898656,-0.54226303,1.594095,-3.9033425,-3.3241205,0.54118276,4.260435,6.7080297,2.3157234,0.62634265,-0.13767375,2.453186,0.19863456,3.4258409,-0.6763154,0.28357425,-0.21603958,-1.0077597,-0.20425254,-3.922048,-2.1669593,-1.2127502
7,-0.65007865,33.569763,-21.667337,18.679659,-8.433725,-4.594212,-6.3309417,13.492261,0.57373095,2.6174133,7.4575996,-4.001281,2.4478912,-4.76621,2.0600953,-5.5886993,-3.415397,-3.7834775,2.0575778,-2.2648196,2.0524879,-2.1667366,-2.471204,0.81077754,0.23031214,2.1754189,-0.7603854,-0.36301893,-0.754971,1.8713534,-1.181201,0.54560876,0.15064742,1.7655499,-0.7414196,-0.0006317757,0.5663142,0.634372
8,-14.132656,27.694618,6.074455,4.4209642,2.3574662,9.429426,-6.287117,0.57373095,20.03733,-3.4231691,-5.6591153,6.9651604,6.8214283,-4.706457,4.356721,3.5715926,-2.603855,0.29116094,2.035117,1.0054924,-3.7025213,0.66345024,-3.9716058,0.7192476,-0.62419677,-4.80548,-1.9255977,0.5309288,-4.3603396,-1.9625416,-3.448619,-1.2094089,-0.3823411,-0.29942322,1.8625743,1.0024769,1.5669417,-0.66982126
9,-8.351276,12.75946,-2.1138244,14.261988,0.028293215,-0.699913,1.3663876,2.6174133,-3.4231691,10.814749,9.471214,-5.727724,0.64654803,4.975401,-2.7488544,-0.69761217,-8.095519,2.624187,0.89901006,5.3691263,-0.59879094,0.35412812,2.636471,1.1283243,-0.42755985,-0.25559884,0.7745917,0.34812763,1.4567755,-0.21868593,0.043834336,-0.9158019,-0.47914785,-2.134517,-1.4680138,-0.44279915,-1.1099771,-0.35130304
