,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,370.75647,30.92891,0.34618688,21.586094,10.492636,-0.07226923,1.0082997,-0.06553091,4.3969946,3.387783,-8.109756,3.7870607,-1.57065,-2.342145,-3.9277346,5.680765,-3.471424,-0.24484673,2.392332,4.609261,-2.3085327,1.7623913,2.3389316,1.5369228,-1.8022374,-0.4611702,-0.86053777,0.8930061,-0.28948432,-0.6678566,0.20147106,0.32722127,0.79717994,-0.3491613,0.24561849,0.19521213,-0.37637788,-0.5618434
1,30.92891,184.59335,29.356165,-34.390514,-4.7558794,-1.3334026,8.23382,-13.05268,-12.339113,-4.1121874,0.064584516,-1.7940515,-3.749401,8.604469,0.15548599,-3.3661363,5.3828344,3.576079,-4.2637835,-4.3477097,-0.55782735,-1.2749778,-0.7714696,-0.056805655,2.7404723,0.31663346,1.5089519,0.6817838,1.0976081,0.561208,1.0110757,0.23390105,-0.7671448,-0.26747382,-0.82898235,0.6596815,-0.84322345,0.64401746
2,0.34618688,29.356165,81.655334,7.560629,1.3610682,-1.1265965,-6.3445325,8.464624,-1.08201,0.3610716,6.2892394,-5.32235,-2.3355958,-6.304888,-0.21716529,-0.05675982,2.280057,-4.715253,1.5302408,-1.6026511,3.521697,-0.2540534,2.9454622,-3.50279,-0.20843539,1.722161,-0.26146293,-1.9321728,1.5780866,-0.07535589,-0.16356951,0.052283518,-0.28183466,-0.11893821,1.4332666,-0.802776,1.2657616,-0.09369154
3,21.586094,-34.390514,7.560629,59.76425,-4.146764,8.119333,1.7102201,-6.1303244,0.71674275,-6.105252,2.7693734,0.24828815,1.0872481,2.2566414,2.142807,0.5566212,4.1207595,1.7507772,-2.7476714,-4.3021326,-0.30281097,-0.30560115,-0.6558759,-2.9770746,0.4811527,-1.9823142,1.1352179,0.008202161,0.7038731,-0.65554243,-0.26607382,-0.44820237,0.1922131,-0.19040525,0.39057723,-0.5203198,0.6451155,0.049289756
4,10.492636,-4.7558794,1.3610682,-4.146764,53.793266,-1.5056337,2.4259267,3.4338498,0.25126308,-0.3700971,3.6592817,1.0437527,3.79247,1.1079848,2.5874977,-5.0460167,-2.7300205,-0.71261466,-0.9803769,-3.1286902,1.0616709,-1.1030118,-2.2070816,1.2134712,0.4588616,0.917856,0.1971176,0.2512198,-1.1636393,1.1412847,-0.73051035,-0.52158123,-0.27717683,0.66826415,-0.69237685,-1.37953,-0.10000986,0.04873786
5,-0.07226923,-1.3334026,-1.1265965,8.119333,-1.5056337,40.563103,1.9130422,1.3204386,-4.7466526,0.66374815,-2.7123437,1.1212393,-1.1544304,0.7537987,-0.90833366,-3.3211784,1.9128125,-1.2168643,-0.23192057,1.1694989,3.2028935,0.24223945,-0.10405167,2.6553316,0.6302826,2.8190918,-0.0952082,-1.3227913,-0.8441671,1.292342,0.5229316,0.61145043,-1.3772011,-0.43069786,0.24660148,0.13997003,-0.7107732,-0.0956082
6,1.0082997,8.23382,-6.3445325,1.7102201,2.4259267,1.9130422,29.634949,1.9399326,1.0222448,-0.065615445,3.555439,-1.1495638,2.7531073,0.37692022,1.6870072,0.91502154,1.6899332,-0.37721717,-0.7251903,1.3404638,1.0495701,-0.4797715,-1.4494097,-2.7425618,-0.7357535,0.35972935,-0.162783,-0.74966305,-0.2553324,-1.6265764,0.17486125,-0.22965264,-0.16560785,0.6274402,-0.019781576,1.8660251,0.9363517,0.60422885
7,-0.06553091,-13.05268,8.464624,-6.1303244,3.4338498,1.3204386,1.9399326,24.86816,-0.8973448,-0.7666423,-3.16186,1.4477909,-1.0425818,1.8235557,-0.82029533,2.0148177,1.1819422,1.1099588,-0.8963702,0.7980275,-0.8308915,0.6615198,1.067939,-0.56952894,0.049978487,-0.44309458,0.11970882,0.1874538,0.15877171,-0.91931826,0.389818,-0.2081024,-0.15321061,-0.56588036,0.22276828,0.20751566,-0.11777834,-0.18929055
8,4.3969946,-12.339113,-1.08201,0.71674275,0.25126308,-4.7466526,1.0222448,-0.8973448,18.041445,1.9379106,0.99618214,-2.5630755,-3.0933228,2.0874457,-1.8698611,-1.3597742,0.7918867,-0.9806635,-0.9838431,-0.5232723,1.132542,-0.6898595,1.7184048,-0.7636053,0.49958983,2.7178466,0.36408743,0.039263267,1.303211,0.15844905,1.1680162,0.30657983,-0.22778076,0.49111095,-0.85308206,0.27575642,-0.35212076,0.4205032
9,3.387783,-4.1121874,0.3610716,-6.105252,-0.3700971,0.66374815,-0.065615445,-0.7666423,1.9379106,22.007368,-3.1216044,2.0846279,-0.013549224,-1.966769,1.1184423,0.25603655,3.0461926,-0.6750939,-0.24899815,-1.9375085,0.3017014,0.0050250352,-1.062901,-0.26273692,0.109676465,-0.23676682,-0.194677,-0.23775011,-0.4484977,0.2666363,0.02409784,0.41490948,0.3261661,0.6501463,0.6102866,-0.06678851,0.34620255,0.037309613
10,-8.109756,0.064584516,6.2892394,2.7693734,3.6592817,-2.7123437,3.555439,-3.16186,0.99618214,-3.1216044,13.081422,5.3108425,-1.776176,-2.8906097,0.11576226,1.5009525,2.5383701,-1.2951585,0.35216364,0.39991176,-0.6622875,0.8338227,0.32741216,0.94755757,0.22324774,0.5787163,-0.85856074,0.15531579,-1.1349924,-0.24569814,0.5056102,0.12602414,-0.18880498,0.92941743,0.11767185,-0.14335774,-0.10021038,-0.16683212
11,3.7870607,-1.7940515,-5.32235,0.24828815,1.0437527,1.1212393,-1.1495638,1.4477909,-2.5630755,2.0846279,5.3108425,15.995198,-3.0228357,-1.3540771,0.8010914,-1.340364,0.5443237,1.1815125,1.5388,0.60192406,-0.8115095,-0.5845518,0.4855237,-0.5124985,1.5012443,-1.411593,0.17809325,-0.26957706,1.590205,0.57559943,0.22611484,0.07379683,0.07045375,-0.3335156,-0.65450394,0.24191089,-0.114021584,0.37823108
12,-1.57065,-3.749401,-2.3355958,1.0872481,3.79247,-1.1544304,2.7531073,-1.0425818,-3.0933228,-0.013549224,-1.776176,-3.0228357,15.126715,-2.3427806,-1.64281,0.73077476,1.772537,-0.35559198,1.5185337,-0.9828942,-1.0875374,0.046086952,1.8444772,0.29877025,0.9210305,-0.5054685,0.052711174,0.17601138,1.2672839,0.98558646,0.37888318,0.5149597,0.23233867,-0.19353724,-0.016887125,-0.3515662,-0.11025583,0.13444442
13,-2.342145,8.604469,-6.304888,2.2566414,1.1079848,0.7537987,0.37692022,1.8235557,2.0874457,-1.966769,-2.8906097,-1.3540771,-2.3427806,12.453353,1.8630791,-0.25880146,1.9813008,-1.1778996,1.9756925,-0.83164144,-0.94515395,-0.13458109,-0.027273756,-0.18778959,1.1515999,-1.0715175,-0.69747305,-0.17913017,0.016826723,0.4855764,-0.16387857,0.08000683,0.15619403,0.8374789,-0.13558452,-0.3946882,0.36222,0.12988216
