,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,587.945,-83.67513,28.476316,28.713394,10.547695,25.075657,-2.510625,14.333652,-37.148003,-1.8155646,-6.6379995,-23.680683,20.0043,-11.186617,0.7260431,-0.6193534,-8.551086,-17.400776,19.404446,-3.4301157,-0.81583595,6.3640714,-7.05748,-4.4625845,-2.843742,8.700586,-4.1554804,-2.9897819,-1.4504412,-1.8898156,0.89980173,-3.6327038,-8.074472,3.7273335,2.4605474,-1.9609373,-8.098684,2.9100332,0.28383696,3.911582,1.4937696,-5.1395226,3.3276405,-1.2630224,-2.1727252,3.8192115,-2.5908136,-4.8036942,-3.7269578,-1.9431267,-0.34220594,0.08284791,3.1603656,-1.6411389,1.9251026,1.2880366,-1.8504184,1.4361479,1.8457503,-1.753543,1.5298586
1,-83.67513,197.89223,8.523894,-12.730452,6.720128,2.237342,5.0314503,-8.910503,-6.209059,0.72337365,6.3775587,-10.982386,7.9117074,-6.5979123,2.3942256,2.197486,-7.7169013,-6.572093,7.076729,-4.237215,-1.5046489,0.8732606,0.31314713,-1.0036733,3.4338806,2.9247136,0.5295627,-1.9612086,-0.42520237,0.42981905,1.0277526,-0.82969546,-0.99695075,2.8375618,0.15140277,0.3078424,-2.5731478,-0.17314905,-2.2240481,0.43451238,-0.53673875,-1.6322694,0.6514702,2.4189568,-1.3017851,1.5531116,-1.3301723,0.5305742,0.538305,-0.59651816,-0.588146,-0.88242364,1.4890962,-0.5687301,-0.37184715,0.8430779,-0.27646887,-0.19399223,0.14961605,-1.094456,0.656326
2,28.476316,8.523894,151.4686,-3.144301,-12.7180605,-8.725627,0.93772054,2.147375,-7.656415,-11.719166,2.4235961,6.8857536,-2.901602,-0.96128845,-1.0133116,2.5437102,2.29826,4.5594788,-4.677882,4.026561,-0.827019,-3.0919025,1.4715325,-2.8718662,1.4807143,-0.41261134,-1.743067,-0.7323173,-0.1259765,-2.7993567,-1.3492726,1.7135259,-2.1816201,0.22236492,-1.4241667,0.8992692,-0.4487389,-1.3058679,-0.882476,-1.3067956,-0.7083872,-0.67600477,-0.27599072,1.8324788,-0.5333478,1.5089139,0.8481867,-0.021483734,0.8365449,0.9538332,0.40759274,-1.3502029,1.0586178,-0.7508271,0.8298186,-0.8506566,-0.2466598,0.3788793,-0.8851949,-1.2440538,-0.15095851
3,28.713394,-12.730452,-3.144301,62.593613,8.00292,-14.093859,17.173922,-6.577655,8.35935,1.2906744,3.263029,2.1164656,3.2658386,-14.384945,1.4280856,4.196685,2.5399032,-1.7778814,1.5172044,-0.8904113,2.6290348,-1.7589229,1.6514223,-1.0849112,0.9370784,-0.41987738,6.6757298,-0.38927403,3.804533,-1.4607061,2.1881144,-0.30302954,0.23958674,0.50682485,0.37105626,0.35829616,-1.2560667,0.47195953,0.55628645,-1.2593913,-0.44028696,0.8016962,0.16121157,2.0560045,0.12720078,1.1355456,0.23842636,1.8739643,1.4201145,0.47317675,-0.14186609,-0.006912658,0.4568929,-0.5726954,-0.1011748,0.57315326,0.22186893,-0.60962063,-0.81261986,0.2572791,-0.17782554
4,10.547695,6.720128,-12.7180605,8.00292,65.65396,-8.812657,-6.826352,-6.0476665,-2.0579357,-6.414137,2.819471,3.7885885,1.414484,8.819502,6.904158,1.8060923,1.8676448,2.8004816,-5.25786,2.1028996,-3.424153,2.1323924,2.019774,-2.869277,-3.3105726,1.1693606,3.4677236,1.706394,0.13288328,-3.2555013,0.28500664,-1.7980552,-0.709478,1.2745291,-0.4581452,-2.8072248,-1.7446191,-0.6044114,0.07248001,0.6012975,1.5395473,-2.0482504,-0.16100745,0.038951986,-0.63252974,0.64339983,-1.3053514,-0.41245645,-0.14065436,0.122673154,0.42246777,-0.8771101,1.5799026,0.1977377,-0.28484923,-0.33622867,-1.1112404,0.5506772,0.46494693,-0.9839077,0.062067043
5,25.075657,2.237342,-8.725627,-14.093859,-8.812657,46.104897,-1.6285732,-8.347822,-9.380184,-6.857855,-1.6046214,6.8180146,2.2609987,0.65146154,4.096604,3.5551968,8.314026,0.35494447,0.75663114,-6.1630006,-0.9746181,-0.60633284,-0.12501693,-2.4865353,2.4742615,-0.52835923,-0.42812133,-1.1626775,0.27391803,4.6506786,3.1307755,0.5300772,-0.81199837,0.43945235,-0.123005144,0.710421,0.30792415,0.0107352715,0.97091264,1.0683944,0.14659241,0.47445786,-0.76190966,-0.08268777,1.82218,1.8190446,-1.1943784,1.5386279,-0.4995845,-0.48518005,-0.14232835,1.4270556,0.391543,0.49025747,0.77377295,0.6408104,0.011468992,0.7728892,0.8658728,0.32731545,0.00051696436
6,-2.510625,5.0314503,0.93772054,17.173922,-6.826352,-1.6285732,47.27589,1.233002,0.54754496,-2.9849324,-6.647897,-3.400877,-0.3111447,1.8935294,-0.34266794,-3.6540892,2.4123573,0.38808227,-1.1250386,-1.2283099,-6.413109,2.4977338,0.2958809,1.4149656,4.058157,-3.5393858,-0.23572502,0.6273807,-1.1004128,-1.5522727,-0.1630883,-0.36161125,-1.0352769,1.3193603,0.449431,-1.551799,-0.8520886,-0.114805706,-2.1577597,0.33965766,0.6650828,0.34759533,0.8871169,0.33648956,1.6886401,-0.16705891,-0.85503876,0.99751604,0.74161077,0.025988195,-0.66473615,1.5944059,-1.1300182,0.7890656,-0.14219606,-0.25820756,-0.80936575,-0.17551824,0.47112498,-0.16715303,0.089214966
7,14.333652,-8.910503,2.147375,-6.577655,-6.0476665,-8.347822,1.233002,33.249672,0.4177299,2.0736723,5.72142,-7.9297647,-1.4532537,7.3536663,5.7517242,-3.867332,-4.351798,-2.124969,0.4881357,-2.2930024,1.9814777,2.4527383,-3.2900152,-0.61090815,1.0770589,-1.189048,3.728405,1.1616628,-1.2214327,-0.8978354,1.4375461,0.84741175,-0.5093362,-1.7473595,-0.22565603,0.38254166,1.5194206,-1.5353813,-0.37218583,-1.7439523,-2.5386312,0.09894997,-0.9016019,1.0128399,0.7341949,1.4581256,-0.36932963,0.65998816,-0.4279406,0.13293085,0.68867207,-0.7007752,-0.7900586,0.2896614,-0.58874154,-0.23789969,-0.116475664,0.49116763,0.32304454,-0.360586,-0.16866818
8,-37.148003,-6.209059,-7.656415,8.35935,-2.0579357,-9.380184,0.54754496,0.4177299,22.154062,1.5377998,-6.901943,1.9604161,-3.3021102,-0.0064558983,-1.2776884,4.825574,-1.1322191,-3.564795,0.5561639,2.5605373,0.8961276,1.097126,-1.1742003,-2.7696238,2.362708,-1.9758679,-0.27756315,-2.6355996,-1.8294568,0.9828516,0.18691844,1.5383439,0.33600822,-1.6650486,0.616606,-0.21045712,1.4467702,0.40608507,0.94980395,0.52795744,-1.0900986,-2.863276,-0.7061029,0.48890615,-0.59256876,0.67999685,0.2868008,0.8684263,-0.6574786,0.109354466,0.10102604,-0.073604934,1.0525608,0.31402928,0.9698635,-0.34548348,0.25459534,0.54653466,-0.6559888,-0.41177797,-0.6017635
9,-1.8155646,0.72337365,-11.719166,1.2906744,-6.414137,-6.857855,-2.9849324,2.0736723,1.5377998,13.139493,1.0165348,-2.3266413,3.2867856,0.6966331,-3.6938472,0.41184133,-3.9935508,-0.80836725,1.8674576,4.5238266,2.1082263,-1.2610593,2.5832393,1.2330663,-0.87861943,-1.1999456,-0.8056072,-1.3963729,1.6772374,0.89333975,1.104193,0.07279023,-0.81548417,-0.42223185,-0.35506123,0.3967979,-0.16231462,1.2232339,-1.0488284,-0.2004167,1.9627008,1.6017268,0.5597805,-0.005306078,1.2655543,1.7230201,0.57630754,-0.27372956,-0.116887115,0.239338,0.0016175797,-0.7432471,-0.4170596,-0.66961914,0.47204936,-0.34716254,-0.33577147,0.065192014,-0.5092603,-0.46431714,0.5376113
