,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,441.2289,-39.359978,0.5523147,0.30458587,24.96469,18.895897,13.108334,-0.7288426,-15.186996,-4.9278297,-3.3348346,-1.3665978,-5.452539,-0.64066947,10.38531,1.0645626,4.7918587,5.2716174,0.2927974,-0.034894817,0.7253095,-2.8210454,2.1581244,1.2004776,1.5487634,2.5559745,-4.3552794,3.5755415,-0.084880106,-1.7055819,0.36654323,1.9850252,-1.6753533,-2.305748,-1.2951676,1.6336951,-1.7598896,-2.1677167,-0.48739326,0.10600688,0.26729035,1.1276274,1.0224316,-1.3846085,1.7909794,-1.7070963,-1.4548248,-0.10231687,-0.473943,-0.88409126
1,-39.359978,231.66309,12.609598,1.8851454,8.1659355,17.77005,4.0005336,-4.4987826,-6.99616,0.806188,-3.0332675,-1.5810277,-3.1395054,2.2389617,4.0815043,1.6291142,-1.1501572,3.700597,-0.35173026,0.6555216,-0.23590708,-0.9981235,-1.2402825,1.8983643,0.58594,1.1153746,-0.14087978,2.0136728,-1.1633523,-0.81869364,0.40682703,1.3353525,-0.2391456,-0.8026887,-0.77064204,2.1072998,-1.28952,-0.79591715,-0.39144874,-0.12932886,-0.19246373,0.9590924,0.2081752,-1.0670359,0.6538876,-0.082534105,-0.61343205,0.52252734,-0.28671208,-0.29916143
2,0.5523147,12.609598,51.079292,-10.570761,12.0716505,-2.1875186,8.32006,10.436045,2.8497877,0.2578072,3.749948,2.1206038,2.887835,0.4572727,-4.063027,-2.0885146,3.0247498,-1.5723085,0.9679912,-1.1191924,1.9218668,-1.514698,1.6786188,-2.7876468,-0.2610891,-0.3854897,-1.0575068,-1.5408266,0.83657134,0.2545128,0.45190066,0.7031303,0.42793328,0.7139002,0.20404455,-0.6028454,0.79383045,-0.94254327,-0.61765784,-0.25328636,0.1078047,-0.9400602,0.8584919,-0.2995845,0.19103244,-0.38402438,0.062120482,0.07121937,-0.22984448,-0.025174694
3,0.30458587,1.8851454,-10.570761,53.909107,12.118509,3.6958385,-0.9664661,0.26659477,1.8484042,-8.074706,-0.011504145,2.7607524,2.9875417,1.8445908,-1.7313654,1.518672,0.04659976,1.5217232,0.6539581,-1.4056959,0.53726995,0.28721154,-1.9623948,-2.8584695,-0.6651081,0.93716204,3.1051023,-0.65355325,-0.32002443,1.7713587,1.1351366,0.082647674,0.60208905,0.40858293,1.3623793,1.0029535,-0.20884553,0.026271356,-0.47416955,-0.68763876,-0.0716412,-0.2748803,-0.37353784,0.28849518,0.2265195,0.45686018,-0.0760881,0.24102797,0.1264331,-0.0861191
4,24.96469,8.1659355,12.0716505,12.118509,38.256763,-5.0386314,-6.765059,-4.898687,2.4780567,5.5449705,-0.95686436,1.2116286,0.50321716,-4.668888,-4.344616,-3.7078395,0.06714699,2.9427986,-0.122056454,-0.10231125,0.832422,2.7707171,0.13728307,0.35413283,0.39292932,0.9342699,-0.03727802,-0.77339244,-1.0103656,-0.5048056,-1.2200913,1.1058373,0.18768093,1.0206867,0.33715463,-0.9879724,-0.01544621,-0.5175581,0.69439197,0.1168686,-0.37111503,-0.3941539,0.42499775,0.08832738,-0.048944116,0.06524411,-0.021920633,-0.1729713,0.0026648827,0.0146000525
5,18.895897,17.77005,-2.1875186,3.6958385,-5.0386314,12.029211,-2.5514338,3.2885897,1.0146103,-2.1199496,3.9830687,-1.866043,-1.7701566,-1.8508284,1.3900812,0.7622584,0.6919151,-1.551378,-0.073770896,0.73068684,-0.010519559,-0.77356756,-0.6709306,-1.1647081,0.9324503,-0.22560248,0.1712372,2.14469,0.42621738,1.4051602,1.1222234,0.52989256,-0.95506716,-0.4123431,0.24761099,0.5278528,-0.49326566,1.036797,-0.0843321,0.120914534,-0.276172,-0.07662231,-0.43782446,-1.0413227,0.3662399,-0.80100906,-0.49341708,-0.28043473,0.26796877,-0.38966703
6,13.108334,4.0005336,8.32006,-0.9664661,-6.765059,-2.5514338,30.911379,-7.2813344,3.7807388,-5.414273,-2.6795912,-1.7355835,0.20597261,-0.62088346,-0.6339762,-0.28681892,-1.6055701,-1.1126263,0.11130447,-0.19065422,-0.16505927,-0.30667537,-0.60554296,-0.13240835,-0.27923137,0.27655056,0.80886567,-1.0264788,0.2205689,0.75593406,0.75171846,-0.30079606,0.007835466,0.13937013,0.08264523,-0.17469947,-0.17188016,-0.04032617,0.07455489,0.15438676,0.24084927,0.06305586,0.14544033,0.5317433,0.023075465,0.12703562,0.18045336,0.09532035,0.13398454,0.10311549
7,-0.7288426,-4.4987826,10.436045,0.26659477,-4.898687,3.2885897,-7.2813344,20.949797,0.5514197,-5.348563,-2.9815178,-2.8872066,-1.2259035,-0.49165598,-0.8260741,0.64415437,-0.56235987,0.21043104,0.71066225,-0.6420016,0.79739654,-0.25736588,-0.05335822,-0.27755255,0.6942774,1.3801637,-0.801671,-0.17237836,0.7101245,0.30973285,-0.056204125,0.059365377,0.5461065,-0.033585787,0.23994169,0.5126369,-0.24946558,-0.25216419,-0.30525362,-0.3354233,0.33501875,0.12558345,-0.050505497,0.19717166,-0.054054283,0.01736172,-0.03222773,0.177461,-0.067809634,-0.07295307
8,-15.186996,-6.99616,2.8497877,1.8484042,2.4780567,1.0146103,3.7807388,0.5514197,23.70882,-0.04805752,0.26360613,1.12152,-2.5365376,-0.80771893,2.53192,0.99369305,2.5706787,3.1465507,0.51965034,-0.3574919,-0.37265295,1.0364192,-0.4907488,0.015227523,0.734107,0.33707264,-0.9185674,0.90438753,0.5573745,0.3515515,-0.91829085,-0.40123937,-0.5960525,-0.2959171,0.019323818,0.15040806,-0.20355132,0.46238914,0.34568375,0.2523623,-0.1804587,0.100456774,-0.4205369,-0.25356823,0.10888745,-0.36080244,0.070512906,-0.044215795,0.026479615,-0.13218556
9,-4.9278297,0.806188,0.2578072,-8.074706,5.5449705,-2.1199496,-5.414273,-5.348563,-0.04805752,10.62166,-1.8052826,1.0681317,1.6447773,-2.7130866,1.5768538,0.9210068,1.1441283,-0.114632875,-1.6414022,-2.2425814,0.04541227,-1.1538081,0.86691356,-1.2083908,-0.54682785,0.2628074,-0.11406195,-0.28061986,0.9781549,0.2126443,-0.03172725,0.5260689,0.013717322,-0.2763539,-0.21922879,0.16000873,0.00434033,0.5782978,0.15936834,0.11838958,-0.22497904,0.2721882,0.11956224,-0.17118053,-0.1504735,-0.39062357,0.2031877,0.05683186,0.22420469,0.1002543
