,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,877.0743,71.94902,80.0284,52.87854,-64.00517,-7.4674606,5.8870153,13.880289,-13.543535,2.5841055,1.3563955,-4.8812895,11.100552,4.1302404,2.4505486,-0.7534635,3.918055,-3.6872282,9.279703,0.5334837,0.4420907,-2.2350264,-0.7408034,-0.7244466
1,71.94902,120.17302,74.22919,-55.86824,9.293928,-37.591927,-1.485204,1.2436059,18.58181,-3.144751,7.607777,3.1133113,-8.576563,-2.2012618,-1.6736627,-3.424943,-3.1915398,-1.1155996,-5.5994506,0.5443401,-2.7736208,-0.07047099,-0.50437003,1.0729382
2,80.0284,74.22919,63.89907,-61.278236,0.18998514,-2.5724692,-4.971757,2.1294937,10.271303,2.6541653,3.4071856,-3.2982788,1.0276229,-1.4059534,-3.5190296,-2.3839874,-2.773475,0.63317305,-2.6373687,1.5257934,-0.4975918,0.9791671,0.12505367,0.38921547
3,52.87854,-55.86824,-61.278236,113.061745,-16.175236,-17.549944,3.3194256,-8.217141,-2.5367455,-14.211155,-4.6077366,6.248119,-3.8488235,-7.858123,0.64013326,1.801215,-0.06316245,-3.5103414,1.2901874,0.29469162,0.7239721,-0.56972206,-0.57023346,0.6189285
4,-64.00517,9.293928,0.18998514,-16.175236,29.837421,-9.872076,6.923018,4.2631216,5.762994,5.1694713,5.726451,3.8591409,3.3413286,3.6542163,1.3503089,2.5712924,1.1967466,-6.0959196,4.754888,1.3248224,1.5250682,-2.3916953,-0.85735214,0.34448555
5,-7.4674606,-37.591927,-2.5724692,-17.549944,-9.872076,36.9737,-5.211499,0.3280279,-7.5920057,6.0934696,-3.6975532,-7.3869104,8.96129,0.17659226,-2.060917,0.20054054,0.37175804,2.8841946,1.2085134,0.84071887,1.7472978,1.6784868,0.5960522,-0.80036193
6,5.8870153,-1.485204,-4.971757,3.3194256,6.923018,-5.211499,15.734195,0.867477,0.29703742,7.2225485,2.163814,2.9131851,-3.375513,-0.7837268,1.5660654,0.19783777,5.063074,-1.2993958,-0.27649367,1.9086025,0.008657763,-1.281624,-2.1633768,-2.2712336
7,13.880289,1.2436059,2.1294937,-8.217141,4.2631216,0.3280279,0.867477,3.6104393,-1.767417,2.2675233,0.72177935,-0.008455531,1.0673435,4.2038813,1.2470925,1.1388907,0.7155237,0.1778887,2.308062,-0.76179004,-0.094868876,-0.69718325,0.35657924,0.012493063
8,-13.543535,18.58181,10.271303,-2.5367455,5.762994,-7.5920057,0.29703742,-1.767417,15.327652,-4.9402237,-1.2192309,0.90474415,-1.620817,-3.760449,-4.39102,3.250817,-1.2536454,1.6455724,1.749327,2.7183104,0.23107901,0.7230009,-0.17356244,-0.33736005
9,2.5841055,-3.144751,2.6541653,-14.211155,5.1694713,6.0934696,7.2225485,2.2675233,-4.9402237,8.480559,2.2961788,-0.2115925,1.7551553,1.5134022,1.6266296,-1.1720109,2.6104429,-2.0252686,-0.11239574,0.6237105,0.6455002,-0.94144464,-0.97439307,-0.957731
10,1.3563955,7.607777,3.4071856,-4.6077366,5.726451,-3.6975532,2.163814,0.72177935,-1.2192309,2.2961788,3.2253213,1.0683339,0.6480917,0.4725756,1.7743831,-0.96818495,1.1738604,-2.5499601,-0.5602133,-0.14771368,0.006473968,-0.64019907,-0.7274333,0.029989809
11,-4.8812895,3.1133113,-3.2982788,6.248119,3.8591409,-7.3869104,2.9131851,-0.008455531,0.90474415,-0.2115925,1.0683339,1.9708179,-1.5798495,-0.06712628,0.7323127,0.056418173,0.45829648,-1.3282112,0.040384926,0.06478466,-0.1016921,-0.6231229,-0.36248803,0.009180635
12,11.100552,-8.576563,1.0276229,-3.8488235,3.3413286,8.96129,-3.375513,1.0673435,-1.620817,1.7551553,0.6480917,-1.5798495,6.634204,0.51374316,-0.66742694,0.33875644,-1.3183241,-3.003865,2.5082111,0.59018457,1.760153,-0.3028806,0.32810843,0.8384205
13,4.1302404,-2.2012618,-1.4059534,-7.858123,3.6542163,0.17659226,-0.7837268,4.2038813,-3.760449,1.5134022,0.4725756,-0.06712628,0.51374316,5.9554057,2.2450209,1.1390741,0.7511546,1.0473123,2.3219562,-1.8806784,-0.59787476,-0.68786705,0.69732094,0.1954568
14,2.4505486,-1.6736627,-3.5190296,0.64013326,1.3503089,-2.060917,1.5660654,1.2470925,-4.39102,1.6266296,1.7743831,0.7323127,-0.66742694,2.2450209,2.7085998,-0.7510489,1.6924725,-0.52654195,-0.5444872,-1.2921375,-0.65139794,-0.4971876,-0.34641853,-0.15859781
15,-0.7534635,-3.424943,-2.3839874,1.801215,2.5712924,0.20054054,0.19783777,1.1388907,3.250817,-1.1720109,-0.96818495,0.056418173,0.33875644,1.1390741,-0.7510489,2.3725643,0.26045668,1.3381553,2.443519,0.37017584,0.060568664,0.02545647,0.2561052,-0.21919349
16,3.918055,-3.1915398,-2.773475,-0.06316245,1.1967466,0.37175804,5.063074,0.7155237,-1.2536454,2.6104429,1.1738604,0.45829648,-1.3183241,0.7511546,1.6924725,0.26045668,3.17952,0.85652906,-0.34360608,-0.005677825,-0.6354283,-0.13775711,-0.963024,-1.2066758
17,-3.6872282,-1.1155996,0.63317305,-3.5103414,-6.0959196,2.8841946,-1.2993958,0.1778887,1.6455724,-2.0252686,-2.5499601,-1.3282112,-3.003865,1.0473123,-0.52654195,1.3381553,0.85652906,5.295698,-0.29980564,-0.62797344,-1.3770994,1.0710411,0.417342,-0.8434832
18,9.279703,-5.5994506,-2.6373687,1.2901874,4.754888,1.2085134,-0.27649367,2.308062,1.749327,-0.11239574,-0.5602133,0.040384926,2.5082111,2.3219562,-0.5444872,2.443519,-0.34360608,-0.29980564,3.7635818,0.308028,0.7319056,-0.5046886,0.48841894,0.24519488
19,0.5334837,0.5443401,1.5257934,0.29469162,1.3248224,0.84071887,1.9086025,-0.76179004,2.7183104,0.6237105,-0.14771368,0.06478466,0.59018457,-1.8806784,-1.2921375,0.37017584,-0.005677825,-0.62797344,0.308028,1.3153268,0.6059035,0.030691154,-0.3488567,-0.27675098
20,0.4420907,-2.7736208,-0.4975918,0.7239721,1.5250682,1.7472978,0.008657763,-0.094868876,0.23107901,0.6455002,0.006473968,-0.1016921,1.760153,-0.59787476,-0.65139794,0.060568664,-0.6354283,-1.3770994,0.7319056,0.6059035,0.77297634,-0.20667714,0.02511626,0.24660781
21,-2.2350264,-0.07047099,0.9791671,-0.56972206,-2.3916953,1.6784868,-1.281624,-0.69718325,0.7230009,-0.94144464,-0.64019907,-0.6231229,-0.3028806,-0.68786705,-0.4971876,0.02545647,-0.13775711,1.0710411,-0.5046886,0.030691154,-0.20667714,0.4723117,0.07499361,-0.10197757
22,-0.7408034,-0.50437003,0.12505367,-0.57023346,-0.85735214,0.5960522,-2.1633768,0.35657924,-0.17356244,-0.97439307,-0.7274333,-0.36248803,0.32810843,0.69732094,-0.34641853,0.2561052,-0.963024,0.417342,0.48841894,-0.3488567,0.02511626,0.07499361,0.5270199,0.38682306
23,-0.7244466,1.0729382,0.38921547,0.6189285,0.34448555,-0.80036193,-2.2712336,0.012493063,-0.33736005,-0.957731,0.029989809,0.009180635,0.8384205,0.1954568,-0.15859781,-0.21919349,-1.2066758,-0.8434832,0.24519488,-0.27675098,0.24660781,-0.10197757,0.38682306,0.62807566
