,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,89.89343,-43.925987,-48.915813,-32.38539,39.080147,4.4644537,-3.6120605,-8.48966,8.20746,-1.6033373,-0.7426995,2.970192,-6.819637,-2.5564947,-1.5020361,0.48179555,-2.3753185,2.2966807,-5.6219654,-0.3135618,-0.25062177,1.3889096,0.48092622,0.43659598
1,-43.925987,178.8477,-45.623283,34.694206,-5.3873253,22.48275,0.828712,-0.8509197,-10.011982,1.5581923,-7.188932,-1.8730903,6.430952,3.4140096,0.8261037,0.53893,2.055993,0.36080873,2.940957,-0.17069538,1.5749826,-0.21833031,0.22210854,-1.0513204
2,-48.915813,-45.623283,103.73813,37.55747,-0.015454142,1.494869,3.1387572,-1.2634487,-6.180616,-1.5614779,-2.4936798,1.984901,-0.40159076,1.0394747,2.114509,1.2207937,1.7501942,-0.4688394,1.6524065,-0.91705084,0.27560925,-0.61415124,-0.013512829,-0.304919
3,-32.38539,34.694206,37.55747,51.041107,9.781603,10.73599,-1.9755197,5.070695,0.9092936,8.801678,3.76373,-3.880878,1.9609517,4.0323563,-0.344291,-0.6145873,0.056835957,2.3065016,-0.49703428,-0.22950679,-0.35508168,0.4776494,0.46216503,-0.27251
4,39.080147,-5.3873253,-0.015454142,9.781603,45.40115,6.070157,-4.123497,-2.5576005,-3.8591313,-2.9559073,-2.9217935,-2.4883838,-2.2464535,-2.7966747,-0.8102412,-1.2248151,-0.65324026,3.8098702,-2.7261438,-0.8433662,-0.883101,1.5309954,0.6207833,-0.15818387
5,4.4644537,22.48275,1.494869,10.73599,6.070157,25.950645,3.0323026,-0.52496797,5.4141817,-4.1422415,0.87984204,4.4528613,-4.839429,0.85209155,1.1539762,-1.0953395,-0.08081199,-1.8724316,-0.9289656,-0.4457392,-1.0777289,-1.0745264,-0.41416997,0.15235564
6,-3.6120605,0.828712,3.1387572,-1.9755197,-4.123497,3.0323026,28.980124,-0.6011653,-0.04380096,-4.432664,-1.7333302,-1.7967011,2.3043394,0.5576917,-0.98821855,-0.37643668,-3.033317,0.72289205,0.19945568,-1.182352,-0.0273275,0.78327334,1.3401031,1.3050795
7,-8.48966,-0.8509197,-1.2634487,5.070695,-2.5576005,-0.52496797,-0.6011653,26.765184,1.3921543,-1.5655186,-0.88604915,-0.030120939,-0.41394266,-2.2728698,-0.8112489,-1.0219716,-0.36943728,-0.12535465,-1.4889272,0.486211,0.060448766,0.41822678,-0.25726217,-0.13786507
8,8.20746,-10.011982,-6.180616,0.9092936,-3.8591313,5.4141817,-0.04380096,1.3921543,14.094834,3.5494223,3.5383654,-0.5785129,-0.31151718,0.27384365,2.884932,-0.31726518,0.61778855,-0.6226027,-0.47707558,-1.8184316,0.021881394,-0.20312941,0.2970239,0.6919824
9,-1.6033373,1.5581923,-1.5614779,8.801678,-2.9559073,-4.1422415,-4.432664,-1.5655186,3.5494223,18.014256,-2.4750342,0.14369082,-0.5205069,-0.2790809,-1.0738175,-0.026773917,-1.5254778,1.0947852,-0.07516326,-0.35848215,-0.4246434,0.5258446,0.535181,0.3687232
10,-0.7426995,-7.188932,-2.4936798,3.76373,-2.9217935,0.87984204,-1.7333302,-0.88604915,3.5383654,-2.4750342,15.899004,-0.4761371,1.7900051,3.574572,-1.4249244,-2.4184618,-0.568579,0.961331,-0.64342344,0.4100424,-0.25442976,-0.024054555,0.13470638,-0.83042574
11,2.970192,-1.8730903,1.984901,-3.880878,-2.4883838,4.4528613,-1.7967011,-0.030120939,-0.5785129,0.14369082,-0.4761371,16.73352,0.8724912,-0.010593302,-0.44382364,0.08399943,-0.252298,0.8778243,-0.037308417,-0.033283707,0.08901181,0.38255408,0.22307755,0.0028271675
12,-6.819637,6.430952,-0.40159076,1.9609517,-2.2464535,-4.839429,2.3043394,-0.41394266,-0.31151718,-0.5205069,1.7900051,0.8724912,12.449877,-2.1668868,0.5668472,1.1694145,0.76049006,2.0643606,-1.0261364,-0.50664985,-0.97742605,0.39073664,-0.008113497,-0.1431237
13,-2.5564947,3.4140096,1.0394747,4.0323563,-2.7966747,0.85209155,0.5576917,-2.2728698,0.27384365,-0.2790809,3.574572,-0.010593302,-2.1668868,6.7971606,-1.0882124,1.7084997,-0.6325122,-0.1119895,-0.7796807,0.9791677,0.55619013,0.7375251,-0.2534623,0.527554
14,-1.5020361,0.8261037,2.114509,-0.344291,-0.8102412,1.1539762,-0.98821855,-0.8112489,2.884932,-1.0738175,-1.4249244,-0.44382364,0.5668472,-1.0882124,10.357441,0.24197534,-1.0218937,0.28206003,0.24616009,0.81197655,0.38633054,0.26827186,0.18035176,0.03785867
15,0.48179555,0.53893,1.2207937,-0.6145873,-1.2248151,-1.0953395,-0.37643668,-1.0219716,-0.31726518,-0.026773917,-2.4184618,0.08399943,1.1694145,1.7084997,0.24197534,6.1716514,-0.064170696,-1.1637087,-2.0742524,-0.037842166,-0.1734977,-0.25614098,-0.34972912,-0.3894359
16,-2.3753185,2.055993,1.7501942,0.056835957,-0.65324026,-0.08081199,-3.033317,-0.36943728,0.61778855,-1.5254778,-0.568579,-0.252298,0.76049006,-0.6325122,-1.0218937,-0.064170696,6.6805944,-0.5269717,0.28862303,-0.0059768492,0.3821704,0.106450185,0.61722904,0.7810216
17,2.2966807,0.36080873,-0.4688394,2.3065016,3.8098702,-1.8724316,0.72289205,-0.12535465,-0.6226027,1.0947852,0.961331,0.8778243,2.0643606,-0.1119895,0.28206003,-1.1637087,-0.5269717,4.3206806,0.043062158,0.4351107,0.79784954,-0.71415234,-0.29448792,0.43518448
18,-5.6219654,2.940957,1.6524065,-0.49703428,-2.7261438,-0.9289656,0.19945568,-1.4889272,-0.47707558,-0.07516326,-0.64342344,-0.037308417,-1.0261364,-0.7796807,0.24616009,-2.0742524,0.28862303,0.043062158,3.339511,-0.14765367,-0.5064425,0.22886886,-0.35067448,-0.3239678
19,-0.3135618,-0.17069538,-0.91705084,-0.22950679,-0.8433662,-0.4457392,-1.182352,0.486211,-1.8184316,-0.35848215,0.4100424,-0.033283707,-0.50664985,0.9791677,0.81197655,-0.037842166,-0.0059768492,0.4351107,-0.14765367,4.3920684,-0.34946156,0.008824904,0.2288536,0.21830371
20,-0.25062177,1.5749826,0.27560925,-0.35508168,-0.883101,-1.0777289,-0.0273275,0.060448766,0.021881394,-0.4246434,-0.25442976,0.08901181,-0.97742605,0.55619013,0.38633054,-0.1734977,0.3821704,0.79784954,-0.5064425,-0.34946156,4.2997193,0.09912601,-0.033424642,-0.17673787
21,1.3889096,-0.21833031,-0.61415124,0.4776494,1.5309954,-1.0745264,0.78327334,0.41822678,-0.20312941,0.5258446,-0.024054555,0.38255408,0.39073664,0.7375251,0.26827186,-0.25614098,0.106450185,-0.71415234,0.22886886,0.008824904,0.09912601,3.6011593,-0.0633107,-0.0017759535
22,0.48092622,0.22210854,-0.013512829,0.46216503,0.6207833,-0.41416997,1.3401031,-0.25726217,0.2970239,0.535181,0.13470638,0.22307755,-0.008113497,-0.2534623,0.18035176,-0.34972912,0.61722904,-0.29448792,-0.35067448,0.2288536,-0.033424642,-0.0633107,3.1054902,-0.29724374
23,0.43659598,-1.0513204,-0.304919,-0.27251,-0.15818387,0.15235564,1.3050795,-0.13786507,0.6919824,0.3687232,-0.83042574,0.0028271675,-0.1431237,0.527554,0.03785867,-0.3894359,0.7810216,0.43518448,-0.3239678,0.21830371,-0.17673787,-0.0017759535,-0.29724374,2.2631462
