,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,194.62823,-32.454285,37.0336,14.81675,3.0775123,0.4043305,0.59069467,11.316394,17.829763,6.777584,12.544411,-6.485871,17.264908,-1.6715488,-0.41515893,-1.5720482,-9.731245,-3.6486926,6.649322,8.231432,-6.037381,-2.1308475,-0.6387506,10.344633,-3.3141904,-1.8269815,-4.6790123,-0.31617272,-1.729459,-1.876367,4.0691395,-2.4223032,-0.3350275,2.7298326,1.4191684,-1.5362761,0.2933014,0.16817302,2.7765703,0.15440312,-1.3610718,-1.5760493,-3.8766203,-0.9095824,-2.1390052,-1.6160936,-0.33822197,-0.019181453,2.1115308,0.69900274,-0.80051804
1,-32.454285,146.23482,-12.277839,-18.878647,-5.610369,-23.662523,-3.975687,3.9416778,-4.7559605,-8.704035,8.607827,1.295326,6.0263047,9.490385,2.9652119,4.954439,1.4076283,-2.0500503,-2.3218212,-1.230691,0.8172135,0.50055224,-1.3589997,2.0074058,-2.1496673,0.34558466,-3.104863,-0.86473024,0.8319894,0.5568326,3.2574131,1.4238312,0.026005954,-1.0380161,1.1602958,-0.021424055,-1.3454739,-0.21394989,-1.9418242,0.3817572,-1.2758327,-1.0674931,-0.77862453,0.5398798,-0.3127272,-0.298018,0.6534345,-1.0293858,1.4471474,0.25578344,0.29759765
2,37.0336,-12.277839,68.53798,15.199783,-0.6246588,-1.7227349,0.06907166,-5.46705,0.35266685,3.6437898,-1.3504318,5.487868,-3.464856,7.1488447,-0.6274786,-1.0660477,-4.3879995,-1.864259,-3.702509,-3.5766878,-0.97777474,1.8011413,-0.6124578,3.870249,-0.8987712,-0.775339,0.20026463,2.4085994,-0.44520465,4.101506,1.8505738,-1.2892959,1.0308168,0.8982207,-1.2113774,-0.6860932,-2.8192658,-0.77058315,-0.68184394,0.043914333,-1.0758314,-1.620873,-0.44103223,0.9943342,2.1605182,0.31626737,-0.20531225,-0.6423086,0.6039174,-0.3506025,-1.2833347
3,14.81675,-18.878647,15.199783,87.75254,5.9494715,-10.569649,3.0331793,-2.5348492,3.2261643,-1.2026052,0.67878777,1.5660945,2.4434996,2.9390254,-1.5407765,-0.69806015,1.5075488,-1.2513423,1.6448545,-3.322456,4.472665,1.1033509,-2.0489993,-3.664135,1.2913893,1.4638045,-3.72612,3.250371,1.6281478,-1.7726059,-0.5997676,-0.09465231,-0.40244436,-0.98067796,1.8336043,1.8847725,1.713009,-0.21635166,-2.7007294,1.097904,0.85286176,0.22622669,-1.3424549,-0.17747298,0.24077237,-0.35285634,-0.9667696,-1.668863,0.3983568,0.1303257,-0.62016094
4,3.0775123,-5.610369,-0.6246588,5.9494715,75.086876,6.914318,12.11157,-2.791797,-3.8772082,-4.9703817,2.5639567,-3.6825256,4.0684285,-2.0864415,2.2061982,2.2008872,-0.30318245,-2.4081717,-2.6485436,-0.20157331,-2.2407231,0.05503442,-1.4944204,1.6254747,-2.4826417,2.3495598,0.3614083,-2.1112168,2.861824,2.6469395,0.62606215,3.0016494,0.9536586,-0.25758326,0.043016016,0.9574783,-0.45329922,-0.33251673,0.1163586,-1.6131551,0.18134102,1.263342,0.71667206,0.45937937,-0.80426854,-0.8337589,-0.96778345,-0.025611069,0.9836155,0.21983318,-0.24149327
5,0.4043305,-23.662523,-1.7227349,-10.569649,6.914318,38.534725,1.2503369,4.9160347,-7.103854,1.354291,1.9807589,2.4467027,-2.7989058,6.3149896,-0.07396628,3.607132,1.2770844,1.5761561,-0.8730588,0.73770905,-0.25913972,1.5063438,-1.1134708,-0.23330344,0.6841006,-0.7666645,-1.4159553,-1.0879159,0.86099154,-0.5722666,0.62543374,0.18716055,1.3464458,0.11332974,0.48866606,-1.6356382,0.60378206,0.23179084,-0.9446497,0.52696306,-0.05305381,0.4274525,-0.55906856,-1.5247536,-0.061288256,0.28461823,1.1249809,0.12681444,-0.35751334,0.1854502,0.028322678
6,0.59069467,-3.975687,0.06907166,3.0331793,12.11157,1.2503369,29.46299,2.7853036,3.510788,-8.164015,2.958313,1.316361,-1.1429613,0.8008361,-1.150698,2.1934137,0.88195443,-0.5594529,2.2060447,-1.8946064,0.57026565,2.214322,-0.30584762,1.4457014,-2.002454,-0.76397824,1.0751405,-0.10153566,-1.3654616,-1.7080154,-1.920417,-0.94643,-0.9925604,-0.2836174,-1.0858922,-0.93700075,-1.1252551,0.09701233,-0.22564334,1.1149976,0.47792155,-0.6167735,-0.27318093,0.88347614,-0.1772613,0.5828409,-0.5530088,1.1232655,-0.83944255,-0.09129126,0.80377483
7,11.316394,3.9416778,-5.46705,-2.5348492,-2.791797,4.9160347,2.7853036,19.21986,-0.47150636,-0.105152726,2.0749764,-2.8515334,-1.1623868,-2.598418,4.4900856,-1.2826796,-2.9986877,0.75575507,-0.35746425,-1.0940845,-2.216879,1.9259849,-2.2655482,1.7109361,1.1326917,-0.41702014,0.26096576,-0.7254126,-0.19877987,0.09450795,-0.72538257,0.9682214,-1.4856932,-1.4475172,-0.122991905,-1.1412144,0.12199722,1.3288856,-0.46689445,0.10868225,-0.23972389,-0.590119,-0.8686763,-0.36579016,-0.07074553,-0.18636772,0.11711654,-0.49117237,-0.3427139,1.0783465,-0.3290447
8,17.829763,-4.7559605,0.35266685,3.2261643,-3.8772082,-7.103854,3.510788,-0.47150636,26.199408,-2.7710314,-2.7066612,-1.4361558,-1.1743977,-0.26194906,2.9869483,-0.36815137,-0.42853326,2.1927752,1.7871103,-0.11562154,-0.07440573,0.73644316,2.0300863,0.8232813,0.16943818,0.8635856,-1.7147495,-1.2608792,-0.4562307,0.4340879,0.6085801,0.28664875,-1.0642595,0.05551559,1.2203691,-1.3423953,-0.5511431,-1.2695119,0.19481204,0.38279063,0.54921937,0.44546318,0.8236619,-0.37567562,-0.18932569,0.41022575,0.035416797,-0.062002182,0.14869615,-0.22067356,0.78906286
9,6.777584,-8.704035,3.6437898,-1.2026052,-4.9703817,1.354291,-8.164015,-0.105152726,-2.7710314,22.372108,0.30211478,-2.5101182,2.122817,-0.72393703,2.2304254,3.048368,2.5334115,0.78357077,0.2924788,-0.53294915,-0.5657197,1.3607109,0.05675512,-1.0219448,-1.9326363,-1.562283,0.49563625,-0.9061593,-1.0314717,1.1459048,0.08685682,0.65521634,-1.1095436,1.3048108,0.82622784,0.22949883,0.71692026,-0.76623976,0.10613197,-0.336084,0.019370425,-0.6989069,-0.11575983,1.069716,-0.08952303,0.13783363,0.07220583,-0.9297898,-0.54558873,-0.00414263,0.32034236
