,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,12.821989,-1.6865294,14.144372,6.398196,7.604499,1.7877941,-5.119535,5.49047,0.44585073,-0.9309872,2.0021024,-2.5877504,-2.5536726,-1.464596,-0.9672942,0.47474298,1.068231,1.5579396,-2.1072116,1.5165198,-0.81061625,0.80488515,2.9015841,-0.6475766,2.3576078,-0.08007638,1.9780469,1.2688882,-2.9040968,-0.0069004856,-0.8855483,-0.7458526,0.07462615,0.31393385,-1.8085992,0.41138846,0.22430459,1.0808995,-1.1629282,-0.4430816,0.7070726,0.86732423,1.4142147,1.0693125,-1.1390681,-0.34354192,-0.64661336,-0.47871622,1.2854875,0.0322732,-0.6695242,-0.24956612,0.6384711,-0.24653621,0.47517988,0.31369784
1,-1.6865294,234.88724,-15.7897415,-0.53534794,-13.697028,-2.1764116,5.0371804,9.596251,1.3080592,-2.3750782,14.638779,-9.753994,12.835997,2.5177782,1.4078915,1.8374434,-1.482139,-1.358573,-6.8371005,-1.2800572,-4.4332795,3.9894755,3.4913774,1.276624,-1.2179039,-2.5911508,3.1058502,-1.6101954,0.1442368,5.327907,-1.18203,-1.8529018,-1.1991117,1.4175346,-0.5254762,0.33786774,-0.66439337,0.16697228,1.0545907,0.07563487,-1.8495834,-0.2484822,1.0832901,0.18873401,1.6965436,-0.825757,-0.27242097,0.04485606,0.41939998,-0.06780193,0.7577821,0.7136066,0.19482422,-0.15887642,-0.50371206,0.19759223
2,14.144372,-15.7897415,82.89495,-6.37166,13.98736,-10.664298,-6.3317347,12.063141,1.8601967,-2.554327,2.4619145,-4.5085063,-2.9793727,2.0050807,-1.4867392,4.445041,1.094077,2.9409637,-4.207348,-2.0155764,3.4393258,0.4949637,1.3711374,-0.38271427,-1.7599905,-4.461609,0.71671134,-0.001925928,-1.5884588,3.310583,0.9865874,-2.094112,0.6414659,-0.28410897,1.6686401,0.6772193,1.6443499,-0.5000691,-0.59124184,1.4030865,-0.9761041,-0.63647425,0.1479834,-0.08022918,1.8360391,0.17722577,0.65930426,0.010320514,1.434467,0.8925248,-0.717751,0.14693597,1.0627275,0.6566559,-1.075573,-0.50734425
3,6.398196,-0.53534794,-6.37166,63.7262,8.086706,14.982682,-2.9665818,2.6920323,0.050314058,5.973355,2.8651688,-4.3386955,-4.7181034,-3.1277888,-5.287462,2.9499316,-9.69688,1.7298996,1.6183845,-0.89443016,-0.8542429,1.2444377,-0.8761313,-0.93708,-1.3919698,0.8027882,1.1285145,-1.8614159,-1.1238319,2.596407,0.20861346,-3.1247573,-1.1823785,-0.12123409,1.271353,-1.6875436,-0.1292305,2.6168513,-0.37283167,1.9286017,2.3993826,1.1560903,0.9870368,-0.8697953,-1.143961,0.6224607,-0.29386878,1.4864893,0.6774609,1.1804593,-0.10174829,-1.7160451,-0.4562134,-0.14183876,-0.13510814,-0.29044843
4,7.604499,-13.697028,13.98736,8.086706,28.899488,7.9035635,4.721999,1.010155,1.6529584,0.96509516,-1.9406983,4.5325737,9.059462,-4.4711356,3.716054,1.0407822,-3.3340287,4.524933,-4.4194717,-1.8684254,2.3074431,-2.0308776,3.4822392,0.07945472,0.57826144,-1.1213708,0.7850224,0.76761943,-2.664118,0.7661554,0.48436725,0.32680237,-1.5806906,-0.28528982,0.33138907,-1.4341879,-2.3306286,-0.4411884,-0.5379717,-1.3616242,0.35567862,1.340341,0.40830487,1.5834234,-0.32028443,-0.1226379,0.507598,0.25134325,0.15086994,-0.74646854,-1.0083293,-0.5763769,0.6049442,-0.5477729,-0.14669883,-0.00761263
5,1.7877941,-2.1764116,-10.664298,14.982682,7.9035635,41.414356,-3.9479818,8.379602,1.3306173,-2.1344953,-1.5431046,0.61869967,1.8640155,2.9031215,-3.2815516,-3.4865701,3.2705302,3.8580894,-0.9277184,-2.439893,-1.0165254,-0.20330814,1.9109918,2.6337404,-0.94124925,-0.2201697,-1.443627,0.037506618,0.51444733,-0.44585806,1.5120429,2.359226,-0.26011536,0.038734943,0.22211698,0.025260434,-0.038358234,0.10264484,-0.19912262,-0.50265634,-0.5007404,-1.0074422,-0.663942,0.020422015,0.2856602,1.5617532,-0.14551014,-1.384374,-0.34208047,0.045602564,-0.37325972,1.0481884,0.016112305,-0.04658067,0.17266469,-0.06924094
6,-5.119535,5.0371804,-6.3317347,-2.9665818,4.721999,-3.9479818,24.395023,-9.823686,-0.260291,-5.015085,0.29081756,1.9692175,0.48727357,-1.4201441,-2.2486217,0.37699276,-0.36303073,2.5332012,-0.69695336,0.46841902,1.3883662,0.75817615,3.7182038,1.8768704,-3.9126472,-0.6019576,1.2205182,-2.059956,0.43314585,-0.59284115,2.1704836,2.0703368,1.1943531,1.7673614,1.7906123,-1.0637083,-0.56898946,-0.08225274,-0.4051958,-0.42433482,0.32683516,1.0870636,0.15037566,0.45982355,0.9887395,-0.39973408,0.3320294,0.5637602,-0.12147349,0.40179753,-0.48595393,-0.96827495,0.59381443,0.58673656,-0.022802917,0.010103868
7,5.49047,9.596251,12.063141,2.6920323,1.010155,8.379602,-9.823686,21.793583,-3.8746328,-2.4767008,0.41209942,0.69412136,1.1953332,-4.620941,-1.6396663,-1.0761061,2.8406165,-6.5184736,0.35836685,-2.027575,-0.22348528,0.699004,0.2294389,0.3689139,1.8385797,-0.5737178,0.5076693,0.030717403,-0.89591944,-1.0847278,1.0557353,-0.20979393,0.42085093,0.42428094,0.21030682,-0.6432642,1.3267998,0.19903809,1.1941522,0.23191243,-0.91411036,0.065689184,-0.6669674,0.526034,0.42665544,-0.27882874,-1.2196093,0.3827753,0.113246515,-0.51744807,0.049201436,-0.62977403,-0.37643105,0.56930125,-0.24251929,0.29029915
8,0.44585073,1.3080592,1.8601967,0.050314058,1.6529584,1.3306173,-0.260291,-3.8746328,32.431618,-2.478785,5.693838,2.2799063,0.7573693,0.5724211,0.90842503,-0.5241397,-0.68772733,1.2177262,4.2275057,-2.7779238,3.2111244,2.2720938,0.09797673,1.7250879,3.1902165,0.60145783,-0.10168101,-1.1485968,0.79946816,-0.5884428,-0.3155364,-0.5089489,0.12341295,-0.2352185,0.21074983,0.875088,-1.0634809,-0.11326744,-0.09181419,1.2580752,-0.16344234,-0.44157913,0.52341104,0.10582477,0.15091977,-0.3131252,0.29444948,-0.59397256,0.36700082,0.48712397,0.017824411,0.01025923,-0.2870648,-0.063530296,0.18628559,-0.209409
9,-0.9309872,-2.3750782,-2.554327,5.973355,0.96509516,-2.1344953,-5.015085,-2.4767008,-2.478785,14.759712,-5.1646233,-6.1672425,3.5642939,0.8629079,0.04256863,-0.8026528,-0.5355201,0.1883884,1.7376057,-0.66777635,2.3946795,-0.24339852,-1.8642737,-0.77380526,-1.6264311,2.6182842,-0.057028845,-1.1966822,-0.9775746,2.3260653,-0.8685523,-0.09324531,0.12348209,-1.4361334,-0.4742257,0.25204766,-1.5853579,-1.0036131,-1.1641607,0.20984355,-0.9583695,-0.18363342,0.12285626,0.59771425,-0.054044228,-1.1573346,0.19843087,-0.29123956,-0.36085495,-0.19613951,0.69261575,-0.59949684,-0.462111,-0.068085216,-0.6224327,0.33832145
