,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,386.0926,18.964352,5.5201373,-15.512264,-0.83969367,-1.1140127,-18.699512,-3.584145,-15.299055,6.539486,12.723667,-0.63324016,0.08887001,2.0218546,12.750395,7.399082,7.0326033,2.8797567,4.9822807,9.608471,-5.4942274,-1.7466998,-1.2891078,-2.5382419,-3.249268,1.3352984,0.11834616,1.0301545,-0.24817897,4.0860977,1.9790514,0.8362477,-0.21384838,-3.1329117,-0.4700668,1.4391847,0.37846905,0.8165945,3.6636639,0.7269485,1.6991596,0.30738223,-0.46206015,0.5945296,-0.9990841,-0.97023034,0.44867024,0.37238538,4.6111955e-07
1,18.964352,262.86627,12.578001,-10.488436,-4.2138886,6.969618,3.498091,16.552052,10.795832,1.8666131,-7.3571987,1.4785525,3.6306326,0.6132185,0.14439297,-7.1033616,-1.3857563,1.5744634,1.0004013,-1.7334375,2.7839499,0.6024436,-2.257221,-1.5558591,1.4255843,-1.1147432,3.0865824,2.9883962,0.083077535,-0.69782054,0.9043954,0.6323355,-0.67344034,-0.29519507,-0.08541566,-0.17737544,-0.5174317,-0.9243126,-2.4130068,0.17403668,-0.101902835,-0.1351644,0.16893929,0.13506415,0.27886182,-0.44821623,0.965862,0.266738,-8.304015e-08
2,5.5201373,12.578001,82.34987,15.89432,-1.9908079,7.795336,-0.7002668,-5.056266,-6.824004,7.1058903,0.1547516,15.467171,3.7796898,-0.6032529,0.026370106,1.6536243,-1.9969862,1.3455243,-3.5944252,6.2838154,-1.2133642,-3.8856382,-1.6623793,5.5977163,3.2540388,2.016735,-5.6506357,4.2685223,-1.082493,-4.001465,-1.0626884,-1.3630614,2.7874846,4.518499,0.79455304,-1.2382827,2.973868,-0.34882486,-0.5432192,-0.38101673,-0.7625841,0.26377556,-0.04296846,0.33520275,0.6126517,-0.16792399,-0.034591652,0.08171654,-3.2130856e-07
3,-15.512264,-10.488436,15.89432,111.94546,-2.8892617,-4.850572,-7.825862,8.136879,-0.9549528,-1.7246832,-1.1531252,4.4212327,-1.5387514,2.8729784,2.201078,-2.912055,9.341198,3.2007403,5.4257193,1.2019643,3.0874014,-0.03869546,-2.1617095,1.1227493,1.0037043,-1.5158987,2.5379405,1.6492953,-0.61215496,0.21655576,0.604746,2.5198417,0.3742175,-2.0204144,2.4525754,0.0599022,-0.3418364,0.34015858,-0.4747667,0.47383726,1.0916896,0.38226342,0.40037173,0.6800493,-0.07464397,-0.09525537,0.28313422,0.13472053,-3.1994256e-07
4,-0.83969367,-4.2138886,-1.9908079,-2.8892617,67.62876,-3.4864821,-1.6831272,4.344859,3.7871118,5.7251816,2.5581484,-1.1783385,2.173365,1.2974578,-0.9069564,-2.4717414,-0.16288246,0.44691443,2.2012563,1.1204859,1.1338303,0.07960432,-2.671402,0.29340345,-2.0668879,-0.38686705,-0.46306348,0.9681364,-0.79625046,0.28241494,0.6084712,-0.975868,-1.7913581,1.2580885,0.5827874,-0.69202393,0.9085522,-0.96314096,0.75547147,0.28665775,-0.45646483,0.8048649,0.6454544,0.83813035,0.47983417,0.39413458,-0.31518114,-0.44677225,-1.7809211e-07
5,-1.1140127,6.969618,7.795336,-4.850572,-3.4864821,42.225708,-10.413792,-6.3860645,-5.7889595,-2.064124,3.231289,-0.2781828,-2.4770837,2.6197662,-5.3245907,-3.5291204,-0.045615666,1.6003239,0.636398,-2.4077644,3.235619,-0.796582,0.2594199,3.3919349,-3.4771724,-2.252864,1.6353406,-2.197886,-0.14288157,0.7832694,1.9927351,-0.6251387,1.0853996,0.86736655,-0.6456597,-0.8990932,2.0390468,0.2631638,0.021938706,-0.3115734,-1.3664572,0.2817667,0.17785613,0.44252348,-0.6114415,0.23309706,-0.100831956,0.07995862,-1.098405e-07
6,-18.699512,3.498091,-0.7002668,-7.825862,-1.6831272,-10.413792,27.035463,2.8408628,3.3293097,2.5024562,4.175315,-0.09526959,-1.0712221,-2.301682,0.42781204,4.460673,1.3662145,6.07973,-1.5019779,-0.41637576,-1.9341655,-1.8853341,-2.1563268,0.90948015,0.78450686,-1.0610511,-0.5671365,0.04017237,1.9254974,-0.32942984,2.8034155,0.4478973,1.3285775,-0.9704014,-0.61448216,-1.3244507,-0.12812269,0.32829458,0.056667358,-0.47200853,-0.6914606,-0.056519352,0.05081541,0.72866774,-0.8537187,0.19237259,0.08131511,0.15061337,-1.5764819e-07
7,-3.584145,16.552052,-5.056266,8.136879,4.344859,-6.3860645,2.8408628,28.60871,-6.218315,-3.2547395,6.267169,1.2668661,-5.303592,3.8907385,1.4214301,2.8647704,-1.2795002,-3.333093,-0.47820807,-3.7721994,-0.8958689,0.8065473,-0.6554471,0.54484606,-0.90166324,0.52934587,-2.043384,-1.6630058,0.046826877,0.45541692,-0.51401246,0.99847263,0.17626075,0.5011709,0.1396494,0.07761288,0.42546064,0.6486981,-0.32911485,0.06615954,-0.20110351,0.35413525,-0.39179796,-0.72064793,0.08939239,-0.2074827,-0.18344405,-0.27029294,1.9857805e-07
8,-15.299055,10.795832,-6.824004,-0.9549528,3.7871118,-5.7889595,3.3293097,-6.218315,19.424932,-5.4687796,3.3939018,-1.1040568,4.279328,0.0674741,1.4265283,-0.7612605,0.44478297,-1.0909634,1.2090957,2.8082223,1.8855109,-1.0745401,0.4902819,-0.4838298,2.1158957,-1.4310793,1.9193441,1.544714,-0.18601376,1.1838129,-0.8137048,-0.79724544,0.87374747,-1.2241842,-0.42909187,0.5904577,1.9851104,0.8636857,0.5510334,0.033678822,0.39892495,-0.29169714,-0.5995488,-0.47501352,-0.76370287,0.25033253,-0.3143103,0.016261052,-1.3217814e-07
9,6.539486,1.8666131,7.1058903,-1.7246832,5.7251816,-2.064124,2.5024562,-3.2547395,-5.4687796,17.510044,1.0516392,4.0383005,0.6732389,-5.255948,-0.34941548,-0.5636209,4.608216,0.32405698,-0.90575397,-2.941472,0.70322645,1.9226794,0.37260967,-1.4259362,1.9457798,-0.06416312,0.85097367,-1.3638973,0.07452461,-1.9157972,0.90705657,-0.4203124,-0.6011394,0.8360267,-0.40700412,0.7063978,-0.32362318,-0.107495606,-0.057524044,0.8719857,-0.72409964,-0.6966698,-0.29871082,0.031777047,0.31636673,0.12005916,0.16153681,0.07304145,6.999406e-08
